ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
scry_fed5ae55-0dae-46e1-ab77-a50b7f5baee4|Drudge Skeletons|{1}{B}|Creature - Skeleton|1|1|{B}: Regenerate this creature. (The next time this creature would be destroyed this turn, instead tap it, remove it from combat, and heal all damage on it.)|Tenth Edition|Uncommon|Chinese Simplified|Arnie Swekel|139★s|Finishes: foil:<br>Promos: schinesealtart:<br>https://scryfall.com/card/10e/139%E2%98%85s/zhs/drudge-skeletons?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/e/fed5ae55-0dae-46e1-ab77-a50b7f5baee4.jpg?1692184053}
130550|Ancestor's Chosen|{5}{W}{W}|Creature - Human Cleric|4|4|First strike (This creature deals combat damage before creatures without first strike.)<br>When this creature enters, you gain 1 life for each card in your graveyard.|Tenth Edition|Uncommon||Pete Venters|1|MID: 130550<br>Finishes: nonfoil:<br>https://scryfall.com/card/10e/1/ancestors-chosen?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/a/7a5cd03c-4227-4551-aa4b-7d119f0468b5.jpg?1562550217}
scry_82072a1d-c1ab-4b4f-875f-d0591447e0a4|Ancestor's Chosen|{5}{W}{W}|Creature - Human Cleric|4|4|First strike (This creature deals combat damage before creatures without first strike.)<br>When this creature enters, you gain 1 life for each card in your graveyard.|Tenth Edition|Uncommon||Pete Venters|1★|Finishes: foil:<br>https://scryfall.com/card/10e/1%E2%98%85/ancestors-chosen?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/2/82072a1d-c1ab-4b4f-875f-d0591447e0a4.jpg?1562550704}
129465|Angel of Mercy|{4}{W}|Creature - Angel|3|3|Flying<br>When this creature enters, you gain 3 life.|Tenth Edition|Uncommon||Volkan Baǵa|2|MID: 129465<br>Finishes: nonfoil:<br>https://scryfall.com/card/10e/2/angel-of-mercy?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/f/8f7980d4-da43-4d6d-ad16-14b8a34ae91d.jpg?1562551569}
scry_b0157252-6949-4f03-a15c-c168512123a8|Angel of Mercy|{4}{W}|Creature - Angel|3|3|Flying<br>When this creature enters, you gain 3 life.|Tenth Edition|Uncommon||Volkan Baǵa|2★|Finishes: foil:<br>https://scryfall.com/card/10e/2%E2%98%85/angel-of-mercy?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/0/b0157252-6949-4f03-a15c-c168512123a8.jpg?1562553640}
129711|Angelic Blessing|{2}{W}|Sorcery|||Target creature gets +3/+3 and gains flying until end of turn. (It can't be blocked except by creatures with flying or reach.)|Tenth Edition|Common||Mark Zug|3|MID: 129711<br>Finishes: nonfoil:<br>https://scryfall.com/card/10e/3/angelic-blessing?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/2/a285aa3f-bcfb-4fc3-8441-85a56c72a3e4.jpg?1562552662}
scry_e8e7f007-2fe3-47c2-aaa3-b8d084053bae|Angelic Blessing|{2}{W}|Sorcery|||Target creature gets +3/+3 and gains flying until end of turn. (It can't be blocked except by creatures with flying or reach.)|Tenth Edition|Common||Mark Zug|3★|Finishes: foil:<br>https://scryfall.com/card/10e/3%E2%98%85/angelic-blessing?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/8/e8e7f007-2fe3-47c2-aaa3-b8d084053bae.jpg?1562557126}
129710|Angelic Chorus|{3}{W}{W}|Enchantment|||Whenever a creature you control enters, you gain life equal to its toughness.|Tenth Edition|Rare||Jim Murray|4|MID: 129710<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/10e/4/angelic-chorus?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/8/f835ff5d-e03d-4a93-98bb-704eaa1e2b64.jpg?1562557991}
129671|Angelic Wall|{1}{W}|Creature - Wall|0|4|Defender (This creature can't attack.)<br>Flying|Tenth Edition|Common||John Avon|5|MID: 129671<br>Finishes: nonfoil:<br>https://scryfall.com/card/10e/5/angelic-wall?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/f/6fa1f42f-1729-46ea-99c6-015d66c627d4.jpg?1562549567}
scry_e72e26cb-c77a-4ba1-ba3d-e649bfab3d24|Angelic Wall|{1}{W}|Creature - Wall|0|4|Defender (This creature can't attack.)<br>Flying|Tenth Edition|Common||John Avon|5★|Finishes: foil:<br>https://scryfall.com/card/10e/5%E2%98%85/angelic-wall?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/7/e72e26cb-c77a-4ba1-ba3d-e649bfab3d24.jpg?1562557002}
