ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
249db4d4-2542-47ee-a216-e13ffbc2319c|Emrakul, the Aeons Torn|{15}|Legendary Creature - Eldrazi|15|15|This spell can't be countered.<br>When you cast this spell, take an extra turn after this one.<br>Flying, protection from spells that are one or more colors, annihilator 6<br>When Emrakul is put into a graveyard from anywhere, its owner shuffles their graveyard into their library.|Double Masters 2022|Mythic||Mark Tedin|1|MID: 571334<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/2x2/1/emrakul-the-aeons-torn?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/4/249db4d4-2542-47ee-a216-e13ffbc2319c.jpg?1758104027}
d27cf7b7-7982-46bd-a559-7789c0e74bae|Kozilek, Butcher of Truth|{10}|Legendary Creature - Eldrazi|12|12|When you cast this spell, draw four cards.<br>Annihilator 4 (Whenever this creature attacks, defending player sacrifices four permanents of their choice.)<br>When Kozilek is put into a graveyard from anywhere, its owner shuffles their graveyard into their library.|Double Masters 2022|Mythic||Michael Komarck|2|MID: 571335<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/2x2/2/kozilek-butcher-of-truth?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/2/d27cf7b7-7982-46bd-a559-7789c0e74bae.jpg?1673146904}
9464a820-65de-44f2-9895-46a35e8621a0|Ulamog, the Infinite Gyre|{11}|Legendary Creature - Eldrazi|10|10|When you cast this spell, destroy target permanent.<br>Indestructible<br>Annihilator 4 (Whenever this creature attacks, defending player sacrifices four permanents of their choice.)<br>When Ulamog is put into a graveyard from anywhere, its owner shuffles their graveyard into their library.|Double Masters 2022|Mythic||Aleksi Briclot|3|MID: 571336<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/2x2/3/ulamog-the-infinite-gyre?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/4/9464a820-65de-44f2-9895-46a35e8621a0.jpg?1758104023}
db62ac2c-0d24-4d6f-a6ca-cca4371a3bd7|Abzan Falconer|{2}{W}|Creature - Human Soldier|2|3|Outlast {W} ({W}, {T}: Put a +1/+1 counter on this creature. Outlast only as a sorcery.)<br>Each creature you control with a +1/+1 counter on it has flying.|Double Masters 2022|Uncommon||Steven Belledin|4|MID: 571337<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/2x2/4/abzan-falconer?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/b/db62ac2c-0d24-4d6f-a6ca-cca4371a3bd7.jpg?1673146919}
1778cf9a-2703-41e9-86d7-ec21af8cf61d|Ainok Bond-Kin|{1}{W}|Creature - Dog Soldier|2|1|Outlast {1}{W} ({1}{W}, {T}: Put a +1/+1 counter on this creature. Outlast only as a sorcery.)<br>Each creature you control with a +1/+1 counter on it has first strike.|Double Masters 2022|Common||Chris Rahn|5|MID: 571338<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/2x2/5/ainok-bond-kin?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/7/1778cf9a-2703-41e9-86d7-ec21af8cf61d.jpg?1673146927}
393fb9f7-ec03-4831-96d4-a26c89b91830|Anointer of Valor|{5}{W}|Creature - Angel|3|5|Flying<br>Whenever a creature attacks, you may pay {3}. When you do, put a +1/+1 counter on that creature.|Double Masters 2022|Common||Antonio José Manzanedo|6|MID: 571339<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/2x2/6/anointer-of-valor?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/9/393fb9f7-ec03-4831-96d4-a26c89b91830.jpg?1673146934}
4e4e3a08-05a6-4730-8b4a-a8cb440dc299|Battlefield Promotion|{1}{W}|Instant|||Put a +1/+1 counter on target creature. That creature gains first strike until end of turn. You gain 2 life. (A creature with first strike deals combat damage before creatures without first strike.)|Double Masters 2022|Common||Scott Murphy|7|MID: 571340<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/2x2/7/battlefield-promotion?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/e/4e4e3a08-05a6-4730-8b4a-a8cb440dc299.jpg?1673146943}
3a73bd5a-eb22-41dc-84ff-93d23d84afae|Divine Visitation|{3}{W}{W}|Enchantment|||If one or more creature tokens would be created under your control, that many 4/4 white Angel creature tokens with flying and vigilance are created instead.|Double Masters 2022|Mythic||Victor Adame Minguez|8|MID: 571341<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/2x2/8/divine-visitation?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/a/3a73bd5a-eb22-41dc-84ff-93d23d84afae.jpg?1673146951}
5642cdda-789f-4125-a9ff-7c445bb51950|Doomed Traveler|{W}|Creature - Human Soldier|1|1|When this creature dies, create a 1/1 white Spirit creature token with flying.|Double Masters 2022|Common||Lars Grant-West|9|MID: 571342<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/2x2/9/doomed-traveler?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/6/5642cdda-789f-4125-a9ff-7c445bb51950.jpg?1673146959}
0f594562-7e9f-47e6-a033-fb70e3cf1e10|Emiel the Blessed|{2}{W}{W}|Legendary Creature - Unicorn|4|4|{3}: Exile another target creature you control, then return it to the battlefield under its owner's control.<br>Whenever another creature you control enters, you may pay {G/W}. If you do, put a +1/+1 counter on it. If it's a Unicorn, put two +1/+1 counters on it instead. ({G/W} can be paid with either {G} or {W}.)|Double Masters 2022|Mythic||Antonio José Manzanedo|10|MID: 571343<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/2x2/10/emiel-the-blessed?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/f/0f594562-7e9f-47e6-a033-fb70e3cf1e10.jpg?1673146967}
f6cccf30-2025-49bb-9b1e-240bbef03f27|Flickerwisp|{1}{W}{W}|Creature - Elemental|3|1|Flying<br>When this creature enters, exile another target permanent. Return that card to the battlefield under its owner's control at the beginning of the next end step.|Double Masters 2022|Uncommon||Jeremy Enecio|11|MID: 571344<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/2x2/11/flickerwisp?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/6/f6cccf30-2025-49bb-9b1e-240bbef03f27.jpg?1758104013}
e8181eee-c03b-40db-aea1-24a4b34a4785|Gods Willing|{W}|Instant|||Target creature you control gains protection from the color of your choice until end of turn. (It can't be blocked, targeted, dealt damage, enchanted, or equipped by anything of that color.)<br>Scry 1.|Double Masters 2022|Common||Mark Winters|12|MID: 571345<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/2x2/12/gods-willing?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/8/e8181eee-c03b-40db-aea1-24a4b34a4785.jpg?1673146982}
f6cc0f1f-191a-4141-965f-8d159bf54732|Hyena Umbra|{W}|Enchantment - Aura|||Enchant creature<br>Enchanted creature gets +1/+1 and has first strike.<br>Umbra armor (If enchanted creature would be destroyed, instead remove all damage from it and destroy this Aura.)|Double Masters 2022|Common||Howard Lyon|13|MID: 571346<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/2x2/13/hyena-umbra?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/6/f6cc0f1f-191a-4141-965f-8d159bf54732.jpg?1673146991}
c0f20ca6-1a92-4be5-a84a-e7f8f0b7f648|Knightly Valor|{4}{W}|Enchantment - Aura|||Enchant creature<br>When this Aura enters, create a 2/2 white Knight creature token with vigilance. (Attacking doesn't cause it to tap.)<br>Enchanted creature gets +2/+2 and has vigilance.|Double Masters 2022|Common||Matt Stewart|14|MID: 571347<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/2x2/14/knightly-valor?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/0/c0f20ca6-1a92-4be5-a84a-e7f8f0b7f648.jpg?1673147000}
12cca37a-7efd-4b01-bf96-15d0a032524d|Last Breath|{1}{W}|Instant|||Exile target creature with power 2 or less. Its controller gains 4 life.|Double Masters 2022|Common||Christina Davis|15|MID: 571348<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/2x2/15/last-breath?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/2/12cca37a-7efd-4b01-bf96-15d0a032524d.jpg?1673147008}
0d0f827b-ebc3-45a4-8d12-c71a14478038|Leonin Arbiter|{1}{W}|Creature - Cat Cleric|2|2|Players can't search libraries. Any player may pay {2} for that player to ignore this effect until end of turn.|Double Masters 2022|Rare||Shelly Wan|16|MID: 571349<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/2x2/16/leonin-arbiter?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/d/0d0f827b-ebc3-45a4-8d12-c71a14478038.jpg?1673147016}
10c78b83-49d4-48c6-8aef-497541431c77|Mentor of the Meek|{2}{W}|Creature - Human Soldier|2|2|Whenever another creature you control with power 2 or less enters, you may pay {1}. If you do, draw a card.|Double Masters 2022|Uncommon||Jana Schirmer & Johannes Voss|17|MID: 571350<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/2x2/17/mentor-of-the-meek?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/0/10c78b83-49d4-48c6-8aef-497541431c77.jpg?1710406351}
