ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|GATHERERID|TCGID|PROPERTIES
4b0c6662-4dde-40a2-97e0-0318478c0367|Karn Liberated|{7}|Legendary Planeswalker - Karn|||+4: Target player exiles a card from their hand.<br>−3: Exile target permanent.<br>−14: Restart the game, leaving in exile all non-Aura permanent cards exiled with Karn. Then put those cards onto the battlefield under your control.<BR><a href="https://api.scryfall.com/cards/4b0c6662-4dde-40a2-97e0-0318478c0367/rulings">Rulings</a>|Double Masters|Mythic||Jason Chan|1|MID: 489674<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/2xm/1/karn-liberated?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=489674&printed=false">Gatherer</a>|489674|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/b/4b0c6662-4dde-40a2-97e0-0318478c0367.jpg?1599705787}
0ef65e86-3759-465d-862b-29516eed46e6|Alabaster Mage|{1}{W}|Creature - Human Wizard|2|1|{1}{W}: Target creature you control gains lifelink until end of turn. (Damage dealt by the creature also causes its controller to gain that much life.)<BR><a href="https://api.scryfall.com/cards/0ef65e86-3759-465d-862b-29516eed46e6/rulings">Rulings</a>|Double Masters|Common||Izzy|2|MID: 489675<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/2xm/2/alabaster-mage?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=489675&printed=false">Gatherer</a>|489675|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/e/0ef65e86-3759-465d-862b-29516eed46e6.jpg?1599707997}
68ca85e4-f1ca-47ff-bb67-eb0d66d35cc8|Ancestral Blade|{1}{W}|Artifact - Equipment|||When this Equipment enters, create a 1/1 white Soldier creature token, then attach this Equipment to it.<br>Equipped creature gets +1/+1.<br>Equip {1} ({1}: Attach to target creature you control. Equip only as a sorcery.)<BR><a href="https://api.scryfall.com/cards/68ca85e4-f1ca-47ff-bb67-eb0d66d35cc8/rulings">Rulings</a>|Double Masters|Common||Scott Murphy|3|MID: 489676<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/2xm/3/ancestral-blade?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=489676&printed=false">Gatherer</a>|489676|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/8/68ca85e4-f1ca-47ff-bb67-eb0d66d35cc8.jpg?1599710109}
5ccfe469-3fa7-4672-ae15-8f25971e7c56|Angel of the Dawn|{4}{W}|Creature - Angel|3|3|Flying<br>When this creature enters, creatures you control get +1/+1 and gain vigilance until end of turn.<BR><a href="https://api.scryfall.com/cards/5ccfe469-3fa7-4672-ae15-8f25971e7c56/rulings">Rulings</a>|Double Masters|Common||Livia Prima|4|MID: 489677<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/2xm/4/angel-of-the-dawn?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=489677&printed=false">Gatherer</a>|489677|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/c/5ccfe469-3fa7-4672-ae15-8f25971e7c56.jpg?1598303058}
15c34447-b0f4-4fcc-b557-23c92850b31b|Archangel of Thune|{3}{W}{W}|Creature - Angel|3|4|Flying<br>Lifelink (Damage dealt by this creature also causes you to gain that much life.)<br>Whenever you gain life, put a +1/+1 counter on each creature you control.<BR><a href="https://api.scryfall.com/cards/15c34447-b0f4-4fcc-b557-23c92850b31b/rulings">Rulings</a>|Double Masters|Mythic||James Ryman|5|MID: 489678<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/2xm/5/archangel-of-thune?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=489678&printed=false">Gatherer</a>|489678|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/5/15c34447-b0f4-4fcc-b557-23c92850b31b.jpg?1598303082}
befb996b-1da6-41a3-8d9a-a45c2353c401|Auriok Salvagers|{3}{W}|Creature - Human Soldier|2|4|{1}{W}: Return target artifact card with mana value 1 or less from your graveyard to your hand.<BR><a href="https://api.scryfall.com/cards/befb996b-1da6-41a3-8d9a-a45c2353c401/rulings">Rulings</a>|Double Masters|Uncommon||Randy Gallegos|6|MID: 489679<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/2xm/6/auriok-salvagers?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=489679&printed=false">Gatherer</a>|489679|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/e/befb996b-1da6-41a3-8d9a-a45c2353c401.jpg?1598303109}
d36e87ca-71e1-43d2-841f-b01a58fe27f0|Austere Command|{4}{W}{W}|Sorcery|||Choose two —<br>• Destroy all artifacts.<br>• Destroy all enchantments.<br>• Destroy all creatures with mana value 3 or less.<br>• Destroy all creatures with mana value 4 or greater.<BR><a href="https://api.scryfall.com/cards/d36e87ca-71e1-43d2-841f-b01a58fe27f0/rulings">Rulings</a>|Double Masters|Rare||Anna Steinbauer|7|MID: 489680<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/2xm/7/austere-command?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=489680&printed=false">Gatherer</a>|489680|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/3/d36e87ca-71e1-43d2-841f-b01a58fe27f0.jpg?1598303136}
a0519776-3d86-4f7d-9c3b-71c1dfbf7e12|Avacyn, Angel of Hope|{5}{W}{W}{W}|Legendary Creature - Angel|8|8|Flying, vigilance, indestructible<br>Other permanents you control have indestructible.<BR><a href="https://api.scryfall.com/cards/a0519776-3d86-4f7d-9c3b-71c1dfbf7e12/rulings">Rulings</a>|Double Masters|Mythic||Jason Chan|8|MID: 489681<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/2xm/8/avacyn-angel-of-hope?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=489681&printed=false">Gatherer</a>|489681|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/0/a0519776-3d86-4f7d-9c3b-71c1dfbf7e12.jpg?1598303166}
277bc4e5-f43a-4f1e-a7e9-11796e78fcdf|Blade Splicer|{2}{W}|Creature - Phyrexian Human Artificer|1|1|When this creature enters, create a 3/3 colorless Phyrexian Golem artifact creature token.<br>Golems you control have first strike.<BR><a href="https://api.scryfall.com/cards/277bc4e5-f43a-4f1e-a7e9-11796e78fcdf/rulings">Rulings</a>|Double Masters|Rare||Greg Staples|9|MID: 489682<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/2xm/9/blade-splicer?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=489682&printed=false">Gatherer</a>|489682|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/7/277bc4e5-f43a-4f1e-a7e9-11796e78fcdf.jpg?1599254148}
0d4032a7-600c-4b30-a012-fe3cde1be9c9|Boon Reflection|{4}{W}|Enchantment|||If you would gain life, you gain twice that much life instead.<BR><a href="https://api.scryfall.com/cards/0d4032a7-600c-4b30-a012-fe3cde1be9c9/rulings">Rulings</a>|Double Masters|Rare||Chris Seaman|10|MID: 489683<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/2xm/10/boon-reflection?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=489683&printed=false">Gatherer</a>|489683|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/d/0d4032a7-600c-4b30-a012-fe3cde1be9c9.jpg?1599705804}
