ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
2316|Alabaster Potion|{X}{W}{W}|Instant|||Choose one —<br>• Target player gains X life.<br>• Prevent the next X damage that would be dealt to any target this turn.|Fourth Edition|Common||Harold McNeill|1|MID: 2316<br>Finishes: nonfoil:<br>https://scryfall.com/card/4ed/1/alabaster-potion?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/1/51c931a4-297a-4f7f-8f71-6bdcbe4e94b7.jpg?1559603882}
2317|Amrou Kithkin|{W}{W}|Creature - Kithkin|1|1|This creature can't be blocked by creatures with power 3 or greater.|Fourth Edition|Common||Quinton Hoover|2|MID: 2317<br>Finishes: nonfoil:<br>https://scryfall.com/card/4ed/2/amrou-kithkin?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/7/27de9b02-1810-41ee-aa90-5d89b6e1bf87.jpg?1559603798}
2318|Angry Mob|{2}{W}{W}|Creature - Human|2+*|2+*|Trample<br>During your turn, Angry Mob's power and toughness are each equal to 2 plus the number of Swamps your opponents control. During turns other than yours, Angry Mob's power and toughness are each 2.|Fourth Edition|Uncommon||Drew Tucker|3|MID: 2318<br>Finishes: nonfoil:<br>https://scryfall.com/card/4ed/3/angry-mob?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/2/a26d1c4d-af95-4b40-83a5-b51f8b2506db.jpg?1559601535}
2319|Animate Wall|{W}|Enchantment - Aura|||Enchant Wall<br>Enchanted Wall can attack as though it didn't have defender.|Fourth Edition|Rare||Dan Frazier|4|MID: 2319<br>Finishes: nonfoil:<br>https://scryfall.com/card/4ed/4/animate-wall?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/6/b6ee58e5-f493-4e27-9639-5599a9573387.jpg?1559601547}
2320|Armageddon|{3}{W}|Sorcery|||Destroy all lands.|Fourth Edition|Rare||Jesper Myrfors|5|MID: 2320<br>Finishes: nonfoil:<br>https://scryfall.com/card/4ed/5/armageddon?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/7/0794bc35-a8e1-4268-87b2-af5483ca6e5e.jpg?1559603613}
2321|Balance|{1}{W}|Sorcery|||Each player chooses a number of lands they control equal to the number of lands controlled by the player who controls the fewest, then sacrifices the rest. Players discard cards and sacrifice creatures the same way.|Fourth Edition|Rare||Mark Poole|6|MID: 2321<br>Finishes: nonfoil:<br>https://scryfall.com/card/4ed/6/balance?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/b/db3e219d-8e5e-44c7-97b3-2d489e2808b9.jpg?1559600492}
2322|Benalish Hero|{W}|Creature - Human Soldier|1|1|Banding (Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding you control are blocking or being blocked by a creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)|Fourth Edition|Common||Douglas Shuler|7|MID: 2322<br>Finishes: nonfoil:<br>https://scryfall.com/card/4ed/7/benalish-hero?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/d/fd204832-5f3b-4213-9c06-b89a296a9d47.jpg?1559600219}
2323|Black Ward|{W}|Enchantment - Aura|||Enchant creature<br>Enchanted creature has protection from black. This effect doesn't remove this Aura.|Fourth Edition|Uncommon||Dan Frazier|8|MID: 2323<br>Finishes: nonfoil:<br>https://scryfall.com/card/4ed/8/black-ward?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/1/218b1327-5f76-4ee2-a93d-d2ba412043c2.jpg?1559601258}
2324|Blessing|{W}{W}|Enchantment - Aura|||Enchant creature<br>{W}: Enchanted creature gets +1/+1 until end of turn.|Fourth Edition|Rare||Julie Baroh|9|MID: 2324<br>Finishes: nonfoil:<br>https://scryfall.com/card/4ed/9/blessing?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/e/eea35ac3-071d-4a42-9a7a-9104fe63bddc.jpg?1559604112}
2325|Blue Ward|{W}|Enchantment - Aura|||Enchant creature<br>Enchanted creature has protection from blue. This effect doesn't remove this Aura.|Fourth Edition|Uncommon||Dan Frazier|10|MID: 2325<br>Finishes: nonfoil:<br>https://scryfall.com/card/4ed/10/blue-ward?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/e/de62c833-c66b-442e-99ed-99ccd8eca024.jpg?1559601732}
2326|Brainwash|{W}|Enchantment - Aura|||Enchant creature<br>Enchanted creature can't attack unless its controller pays {3}.|Fourth Edition|Common||Pete Venters|11|MID: 2326<br>Finishes: nonfoil:<br>https://scryfall.com/card/4ed/11/brainwash?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/0/90c6d853-dc3a-4eed-894a-b58bf6e56dc8.jpg?1559604217}
2327|Castle|{3}{W}|Enchantment|||Untapped creatures you control get +0/+2.|Fourth Edition|Uncommon||Dameon Willich|12|MID: 2327<br>Finishes: nonfoil:<br>https://scryfall.com/card/4ed/12/castle?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/7/870ee86b-222b-4d7a-9c5b-ea10e1d73756.jpg?1559601265}
2328|Circle of Protection: Artifacts|{1}{W}|Enchantment|||{2}: The next time an artifact source of your choice would deal damage to you this turn, prevent that damage.|Fourth Edition|Uncommon||Pete Venters|13|MID: 2328<br>Finishes: nonfoil:<br>https://scryfall.com/card/4ed/13/circle-of-protection:-artifacts?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/b/6bfddcee-704f-4189-8cb0-6025fe98d7e9.jpg?1559601270}
2329|Circle of Protection: Black|{1}{W}|Enchantment|||{1}: The next time a black source of your choice would deal damage to you this turn, prevent that damage.|Fourth Edition|Common||Jesper Myrfors|14|MID: 2329<br>Finishes: nonfoil:<br>https://scryfall.com/card/4ed/14/circle-of-protection:-black?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/9/9971cbae-3f08-48c6-955a-76ce8ed41c6c.jpg?1559603891}
2330|Circle of Protection: Blue|{1}{W}|Enchantment|||{1}: The next time a blue source of your choice would deal damage to you this turn, prevent that damage.|Fourth Edition|Common||Dameon Willich|15|MID: 2330<br>Finishes: nonfoil:<br>https://scryfall.com/card/4ed/15/circle-of-protection:-blue?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/b/4b7cdfd5-bef9-4f33-b81a-2a395c9bba29.jpg?1559604209}
2331|Circle of Protection: Green|{1}{W}|Enchantment|||{1}: The next time a green source of your choice would deal damage to you this turn, prevent that damage.|Fourth Edition|Common||Sandra Everingham|16|MID: 2331<br>Finishes: nonfoil:<br>https://scryfall.com/card/4ed/16/circle-of-protection:-green?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/9/192c50c5-ef98-47bd-9cab-cb3feaf6080b.jpg?1559601271}
2332|Circle of Protection: Red|{1}{W}|Enchantment|||{1}: The next time a red source of your choice would deal damage to you this turn, prevent that damage.|Fourth Edition|Common||Mark Tedin|17|MID: 2332<br>Finishes: nonfoil:<br>https://scryfall.com/card/4ed/17/circle-of-protection:-red?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/3/f3575259-b019-47d0-a6d3-3fe4963294ae.jpg?1559604208}
2333|Circle of Protection: White|{1}{W}|Enchantment|||{1}: The next time a white source of your choice would deal damage to you this turn, prevent that damage.|Fourth Edition|Common||Douglas Shuler|18|MID: 2333<br>Finishes: nonfoil:<br>https://scryfall.com/card/4ed/18/circle-of-protection:-white?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/2/92e1e153-cf5c-429a-9680-53b7c89dbd88.jpg?1559604211}
2334|Conversion|{2}{W}{W}|Enchantment|||At the beginning of your upkeep, sacrifice this enchantment unless you pay {W}{W}.<br>All Mountains are Plains.|Fourth Edition|Uncommon||Jesper Myrfors|19|MID: 2334<br>Finishes: nonfoil:<br>https://scryfall.com/card/4ed/19/conversion?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/d/5df33281-bebc-4c2a-97ce-528a67574670.jpg?1559604205}
2335|Crusade|{W}{W}|Enchantment|||White creatures get +1/+1.|Fourth Edition|Rare||Mark Poole|20|MID: 2335<br>Finishes: nonfoil:<br>https://scryfall.com/card/4ed/20/crusade?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/b/fb5428ef-847d-4ac1-b9a9-31afe155650f.jpg?1559603869}
2336|Death Ward|{W}|Instant|||Regenerate target creature.|Fourth Edition|Common||Mark Poole|21|MID: 2336<br>Finishes: nonfoil:<br>https://scryfall.com/card/4ed/21/death-ward?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/9/e9c54ffe-2479-4178-a5dc-dca7b564efce.jpg?1559603834}
2337|Disenchant|{1}{W}|Instant|||Destroy target artifact or enchantment.|Fourth Edition|Common||Amy Weber|22|MID: 2337<br>Finishes: nonfoil:<br>https://scryfall.com/card/4ed/22/disenchant?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/9/a915f261-2cdc-499c-9163-da5b628b0127.jpg?1559600453}
2338|Divine Transformation|{2}{W}{W}|Enchantment - Aura|||Enchant creature<br>Enchanted creature gets +3/+3.|Fourth Edition|Uncommon||NéNé Thomas|23|MID: 2338<br>Finishes: nonfoil:<br>https://scryfall.com/card/4ed/23/divine-transformation?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/5/f59605bf-27d8-47ca-805e-527aab6ddf70.jpg?1559600454}
2339|Elder Land Wurm|{4}{W}{W}{W}|Creature - Dragon Wurm|5|5|Defender, trample<br>When this creature blocks, it loses defender.|Fourth Edition|Rare||Quinton Hoover|24|MID: 2339<br>Finishes: nonfoil:<br>https://scryfall.com/card/4ed/24/elder-land-wurm?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/1/b188d0d4-cd7c-4314-ae65-cb49e4674241.jpg?1559604238}
2340|Eye for an Eye|{W}{W}|Instant|||The next time a source of your choice would deal damage to you this turn, instead that source deals that much damage to you and Eye for an Eye deals that much damage to that source's controller.|Fourth Edition|Rare||Mark Poole|25|MID: 2340<br>Finishes: nonfoil:<br>https://scryfall.com/card/4ed/25/eye-for-an-eye?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/c/acc41bca-73fc-42da-b639-b73a8de8a9c6.jpg?1559604230}
2341|Fortified Area|{1}{W}{W}|Enchantment|||Wall creatures you control get +1/+0 and have banding. (Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding you control are blocking or being blocked by a creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)|Fourth Edition|Common||Randy Asplund-Faith|26|MID: 2341<br>Finishes: nonfoil:<br>https://scryfall.com/card/4ed/26/fortified-area?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/f/8f89968f-0182-4639-96fd-0dc94b6ad926.jpg?1559603754}
2342|Green Ward|{W}|Enchantment - Aura|||Enchant creature<br>Enchanted creature has protection from green. This effect doesn't remove this Aura.|Fourth Edition|Uncommon||Dan Frazier|27|MID: 2342<br>Finishes: nonfoil:<br>https://scryfall.com/card/4ed/27/green-ward?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/7/b7548dc7-11dc-4611-85a5-71bdb48d8a62.jpg?1559604194}
2343|Healing Salve|{W}|Instant|||Choose one —<br>• Target player gains 3 life.<br>• Prevent the next 3 damage that would be dealt to any target this turn.|Fourth Edition|Common||Dan Frazier|28|MID: 2343<br>Finishes: nonfoil:<br>https://scryfall.com/card/4ed/28/healing-salve?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/f/afd08b3b-196e-43a5-9318-9dae9edc6d12.jpg?1559604193}
2344|Holy Armor|{W}|Enchantment - Aura|||Enchant creature<br>Enchanted creature gets +0/+2.<br>{W}: Enchanted creature gets +0/+1 until end of turn.|Fourth Edition|Common||Melissa A. Benson|29|MID: 2344<br>Finishes: nonfoil:<br>https://scryfall.com/card/4ed/29/holy-armor?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/a/3a0b9dba-f621-4700-8a36-bf326e04cbac.jpg?1559603633}
2345|Holy Strength|{W}|Enchantment - Aura|||Enchant creature<br>Enchanted creature gets +1/+2.|Fourth Edition|Common||Anson Maddocks|30|MID: 2345<br>Finishes: nonfoil:<br>https://scryfall.com/card/4ed/30/holy-strength?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/7/77af9f19-66d1-44e5-9aed-955e6bfd9902.jpg?1559593855}
2346|Island Sanctuary|{1}{W}|Enchantment|||If you would draw a card during your draw step, instead you may skip that draw. If you do, until your next turn, you can't be attacked except by creatures with flying and/or islandwalk.|Fourth Edition|Rare||Mark Poole|31|MID: 2346<br>Finishes: nonfoil:<br>https://scryfall.com/card/4ed/31/island-sanctuary?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/0/c0eff4d1-4ce6-48b1-84ae-a95bd1d04d16.jpg?1559604181}
2347|Karma|{2}{W}{W}|Enchantment|||At the beginning of each player's upkeep, this enchantment deals damage to that player equal to the number of Swamps they control.|Fourth Edition|Uncommon||Richard Thomas|32|MID: 2347<br>Finishes: nonfoil:<br>https://scryfall.com/card/4ed/32/karma?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/a/2acd8dd7-f561-487f-abae-4ad910db9d27.jpg?1559603616}
2348|Kismet|{3}{W}|Enchantment|||Artifacts, creatures, and lands your opponents control enter tapped.|Fourth Edition|Uncommon||Kaja Foglio|33|MID: 2348<br>Finishes: nonfoil:<br>https://scryfall.com/card/4ed/33/kismet?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/2/f2381234-cf5a-4baf-89f9-cdec15557cf4.jpg?1559603842}
2349|Land Tax|{W}|Enchantment|||At the beginning of your upkeep, if an opponent controls more lands than you, you may search your library for up to three basic land cards, reveal them, put them into your hand, then shuffle.|Fourth Edition|Rare||Brian Snõddy|34|MID: 2349<br>Finishes: nonfoil:<br>https://scryfall.com/card/4ed/34/land-tax?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/3/1301e203-7d9a-4735-8db3-7882ad70d343.jpg?1559604176}
2350|Mesa Pegasus|{1}{W}|Creature - Pegasus|1|1|Flying; banding (Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding you control are blocking or being blocked by a creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)|Fourth Edition|Common||Melissa A. Benson|35|MID: 2350<br>Finishes: nonfoil:<br>https://scryfall.com/card/4ed/35/mesa-pegasus?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/0/60c0faf1-0c16-441a-97fd-6d4e91c894a5.jpg?1559601288}
2351|Morale|{1}{W}{W}|Instant|||Attacking creatures get +1/+1 until end of turn.|Fourth Edition|Common||Mark Poole|36|MID: 2351<br>Finishes: nonfoil:<br>https://scryfall.com/card/4ed/36/morale?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/5/b52cdfe3-fca1-420c-b5c0-2366ea58345b.jpg?1587911071}
2352|Northern Paladin|{2}{W}{W}|Creature - Human Knight|3|3|{W}{W}, {T}: Destroy target black permanent.|Fourth Edition|Rare||Douglas Shuler|37|MID: 2352<br>Finishes: nonfoil:<br>https://scryfall.com/card/4ed/37/northern-paladin?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/9/09e97dce-6bef-480d-939e-d35cfbf6b989.jpg?1559604141}
2353|Osai Vultures|{1}{W}|Creature - Bird|1|1|Flying<br>At the beginning of each end step, if a creature died this turn, put a carrion counter on this creature.<br>Remove two carrion counters from this creature: This creature gets +1/+1 until end of turn.|Fourth Edition|Uncommon||Dan Frazier|38|MID: 2353<br>Finishes: nonfoil:<br>https://scryfall.com/card/4ed/38/osai-vultures?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/a/da915d3c-8d43-44c2-9052-08c1cd2afa7b.jpg?1559601310}
2354|Pearled Unicorn|{2}{W}|Creature - Unicorn|2|2||Fourth Edition|Common||Cornelius Brudi|39|MID: 2354<br>Finishes: nonfoil:<br>https://scryfall.com/card/4ed/39/pearled-unicorn?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/a/6acc78fc-1eab-47aa-993d-6781b2d2408a.jpg?1559601312}
2355|Personal Incarnation|{3}{W}{W}{W}|Creature - Avatar Incarnation|6|6|{0}: The next 1 damage that would be dealt to this creature this turn is dealt to its owner instead. Only this creature's owner may activate this ability.<br>When this creature dies, its owner loses half their life, rounded up.|Fourth Edition|Rare||Kev Brockschmidt|40|MID: 2355<br>Finishes: nonfoil:<br>https://scryfall.com/card/4ed/40/personal-incarnation?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/b/0b107c80-0c9a-46cd-8f00-26c37f080ce7.jpg?1559601803}
2356|Piety|{2}{W}|Instant|||Blocking creatures get +0/+3 until end of turn.|Fourth Edition|Common||Mark Poole|41|MID: 2356<br>Finishes: nonfoil:<br>https://scryfall.com/card/4ed/41/piety?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/4/d4942a9f-6b8f-438b-a2ea-366228038ed8.jpg?1587911080}
2357|Pikemen|{1}{W}|Creature - Human Soldier|1|1|First strike; banding (Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding you control are blocking or being blocked by a creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)|Fourth Edition|Common||Dennis Detwiller|42|MID: 2357<br>Finishes: nonfoil:<br>https://scryfall.com/card/4ed/42/pikemen?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/1/015cc1ad-8b9f-484c-aa7d-d44f7bc914d2.jpg?1559603833}
2358|Purelace|{W}|Instant|||Target spell or permanent becomes white. (Mana symbols on that permanent remain unchanged.)|Fourth Edition|Rare||Sandra Everingham|43|MID: 2358<br>Finishes: nonfoil:<br>https://scryfall.com/card/4ed/43/purelace?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/7/5736fcc7-fa95-4ef4-b821-392ec00e03bf.jpg?1559604129}
2359|Red Ward|{W}|Enchantment - Aura|||Enchant creature<br>Enchanted creature has protection from red. This effect doesn't remove this Aura.|Fourth Edition|Uncommon||Dan Frazier|44|MID: 2359<br>Finishes: nonfoil:<br>https://scryfall.com/card/4ed/44/red-ward?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/4/543e8ec0-f36a-46a6-b7b1-e983e90a091a.jpg?1559603756}
