ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|GATHERERID|TCGID|PROPERTIES
b9e0bf63-0399-40d6-9162-4562d7bcdd0e|Abuna's Chant|{3}{W}|Instant|||Choose one —<br>• You gain 5 life.<br>• Prevent the next 5 damage that would be dealt to target creature this turn.<br>Entwine {2} (Choose both if you pay the entwine cost.)<BR><a href="https://api.scryfall.com/cards/b9e0bf63-0399-40d6-9162-4562d7bcdd0e/rulings">Rulings</a>|Fifth Dawn|Common||John Matson|1|R$ 0.06 F$ 0.34<br>MID: 50164<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/5dn/1/abunas-chant?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=50164&printed=false">Gatherer</a>|50164|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/9/b9e0bf63-0399-40d6-9162-4562d7bcdd0e.jpg?1562879415}
7029fac9-ef8a-499f-aa42-c145b6b528ae|Armed Response|{2}{W}|Instant|||Armed Response deals damage to target attacking creature equal to the number of Equipment you control.<BR><a href="https://api.scryfall.com/cards/7029fac9-ef8a-499f-aa42-c145b6b528ae/rulings">Rulings</a>|Fifth Dawn|Common||Doug Chaffee|2|R$ 0.03 F$ 0.32<br>MID: 73566<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/5dn/2/armed-response?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=73566&printed=false">Gatherer</a>|73566|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/0/7029fac9-ef8a-499f-aa42-c145b6b528ae.jpg?1562877643}
b9e6bf0b-bb39-4d0f-9035-a276e604f609|Auriok Champion|{W}{W}|Creature - Human Cleric|1|1|Protection from black and from red<br>Whenever another creature enters, you may gain 1 life.<BR><a href="https://api.scryfall.com/cards/b9e6bf0b-bb39-4d0f-9035-a276e604f609/rulings">Rulings</a>|Fifth Dawn|Rare||Michael Sutfin|3|R$ 11.11 F$ 54.67<br>MID: 72921<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/5dn/3/auriok-champion?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=72921&printed=false">Gatherer</a>|72921|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/9/b9e6bf0b-bb39-4d0f-9035-a276e604f609.jpg?1562879421}
09c9cd1b-9260-4f98-ac7a-25bb5ae3e06d|Auriok Salvagers|{3}{W}|Creature - Human Soldier|2|4|{1}{W}: Return target artifact card with mana value 1 or less from your graveyard to your hand.<BR><a href="https://api.scryfall.com/cards/09c9cd1b-9260-4f98-ac7a-25bb5ae3e06d/rulings">Rulings</a>|Fifth Dawn|Uncommon||Randy Gallegos|4|R$ 0.23 F$ 15.59<br>MID: 51166<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/5dn/4/auriok-salvagers?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=51166&printed=false">Gatherer</a>|51166|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/9/09c9cd1b-9260-4f98-ac7a-25bb5ae3e06d.jpg?1562875356}
4315d060-9858-405c-a442-c7a278134f00|Auriok Windwalker|{3}{W}|Creature - Human Wizard|2|3|Flying<br>{T}: Attach target Equipment you control to target creature you control.<BR><a href="https://api.scryfall.com/cards/4315d060-9858-405c-a442-c7a278134f00/rulings">Rulings</a>|Fifth Dawn|Rare||Jeremy Jarvis|5|R$ 0.58 F$ 4.39<br>MID: 46175<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/5dn/5/auriok-windwalker?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=46175&printed=false">Gatherer</a>|46175|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/3/4315d060-9858-405c-a442-c7a278134f00.jpg?1562876615}
601bb6d1-77f4-4ffe-94d0-bed74c33013b|Beacon of Immortality|{5}{W}|Instant|||Double target player's life total. Shuffle Beacon of Immortality into its owner's library.<BR><a href="https://api.scryfall.com/cards/601bb6d1-77f4-4ffe-94d0-bed74c33013b/rulings">Rulings</a>|Fifth Dawn|Rare||Rob Alexander|6|R$ 17.76 F$ 61.67<br>MID: 50141<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/5dn/6/beacon-of-immortality?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=50141&printed=false">Gatherer</a>|50141|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/0/601bb6d1-77f4-4ffe-94d0-bed74c33013b.jpg?1562877310}
9e5a7117-b1e2-46bd-873e-baf9d9fac009|Bringer of the White Dawn|{7}{W}{W}|Creature - Bringer|5|5|You may pay {W}{U}{B}{R}{G} rather than pay this spell's mana cost.<br>Trample<br>At the beginning of your upkeep, you may return target artifact card from your graveyard to the battlefield.<BR><a href="https://api.scryfall.com/cards/9e5a7117-b1e2-46bd-873e-baf9d9fac009/rulings">Rulings</a>|Fifth Dawn|Rare||Kev Walker|7|R$ 1.71 F$ 6.67<br>MID: 73556<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/5dn/7/bringer-of-the-white-dawn?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=73556&printed=false">Gatherer</a>|73556|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/e/9e5a7117-b1e2-46bd-873e-baf9d9fac009.jpg?1758104207}
b09e7267-3d71-4724-b3e7-ae5a6a1f002a|Circle of Protection: Artifacts|{1}{W}|Enchantment|||{2}: The next time an artifact source of your choice would deal damage to you this turn, prevent that damage.<BR><a href="https://api.scryfall.com/cards/b09e7267-3d71-4724-b3e7-ae5a6a1f002a/rulings">Rulings</a>|Fifth Dawn|Uncommon||Terese Nielsen|8|R$ 0.19 F$ 3.92<br>MID: 73561<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/5dn/8/circle-of-protection:-artifacts?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=73561&printed=false">Gatherer</a>|73561|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/0/b09e7267-3d71-4724-b3e7-ae5a6a1f002a.jpg?1562879213}
5a5320ff-1fe6-492a-b27f-86a84a1768ed|Leonin Squire|{1}{W}|Creature - Cat Soldier|2|2|When this creature enters, return target artifact card with mana value 1 or less from your graveyard to your hand.<BR><a href="https://api.scryfall.com/cards/5a5320ff-1fe6-492a-b27f-86a84a1768ed/rulings">Rulings</a>|Fifth Dawn|Common||Pete Venters|9|R$ 0.16 F$ 1.97<br>MID: 72722<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/5dn/9/leonin-squire?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=72722&printed=false">Gatherer</a>|72722|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/a/5a5320ff-1fe6-492a-b27f-86a84a1768ed.jpg?1562877173}
a55f0113-3ced-49c7-9fa8-f1cc873bdc4c|Loxodon Anchorite|{2}{W}{W}|Creature - Elephant Cleric|2|3|{T}: Prevent the next 2 damage that would be dealt to any target this turn.<BR><a href="https://api.scryfall.com/cards/a55f0113-3ced-49c7-9fa8-f1cc873bdc4c/rulings">Rulings</a>|Fifth Dawn|Common||Jim Nelson|10|R$ 0.06 F$ 0.29<br>MID: 50137<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/5dn/10/loxodon-anchorite?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=50137&printed=false">Gatherer</a>|50137|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/5/a55f0113-3ced-49c7-9fa8-f1cc873bdc4c.jpg?1562878932}
0e58f4fb-5b4e-45bc-99b3-d09cd79132df|Loxodon Stalwart|{3}{W}{W}|Creature - Elephant Soldier|3|3|Vigilance<br>{W}: This creature gets +0/+1 until end of turn.<BR><a href="https://api.scryfall.com/cards/0e58f4fb-5b4e-45bc-99b3-d09cd79132df/rulings">Rulings</a>|Fifth Dawn|Uncommon||Paolo Parente|11|R$ 0.13 F$ 2.95<br>MID: 73567<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/5dn/11/loxodon-stalwart?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=73567&printed=false">Gatherer</a>|73567|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/e/0e58f4fb-5b4e-45bc-99b3-d09cd79132df.jpg?1562875444}
45501767-2ba8-443f-af9b-c86ead0aa30d|Raksha Golden Cub|{5}{W}{W}|Legendary Creature - Cat Soldier|3|4|Vigilance<br>As long as Raksha Golden Cub is equipped, Cat creatures you control get +2/+2 and have double strike.<BR><a href="https://api.scryfall.com/cards/45501767-2ba8-443f-af9b-c86ead0aa30d/rulings">Rulings</a>|Fifth Dawn|Rare||Pete Venters|12|R$ 0.96 F$ 8.98<br>MID: 73569<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/5dn/12/raksha-golden-cub?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=73569&printed=false">Gatherer</a>|73569|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/5/45501767-2ba8-443f-af9b-c86ead0aa30d.jpg?1562876696}
58acdda6-6754-46f2-ad68-f1580b8ab0dd|Retaliate|{2}{W}{W}|Instant|||Destroy all creatures that dealt damage to you this turn.<BR><a href="https://api.scryfall.com/cards/58acdda6-6754-46f2-ad68-f1580b8ab0dd/rulings">Rulings</a>|Fifth Dawn|Rare||Vance Kovacs|13|R$ 0.82 F$ 0.96<br>MID: 50213<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/5dn/13/retaliate?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=50213&printed=false">Gatherer</a>|50213|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/8/58acdda6-6754-46f2-ad68-f1580b8ab0dd.jpg?1562877159}
d560e242-44ef-4162-8589-965897e4cdad|Roar of Reclamation|{5}{W}{W}|Sorcery|||Each player returns all artifact cards from their graveyard to the battlefield.<BR><a href="https://api.scryfall.com/cards/d560e242-44ef-4162-8589-965897e4cdad/rulings">Rulings</a>|Fifth Dawn|Rare||Justin Sweet|14|R$ 0.56 F$ 1.40<br>MID: 51080<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/5dn/14/roar-of-reclamation?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=51080&printed=false">Gatherer</a>|51080|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/5/d560e242-44ef-4162-8589-965897e4cdad.jpg?1562879951}
7e4065bb-8deb-46d5-a57e-d61c77493274|Skyhunter Prowler|{2}{W}|Creature - Cat Knight|1|3|Flying, vigilance (This creature can't be blocked except by creatures with flying or reach, and attacking doesn't cause this creature to tap.)<BR><a href="https://api.scryfall.com/cards/7e4065bb-8deb-46d5-a57e-d61c77493274/rulings">Rulings</a>|Fifth Dawn|Common||Vance Kovacs|15|R$ 0.07 F$ 0.33<br>MID: 50136<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/5dn/15/skyhunter-prowler?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=50136&printed=false">Gatherer</a>|50136|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/e/7e4065bb-8deb-46d5-a57e-d61c77493274.jpg?1562878005}
975d0549-e6b6-456b-8693-227591e4db91|Skyhunter Skirmisher|{1}{W}{W}|Creature - Cat Knight|1|1|Flying, double strike<BR><a href="https://api.scryfall.com/cards/975d0549-e6b6-456b-8693-227591e4db91/rulings">Rulings</a>|Fifth Dawn|Uncommon||Greg Staples|16|R$ 0.19 F$ 1.09<br>MID: 51220<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/5dn/16/skyhunter-skirmisher?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=51220&printed=false">Gatherer</a>|51220|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/7/975d0549-e6b6-456b-8693-227591e4db91.jpg?1562878677}
93d3a024-6cf3-4008-a4f6-1d96ff5de22a|Stand Firm|{W}|Instant|||Target creature gets +1/+1 until end of turn. Scry 2. (Look at the top two cards of your library, then put any number of them on the bottom and the rest on top in any order.)<BR><a href="https://api.scryfall.com/cards/93d3a024-6cf3-4008-a4f6-1d96ff5de22a/rulings">Rulings</a>|Fifth Dawn|Common||Matt Cavotta|17|R$ 0.04 F$ 0.42<br>MID: 50138<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/5dn/17/stand-firm?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=50138&printed=false">Gatherer</a>|50138|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/3/93d3a024-6cf3-4008-a4f6-1d96ff5de22a.jpg?1562878559}
5b2ca75e-ccb0-4e5b-8dda-445fe0130732|Stasis Cocoon|{1}{W}|Enchantment - Aura|||Enchant artifact<br>Enchanted artifact can't attack or block, and its activated abilities can't be activated.<BR><a href="https://api.scryfall.com/cards/5b2ca75e-ccb0-4e5b-8dda-445fe0130732/rulings">Rulings</a>|Fifth Dawn|Common||Kev Walker|18|R$ 0.09 F$ 0.28<br>MID: 51607<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/5dn/18/stasis-cocoon?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=51607&printed=false">Gatherer</a>|51607|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/b/5b2ca75e-ccb0-4e5b-8dda-445fe0130732.jpg?1562877197}
db75b77f-a230-4bad-b697-a40687671842|Steelshaper's Gift|{W}|Sorcery|||Search your library for an Equipment card, reveal that card, put it into your hand, then shuffle.<BR><a href="https://api.scryfall.com/cards/db75b77f-a230-4bad-b697-a40687671842/rulings">Rulings</a>|Fifth Dawn|Uncommon||Greg Hildebrandt|19|R$ 7.23 F$ 36.29<br>MID: 51078<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/5dn/19/steelshapers-gift?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=51078&printed=false">Gatherer</a>|51078|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/b/db75b77f-a230-4bad-b697-a40687671842.jpg?1562880152}
27bae717-56c0-4028-b1e7-a445d6a57176|Vanquish|{2}{W}|Instant|||Destroy target blocking creature.<BR><a href="https://api.scryfall.com/cards/27bae717-56c0-4028-b1e7-a445d6a57176/rulings">Rulings</a>|Fifth Dawn|Uncommon||Carl Critchlow|20|R$ 0.05 F$ 0.47<br>MID: 51147<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/5dn/20/vanquish?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=51147&printed=false">Gatherer</a>|51147|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/7/27bae717-56c0-4028-b1e7-a445d6a57176.jpg?1562875950}
993957c7-5d61-4c98-826d-b657aed667e1|Acquire|{3}{U}{U}|Sorcery|||Search target opponent's library for an artifact card and put that card onto the battlefield under your control. Then that player shuffles.<BR><a href="https://api.scryfall.com/cards/993957c7-5d61-4c98-826d-b657aed667e1/rulings">Rulings</a>|Fifth Dawn|Rare||Daren Bader|21|R$ 2.19 F$ 23.63<br>MID: 51088<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/5dn/21/acquire?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=51088&printed=false">Gatherer</a>|51088|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/9/993957c7-5d61-4c98-826d-b657aed667e1.jpg?1562878704}
7384d50a-5801-47ed-ab9f-5c7e4f1f20dd|Advanced Hoverguard|{3}{U}|Creature - Drone|2|2|Flying<br>{U}: This creature gains shroud until end of turn. (It can't be the target of spells or abilities.)<BR><a href="https://api.scryfall.com/cards/7384d50a-5801-47ed-ab9f-5c7e4f1f20dd/rulings">Rulings</a>|Fifth Dawn|Common||Scott M. Fischer|22|R$ 0.06 F$ 0.30<br>MID: 50144<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/5dn/22/advanced-hoverguard?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=50144&printed=false">Gatherer</a>|50144|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/3/7384d50a-5801-47ed-ab9f-5c7e4f1f20dd.jpg?1562877745}
abe37c88-afd7-45ac-9f84-f4bd881a1462|Artificer's Intuition|{1}{U}|Enchantment|||{U}, Discard an artifact card: Search your library for an artifact card with mana value 1 or less, reveal it, put it into your hand, then shuffle.<BR><a href="https://api.scryfall.com/cards/abe37c88-afd7-45ac-9f84-f4bd881a1462/rulings">Rulings</a>|Fifth Dawn|Rare||Wayne England|23|R$ 7.15 F$ 40.00<br>MID: 50172<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/5dn/23/artificers-intuition?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=50172&printed=false">Gatherer</a>|50172|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/b/abe37c88-afd7-45ac-9f84-f4bd881a1462.jpg?1562879087}
