ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|GATHERERID|TCGID|PROPERTIES
ecdb3a14-c5cc-4655-9b0c-e8be153413af|Animate Wall|{W}|Enchantment - Aura|||Enchant Wall<br>Enchanted Wall can attack as though it didn't have defender.<BR><a href="https://api.scryfall.com/cards/ecdb3a14-c5cc-4655-9b0c-e8be153413af/rulings">Rulings</a>|Classic Sixth Edition|Rare||Richard Kane Ferguson|1|R$ 0.40 <br>MID: 16428<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/6ed/1/animate-wall?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=16428&printed=false">Gatherer</a>|16428|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/c/ecdb3a14-c5cc-4655-9b0c-e8be153413af.jpg?1562824300}
2734c616-cb19-4ed6-af7f-fc077f299e6e|Archangel|{5}{W}{W}|Creature - Angel|5|5|Flying, vigilance<BR><a href="https://api.scryfall.com/cards/2734c616-cb19-4ed6-af7f-fc077f299e6e/rulings">Rulings</a>|Classic Sixth Edition|Rare||Quinton Hoover|2|R$ 1.45 <br>MID: 14493<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/6ed/2/archangel?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=14493&printed=false">Gatherer</a>|14493|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/7/2734c616-cb19-4ed6-af7f-fc077f299e6e.jpg?1562815738}
95608d51-9ec0-497c-a065-15adb7eff242|Ardent Militia|{4}{W}|Creature - Human Soldier|2|5|Vigilance<BR><a href="https://api.scryfall.com/cards/95608d51-9ec0-497c-a065-15adb7eff242/rulings">Rulings</a>|Classic Sixth Edition|Uncommon||Zina Saunders|3|R$ 0.18 <br>MID: 14489<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/6ed/3/ardent-militia?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=14489&printed=false">Gatherer</a>|14489|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/5/95608d51-9ec0-497c-a065-15adb7eff242.jpg?1562820573}
ccf3abe6-0b86-4010-8fc6-616af77b4ace|Armageddon|{3}{W}|Sorcery|||Destroy all lands.<BR><a href="https://api.scryfall.com/cards/ccf3abe6-0b86-4010-8fc6-616af77b4ace/rulings">Rulings</a>|Classic Sixth Edition|Rare||Rob Alexander|4|R$ 14.58 <br>MID: 14500<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/6ed/4/armageddon?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=14500&printed=false">Gatherer</a>|14500|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/c/ccf3abe6-0b86-4010-8fc6-616af77b4ace.jpg?1562822842}
ed1b462d-4b0f-40cf-89a0-17a3e1c8a0ba|Armored Pegasus|{1}{W}|Creature - Pegasus|1|2|Flying<BR><a href="https://api.scryfall.com/cards/ed1b462d-4b0f-40cf-89a0-17a3e1c8a0ba/rulings">Rulings</a>|Classic Sixth Edition|Common||Andrew Robinson|5|R$ 0.22 <br>MID: 14469<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/6ed/5/armored-pegasus?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=14469&printed=false">Gatherer</a>|14469|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/d/ed1b462d-4b0f-40cf-89a0-17a3e1c8a0ba.jpg?1562824316}
6a77e784-d7a8-4b92-8765-375ad70b929e|Castle|{3}{W}|Enchantment|||Untapped creatures you control get +0/+2.<BR><a href="https://api.scryfall.com/cards/6a77e784-d7a8-4b92-8765-375ad70b929e/rulings">Rulings</a>|Classic Sixth Edition|Uncommon||Dameon Willich|6|R$ 0.35 <br>MID: 14478<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/6ed/6/castle?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=14478&printed=false">Gatherer</a>|14478|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/a/6a77e784-d7a8-4b92-8765-375ad70b929e.jpg?1562818663}
3a51b3c5-7b4a-4ed3-be33-5b854c005b99|Celestial Dawn|{1}{W}{W}|Enchantment|||Lands you control are Plains.<br>Nonland permanents you control are white. The same is true for spells you control and nonland cards you own that aren't on the battlefield.<br>You may spend white mana as though it were mana of any color. You may spend other mana only as though it were colorless mana.<BR><a href="https://api.scryfall.com/cards/3a51b3c5-7b4a-4ed3-be33-5b854c005b99/rulings">Rulings</a>|Classic Sixth Edition|Rare||Liz Danforth|7|R$ 0.59 <br>MID: 15354<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/6ed/7/celestial-dawn?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=15354&printed=false">Gatherer</a>|15354|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/a/3a51b3c5-7b4a-4ed3-be33-5b854c005b99.jpg?1562816561}
605bbcc8-973b-4e06-8c33-7e444d03fcd8|Circle of Protection: Black|{1}{W}|Enchantment|||{1}: The next time a black source of your choice would deal damage to you this turn, prevent that damage.<BR><a href="https://api.scryfall.com/cards/605bbcc8-973b-4e06-8c33-7e444d03fcd8/rulings">Rulings</a>|Classic Sixth Edition|Common||Gerry Grace|8|R$ 0.10 <br>MID: 14457<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/6ed/8/circle-of-protection:-black?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=14457&printed=false">Gatherer</a>|14457|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/0/605bbcc8-973b-4e06-8c33-7e444d03fcd8.jpg?1562818208}
286368f3-65a6-4858-ac7f-edb06a741151|Circle of Protection: Blue|{1}{W}|Enchantment|||{1}: The next time a blue source of your choice would deal damage to you this turn, prevent that damage.<BR><a href="https://api.scryfall.com/cards/286368f3-65a6-4858-ac7f-edb06a741151/rulings">Rulings</a>|Classic Sixth Edition|Common||Gerry Grace|9|R$ 0.13 <br>MID: 14456<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/6ed/9/circle-of-protection:-blue?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=14456&printed=false">Gatherer</a>|14456|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/8/286368f3-65a6-4858-ac7f-edb06a741151.jpg?1562815801}
a3187cbd-7925-467b-a745-a0050045900b|Circle of Protection: Green|{1}{W}|Enchantment|||{1}: The next time a green source of your choice would deal damage to you this turn, prevent that damage.<BR><a href="https://api.scryfall.com/cards/a3187cbd-7925-467b-a745-a0050045900b/rulings">Rulings</a>|Classic Sixth Edition|Common||Gerry Grace|10|R$ 0.13 <br>MID: 14459<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/6ed/10/circle-of-protection:-green?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=14459&printed=false">Gatherer</a>|14459|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/3/a3187cbd-7925-467b-a745-a0050045900b.jpg?1562821136}
