ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
969860ba-6923-4715-b065-81803bba3dd6|Act of Heroism|{1}{W}|Instant|||Untap target creature. It gets +2/+2 until end of turn and can block an additional creature this turn.|Masters 25|Common||Magali Villeneuve|1|MID: 441990<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/a25/1/act-of-heroism?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=441990&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/6/969860ba-6923-4715-b065-81803bba3dd6.jpg?1562438567, GATHERERID=441990}
ce9049ad-2bcd-4b5e-b09c-06424cf76cdc|Akroma, Angel of Wrath|{5}{W}{W}{W}|Legendary Creature - Angel|6|6|Flying, first strike, vigilance, trample, haste, protection from black and from red|Masters 25|Mythic||Terese Nielsen|2|MID: 441991<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/a25/2/akroma-angel-of-wrath?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=441991&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/e/ce9049ad-2bcd-4b5e-b09c-06424cf76cdc.jpg?1562441188, GATHERERID=441991}
83ea781d-0aa1-4ccc-a48b-d4af7e5dfdd5|Akroma's Vengeance|{4}{W}{W}|Sorcery|||Destroy all artifacts, creatures, and enchantments.<br>Cycling {3} ({3}, Discard this card: Draw a card.)|Masters 25|Rare||Aleksi Briclot|3|MID: 441992<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/a25/3/akromas-vengeance?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=441992&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/3/83ea781d-0aa1-4ccc-a48b-d4af7e5dfdd5.jpg?1562437577, GATHERERID=441992}
5a5022ca-9b8b-4d54-a4fa-706690b535d4|Angelic Page|{1}{W}|Creature - Angel Spirit|1|1|Flying<br>{T}: Target attacking or blocking creature gets +1/+1 until end of turn.|Masters 25|Uncommon||Chris Rahn|4|MID: 441993<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/a25/4/angelic-page?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=441993&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/a/5a5022ca-9b8b-4d54-a4fa-706690b535d4.jpg?1562435940, GATHERERID=441993}
77f1f6ac-983f-4f3e-8906-47f774e8367b|Armageddon|{3}{W}|Sorcery|||Destroy all lands.|Masters 25|Mythic||Chris Rahn|5|MID: 441994<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/a25/5/armageddon?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=441994&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/7/77f1f6ac-983f-4f3e-8906-47f774e8367b.jpg?1582021719, GATHERERID=441994}
3f05fde4-a866-459c-9a24-2884116ab647|Auramancer|{2}{W}|Creature - Human Wizard|2|2|When this creature enters, you may return target enchantment card from your graveyard to your hand.|Masters 25|Common||Rebecca Guay|6|MID: 441995<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/a25/6/auramancer?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=441995&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/f/3f05fde4-a866-459c-9a24-2884116ab647.jpg?1562434949, GATHERERID=441995}
12b1e18f-f781-498c-ba84-cdee49c24230|Cloudshift|{W}|Instant|||Exile target creature you control, then return that card to the battlefield under your control.|Masters 25|Common||Howard Lyon|7|MID: 441996<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/a25/7/cloudshift?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=441996&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/2/12b1e18f-f781-498c-ba84-cdee49c24230.jpg?1562432975, GATHERERID=441996}
8690166f-be52-48c4-9877-630b3f3dc614|Congregate|{3}{W}|Instant|||Target player gains 2 life for each creature on the battlefield.|Masters 25|Uncommon||Mark Zug|8|MID: 441997<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/a25/8/congregate?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=441997&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/6/8690166f-be52-48c4-9877-630b3f3dc614.jpg?1562437633, GATHERERID=441997}
ed5f96a4-55e0-4ae3-bd78-f01703649e9d|Darien, King of Kjeldor|{4}{W}{W}|Legendary Creature - Human Soldier|3|3|Whenever you're dealt damage, you may create that many 1/1 white Soldier creature tokens.|Masters 25|Rare||Michael Phillippi|9|MID: 441998<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/a25/9/darien-king-of-kjeldor?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=441998&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/d/ed5f96a4-55e0-4ae3-bd78-f01703649e9d.jpg?1562442656, GATHERERID=441998}
5b49b72c-16dc-45c7-ba76-545c4dec42d9|Dauntless Cathar|{2}{W}|Creature - Human Soldier|3|2|{1}{W}, Exile this card from your graveyard: Create a 1/1 white Spirit creature token with flying. Activate only as a sorcery.|Masters 25|Common||Zack Stella|10|MID: 441999<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/a25/10/dauntless-cathar?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=441999&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/b/5b49b72c-16dc-45c7-ba76-545c4dec42d9.jpg?1562435954, GATHERERID=441999}
