ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|GATHERERID|TCGID|PROPERTIES
8c9efd78-ff27-4cb8-9f4c-1338f9618864|Lurking Green Dragon // Lurking Green Dragon||Card|||<BR><a href="https://api.scryfall.com/cards/8c9efd78-ff27-4cb8-9f4c-1338f9618864/rulings">Rulings</a>|Battle for Baldur's Gate Art Series|Common||Caio Monteiro|1|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/aclb/1/lurking-green-dragon-lurking-green-dragon?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/c/8c9efd78-ff27-4cb8-9f4c-1338f9618864.jpg?1679944269, FLIPID=-8c9efd78-ff27-4cb8-9f4c-1338f9618864}
-8c9efd78-ff27-4cb8-9f4c-1338f9618864|Lurking Green Dragon // Lurking Green Dragon (art_series)||Card|||<BR><a href="https://api.scryfall.com/cards/8c9efd78-ff27-4cb8-9f4c-1338f9618864/rulings">Rulings</a>|Battle for Baldur's Gate Art Series|Common||Caio Monteiro|1b|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/aclb/1/lurking-green-dragon-lurking-green-dragon?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/back/8/c/8c9efd78-ff27-4cb8-9f4c-1338f9618864.jpg?1679944269, FLIPID=8c9efd78-ff27-4cb8-9f4c-1338f9618864}
afe74dad-4322-4272-a331-21073065504b|Ancient Brass Dragon // Ancient Brass Dragon||Card|||<BR><a href="https://api.scryfall.com/cards/afe74dad-4322-4272-a331-21073065504b/rulings">Rulings</a>|Battle for Baldur's Gate Art Series|Common||Raoul Vitale|2|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/aclb/2/ancient-brass-dragon-ancient-brass-dragon?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/f/afe74dad-4322-4272-a331-21073065504b.jpg?1679944287, FLIPID=-afe74dad-4322-4272-a331-21073065504b}
-afe74dad-4322-4272-a331-21073065504b|Ancient Brass Dragon // Ancient Brass Dragon (art_series)||Card|||<BR><a href="https://api.scryfall.com/cards/afe74dad-4322-4272-a331-21073065504b/rulings">Rulings</a>|Battle for Baldur's Gate Art Series|Common||Raoul Vitale|2b|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/aclb/2/ancient-brass-dragon-ancient-brass-dragon?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/back/a/f/afe74dad-4322-4272-a331-21073065504b.jpg?1679944287, FLIPID=afe74dad-4322-4272-a331-21073065504b}
09519f84-1608-46fa-9a9b-767d30991e2e|Ancient Bronze Dragon // Ancient Bronze Dragon||Card|||<BR><a href="https://api.scryfall.com/cards/09519f84-1608-46fa-9a9b-767d30991e2e/rulings">Rulings</a>|Battle for Baldur's Gate Art Series|Common||Raoul Vitale|3|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/aclb/3/ancient-bronze-dragon-ancient-bronze-dragon?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/9/09519f84-1608-46fa-9a9b-767d30991e2e.jpg?1679944305, FLIPID=-09519f84-1608-46fa-9a9b-767d30991e2e}
-09519f84-1608-46fa-9a9b-767d30991e2e|Ancient Bronze Dragon // Ancient Bronze Dragon (art_series)||Card|||<BR><a href="https://api.scryfall.com/cards/09519f84-1608-46fa-9a9b-767d30991e2e/rulings">Rulings</a>|Battle for Baldur's Gate Art Series|Common||Raoul Vitale|3b|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/aclb/3/ancient-bronze-dragon-ancient-bronze-dragon?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/back/0/9/09519f84-1608-46fa-9a9b-767d30991e2e.jpg?1679944305, FLIPID=09519f84-1608-46fa-9a9b-767d30991e2e}
8622571b-9c19-4d5d-bf75-177254d3c00a|Ancient Copper Dragon // Ancient Copper Dragon||Card|||<BR><a href="https://api.scryfall.com/cards/8622571b-9c19-4d5d-bf75-177254d3c00a/rulings">Rulings</a>|Battle for Baldur's Gate Art Series|Common||Johan Grenier|4|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/aclb/4/ancient-copper-dragon-ancient-copper-dragon?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/6/8622571b-9c19-4d5d-bf75-177254d3c00a.jpg?1679944322, FLIPID=-8622571b-9c19-4d5d-bf75-177254d3c00a}
-8622571b-9c19-4d5d-bf75-177254d3c00a|Ancient Copper Dragon // Ancient Copper Dragon (art_series)||Card|||<BR><a href="https://api.scryfall.com/cards/8622571b-9c19-4d5d-bf75-177254d3c00a/rulings">Rulings</a>|Battle for Baldur's Gate Art Series|Common||Johan Grenier|4b|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/aclb/4/ancient-copper-dragon-ancient-copper-dragon?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/back/8/6/8622571b-9c19-4d5d-bf75-177254d3c00a.jpg?1679944322, FLIPID=8622571b-9c19-4d5d-bf75-177254d3c00a}
bb114b8e-796d-4f3f-ab35-44a57fa4342f|Ancient Gold Dragon // Ancient Gold Dragon||Card|||<BR><a href="https://api.scryfall.com/cards/bb114b8e-796d-4f3f-ab35-44a57fa4342f/rulings">Rulings</a>|Battle for Baldur's Gate Art Series|Common||Todd Lockwood|5|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/aclb/5/ancient-gold-dragon-ancient-gold-dragon?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/b/bb114b8e-796d-4f3f-ab35-44a57fa4342f.jpg?1679944340, FLIPID=-bb114b8e-796d-4f3f-ab35-44a57fa4342f}
-bb114b8e-796d-4f3f-ab35-44a57fa4342f|Ancient Gold Dragon // Ancient Gold Dragon (art_series)||Card|||<BR><a href="https://api.scryfall.com/cards/bb114b8e-796d-4f3f-ab35-44a57fa4342f/rulings">Rulings</a>|Battle for Baldur's Gate Art Series|Common||Todd Lockwood|5b|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/aclb/5/ancient-gold-dragon-ancient-gold-dragon?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/back/b/b/bb114b8e-796d-4f3f-ab35-44a57fa4342f.jpg?1679944340, FLIPID=bb114b8e-796d-4f3f-ab35-44a57fa4342f}
