ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|GATHERERID|TCGID|PROPERTIES
bf013740-7767-4bfb-93f2-1d4daef66232|Mendicant Core, Guidelight // Mendicant Core, Guidelight||Card|||<BR><a href="https://api.scryfall.com/cards/bf013740-7767-4bfb-93f2-1d4daef66232/rulings">Rulings</a>|Aetherdrift Art Series|Common||Dan Mumford|1|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/adft/1/mendicant-core-guidelight-mendicant-core-guidelight?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/f/bf013740-7767-4bfb-93f2-1d4daef66232.jpg?1738358350, FLIPID=-bf013740-7767-4bfb-93f2-1d4daef66232}
-bf013740-7767-4bfb-93f2-1d4daef66232|Mendicant Core, Guidelight // Mendicant Core, Guidelight (art_series)||Card|||<BR><a href="https://api.scryfall.com/cards/bf013740-7767-4bfb-93f2-1d4daef66232/rulings">Rulings</a>|Aetherdrift Art Series|Common||Dan Mumford|1b|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/adft/1/mendicant-core-guidelight-mendicant-core-guidelight?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/back/b/f/bf013740-7767-4bfb-93f2-1d4daef66232.jpg?1738358350, FLIPID=bf013740-7767-4bfb-93f2-1d4daef66232}
4d919d14-03d9-4de7-a62c-2e690f982ac9|Far Fortune, End Boss // Far Fortune, End Boss||Card|||<BR><a href="https://api.scryfall.com/cards/4d919d14-03d9-4de7-a62c-2e690f982ac9/rulings">Rulings</a>|Aetherdrift Art Series|Common||Justine Jones|2|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/adft/2/far-fortune-end-boss-far-fortune-end-boss?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/d/4d919d14-03d9-4de7-a62c-2e690f982ac9.jpg?1738358354, FLIPID=-4d919d14-03d9-4de7-a62c-2e690f982ac9}
-4d919d14-03d9-4de7-a62c-2e690f982ac9|Far Fortune, End Boss // Far Fortune, End Boss (art_series)||Card|||<BR><a href="https://api.scryfall.com/cards/4d919d14-03d9-4de7-a62c-2e690f982ac9/rulings">Rulings</a>|Aetherdrift Art Series|Common||Justine Jones|2b|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/adft/2/far-fortune-end-boss-far-fortune-end-boss?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/back/4/d/4d919d14-03d9-4de7-a62c-2e690f982ac9.jpg?1738358354, FLIPID=4d919d14-03d9-4de7-a62c-2e690f982ac9}
b51c4255-adba-4aad-a0b5-3a3946d34cc9|Caradora, Heart of Alacria // Caradora, Heart of Alacria||Card|||<BR><a href="https://api.scryfall.com/cards/b51c4255-adba-4aad-a0b5-3a3946d34cc9/rulings">Rulings</a>|Aetherdrift Art Series|Common||Yuko Shimizu|3|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/adft/3/caradora-heart-of-alacria-caradora-heart-of-alacria?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/5/b51c4255-adba-4aad-a0b5-3a3946d34cc9.jpg?1738358363, FLIPID=-b51c4255-adba-4aad-a0b5-3a3946d34cc9}
-b51c4255-adba-4aad-a0b5-3a3946d34cc9|Caradora, Heart of Alacria // Caradora, Heart of Alacria (art_series)||Card|||<BR><a href="https://api.scryfall.com/cards/b51c4255-adba-4aad-a0b5-3a3946d34cc9/rulings">Rulings</a>|Aetherdrift Art Series|Common||Yuko Shimizu|3b|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/adft/3/caradora-heart-of-alacria-caradora-heart-of-alacria?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/back/b/5/b51c4255-adba-4aad-a0b5-3a3946d34cc9.jpg?1738358363, FLIPID=b51c4255-adba-4aad-a0b5-3a3946d34cc9}
026c587b-5f65-4aa4-8689-1c84dccf49b5|Captain Howler, Sea Scourge // Captain Howler, Sea Scourge||Card|||<BR><a href="https://api.scryfall.com/cards/026c587b-5f65-4aa4-8689-1c84dccf49b5/rulings">Rulings</a>|Aetherdrift Art Series|Common||Mark Zug|4|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/adft/4/captain-howler-sea-scourge-captain-howler-sea-scourge?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/2/026c587b-5f65-4aa4-8689-1c84dccf49b5.jpg?1738358365, FLIPID=-026c587b-5f65-4aa4-8689-1c84dccf49b5}
-026c587b-5f65-4aa4-8689-1c84dccf49b5|Captain Howler, Sea Scourge // Captain Howler, Sea Scourge (art_series)||Card|||<BR><a href="https://api.scryfall.com/cards/026c587b-5f65-4aa4-8689-1c84dccf49b5/rulings">Rulings</a>|Aetherdrift Art Series|Common||Mark Zug|4b|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/adft/4/captain-howler-sea-scourge-captain-howler-sea-scourge?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/back/0/2/026c587b-5f65-4aa4-8689-1c84dccf49b5.jpg?1738358365, FLIPID=026c587b-5f65-4aa4-8689-1c84dccf49b5}
8ff581fc-f702-4b3f-a752-c340a2711a17|Start Your Engines! // Start Your Engines!||Card|||<BR><a href="https://api.scryfall.com/cards/8ff581fc-f702-4b3f-a752-c340a2711a17/rulings">Rulings</a>|Aetherdrift Art Series|Common||Josiah "Jo" Cameron|5|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/adft/5/start-your-engines!-start-your-engines!?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/f/8ff581fc-f702-4b3f-a752-c340a2711a17.jpg?1738358375, FLIPID=-8ff581fc-f702-4b3f-a752-c340a2711a17}
-8ff581fc-f702-4b3f-a752-c340a2711a17|Start Your Engines! // Start Your Engines! (art_series)||Card|||<BR><a href="https://api.scryfall.com/cards/8ff581fc-f702-4b3f-a752-c340a2711a17/rulings">Rulings</a>|Aetherdrift Art Series|Common||Josiah "Jo" Cameron|5b|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/adft/5/start-your-engines!-start-your-engines!?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/back/8/f/8ff581fc-f702-4b3f-a752-c340a2711a17.jpg?1738358375, FLIPID=8ff581fc-f702-4b3f-a752-c340a2711a17}
dbd2e500-27f6-4da0-810a-3bae98e62424|Aatchik, Emerald Radian // Aatchik, Emerald Radian||Card|||<BR><a href="https://api.scryfall.com/cards/dbd2e500-27f6-4da0-810a-3bae98e62424/rulings">Rulings</a>|Aetherdrift Art Series|Common||Erica Williams|6|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/adft/6/aatchik-emerald-radian-aatchik-emerald-radian?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/b/dbd2e500-27f6-4da0-810a-3bae98e62424.jpg?1738358377, FLIPID=-dbd2e500-27f6-4da0-810a-3bae98e62424}
-dbd2e500-27f6-4da0-810a-3bae98e62424|Aatchik, Emerald Radian // Aatchik, Emerald Radian (art_series)||Card|||<BR><a href="https://api.scryfall.com/cards/dbd2e500-27f6-4da0-810a-3bae98e62424/rulings">Rulings</a>|Aetherdrift Art Series|Common||Erica Williams|6b|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/adft/6/aatchik-emerald-radian-aatchik-emerald-radian?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/back/d/b/dbd2e500-27f6-4da0-810a-3bae98e62424.jpg?1738358377, FLIPID=dbd2e500-27f6-4da0-810a-3bae98e62424}
a3fc1996-8763-4ec9-a4ef-58b4b46b324c|Winter, Cursed Rider // Winter, Cursed Rider||Card|||<BR><a href="https://api.scryfall.com/cards/a3fc1996-8763-4ec9-a4ef-58b4b46b324c/rulings">Rulings</a>|Aetherdrift Art Series|Common||Ovidio Cartagena|7|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/adft/7/winter-cursed-rider-winter-cursed-rider?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/3/a3fc1996-8763-4ec9-a4ef-58b4b46b324c.jpg?1738358388, FLIPID=-a3fc1996-8763-4ec9-a4ef-58b4b46b324c}
-a3fc1996-8763-4ec9-a4ef-58b4b46b324c|Winter, Cursed Rider // Winter, Cursed Rider (art_series)||Card|||<BR><a href="https://api.scryfall.com/cards/a3fc1996-8763-4ec9-a4ef-58b4b46b324c/rulings">Rulings</a>|Aetherdrift Art Series|Common||Ovidio Cartagena|7b|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/adft/7/winter-cursed-rider-winter-cursed-rider?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/back/a/3/a3fc1996-8763-4ec9-a4ef-58b4b46b324c.jpg?1738358388, FLIPID=a3fc1996-8763-4ec9-a4ef-58b4b46b324c}
69614fb1-97b7-44dc-b434-dfc31d285770|Vnwxt, Verbose Host // Vnwxt, Verbose Host||Card|||<BR><a href="https://api.scryfall.com/cards/69614fb1-97b7-44dc-b434-dfc31d285770/rulings">Rulings</a>|Aetherdrift Art Series|Common||Chris Seaman|8|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/adft/8/vnwxt-verbose-host-vnwxt-verbose-host?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/9/69614fb1-97b7-44dc-b434-dfc31d285770.jpg?1738358389, FLIPID=-69614fb1-97b7-44dc-b434-dfc31d285770}
-69614fb1-97b7-44dc-b434-dfc31d285770|Vnwxt, Verbose Host // Vnwxt, Verbose Host (art_series)||Card|||<BR><a href="https://api.scryfall.com/cards/69614fb1-97b7-44dc-b434-dfc31d285770/rulings">Rulings</a>|Aetherdrift Art Series|Common||Chris Seaman|8b|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/adft/8/vnwxt-verbose-host-vnwxt-verbose-host?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/back/6/9/69614fb1-97b7-44dc-b434-dfc31d285770.jpg?1738358389, FLIPID=69614fb1-97b7-44dc-b434-dfc31d285770}
17b1b8a6-c6ea-456a-9000-2dede1278116|Basri, Tomorrow's Champion // Basri, Tomorrow's Champion||Card|||<BR><a href="https://api.scryfall.com/cards/17b1b8a6-c6ea-456a-9000-2dede1278116/rulings">Rulings</a>|Aetherdrift Art Series|Common||Justyna Dura|9|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/adft/9/basri-tomorrows-champion-basri-tomorrows-champion?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/7/17b1b8a6-c6ea-456a-9000-2dede1278116.jpg?1744159976, FLIPID=-17b1b8a6-c6ea-456a-9000-2dede1278116}
-17b1b8a6-c6ea-456a-9000-2dede1278116|Basri, Tomorrow's Champion // Basri, Tomorrow's Champion (art_series)||Card|||<BR><a href="https://api.scryfall.com/cards/17b1b8a6-c6ea-456a-9000-2dede1278116/rulings">Rulings</a>|Aetherdrift Art Series|Common||Justyna Dura|9b|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/adft/9/basri-tomorrows-champion-basri-tomorrows-champion?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/back/1/7/17b1b8a6-c6ea-456a-9000-2dede1278116.jpg?1744159976, FLIPID=17b1b8a6-c6ea-456a-9000-2dede1278116}
58db73ad-8c05-4f17-ba72-23be4ce0e1c0|Zahur, Glory's Past // Zahur, Glory's Past||Card|||<BR><a href="https://api.scryfall.com/cards/58db73ad-8c05-4f17-ba72-23be4ce0e1c0/rulings">Rulings</a>|Aetherdrift Art Series|Common||Leroy Steinmann|10|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/adft/10/zahur-glorys-past-zahur-glorys-past?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/8/58db73ad-8c05-4f17-ba72-23be4ce0e1c0.jpg?1738358403, FLIPID=-58db73ad-8c05-4f17-ba72-23be4ce0e1c0}
-58db73ad-8c05-4f17-ba72-23be4ce0e1c0|Zahur, Glory's Past // Zahur, Glory's Past (art_series)||Card|||<BR><a href="https://api.scryfall.com/cards/58db73ad-8c05-4f17-ba72-23be4ce0e1c0/rulings">Rulings</a>|Aetherdrift Art Series|Common||Leroy Steinmann|10b|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/adft/10/zahur-glorys-past-zahur-glorys-past?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/back/5/8/58db73ad-8c05-4f17-ba72-23be4ce0e1c0.jpg?1738358403, FLIPID=58db73ad-8c05-4f17-ba72-23be4ce0e1c0}
dea221eb-5b28-472c-8e3f-f16ff80c4baa|Far Fortune, End Boss // Far Fortune, End Boss||Card|||<BR><a href="https://api.scryfall.com/cards/dea221eb-5b28-472c-8e3f-f16ff80c4baa/rulings">Rulings</a>|Aetherdrift Art Series|Common||Javier Charro|11|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/adft/11/far-fortune-end-boss-far-fortune-end-boss?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/e/dea221eb-5b28-472c-8e3f-f16ff80c4baa.jpg?1738358415, FLIPID=-dea221eb-5b28-472c-8e3f-f16ff80c4baa}
-dea221eb-5b28-472c-8e3f-f16ff80c4baa|Far Fortune, End Boss // Far Fortune, End Boss (art_series)||Card|||<BR><a href="https://api.scryfall.com/cards/dea221eb-5b28-472c-8e3f-f16ff80c4baa/rulings">Rulings</a>|Aetherdrift Art Series|Common||Javier Charro|11b|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/adft/11/far-fortune-end-boss-far-fortune-end-boss?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/back/d/e/dea221eb-5b28-472c-8e3f-f16ff80c4baa.jpg?1738358415, FLIPID=dea221eb-5b28-472c-8e3f-f16ff80c4baa}
6f8c9356-8c7d-4c20-8490-a2c3e717c42d|Mendicant Core, Guidelight // Mendicant Core, Guidelight||Card|||<BR><a href="https://api.scryfall.com/cards/6f8c9356-8c7d-4c20-8490-a2c3e717c42d/rulings">Rulings</a>|Aetherdrift Art Series|Common||Zezhou Chen|12|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/adft/12/mendicant-core-guidelight-mendicant-core-guidelight?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/f/6f8c9356-8c7d-4c20-8490-a2c3e717c42d.jpg?1738358416, FLIPID=-6f8c9356-8c7d-4c20-8490-a2c3e717c42d}
-6f8c9356-8c7d-4c20-8490-a2c3e717c42d|Mendicant Core, Guidelight // Mendicant Core, Guidelight (art_series)||Card|||<BR><a href="https://api.scryfall.com/cards/6f8c9356-8c7d-4c20-8490-a2c3e717c42d/rulings">Rulings</a>|Aetherdrift Art Series|Common||Zezhou Chen|12b|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/adft/12/mendicant-core-guidelight-mendicant-core-guidelight?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/back/6/f/6f8c9356-8c7d-4c20-8490-a2c3e717c42d.jpg?1738358416, FLIPID=6f8c9356-8c7d-4c20-8490-a2c3e717c42d}
e68d9973-00bf-48f6-ab2e-5f3eb1366fc8|Redshift, Rocketeer Chief // Redshift, Rocketeer Chief||Card|||<BR><a href="https://api.scryfall.com/cards/e68d9973-00bf-48f6-ab2e-5f3eb1366fc8/rulings">Rulings</a>|Aetherdrift Art Series|Common||Wayne Reynolds|13|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/adft/13/redshift-rocketeer-chief-redshift-rocketeer-chief?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/6/e68d9973-00bf-48f6-ab2e-5f3eb1366fc8.jpg?1738358429, FLIPID=-e68d9973-00bf-48f6-ab2e-5f3eb1366fc8}
-e68d9973-00bf-48f6-ab2e-5f3eb1366fc8|Redshift, Rocketeer Chief // Redshift, Rocketeer Chief (art_series)||Card|||<BR><a href="https://api.scryfall.com/cards/e68d9973-00bf-48f6-ab2e-5f3eb1366fc8/rulings">Rulings</a>|Aetherdrift Art Series|Common||Wayne Reynolds|13b|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/adft/13/redshift-rocketeer-chief-redshift-rocketeer-chief?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/back/e/6/e68d9973-00bf-48f6-ab2e-5f3eb1366fc8.jpg?1738358429, FLIPID=e68d9973-00bf-48f6-ab2e-5f3eb1366fc8}
bf9c32f9-820e-4f3b-803c-4b6945383d15|Caradora, Heart of Alacria // Caradora, Heart of Alacria||Card|||<BR><a href="https://api.scryfall.com/cards/bf9c32f9-820e-4f3b-803c-4b6945383d15/rulings">Rulings</a>|Aetherdrift Art Series|Common||Mirko Failoni|14|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/adft/14/caradora-heart-of-alacria-caradora-heart-of-alacria?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/f/bf9c32f9-820e-4f3b-803c-4b6945383d15.jpg?1738358432, FLIPID=-bf9c32f9-820e-4f3b-803c-4b6945383d15}
