ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
1efbea01-c6a1-4380-a14f-6206c7895e48|Galea, Kindler of Hope|{1}{G}{W}{U}|Legendary Creature - Elf Knight|4|4|Vigilance<br>You may look at the top card of your library any time.<br>You may cast Aura and Equipment spells from the top of your library. When you cast an Equipment spell this way, it gains "When this Equipment enters, attach it to target creature you control."|Forgotten Realms Commander|Mythic||Johannes Voss|1|MID: 531830<br>Finishes: foil:<br>https://scryfall.com/card/afc/1/galea-kindler-of-hope?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/e/1efbea01-c6a1-4380-a14f-6206c7895e48.jpg?1632335378}
d743336e-d5c7-4053-a23d-92ec7581f74e|Prosper, Tome-Bound|{2}{B}{R}|Legendary Creature - Tiefling Warlock|1|4|Deathtouch<br>Mystic Arcanum — At the beginning of your end step, exile the top card of your library. Until the end of your next turn, you may play that card.<br>Pact Boon — Whenever you play a card from exile, create a Treasure token.|Forgotten Realms Commander|Mythic||Yongjae Choi|2|MID: 531831<br>Finishes: foil:<br>https://scryfall.com/card/afc/2/prosper-tome-bound?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/7/d743336e-d5c7-4053-a23d-92ec7581f74e.jpg?1631839207}
d30255f6-e058-476a-b377-2ee4c9178ed1|Sefris of the Hidden Ways|{W}{U}{B}|Legendary Creature - Human Wizard|2|3|Whenever one or more creature cards are put into your graveyard from anywhere, venture into the dungeon. This ability triggers only once each turn. (To venture into the dungeon, enter the first room or advance to the next room.)<br>Create Undead — Whenever you complete a dungeon, return target creature card from your graveyard to the battlefield.|Forgotten Realms Commander|Mythic||Ryan Pancoast|3|MID: 531832<br>Finishes: foil:<br>https://scryfall.com/card/afc/3/sefris-of-the-hidden-ways?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/3/d30255f6-e058-476a-b377-2ee4c9178ed1.jpg?1632335385}
683ca7f0-e9df-459b-a8e3-cf80b39c732d|Vrondiss, Rage of Ancients|{3}{R}{G}|Legendary Creature - Dragon Barbarian|5|4|Enrage — Whenever Vrondiss is dealt damage, you may create a 5/4 red and green Dragon Spirit creature token with "When this token deals damage, sacrifice it."<br>Whenever you roll one or more dice, you may have Vrondiss deal 1 damage to itself.|Forgotten Realms Commander|Mythic||Svetlin Velinov|4|MID: 531833<br>Finishes: foil:<br>https://scryfall.com/card/afc/4/vrondiss-rage-of-ancients?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/8/683ca7f0-e9df-459b-a8e3-cf80b39c732d.jpg?1632335388}
ce2bfc76-04b4-46ed-b495-33221256afbb|Fey Steed|{2}{W}{W}|Creature - Elk|4|4|Whenever this creature attacks, another target attacking creature you control gains indestructible until end of turn.<br>Whenever a creature or planeswalker you control becomes the target of a spell or ability an opponent controls, you may draw a card.|Forgotten Realms Commander|Rare||Jonathan Kuo|5|MID: 531910<br>Finishes: nonfoil:<br>https://scryfall.com/card/afc/5/fey-steed?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/e/ce2bfc76-04b4-46ed-b495-33221256afbb.jpg?1631584629}
4d64d158-3477-4530-9596-2d4e4eceb11a|Holy Avenger|{2}{W}|Artifact - Equipment|||Equipped creature has double strike.<br>Whenever equipped creature deals combat damage, you may put an Aura card from your hand onto the battlefield attached to it.<br>Equip {2}{W}|Forgotten Realms Commander|Rare||Milivoj Ćeran|6|MID: 531911<br>Finishes: nonfoil:<br>https://scryfall.com/card/afc/6/holy-avenger?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/d/4d64d158-3477-4530-9596-2d4e4eceb11a.jpg?1631584650}
214c87be-7ce3-48a0-b2eb-26eff75636c9|Immovable Rod|{W}|Artifact|||You may choose not to untap this artifact during your untap step.<br>Whenever this artifact becomes untapped, venture into the dungeon.<br>{3}{W}, {T}: For as long as this artifact remains tapped, another target permanent loses all abilities and can't attack or block.|Forgotten Realms Commander|Rare||Jakub Kasper|7|MID: 531912<br>Finishes: nonfoil:<br>https://scryfall.com/card/afc/7/immovable-rod?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/1/214c87be-7ce3-48a0-b2eb-26eff75636c9.jpg?1631584673}
867124fc-c8e4-4e0e-be41-b74a6bb34e86|Mantle of the Ancients|{3}{W}{W}|Enchantment - Aura|||Enchant creature you control<br>When this Aura enters, return any number of target Aura and/or Equipment cards from your graveyard to the battlefield attached to enchanted creature.<br>Enchanted creature gets +1/+1 for each Aura and Equipment attached to it.|Forgotten Realms Commander|Rare||Denman Rooke|8|MID: 531913<br>Finishes: nonfoil:<br>https://scryfall.com/card/afc/8/mantle-of-the-ancients?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/6/867124fc-c8e4-4e0e-be41-b74a6bb34e86.jpg?1714677749}
fa0e443a-c479-40ab-9702-8beca3e5ab95|Radiant Solar|{5}{W}|Creature - Angel|3|6|Flying, lifelink<br>Whenever this creature or another nontoken creature you control enters, venture into the dungeon. (Enter the first room or advance to the next room.)<br>{W}, Discard this card: Venture into the dungeon and you gain 3 life.|Forgotten Realms Commander|Rare||Alexander Mokhov|9|MID: 531914<br>Finishes: nonfoil:<br>https://scryfall.com/card/afc/9/radiant-solar?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/a/fa0e443a-c479-40ab-9702-8beca3e5ab95.jpg?1631584716}
6d21fb27-e821-4ce1-8f34-fc5d6c69d779|Revivify|{2}{W}|Instant|||Roll a d20 and add the number of creature cards in your graveyard that were put there from the battlefield this turn.<br>1—14 &vert; Return all creature cards in your graveyard that were put there from the battlefield this turn to your hand.<br>15+ &vert; Return those cards from your graveyard to the battlefield.|Forgotten Realms Commander|Rare||Caio Monteiro|10|MID: 531915<br>Finishes: nonfoil:<br>https://scryfall.com/card/afc/10/revivify?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/d/6d21fb27-e821-4ce1-8f34-fc5d6c69d779.jpg?1631584737}
