ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|GATHERERID|TCGID|PROPERTIES
e882c9f9-bf30-46b6-bedc-379d2c80e5cb|+2 Mace|{1}{W}|Artifact - Equipment|||Equipped creature gets +2/+2.<br>Equip {3} ({3}: Attach to target creature you control. Equip only as a sorcery.)<BR><a href="https://api.scryfall.com/cards/e882c9f9-bf30-46b6-bedc-379d2c80e5cb/rulings">Rulings</a>|Adventures in the Forgotten Realms|Common||Jarel Threat|1|R$ 0.06 F$ 0.18<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/afr/1/+2-mace?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/8/e882c9f9-bf30-46b6-bedc-379d2c80e5cb.jpg?1627701221}
fc45c9d4-ecc7-4a9d-9efe-f4b7d697dd97|Arborea Pegasus|{3}{W}|Creature - Pegasus|2|3|Flying<br>When this creature enters, target creature gets +1/+1 and gains flying until end of turn.<BR><a href="https://api.scryfall.com/cards/fc45c9d4-ecc7-4a9d-9efe-f4b7d697dd97/rulings">Rulings</a>|Adventures in the Forgotten Realms|Common||Justyna Dura|2|R$ 0.08 F$ 0.09<br>MID: 527289<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/afr/2/arborea-pegasus?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=527289&printed=false">Gatherer</a>|527289|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/c/fc45c9d4-ecc7-4a9d-9efe-f4b7d697dd97.jpg?1627701260}
cc040492-7fb7-4fdb-aafe-8179e5f2b28c|Blink Dog|{2}{W}|Creature - Dog|1|1|Double strike<br>Teleport — {3}{W}: This creature phases out. (Treat it and anything attached to it as though they don't exist until your next turn.)<BR><a href="https://api.scryfall.com/cards/cc040492-7fb7-4fdb-aafe-8179e5f2b28c/rulings">Rulings</a>|Adventures in the Forgotten Realms|Uncommon||Oriana Menendez|3|R$ 0.10 F$ 0.23<br>MID: 527290<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/afr/3/blink-dog?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=527290&printed=false">Gatherer</a>|527290|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/c/cc040492-7fb7-4fdb-aafe-8179e5f2b28c.jpg?1627701285}
a1899bb1-dd8e-4437-8ea3-4ad637eabf2b|The Book of Exalted Deeds|{W}{W}{W}|Legendary Artifact|||At the beginning of your end step, if you gained 3 or more life this turn, create a 3/3 white Angel creature token with flying.<br>{W}{W}{W}, {T}, Exile The Book of Exalted Deeds: Put an enlightened counter on target Angel. It gains "You can't lose the game and your opponents can't win the game." Activate only as a sorcery.<BR><a href="https://api.scryfall.com/cards/a1899bb1-dd8e-4437-8ea3-4ad637eabf2b/rulings">Rulings</a>|Adventures in the Forgotten Realms|Mythic||Daniel Ljunggren|4|R$ 6.59 F$ 5.85<br>MID: 527291<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/afr/4/the-book-of-exalted-deeds?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=527291&printed=false">Gatherer</a>|527291|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/1/a1899bb1-dd8e-4437-8ea3-4ad637eabf2b.jpg?1632261616}
f2d68812-8862-4e34-a992-7d6bbadaf316|Celestial Unicorn|{2}{W}|Creature - Unicorn|3|2|Whenever you gain life, put a +1/+1 counter on this creature.<BR><a href="https://api.scryfall.com/cards/f2d68812-8862-4e34-a992-7d6bbadaf316/rulings">Rulings</a>|Adventures in the Forgotten Realms|Common||Johannes Voss|5|R$ 0.16 F$ 0.24<br>MID: 527292<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/afr/5/celestial-unicorn?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=527292&printed=false">Gatherer</a>|527292|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/2/f2d68812-8862-4e34-a992-7d6bbadaf316.jpg?1627701360}
47ce8b7e-d8e1-489a-a69e-99089eeb8739|Cleric Class|{W}|Enchantment - Class|||(Gain the next level as a sorcery to add its ability.)<br>If you would gain life, you gain that much life plus 1 instead.<br>{3}{W}: Level 2<br>Whenever you gain life, put a +1/+1 counter on target creature you control.<br>{4}{W}: Level 3<br>When this Class becomes level 3, return target creature card from your graveyard to the battlefield. You gain life equal to that creature's toughness.<BR><a href="https://api.scryfall.com/cards/47ce8b7e-d8e1-489a-a69e-99089eeb8739/rulings">Rulings</a>|Adventures in the Forgotten Realms|Uncommon||Alayna Danner|6|R$ 1.79 F$ 1.87<br>MID: 527293<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/afr/6/cleric-class?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=527293&printed=false">Gatherer</a>|527293|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/7/47ce8b7e-d8e1-489a-a69e-99089eeb8739.jpg?1663214150}
297bf274-d13d-4b75-b251-2d004b16b431|Cloister Gargoyle|{2}{W}|Artifact Creature - Gargoyle|0|4|When this creature enters, venture into the dungeon. (Enter the first room or advance to the next room.)<br>As long as you've completed a dungeon, this creature gets +3/+0 and has flying.<BR><a href="https://api.scryfall.com/cards/297bf274-d13d-4b75-b251-2d004b16b431/rulings">Rulings</a>|Adventures in the Forgotten Realms|Uncommon||Mark Zug|7|R$ 0.15 F$ 0.23<br>MID: 527294<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/afr/7/cloister-gargoyle?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=527294&printed=false">Gatherer</a>|527294|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/9/297bf274-d13d-4b75-b251-2d004b16b431.jpg?1627701438}
9c3d7824-1297-408c-a11f-0622cab9c4c3|Dancing Sword|{1}{W}|Artifact - Equipment|||Equipped creature gets +2/+1.<br>When equipped creature dies, you may have this Equipment become a 2/1 Construct artifact creature with flying and ward {1}. If you do, it isn't an Equipment.<br>Equip {1}<BR><a href="https://api.scryfall.com/cards/9c3d7824-1297-408c-a11f-0622cab9c4c3/rulings">Rulings</a>|Adventures in the Forgotten Realms|Rare||Wisnu Tan|8|R$ 0.12 F$ 0.30<br>MID: 527295<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/afr/8/dancing-sword?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=527295&printed=false">Gatherer</a>|527295|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/c/9c3d7824-1297-408c-a11f-0622cab9c4c3.jpg?1627701492}
c00856f7-fef5-4ba5-9079-59a81d452c82|Dawnbringer Cleric|{1}{W}|Creature - Human Cleric|1|3|When this creature enters, choose one —<br>• Cure Wounds — You gain 2 life.<br>• Dispel Magic — Destroy target enchantment.<br>• Gentle Repose — Exile target card from a graveyard.<BR><a href="https://api.scryfall.com/cards/c00856f7-fef5-4ba5-9079-59a81d452c82/rulings">Rulings</a>|Adventures in the Forgotten Realms|Common||Lie Setiawan|9|R$ 0.12 F$ 0.24<br>MID: 527296<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/afr/9/dawnbringer-cleric?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=527296&printed=false">Gatherer</a>|527296|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/0/c00856f7-fef5-4ba5-9079-59a81d452c82.jpg?1627701517}
53df7b80-71bf-4013-ad44-f76eae8ac81b|Delver's Torch|{1}{W}|Artifact - Equipment|||Equipped creature gets +1/+1.<br>Whenever equipped creature attacks, venture into the dungeon. (Enter the first room or advance to the next room.)<br>Equip {3} ({3}: Attach to target creature you control. Equip only as a sorcery.)<BR><a href="https://api.scryfall.com/cards/53df7b80-71bf-4013-ad44-f76eae8ac81b/rulings">Rulings</a>|Adventures in the Forgotten Realms|Common||Bram Sels|10|R$ 0.07 F$ 0.15<br>MID: 527297<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/afr/10/delvers-torch?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=527297&printed=false">Gatherer</a>|527297|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/3/53df7b80-71bf-4013-ad44-f76eae8ac81b.jpg?1627701548}
3620ed96-1d15-4942-b9e5-9f9a64b0cab4|Devoted Paladin|{4}{W}|Creature - Orc Knight|4|4|Beacon of Hope — When this creature enters, creatures you control get +1/+1 and gain vigilance until end of turn.<BR><a href="https://api.scryfall.com/cards/3620ed96-1d15-4942-b9e5-9f9a64b0cab4/rulings">Rulings</a>|Adventures in the Forgotten Realms|Common||Chris Rallis|11|R$ 0.05 F$ 0.14<br>MID: 527298<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/afr/11/devoted-paladin?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=527298&printed=false">Gatherer</a>|527298|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/6/3620ed96-1d15-4942-b9e5-9f9a64b0cab4.jpg?1627701579}
6b8d0852-4df3-4b29-830d-c6975265ef53|Divine Smite|{1}{W}|Instant|||Target creature or planeswalker an opponent controls phases out. If that permanent is black, exile it instead. (If it phases out, treat it and anything attached to it as though they don't exist until its controller's next turn.)<BR><a href="https://api.scryfall.com/cards/6b8d0852-4df3-4b29-830d-c6975265ef53/rulings">Rulings</a>|Adventures in the Forgotten Realms|Uncommon||Bryan Sola|12|R$ 0.06 F$ 0.13<br>MID: 527299<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/afr/12/divine-smite?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=527299&printed=false">Gatherer</a>|527299|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/b/6b8d0852-4df3-4b29-830d-c6975265ef53.jpg?1627701606}
