ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|GATHERERID|TCGID|PROPERTIES
ac2fc7e1-3e33-4e85-a7b1-376d7364db78|Odric, Lunarch Marshal // Odric, Lunarch Marshal||Card|||<BR><a href="https://api.scryfall.com/cards/ac2fc7e1-3e33-4e85-a7b1-376d7364db78/rulings">Rulings</a>|Innistrad Remastered Art Series|Common||Cynthia Sheppard|1|Finishes: nonfoil:foil:<br>Promos: stamped:<br><br><a href="https://scryfall.com/card/ainr/1/odric-lunarch-marshal-odric-lunarch-marshal?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/c/ac2fc7e1-3e33-4e85-a7b1-376d7364db78.jpg?1736470537, FLIPID=-ac2fc7e1-3e33-4e85-a7b1-376d7364db78}
-ac2fc7e1-3e33-4e85-a7b1-376d7364db78|Odric, Lunarch Marshal // Odric, Lunarch Marshal (art_series)||Card|||<BR><a href="https://api.scryfall.com/cards/ac2fc7e1-3e33-4e85-a7b1-376d7364db78/rulings">Rulings</a>|Innistrad Remastered Art Series|Common||Cynthia Sheppard|1b|Finishes: nonfoil:foil:<br>Promos: stamped:<br><br><a href="https://scryfall.com/card/ainr/1/odric-lunarch-marshal-odric-lunarch-marshal?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/back/a/c/ac2fc7e1-3e33-4e85-a7b1-376d7364db78.jpg?1736470537, FLIPID=ac2fc7e1-3e33-4e85-a7b1-376d7364db78}
56dffc4a-c361-4961-a497-f57d76265508|Thalia, Heretic Cathar // Thalia, Heretic Cathar||Card|||<BR><a href="https://api.scryfall.com/cards/56dffc4a-c361-4961-a497-f57d76265508/rulings">Rulings</a>|Innistrad Remastered Art Series|Common||Winona Nelson|2|Finishes: nonfoil:foil:<br>Promos: stamped:<br><br><a href="https://scryfall.com/card/ainr/2/thalia-heretic-cathar-thalia-heretic-cathar?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/6/56dffc4a-c361-4961-a497-f57d76265508.jpg?1736470540, FLIPID=-56dffc4a-c361-4961-a497-f57d76265508}
-56dffc4a-c361-4961-a497-f57d76265508|Thalia, Heretic Cathar // Thalia, Heretic Cathar (art_series)||Card|||<BR><a href="https://api.scryfall.com/cards/56dffc4a-c361-4961-a497-f57d76265508/rulings">Rulings</a>|Innistrad Remastered Art Series|Common||Winona Nelson|2b|Finishes: nonfoil:foil:<br>Promos: stamped:<br><br><a href="https://scryfall.com/card/ainr/2/thalia-heretic-cathar-thalia-heretic-cathar?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/back/5/6/56dffc4a-c361-4961-a497-f57d76265508.jpg?1736470540, FLIPID=56dffc4a-c361-4961-a497-f57d76265508}
e37a6777-6c93-4ea7-80e8-136326cb5e32|Thraben Inspector // Thraben Inspector||Card|||<BR><a href="https://api.scryfall.com/cards/e37a6777-6c93-4ea7-80e8-136326cb5e32/rulings">Rulings</a>|Innistrad Remastered Art Series|Common||Aurore Folny|3|Finishes: nonfoil:foil:<br>Promos: stamped:<br><br><a href="https://scryfall.com/card/ainr/3/thraben-inspector-thraben-inspector?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/3/e37a6777-6c93-4ea7-80e8-136326cb5e32.jpg?1736470546, FLIPID=-e37a6777-6c93-4ea7-80e8-136326cb5e32}
-e37a6777-6c93-4ea7-80e8-136326cb5e32|Thraben Inspector // Thraben Inspector (art_series)||Card|||<BR><a href="https://api.scryfall.com/cards/e37a6777-6c93-4ea7-80e8-136326cb5e32/rulings">Rulings</a>|Innistrad Remastered Art Series|Common||Aurore Folny|3b|Finishes: nonfoil:foil:<br>Promos: stamped:<br><br><a href="https://scryfall.com/card/ainr/3/thraben-inspector-thraben-inspector?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/back/e/3/e37a6777-6c93-4ea7-80e8-136326cb5e32.jpg?1736470546, FLIPID=e37a6777-6c93-4ea7-80e8-136326cb5e32}
ee5ef37c-6960-4396-9647-be61ac244c0e|Vanquish the Horde // Vanquish the Horde||Card|||<BR><a href="https://api.scryfall.com/cards/ee5ef37c-6960-4396-9647-be61ac244c0e/rulings">Rulings</a>|Innistrad Remastered Art Series|Common||Marta Nael|4|Finishes: nonfoil:foil:<br>Promos: stamped:<br><br><a href="https://scryfall.com/card/ainr/4/vanquish-the-horde-vanquish-the-horde?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/e/ee5ef37c-6960-4396-9647-be61ac244c0e.jpg?1736470550, FLIPID=-ee5ef37c-6960-4396-9647-be61ac244c0e}
-ee5ef37c-6960-4396-9647-be61ac244c0e|Vanquish the Horde // Vanquish the Horde (art_series)||Card|||<BR><a href="https://api.scryfall.com/cards/ee5ef37c-6960-4396-9647-be61ac244c0e/rulings">Rulings</a>|Innistrad Remastered Art Series|Common||Marta Nael|4b|Finishes: nonfoil:foil:<br>Promos: stamped:<br><br><a href="https://scryfall.com/card/ainr/4/vanquish-the-horde-vanquish-the-horde?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/back/e/e/ee5ef37c-6960-4396-9647-be61ac244c0e.jpg?1736470550, FLIPID=ee5ef37c-6960-4396-9647-be61ac244c0e}
e36fffeb-f7d1-4128-a6d8-6b20bfc29db4|Hullbreaker Horror // Hullbreaker Horror||Card|||<BR><a href="https://api.scryfall.com/cards/e36fffeb-f7d1-4128-a6d8-6b20bfc29db4/rulings">Rulings</a>|Innistrad Remastered Art Series|Common||Antonio José Manzanedo|5|Finishes: nonfoil:foil:<br>Promos: stamped:<br><br><a href="https://scryfall.com/card/ainr/5/hullbreaker-horror-hullbreaker-horror?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/3/e36fffeb-f7d1-4128-a6d8-6b20bfc29db4.jpg?1736470556, FLIPID=-e36fffeb-f7d1-4128-a6d8-6b20bfc29db4}
-e36fffeb-f7d1-4128-a6d8-6b20bfc29db4|Hullbreaker Horror // Hullbreaker Horror (art_series)||Card|||<BR><a href="https://api.scryfall.com/cards/e36fffeb-f7d1-4128-a6d8-6b20bfc29db4/rulings">Rulings</a>|Innistrad Remastered Art Series|Common||Antonio José Manzanedo|5b|Finishes: nonfoil:foil:<br>Promos: stamped:<br><br><a href="https://scryfall.com/card/ainr/5/hullbreaker-horror-hullbreaker-horror?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/back/e/3/e36fffeb-f7d1-4128-a6d8-6b20bfc29db4.jpg?1736470556, FLIPID=e36fffeb-f7d1-4128-a6d8-6b20bfc29db4}
