ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|GATHERERID|TCGID|PROPERTIES
66b1cbf0-1273-406a-bc99-ce20ce53e5aa|Angel of Sanctions|{3}{W}{W}|Creature - Angel|3|4|Flying<br>When this creature enters, you may exile target nonland permanent an opponent controls until this creature leaves the battlefield.<br>Embalm {5}{W} ({5}{W}, Exile this card from your graveyard: Create a token that's a copy of it, except it's a white Zombie Angel with no mana cost. Embalm only as a sorcery.)<BR><a href="https://api.scryfall.com/cards/66b1cbf0-1273-406a-bc99-ce20ce53e5aa/rulings">Rulings</a>|Amonkhet|Mythic||Min Yum|1|MID: 426703<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/akh/1/angel-of-sanctions?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=426703&printed=false">Gatherer</a>|426703|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/6/66b1cbf0-1273-406a-bc99-ce20ce53e5aa.jpg?1543674559}
9a52c265-6920-4929-ba0a-70da08df01f1|Anointed Procession|{3}{W}|Enchantment|||If an effect would create one or more tokens under your control, it creates twice that many of those tokens instead.<BR><a href="https://api.scryfall.com/cards/9a52c265-6920-4929-ba0a-70da08df01f1/rulings">Rulings</a>|Amonkhet|Rare||Victor Adame Minguez|2|MID: 426704<br>Finishes: nonfoil:foil:<br>StorySpotlight: true<br><br><a href="https://scryfall.com/card/akh/2/anointed-procession?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=426704&printed=false">Gatherer</a>|426704|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/a/9a52c265-6920-4929-ba0a-70da08df01f1.jpg?1543674565}
4f922231-bf41-47d3-8fa3-13b9baf4a0f3|Anointer Priest|{1}{W}|Creature - Human Cleric|1|3|Whenever a creature token you control enters, you gain 1 life.<br>Embalm {3}{W} ({3}{W}, Exile this card from your graveyard: Create a token that's a copy of it, except it's a white Zombie Human Cleric with no mana cost. Embalm only as a sorcery.)<BR><a href="https://api.scryfall.com/cards/4f922231-bf41-47d3-8fa3-13b9baf4a0f3/rulings">Rulings</a>|Amonkhet|Common||Lake Hurwitz|3|MID: 426705<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/akh/3/anointer-priest?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=426705&printed=false">Gatherer</a>|426705|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/f/4f922231-bf41-47d3-8fa3-13b9baf4a0f3.jpg?1543674572}
fdf59a6e-7708-45a1-884d-d12e9f7b9ed9|Approach of the Second Sun|{6}{W}|Sorcery|||If this spell was cast from your hand and you've cast another spell named Approach of the Second Sun this game, you win the game. Otherwise, put Approach of the Second Sun into its owner's library seventh from the top and you gain 7 life.<BR><a href="https://api.scryfall.com/cards/fdf59a6e-7708-45a1-884d-d12e9f7b9ed9/rulings">Rulings</a>|Amonkhet|Rare||Noah Bradley|4|MID: 426706<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/akh/4/approach-of-the-second-sun?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=426706&printed=false">Gatherer</a>|426706|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/d/fdf59a6e-7708-45a1-884d-d12e9f7b9ed9.jpg?1543674579}
403a50cc-fa16-42a4-b9f2-d8327e5d1bb6|Aven Mindcensor|{2}{W}|Creature - Bird Wizard|2|1|Flash<br>Flying<br>If an opponent would search a library, that player searches the top four cards of that library instead.<BR><a href="https://api.scryfall.com/cards/403a50cc-fa16-42a4-b9f2-d8327e5d1bb6/rulings">Rulings</a>|Amonkhet|Rare||Eric Deschamps|5|MID: 426707<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/akh/5/aven-mindcensor?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=426707&printed=false">Gatherer</a>|426707|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/0/403a50cc-fa16-42a4-b9f2-d8327e5d1bb6.jpg?1543674586}
fae54072-ae27-4aae-a2b7-71f4551934f6|Binding Mummy|{1}{W}|Creature - Zombie|2|2|Whenever another Zombie you control enters, you may tap target artifact or creature.<BR><a href="https://api.scryfall.com/cards/fae54072-ae27-4aae-a2b7-71f4551934f6/rulings">Rulings</a>|Amonkhet|Common||Shreya Shetty|6|MID: 426708<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/akh/6/binding-mummy?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=426708&printed=false">Gatherer</a>|426708|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/a/fae54072-ae27-4aae-a2b7-71f4551934f6.jpg?1543674592}
90eaf94e-85a7-4958-aa58-8e2fe44db58d|Cartouche of Solidarity|{W}|Enchantment - Aura Cartouche|||Enchant creature you control<br>When this Aura enters, create a 1/1 white Warrior creature token with vigilance.<br>Enchanted creature gets +1/+1 and has first strike. (It deals combat damage before creatures without first strike.)<BR><a href="https://api.scryfall.com/cards/90eaf94e-85a7-4958-aa58-8e2fe44db58d/rulings">Rulings</a>|Amonkhet|Common||Kieran Yanner|7|MID: 426709<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/akh/7/cartouche-of-solidarity?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=426709&printed=false">Gatherer</a>|426709|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/0/90eaf94e-85a7-4958-aa58-8e2fe44db58d.jpg?1543674599}
76ff0dd0-489e-4773-93f6-b77fc3b8ef2e|Cast Out|{3}{W}|Enchantment|||Flash<br>When this enchantment enters, exile target nonland permanent an opponent controls until this enchantment leaves the battlefield.<br>Cycling {W} ({W}, Discard this card: Draw a card.)<BR><a href="https://api.scryfall.com/cards/76ff0dd0-489e-4773-93f6-b77fc3b8ef2e/rulings">Rulings</a>|Amonkhet|Uncommon||Magali Villeneuve|8|MID: 426710<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/akh/8/cast-out?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=426710&printed=false">Gatherer</a>|426710|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/6/76ff0dd0-489e-4773-93f6-b77fc3b8ef2e.jpg?1543674606}
11cb3a5b-beee-4f53-a6b5-e9b5603546fa|Compulsory Rest|{1}{W}|Enchantment - Aura|||Enchant creature<br>Enchanted creature can't attack or block.<br>Enchanted creature has "{2}, Sacrifice this creature: You gain 2 life."<BR><a href="https://api.scryfall.com/cards/11cb3a5b-beee-4f53-a6b5-e9b5603546fa/rulings">Rulings</a>|Amonkhet|Common||Eric Deschamps|9|MID: 426711<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/akh/9/compulsory-rest?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=426711&printed=false">Gatherer</a>|426711|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/1/11cb3a5b-beee-4f53-a6b5-e9b5603546fa.jpg?1543674615}
d3677f10-b530-4606-b7c8-a72dd2131160|Devoted Crop-Mate|{2}{W}|Creature - Human Warrior|3|2|You may exert this creature as it attacks. When you do, return target creature card with mana value 2 or less from your graveyard to the battlefield. (An exerted creature won't untap during your next untap step.)<BR><a href="https://api.scryfall.com/cards/d3677f10-b530-4606-b7c8-a72dd2131160/rulings">Rulings</a>|Amonkhet|Uncommon||Zoltan Boros|10|MID: 426712<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/akh/10/devoted-crop-mate?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=426712&printed=false">Gatherer</a>|426712|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/3/d3677f10-b530-4606-b7c8-a72dd2131160.jpg?1543674623}
