ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
scry_278ae8fc-6028-492a-ad9e-e7cded8c59e8|Beskir Shieldmate // Beskir Shieldmate||Card||||Kaldheim Art Series|Common||Manuel Castañón|1|Finishes: nonfoil:foil:<br>https://scryfall.com/card/akhm/1/beskir-shieldmate-beskir-shieldmate?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/7/278ae8fc-6028-492a-ad9e-e7cded8c59e8.jpg?1678763960, FLIPID=-scry_278ae8fc-6028-492a-ad9e-e7cded8c59e8}
-scry_278ae8fc-6028-492a-ad9e-e7cded8c59e8|Beskir Shieldmate // Beskir Shieldmate (art_series)||Card||||Kaldheim Art Series|Common||Manuel Castañón|1b|Finishes: nonfoil:foil:<br>https://scryfall.com/card/akhm/1/beskir-shieldmate-beskir-shieldmate?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/back/2/7/278ae8fc-6028-492a-ad9e-e7cded8c59e8.jpg?1678763960, FLIPID=scry_278ae8fc-6028-492a-ad9e-e7cded8c59e8}
scry_557a845a-9de5-4022-93be-3aaef3bb8f5c|Halvar, God of Battle // Halvar, God of Battle||Card||||Kaldheim Art Series|Common||Lie Setiawan|2|Finishes: nonfoil:foil:<br>https://scryfall.com/card/akhm/2/halvar-god-of-battle-halvar-god-of-battle?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/5/557a845a-9de5-4022-93be-3aaef3bb8f5c.jpg?1678763981, FLIPID=-scry_557a845a-9de5-4022-93be-3aaef3bb8f5c}
-scry_557a845a-9de5-4022-93be-3aaef3bb8f5c|Halvar, God of Battle // Halvar, God of Battle (art_series)||Card||||Kaldheim Art Series|Common||Lie Setiawan|2b|Finishes: nonfoil:foil:<br>https://scryfall.com/card/akhm/2/halvar-god-of-battle-halvar-god-of-battle?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/back/5/5/557a845a-9de5-4022-93be-3aaef3bb8f5c.jpg?1678763981, FLIPID=scry_557a845a-9de5-4022-93be-3aaef3bb8f5c}
scry_dfa039da-1328-494e-849c-b2f92b7ca9fc|Reidane, God of the Worthy // Reidane, God of the Worthy||Card||||Kaldheim Art Series|Common||Jason Rainville|3|Finishes: nonfoil:foil:<br>https://scryfall.com/card/akhm/3/reidane-god-of-the-worthy-reidane-god-of-the-worthy?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/f/dfa039da-1328-494e-849c-b2f92b7ca9fc.jpg?1678764004, FLIPID=-scry_dfa039da-1328-494e-849c-b2f92b7ca9fc}
-scry_dfa039da-1328-494e-849c-b2f92b7ca9fc|Reidane, God of the Worthy // Reidane, God of the Worthy (art_series)||Card||||Kaldheim Art Series|Common||Jason Rainville|3b|Finishes: nonfoil:foil:<br>https://scryfall.com/card/akhm/3/reidane-god-of-the-worthy-reidane-god-of-the-worthy?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/back/d/f/dfa039da-1328-494e-849c-b2f92b7ca9fc.jpg?1678764004, FLIPID=scry_dfa039da-1328-494e-849c-b2f92b7ca9fc}
scry_08aed4a2-eb82-49e3-bbc7-3ec1793b339d|Resplendent Marshal // Resplendent Marshal||Card||||Kaldheim Art Series|Common||Ryan Pancoast|4|Finishes: nonfoil:foil:<br>https://scryfall.com/card/akhm/4/resplendent-marshal-resplendent-marshal?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/8/08aed4a2-eb82-49e3-bbc7-3ec1793b339d.jpg?1678764028, FLIPID=-scry_08aed4a2-eb82-49e3-bbc7-3ec1793b339d}
-scry_08aed4a2-eb82-49e3-bbc7-3ec1793b339d|Resplendent Marshal // Resplendent Marshal (art_series)||Card||||Kaldheim Art Series|Common||Ryan Pancoast|4b|Finishes: nonfoil:foil:<br>https://scryfall.com/card/akhm/4/resplendent-marshal-resplendent-marshal?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/back/0/8/08aed4a2-eb82-49e3-bbc7-3ec1793b339d.jpg?1678764028, FLIPID=scry_08aed4a2-eb82-49e3-bbc7-3ec1793b339d}
scry_a325d8d2-b37e-492c-aefc-98e87e5f89c0|Revitalize // Revitalize||Card||||Kaldheim Art Series|Common||Mathias Kollros|5|Finishes: nonfoil:foil:<br>https://scryfall.com/card/akhm/5/revitalize-revitalize?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/3/a325d8d2-b37e-492c-aefc-98e87e5f89c0.jpg?1678764050, FLIPID=-scry_a325d8d2-b37e-492c-aefc-98e87e5f89c0}
-scry_a325d8d2-b37e-492c-aefc-98e87e5f89c0|Revitalize // Revitalize (art_series)||Card||||Kaldheim Art Series|Common||Mathias Kollros|5b|Finishes: nonfoil:foil:<br>https://scryfall.com/card/akhm/5/revitalize-revitalize?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/back/a/3/a325d8d2-b37e-492c-aefc-98e87e5f89c0.jpg?1678764050, FLIPID=scry_a325d8d2-b37e-492c-aefc-98e87e5f89c0}
