ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|GATHERERID|TCGID|PROPERTIES
37799e29-ae53-462e-93a0-209e88c96a71|Boromir, Warden of the Tower // Boromir, Warden of the Tower||Card|||<BR><a href="https://api.scryfall.com/cards/37799e29-ae53-462e-93a0-209e88c96a71/rulings">Rulings</a>|Tales of Middle-earth Art Series|Common||Yigit Koroglu|1|Finishes: nonfoil:foil:<br>Promos: stamped:<br><br><a href="https://scryfall.com/card/altr/1/boromir-warden-of-the-tower-boromir-warden-of-the-tower?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/7/37799e29-ae53-462e-93a0-209e88c96a71.jpg?1686758883, FLIPID=-37799e29-ae53-462e-93a0-209e88c96a71}
-37799e29-ae53-462e-93a0-209e88c96a71|Boromir, Warden of the Tower // Boromir, Warden of the Tower (art_series)||Card|||<BR><a href="https://api.scryfall.com/cards/37799e29-ae53-462e-93a0-209e88c96a71/rulings">Rulings</a>|Tales of Middle-earth Art Series|Common||Yigit Koroglu|1b|Finishes: nonfoil:foil:<br>Promos: stamped:<br><br><a href="https://scryfall.com/card/altr/1/boromir-warden-of-the-tower-boromir-warden-of-the-tower?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/back/3/7/37799e29-ae53-462e-93a0-209e88c96a71.jpg?1686758883, FLIPID=37799e29-ae53-462e-93a0-209e88c96a71}
ba63cd57-36c6-481c-83a3-e01f77f114de|Fog on the Barrow-Downs // Fog on the Barrow-Downs||Card|||<BR><a href="https://api.scryfall.com/cards/ba63cd57-36c6-481c-83a3-e01f77f114de/rulings">Rulings</a>|Tales of Middle-earth Art Series|Common||Marco Gorlei|2|Finishes: nonfoil:foil:<br>Promos: stamped:<br><br><a href="https://scryfall.com/card/altr/2/fog-on-the-barrow-downs-fog-on-the-barrow-downs?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/a/ba63cd57-36c6-481c-83a3-e01f77f114de.jpg?1686758897, FLIPID=-ba63cd57-36c6-481c-83a3-e01f77f114de}
-ba63cd57-36c6-481c-83a3-e01f77f114de|Fog on the Barrow-Downs // Fog on the Barrow-Downs (art_series)||Card|||<BR><a href="https://api.scryfall.com/cards/ba63cd57-36c6-481c-83a3-e01f77f114de/rulings">Rulings</a>|Tales of Middle-earth Art Series|Common||Marco Gorlei|2b|Finishes: nonfoil:foil:<br>Promos: stamped:<br><br><a href="https://scryfall.com/card/altr/2/fog-on-the-barrow-downs-fog-on-the-barrow-downs?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/back/b/a/ba63cd57-36c6-481c-83a3-e01f77f114de.jpg?1686758897, FLIPID=ba63cd57-36c6-481c-83a3-e01f77f114de}
fea88ee7-5d5a-4e56-ac1c-05578379b22d|Gandalf the White // Gandalf the White||Card|||<BR><a href="https://api.scryfall.com/cards/fea88ee7-5d5a-4e56-ac1c-05578379b22d/rulings">Rulings</a>|Tales of Middle-earth Art Series|Common||Magali Villeneuve|3|Finishes: nonfoil:foil:<br>Promos: stamped:<br><br><a href="https://scryfall.com/card/altr/3/gandalf-the-white-gandalf-the-white?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/e/fea88ee7-5d5a-4e56-ac1c-05578379b22d.jpg?1686758911, FLIPID=-fea88ee7-5d5a-4e56-ac1c-05578379b22d}
-fea88ee7-5d5a-4e56-ac1c-05578379b22d|Gandalf the White // Gandalf the White (art_series)||Card|||<BR><a href="https://api.scryfall.com/cards/fea88ee7-5d5a-4e56-ac1c-05578379b22d/rulings">Rulings</a>|Tales of Middle-earth Art Series|Common||Magali Villeneuve|3b|Finishes: nonfoil:foil:<br>Promos: stamped:<br><br><a href="https://scryfall.com/card/altr/3/gandalf-the-white-gandalf-the-white?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/back/f/e/fea88ee7-5d5a-4e56-ac1c-05578379b22d.jpg?1686758911, FLIPID=fea88ee7-5d5a-4e56-ac1c-05578379b22d}
499c7a97-1ea6-4c43-96cb-d2c34e1d3304|Took Reaper // Took Reaper||Card|||<BR><a href="https://api.scryfall.com/cards/499c7a97-1ea6-4c43-96cb-d2c34e1d3304/rulings">Rulings</a>|Tales of Middle-earth Art Series|Common||Tatiana Veryayskaya|4|Finishes: nonfoil:foil:<br>Promos: stamped:<br><br><a href="https://scryfall.com/card/altr/4/took-reaper-took-reaper?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/9/499c7a97-1ea6-4c43-96cb-d2c34e1d3304.jpg?1686758924, FLIPID=-499c7a97-1ea6-4c43-96cb-d2c34e1d3304}
-499c7a97-1ea6-4c43-96cb-d2c34e1d3304|Took Reaper // Took Reaper (art_series)||Card|||<BR><a href="https://api.scryfall.com/cards/499c7a97-1ea6-4c43-96cb-d2c34e1d3304/rulings">Rulings</a>|Tales of Middle-earth Art Series|Common||Tatiana Veryayskaya|4b|Finishes: nonfoil:foil:<br>Promos: stamped:<br><br><a href="https://scryfall.com/card/altr/4/took-reaper-took-reaper?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/back/4/9/499c7a97-1ea6-4c43-96cb-d2c34e1d3304.jpg?1686758924, FLIPID=499c7a97-1ea6-4c43-96cb-d2c34e1d3304}
cb0108b9-781d-45bd-976b-a9b4c890c583|Gandalf, Friend of the Shire // Gandalf, Friend of the Shire||Card|||<BR><a href="https://api.scryfall.com/cards/cb0108b9-781d-45bd-976b-a9b4c890c583/rulings">Rulings</a>|Tales of Middle-earth Art Series|Common||Dmitry Burmak|5|Finishes: nonfoil:foil:<br>Promos: stamped:<br><br><a href="https://scryfall.com/card/altr/5/gandalf-friend-of-the-shire-gandalf-friend-of-the-shire?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/b/cb0108b9-781d-45bd-976b-a9b4c890c583.jpg?1686758937, FLIPID=-cb0108b9-781d-45bd-976b-a9b4c890c583}
-cb0108b9-781d-45bd-976b-a9b4c890c583|Gandalf, Friend of the Shire // Gandalf, Friend of the Shire (art_series)||Card|||<BR><a href="https://api.scryfall.com/cards/cb0108b9-781d-45bd-976b-a9b4c890c583/rulings">Rulings</a>|Tales of Middle-earth Art Series|Common||Dmitry Burmak|5b|Finishes: nonfoil:foil:<br>Promos: stamped:<br><br><a href="https://scryfall.com/card/altr/5/gandalf-friend-of-the-shire-gandalf-friend-of-the-shire?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/back/c/b/cb0108b9-781d-45bd-976b-a9b4c890c583.jpg?1686758937, FLIPID=cb0108b9-781d-45bd-976b-a9b4c890c583}
