ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
scry_8de2ff37-fdb7-4f77-9d48-e99afac9a79e|Chillerpillar // Chillerpillar||Card||||Modern Horizons Art Series|Common||Suzanne Helmigh|1|Finishes: nonfoil:<br>https://scryfall.com/card/amh1/1/chillerpillar-chillerpillar?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/d/8de2ff37-fdb7-4f77-9d48-e99afac9a79e.jpg?1572371199, FLIPID=-scry_8de2ff37-fdb7-4f77-9d48-e99afac9a79e}
-scry_8de2ff37-fdb7-4f77-9d48-e99afac9a79e|Chillerpillar // Chillerpillar (art_series)||Card||||Modern Horizons Art Series|Common||Suzanne Helmigh|1b|Finishes: nonfoil:<br>https://scryfall.com/card/amh1/1/chillerpillar-chillerpillar?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/back/8/d/8de2ff37-fdb7-4f77-9d48-e99afac9a79e.jpg?1572371199, FLIPID=scry_8de2ff37-fdb7-4f77-9d48-e99afac9a79e}
scry_dab2899e-0a3f-48ea-b521-2b526ba63c4d|Watcher for Tomorrow // Watcher for Tomorrow||Card||||Modern Horizons Art Series|Common||Tommy Arnold|2|Finishes: nonfoil:<br>https://scryfall.com/card/amh1/2/watcher-for-tomorrow-watcher-for-tomorrow?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/a/dab2899e-0a3f-48ea-b521-2b526ba63c4d.jpg?1572371223, FLIPID=-scry_dab2899e-0a3f-48ea-b521-2b526ba63c4d}
-scry_dab2899e-0a3f-48ea-b521-2b526ba63c4d|Watcher for Tomorrow // Watcher for Tomorrow (art_series)||Card||||Modern Horizons Art Series|Common||Tommy Arnold|2b|Finishes: nonfoil:<br>https://scryfall.com/card/amh1/2/watcher-for-tomorrow-watcher-for-tomorrow?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/back/d/a/dab2899e-0a3f-48ea-b521-2b526ba63c4d.jpg?1572371223, FLIPID=scry_dab2899e-0a3f-48ea-b521-2b526ba63c4d}
scry_a1344cfe-6ee6-44fc-b5fe-e7980a5143c6|Scour All Possibilities // Scour All Possibilities||Card||||Modern Horizons Art Series|Common||Mitchell Malloy|3|Finishes: nonfoil:<br>https://scryfall.com/card/amh1/3/scour-all-possibilities-scour-all-possibilities?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/1/a1344cfe-6ee6-44fc-b5fe-e7980a5143c6.jpg?1572371227, FLIPID=-scry_a1344cfe-6ee6-44fc-b5fe-e7980a5143c6}
-scry_a1344cfe-6ee6-44fc-b5fe-e7980a5143c6|Scour All Possibilities // Scour All Possibilities (art_series)||Card||||Modern Horizons Art Series|Common||Mitchell Malloy|3b|Finishes: nonfoil:<br>https://scryfall.com/card/amh1/3/scour-all-possibilities-scour-all-possibilities?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/back/a/1/a1344cfe-6ee6-44fc-b5fe-e7980a5143c6.jpg?1572371227, FLIPID=scry_a1344cfe-6ee6-44fc-b5fe-e7980a5143c6}
scry_eab36651-d758-4984-ac07-0ecea7e3a386|Bazaar Trademage // Bazaar Trademage||Card||||Modern Horizons Art Series|Common||Christopher Moeller|4|Finishes: nonfoil:<br>https://scryfall.com/card/amh1/4/bazaar-trademage-bazaar-trademage?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/a/eab36651-d758-4984-ac07-0ecea7e3a386.jpg?1572371231, FLIPID=-scry_eab36651-d758-4984-ac07-0ecea7e3a386}
-scry_eab36651-d758-4984-ac07-0ecea7e3a386|Bazaar Trademage // Bazaar Trademage (art_series)||Card||||Modern Horizons Art Series|Common||Christopher Moeller|4b|Finishes: nonfoil:<br>https://scryfall.com/card/amh1/4/bazaar-trademage-bazaar-trademage?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/back/e/a/eab36651-d758-4984-ac07-0ecea7e3a386.jpg?1572371231, FLIPID=scry_eab36651-d758-4984-ac07-0ecea7e3a386}
scry_a6ef520b-6a32-433e-b674-5d6584b12d34|Serra the Benevolent // Serra the Benevolent||Card||||Modern Horizons Art Series|Common||Magali Villeneuve|5|Finishes: nonfoil:<br>https://scryfall.com/card/amh1/5/serra-the-benevolent-serra-the-benevolent?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/6/a6ef520b-6a32-433e-b674-5d6584b12d34.jpg?1572371266, FLIPID=-scry_a6ef520b-6a32-433e-b674-5d6584b12d34}
-scry_a6ef520b-6a32-433e-b674-5d6584b12d34|Serra the Benevolent // Serra the Benevolent (art_series)||Card||||Modern Horizons Art Series|Common||Magali Villeneuve|5b|Finishes: nonfoil:<br>https://scryfall.com/card/amh1/5/serra-the-benevolent-serra-the-benevolent?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/back/a/6/a6ef520b-6a32-433e-b674-5d6584b12d34.jpg?1572371266, FLIPID=scry_a6ef520b-6a32-433e-b674-5d6584b12d34}
scry_409bbc0f-dd40-4de5-931b-a1eb2939dc8c|Wrenn and Six // Wrenn and Six||Card||||Modern Horizons Art Series|Common||Chase Stone|6|Finishes: nonfoil:<br>https://scryfall.com/card/amh1/6/wrenn-and-six-wrenn-and-six?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/0/409bbc0f-dd40-4de5-931b-a1eb2939dc8c.jpg?1572371270, FLIPID=-scry_409bbc0f-dd40-4de5-931b-a1eb2939dc8c}
