ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|GATHERERID|TCGID|PROPERTIES
bf4cce59-082e-43b4-ae5f-f15b73890a40|Archangel of Tithes // Archangel of Tithes||Card|||<BR><a href="https://api.scryfall.com/cards/bf4cce59-082e-43b4-ae5f-f15b73890a40/rulings">Rulings</a>|Outlaws of Thunder Junction Art Series|Common||Denys Tsiperko|1|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/aotj/1/archangel-of-tithes-archangel-of-tithes?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/f/bf4cce59-082e-43b4-ae5f-f15b73890a40.jpg?1714691065, FLIPID=-bf4cce59-082e-43b4-ae5f-f15b73890a40}
-bf4cce59-082e-43b4-ae5f-f15b73890a40|Archangel of Tithes // Archangel of Tithes (art_series)||Card|||<BR><a href="https://api.scryfall.com/cards/bf4cce59-082e-43b4-ae5f-f15b73890a40/rulings">Rulings</a>|Outlaws of Thunder Junction Art Series|Common||Denys Tsiperko|1b|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/aotj/1/archangel-of-tithes-archangel-of-tithes?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/back/b/f/bf4cce59-082e-43b4-ae5f-f15b73890a40.jpg?1714691065, FLIPID=bf4cce59-082e-43b4-ae5f-f15b73890a40}
1fbbee0a-afee-43ac-a156-8faa748435c7|Frontier Seeker // Frontier Seeker||Card|||<BR><a href="https://api.scryfall.com/cards/1fbbee0a-afee-43ac-a156-8faa748435c7/rulings">Rulings</a>|Outlaws of Thunder Junction Art Series|Common||Raluca Marinescu|2|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/aotj/2/frontier-seeker-frontier-seeker?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/f/1fbbee0a-afee-43ac-a156-8faa748435c7.jpg?1714691076, FLIPID=-1fbbee0a-afee-43ac-a156-8faa748435c7}
-1fbbee0a-afee-43ac-a156-8faa748435c7|Frontier Seeker // Frontier Seeker (art_series)||Card|||<BR><a href="https://api.scryfall.com/cards/1fbbee0a-afee-43ac-a156-8faa748435c7/rulings">Rulings</a>|Outlaws of Thunder Junction Art Series|Common||Raluca Marinescu|2b|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/aotj/2/frontier-seeker-frontier-seeker?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/back/1/f/1fbbee0a-afee-43ac-a156-8faa748435c7.jpg?1714691076, FLIPID=1fbbee0a-afee-43ac-a156-8faa748435c7}
6734a6f8-60c0-471f-b8b2-4f5ab97a47e0|Omenport Vigilante // Omenport Vigilante||Card|||<BR><a href="https://api.scryfall.com/cards/6734a6f8-60c0-471f-b8b2-4f5ab97a47e0/rulings">Rulings</a>|Outlaws of Thunder Junction Art Series|Common||Forrest Imel|3|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/aotj/3/omenport-vigilante-omenport-vigilante?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/7/6734a6f8-60c0-471f-b8b2-4f5ab97a47e0.jpg?1714691088, FLIPID=-6734a6f8-60c0-471f-b8b2-4f5ab97a47e0}
-6734a6f8-60c0-471f-b8b2-4f5ab97a47e0|Omenport Vigilante // Omenport Vigilante (art_series)||Card|||<BR><a href="https://api.scryfall.com/cards/6734a6f8-60c0-471f-b8b2-4f5ab97a47e0/rulings">Rulings</a>|Outlaws of Thunder Junction Art Series|Common||Forrest Imel|3b|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/aotj/3/omenport-vigilante-omenport-vigilante?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/back/6/7/6734a6f8-60c0-471f-b8b2-4f5ab97a47e0.jpg?1714691088, FLIPID=6734a6f8-60c0-471f-b8b2-4f5ab97a47e0}
5adf5243-0763-4169-9e75-e96f92a67611|Canyon Crab // Canyon Crab||Card|||<BR><a href="https://api.scryfall.com/cards/5adf5243-0763-4169-9e75-e96f92a67611/rulings">Rulings</a>|Outlaws of Thunder Junction Art Series|Common||Ignatius Budi|4|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/aotj/4/canyon-crab-canyon-crab?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/a/5adf5243-0763-4169-9e75-e96f92a67611.jpg?1714691101, FLIPID=-5adf5243-0763-4169-9e75-e96f92a67611}
-5adf5243-0763-4169-9e75-e96f92a67611|Canyon Crab // Canyon Crab (art_series)||Card|||<BR><a href="https://api.scryfall.com/cards/5adf5243-0763-4169-9e75-e96f92a67611/rulings">Rulings</a>|Outlaws of Thunder Junction Art Series|Common||Ignatius Budi|4b|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/aotj/4/canyon-crab-canyon-crab?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/back/5/a/5adf5243-0763-4169-9e75-e96f92a67611.jpg?1714691101, FLIPID=5adf5243-0763-4169-9e75-e96f92a67611}
c8e54895-2392-46da-a856-e13b6176f5e6|Geralf, the Fleshwright // Geralf, the Fleshwright||Card|||<BR><a href="https://api.scryfall.com/cards/c8e54895-2392-46da-a856-e13b6176f5e6/rulings">Rulings</a>|Outlaws of Thunder Junction Art Series|Common||Chris Rahn|5|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/aotj/5/geralf-the-fleshwright-geralf-the-fleshwright?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/8/c8e54895-2392-46da-a856-e13b6176f5e6.jpg?1715954738, FLIPID=-c8e54895-2392-46da-a856-e13b6176f5e6}
-c8e54895-2392-46da-a856-e13b6176f5e6|Geralf, the Fleshwright // Geralf, the Fleshwright (art_series)||Card|||<BR><a href="https://api.scryfall.com/cards/c8e54895-2392-46da-a856-e13b6176f5e6/rulings">Rulings</a>|Outlaws of Thunder Junction Art Series|Common||Chris Rahn|5b|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/aotj/5/geralf-the-fleshwright-geralf-the-fleshwright?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/back/c/8/c8e54895-2392-46da-a856-e13b6176f5e6.jpg?1715954738, FLIPID=c8e54895-2392-46da-a856-e13b6176f5e6}
27d9c8c3-e2f8-4e59-be0d-3debb8ab3fdb|Loan Shark // Loan Shark||Card|||<BR><a href="https://api.scryfall.com/cards/27d9c8c3-e2f8-4e59-be0d-3debb8ab3fdb/rulings">Rulings</a>|Outlaws of Thunder Junction Art Series|Common||Wayne Reynolds|6|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/aotj/6/loan-shark-loan-shark?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/7/27d9c8c3-e2f8-4e59-be0d-3debb8ab3fdb.jpg?1714691124, FLIPID=-27d9c8c3-e2f8-4e59-be0d-3debb8ab3fdb}
