ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|GATHERERID|TCGID|PROPERTIES
a7af8350-9a51-437c-a55e-19f3e07acfa9|Angelfire Crusader|{3}{W}|Creature - Human Soldier Knight|2|3|{R}: This creature gets +1/+0 until end of turn.<BR><a href="https://api.scryfall.com/cards/a7af8350-9a51-437c-a55e-19f3e07acfa9/rulings">Rulings</a>|Apocalypse|Common||Edward P. Beard, Jr.|1|R$ 0.03 F$ 0.51<br>MID: 21253<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/apc/1/angelfire-crusader?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=21253&printed=false">Gatherer</a>|21253|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/7/a7af8350-9a51-437c-a55e-19f3e07acfa9.jpg?1562934732}
0e417461-a230-4548-bcc1-71377487f21b|Coalition Flag|{W}|Enchantment - Aura|||Enchant creature you control<br>Enchanted creature is a Flagbearer.<br>While an opponent is choosing targets as part of casting a spell they control or activating an ability they control, that player must choose at least one Flagbearer on the battlefield if able.<BR><a href="https://api.scryfall.com/cards/0e417461-a230-4548-bcc1-71377487f21b/rulings">Rulings</a>|Apocalypse|Uncommon||Darrell Riche|2|R$ 0.21 F$ 2.16<br>MID: 26791<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/apc/2/coalition-flag?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=26791&printed=false">Gatherer</a>|26791|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/e/0e417461-a230-4548-bcc1-71377487f21b.jpg?1562898275}
c5b7be3e-b4af-46d4-bcc6-b44c651f2012|Coalition Honor Guard|{3}{W}|Creature - Human Flagbearer|2|4|While an opponent is choosing targets as part of casting a spell they control or activating an ability they control, that player must choose at least one Flagbearer on the battlefield if able.<BR><a href="https://api.scryfall.com/cards/c5b7be3e-b4af-46d4-bcc6-b44c651f2012/rulings">Rulings</a>|Apocalypse|Common||Eric Peterson|3|R$ 0.16 F$ 2.55<br>MID: 26371<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/apc/3/coalition-honor-guard?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=26371&printed=false">Gatherer</a>|26371|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/5/c5b7be3e-b4af-46d4-bcc6-b44c651f2012.jpg?1562941694}
fb9cd7d9-8aad-4607-890c-9c8efe016a92|Dega Disciple|{W}|Creature - Human Wizard|1|1|{B}, {T}: Target creature gets -2/-0 until end of turn.<br>{R}, {T}: Target creature gets +2/+0 until end of turn.<BR><a href="https://api.scryfall.com/cards/fb9cd7d9-8aad-4607-890c-9c8efe016a92/rulings">Rulings</a>|Apocalypse|Common||Alan Pollack|4|R$ 0.04 F$ 0.25<br>MID: 25852<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/apc/4/dega-disciple?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=25852&printed=false">Gatherer</a>|25852|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/b/fb9cd7d9-8aad-4607-890c-9c8efe016a92.jpg?1562954625}
b7ddfdb5-3981-4954-af5f-2459d22ec575|Dega Sanctuary|{2}{W}|Enchantment|||At the beginning of your upkeep, if you control a black or red permanent, you gain 2 life. If you control a black permanent and a red permanent, you gain 4 life instead.<BR><a href="https://api.scryfall.com/cards/b7ddfdb5-3981-4954-af5f-2459d22ec575/rulings">Rulings</a>|Apocalypse|Uncommon||Ben Thompson|5|R$ 0.15 F$ 1.47<br>MID: 27178<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/apc/5/dega-sanctuary?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=27178&printed=false">Gatherer</a>|27178|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/7/b7ddfdb5-3981-4954-af5f-2459d22ec575.jpg?1562938384}
36a52c3a-2f58-4b4d-b3c6-f9a08e25c7de|Degavolver|{1}{W}|Creature - Volver|1|1|Kicker {1}{B} and/or {R} (You may pay an additional {1}{B} and/or {R} as you cast this spell.)<br>If this creature was kicked with its {1}{B} kicker, it enters with two +1/+1 counters on it and with "Pay 3 life: Regenerate this creature."<br>If this creature was kicked with its {R} kicker, it enters with a +1/+1 counter on it and with first strike.<BR><a href="https://api.scryfall.com/cards/36a52c3a-2f58-4b4d-b3c6-f9a08e25c7de/rulings">Rulings</a>|Apocalypse|Rare||Ron Spencer|6|R$ 0.29 F$ 5.00<br>MID: 25947<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/apc/6/degavolver?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=25947&printed=false">Gatherer</a>|25947|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/6/36a52c3a-2f58-4b4d-b3c6-f9a08e25c7de.jpg?1562907786}
1e5061e4-a76d-4a7c-b196-96c81f94e0e5|Diversionary Tactics|{3}{W}|Enchantment|||Tap two untapped creatures you control: Tap target creature.<BR><a href="https://api.scryfall.com/cards/1e5061e4-a76d-4a7c-b196-96c81f94e0e5/rulings">Rulings</a>|Apocalypse|Uncommon||Jerry Tiritilli|7|R$ 0.19 F$ 2.50<br>MID: 28810<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/apc/7/diversionary-tactics?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=28810&printed=false">Gatherer</a>|28810|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/e/1e5061e4-a76d-4a7c-b196-96c81f94e0e5.jpg?1562902151}
8f596ce1-b754-4e34-98e3-e1ddda2fd9b0|Divine Light|{W}|Sorcery|||Prevent all damage that would be dealt this turn to creatures you control.<BR><a href="https://api.scryfall.com/cards/8f596ce1-b754-4e34-98e3-e1ddda2fd9b0/rulings">Rulings</a>|Apocalypse|Common||Christopher Moeller|8|R$ 0.12 F$ 1.09<br>MID: 27137<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/apc/8/divine-light?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=27137&printed=false">Gatherer</a>|27137|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/f/8f596ce1-b754-4e34-98e3-e1ddda2fd9b0.jpg?1562928792}
38138bb4-25ea-4aaf-8b1c-e9e60678fc6b|Enlistment Officer|{3}{W}|Creature - Human Soldier|2|3|First strike<br>When this creature enters, reveal the top four cards of your library. Put all Soldier cards revealed this way into your hand and the rest on the bottom of your library in any order.<BR><a href="https://api.scryfall.com/cards/38138bb4-25ea-4aaf-8b1c-e9e60678fc6b/rulings">Rulings</a>|Apocalypse|Uncommon||Wayne England|9|R$ 0.26 F$ 1.63<br>MID: 27657<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/apc/9/enlistment-officer?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=27657&printed=false">Gatherer</a>|27657|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/8/38138bb4-25ea-4aaf-8b1c-e9e60678fc6b.jpg?1562908171}
1695e0ba-005a-4652-aea7-e1d1f9ff5d66|False Dawn|{1}{W}|Sorcery|||Until end of turn, spells and abilities you control that would add colored mana instead add that much white mana. Until end of turn, you may spend white mana as though it were mana of any color.<br>Draw a card.<BR><a href="https://api.scryfall.com/cards/1695e0ba-005a-4652-aea7-e1d1f9ff5d66/rulings">Rulings</a>|Apocalypse|Rare||Dave Dorman|10|R$ 0.25 F$ 7.25<br>MID: 27602<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/apc/10/false-dawn?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=27602&printed=false">Gatherer</a>|27602|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/6/1695e0ba-005a-4652-aea7-e1d1f9ff5d66.jpg?1562900442}
