ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|GATHERERID|TCGID|PROPERTIES
9d521737-ee07-4387-bc07-5ced53db374d|Ardent Plea|{1}{W}{U}|Enchantment|||Exalted (Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.)<br>Cascade (When you cast this spell, exile cards from the top of your library until you exile a nonland card that costs less. You may cast it without paying its mana cost. Put the exiled cards on the bottom in a random order.)<BR><a href="https://api.scryfall.com/cards/9d521737-ee07-4387-bc07-5ced53db374d/rulings">Rulings</a>|Alara Reborn|Uncommon||Chippy|1|R$ 1.52 F$ 22.72<br>MID: 185054<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/arb/1/ardent-plea?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=185054&printed=false">Gatherer</a>|185054|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/d/9d521737-ee07-4387-bc07-5ced53db374d.jpg?1562643193}
49876185-e23d-4137-8612-1347da3a1df6|Aven Mimeomancer|{1}{W}{U}|Creature - Bird Wizard|3|1|Flying<br>At the beginning of your upkeep, you may put a feather counter on target creature. If you do, that creature has base power and toughness 3/1 and has flying for as long as it has a feather counter on it.<BR><a href="https://api.scryfall.com/cards/49876185-e23d-4137-8612-1347da3a1df6/rulings">Rulings</a>|Alara Reborn|Rare||Jesper Ejsing|2|R$ 0.37 F$ 2.46<br>MID: 180608<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/arb/2/aven-mimeomancer?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=180608&printed=false">Gatherer</a>|180608|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/9/49876185-e23d-4137-8612-1347da3a1df6.jpg?1562641062}
094a235d-a5b8-434e-b4b0-c982da45a54d|Ethercaste Knight|{W}{U}|Artifact Creature - Human Knight|1|3|Exalted (Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.)<BR><a href="https://api.scryfall.com/cards/094a235d-a5b8-434e-b4b0-c982da45a54d/rulings">Rulings</a>|Alara Reborn|Common||Steven Belledin|3|R$ 0.16 F$ 0.82<br>MID: 179542<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/arb/3/ethercaste-knight?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=179542&printed=false">Gatherer</a>|179542|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/9/094a235d-a5b8-434e-b4b0-c982da45a54d.jpg?1562639538}
c5340e18-faed-4787-a42c-c12935bb0646|Ethersworn Shieldmage|{1}{W}{U}|Artifact Creature - Vedalken Wizard|2|2|Flash<br>When this creature enters, prevent all damage that would be dealt to artifact creatures this turn.<BR><a href="https://api.scryfall.com/cards/c5340e18-faed-4787-a42c-c12935bb0646/rulings">Rulings</a>|Alara Reborn|Common||Daarken|4|R$ 0.10 F$ 0.27<br>MID: 179578<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/arb/4/ethersworn-shieldmage?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=179578&printed=false">Gatherer</a>|179578|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/5/c5340e18-faed-4787-a42c-c12935bb0646.jpg?1562644150}
9650a717-b1e4-4cd2-894d-766f6b311369|Fieldmist Borderpost|{1}{W}{U}|Artifact|||You may pay {1} and return a basic land you control to its owner's hand rather than pay this spell's mana cost.<br>This artifact enters tapped.<br>{T}: Add {W} or {U}.<BR><a href="https://api.scryfall.com/cards/9650a717-b1e4-4cd2-894d-766f6b311369/rulings">Rulings</a>|Alara Reborn|Common||Michael Bruinsma|5|R$ 0.25 F$ 1.54<br>MID: 183005<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/arb/5/fieldmist-borderpost?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=183005&printed=false">Gatherer</a>|183005|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/6/9650a717-b1e4-4cd2-894d-766f6b311369.jpg?1562643032}
7a0c7a2a-85c1-4b20-95b9-04aab0bd0d3b|Filigree Angel|{5}{W}{W}{U}|Artifact Creature - Angel|4|4|Flying<br>When this creature enters, you gain 3 life for each artifact you control.<BR><a href="https://api.scryfall.com/cards/7a0c7a2a-85c1-4b20-95b9-04aab0bd0d3b/rulings">Rulings</a>|Alara Reborn|Rare||Richard Whitters|6|R$ 0.35 F$ 0.46<br>MID: 188965<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/arb/6/filigree-angel?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=188965&printed=false">Gatherer</a>|188965|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/a/7a0c7a2a-85c1-4b20-95b9-04aab0bd0d3b.jpg?1562642285}
397e6ff5-f5ee-4963-9942-4aa25f5eb64a|Glassdust Hulk|{3}{W}{U}|Artifact Creature - Golem|3|4|Whenever another artifact you control enters, this creature gets +1/+1 until end of turn and can't be blocked this turn.<br>Cycling {W/U} ({W/U}, Discard this card: Draw a card.)<BR><a href="https://api.scryfall.com/cards/397e6ff5-f5ee-4963-9942-4aa25f5eb64a/rulings">Rulings</a>|Alara Reborn|Common||Franz Vohwinkel|7|R$ 0.12 F$ 0.53<br>MID: 179576<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/arb/7/glassdust-hulk?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=179576&printed=false">Gatherer</a>|179576|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/9/397e6ff5-f5ee-4963-9942-4aa25f5eb64a.jpg?1562640655}
1a55308b-5772-430a-93e4-b65c416b86cf|Meddling Mage|{W}{U}|Creature - Human Wizard|2|2|As this creature enters, choose a nonland card name.<br>Spells with the chosen name can't be cast.<BR><a href="https://api.scryfall.com/cards/1a55308b-5772-430a-93e4-b65c416b86cf/rulings">Rulings</a>|Alara Reborn|Rare||Todd Lockwood|8|R$ 1.01 F$ 3.15<br>MID: 179547<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/arb/8/meddling-mage?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=179547&printed=false">Gatherer</a>|179547|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/a/1a55308b-5772-430a-93e4-b65c416b86cf.jpg?1562639927}
260fe443-ca03-42b1-bcee-86e5173c1aaf|Offering to Asha|{2}{W}{U}|Instant|||Counter target spell unless its controller pays {4}. You gain 4 life.<BR><a href="https://api.scryfall.com/cards/260fe443-ca03-42b1-bcee-86e5173c1aaf/rulings">Rulings</a>|Alara Reborn|Common||Daarken|9|R$ 0.12 F$ 0.18<br>MID: 183007<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/arb/9/offering-to-asha?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=183007&printed=false">Gatherer</a>|183007|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/6/260fe443-ca03-42b1-bcee-86e5173c1aaf.jpg?1562640177}
73887514-7644-4b2b-8c67-4b7e64150478|Sanctum Plowbeast|{4}{W}{U}|Artifact Creature - Beast|3|6|Defender<br>Plainscycling {2}, islandcycling {2} ({2}, Discard this card: Search your library for a Plains or Island card, reveal it, put it into your hand, then shuffle.)<BR><a href="https://api.scryfall.com/cards/73887514-7644-4b2b-8c67-4b7e64150478/rulings">Rulings</a>|Alara Reborn|Common||Anthony Francisco|10|R$ 0.12 F$ 0.31<br>MID: 144282<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/arb/10/sanctum-plowbeast?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=144282&printed=false">Gatherer</a>|144282|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/3/73887514-7644-4b2b-8c67-4b7e64150478.jpg?1562642111}
9e6474b6-1e1a-4c29-8f01-1cabf729b34f|Shield of the Righteous|{W}{U}|Artifact - Equipment|||Equipped creature gets +0/+2 and has vigilance.<br>Whenever equipped creature blocks a creature, that creature doesn't untap during its controller's next untap step.<br>Equip {2}<BR><a href="https://api.scryfall.com/cards/9e6474b6-1e1a-4c29-8f01-1cabf729b34f/rulings">Rulings</a>|Alara Reborn|Uncommon||David Palumbo|11|R$ 0.19 F$ 0.30<br>MID: 185063<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/arb/11/shield-of-the-righteous?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=185063&printed=false">Gatherer</a>|185063|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/e/9e6474b6-1e1a-4c29-8f01-1cabf729b34f.jpg?1562643220}
