ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
bd4bdbae-b7c9-47c4-a589-ada3acbbb802|Backup Agent // Backup Agent||Card||||New Capenna Art Series|Common||Aaron J. Riley|1|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/asnc/1/backup-agent-backup-agent?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/d/bd4bdbae-b7c9-47c4-a589-ada3acbbb802.jpg?1679451912, FLIPID=-bd4bdbae-b7c9-47c4-a589-ada3acbbb802}
-bd4bdbae-b7c9-47c4-a589-ada3acbbb802|Backup Agent // Backup Agent (art_series)||Card||||New Capenna Art Series|Common||Aaron J. Riley|1b|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/asnc/1/backup-agent-backup-agent?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/back/b/d/bd4bdbae-b7c9-47c4-a589-ada3acbbb802.jpg?1679451912, FLIPID=bd4bdbae-b7c9-47c4-a589-ada3acbbb802}
5eab58c4-cb34-4645-aaf1-6e3010fcee69|Dapper Shieldmate // Dapper Shieldmate||Card||||New Capenna Art Series|Common||Greg Opalinski|2|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/asnc/2/dapper-shieldmate-dapper-shieldmate?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/e/5eab58c4-cb34-4645-aaf1-6e3010fcee69.jpg?1679451743, FLIPID=-5eab58c4-cb34-4645-aaf1-6e3010fcee69}
-5eab58c4-cb34-4645-aaf1-6e3010fcee69|Dapper Shieldmate // Dapper Shieldmate (art_series)||Card||||New Capenna Art Series|Common||Greg Opalinski|2b|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/asnc/2/dapper-shieldmate-dapper-shieldmate?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/back/5/e/5eab58c4-cb34-4645-aaf1-6e3010fcee69.jpg?1679451743, FLIPID=5eab58c4-cb34-4645-aaf1-6e3010fcee69}
44459465-aa47-4daf-ba44-52e91456f2b6|Elspeth Resplendent // Elspeth Resplendent||Card||||New Capenna Art Series|Common||Anna Steinbauer|3|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/asnc/3/elspeth-resplendent-elspeth-resplendent?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/4/44459465-aa47-4daf-ba44-52e91456f2b6.jpg?1679451761, FLIPID=-44459465-aa47-4daf-ba44-52e91456f2b6}
-44459465-aa47-4daf-ba44-52e91456f2b6|Elspeth Resplendent // Elspeth Resplendent (art_series)||Card||||New Capenna Art Series|Common||Anna Steinbauer|3b|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/asnc/3/elspeth-resplendent-elspeth-resplendent?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/back/4/4/44459465-aa47-4daf-ba44-52e91456f2b6.jpg?1679451761, FLIPID=44459465-aa47-4daf-ba44-52e91456f2b6}
be43497d-c2e6-4bb0-b9da-753eca41569d|Giada, Font of Hope // Giada, Font of Hope||Card||||New Capenna Art Series|Common||Eric Deschamps|4|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/asnc/4/giada-font-of-hope-giada-font-of-hope?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/e/be43497d-c2e6-4bb0-b9da-753eca41569d.jpg?1679451778, FLIPID=-be43497d-c2e6-4bb0-b9da-753eca41569d}
-be43497d-c2e6-4bb0-b9da-753eca41569d|Giada, Font of Hope // Giada, Font of Hope (art_series)||Card||||New Capenna Art Series|Common||Eric Deschamps|4b|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/asnc/4/giada-font-of-hope-giada-font-of-hope?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/back/b/e/be43497d-c2e6-4bb0-b9da-753eca41569d.jpg?1679451778, FLIPID=be43497d-c2e6-4bb0-b9da-753eca41569d}
a11636b4-52bd-466e-bc50-0f7bf0f9833e|Mage's Attendant // Mage's Attendant||Card||||New Capenna Art Series|Common||Igor Kieryluk|5|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/asnc/5/mages-attendant-mages-attendant?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/1/a11636b4-52bd-466e-bc50-0f7bf0f9833e.jpg?1679451798, FLIPID=-a11636b4-52bd-466e-bc50-0f7bf0f9833e}
-a11636b4-52bd-466e-bc50-0f7bf0f9833e|Mage's Attendant // Mage's Attendant (art_series)||Card||||New Capenna Art Series|Common||Igor Kieryluk|5b|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/asnc/5/mages-attendant-mages-attendant?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/back/a/1/a11636b4-52bd-466e-bc50-0f7bf0f9833e.jpg?1679451798, FLIPID=a11636b4-52bd-466e-bc50-0f7bf0f9833e}
