ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
43256d36-862f-424e-b479-77f66c7a9af1|Ugin, Eye of the Storms // Ugin, Eye of the Storms||Card||||Tarkir: Dragonstorm Art Series|Common||Joshua Raphael|1|Finishes: nonfoil:foil:<br>Promos: stamped:<br><br><a href="https://scryfall.com/card/atdm/1/ugin-eye-of-the-storms-ugin-eye-of-the-storms?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/3/43256d36-862f-424e-b479-77f66c7a9af1.jpg?1744195787, FLIPID=-43256d36-862f-424e-b479-77f66c7a9af1}
-43256d36-862f-424e-b479-77f66c7a9af1|Ugin, Eye of the Storms // Ugin, Eye of the Storms (art_series)||Card||||Tarkir: Dragonstorm Art Series|Common||Joshua Raphael|1b|Finishes: nonfoil:foil:<br>Promos: stamped:<br><br><a href="https://scryfall.com/card/atdm/1/ugin-eye-of-the-storms-ugin-eye-of-the-storms?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/back/4/3/43256d36-862f-424e-b479-77f66c7a9af1.jpg?1744195787, FLIPID=43256d36-862f-424e-b479-77f66c7a9af1}
de6d160a-7b3b-4029-959d-f5024108be23|Descendant of Storms // Descendant of Storms||Card||||Tarkir: Dragonstorm Art Series|Common||Lie Setiawan|2|Finishes: nonfoil:foil:<br>Promos: stamped:<br><br><a href="https://scryfall.com/card/atdm/2/descendant-of-storms-descendant-of-storms?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/e/de6d160a-7b3b-4029-959d-f5024108be23.jpg?1744195787, FLIPID=-de6d160a-7b3b-4029-959d-f5024108be23}
-de6d160a-7b3b-4029-959d-f5024108be23|Descendant of Storms // Descendant of Storms (art_series)||Card||||Tarkir: Dragonstorm Art Series|Common||Lie Setiawan|2b|Finishes: nonfoil:foil:<br>Promos: stamped:<br><br><a href="https://scryfall.com/card/atdm/2/descendant-of-storms-descendant-of-storms?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/back/d/e/de6d160a-7b3b-4029-959d-f5024108be23.jpg?1744195787, FLIPID=de6d160a-7b3b-4029-959d-f5024108be23}
af1ea178-9af5-4e03-b10a-c4e81e754e66|Dragonback Lancer // Dragonback Lancer||Card||||Tarkir: Dragonstorm Art Series|Common||Diego Gisbert|3|Finishes: nonfoil:foil:<br>Promos: stamped:<br><br><a href="https://scryfall.com/card/atdm/3/dragonback-lancer-dragonback-lancer?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/f/af1ea178-9af5-4e03-b10a-c4e81e754e66.jpg?1744195797, FLIPID=-af1ea178-9af5-4e03-b10a-c4e81e754e66}
-af1ea178-9af5-4e03-b10a-c4e81e754e66|Dragonback Lancer // Dragonback Lancer (art_series)||Card||||Tarkir: Dragonstorm Art Series|Common||Diego Gisbert|3b|Finishes: nonfoil:foil:<br>Promos: stamped:<br><br><a href="https://scryfall.com/card/atdm/3/dragonback-lancer-dragonback-lancer?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/back/a/f/af1ea178-9af5-4e03-b10a-c4e81e754e66.jpg?1744195797, FLIPID=af1ea178-9af5-4e03-b10a-c4e81e754e66}
d20ff717-f2e1-4b48-adc7-525fcf764e68|Smile at Death // Smile at Death||Card||||Tarkir: Dragonstorm Art Series|Common||Olivier Bernard|4|Finishes: nonfoil:foil:<br>Promos: stamped:<br><br><a href="https://scryfall.com/card/atdm/4/smile-at-death-smile-at-death?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/2/d20ff717-f2e1-4b48-adc7-525fcf764e68.jpg?1744195798, FLIPID=-d20ff717-f2e1-4b48-adc7-525fcf764e68}
-d20ff717-f2e1-4b48-adc7-525fcf764e68|Smile at Death // Smile at Death (art_series)||Card||||Tarkir: Dragonstorm Art Series|Common||Olivier Bernard|4b|Finishes: nonfoil:foil:<br>Promos: stamped:<br><br><a href="https://scryfall.com/card/atdm/4/smile-at-death-smile-at-death?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/back/d/2/d20ff717-f2e1-4b48-adc7-525fcf764e68.jpg?1744195798, FLIPID=d20ff717-f2e1-4b48-adc7-525fcf764e68}
b5ebba53-7b8f-41ec-a38d-07c326c9e94a|United Battlefront // United Battlefront||Card||||Tarkir: Dragonstorm Art Series|Common||Darren Tan|5|Finishes: nonfoil:foil:<br>Promos: stamped:<br><br><a href="https://scryfall.com/card/atdm/5/united-battlefront-united-battlefront?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/5/b5ebba53-7b8f-41ec-a38d-07c326c9e94a.jpg?1744195808, FLIPID=-b5ebba53-7b8f-41ec-a38d-07c326c9e94a}
-b5ebba53-7b8f-41ec-a38d-07c326c9e94a|United Battlefront // United Battlefront (art_series)||Card||||Tarkir: Dragonstorm Art Series|Common||Darren Tan|5b|Finishes: nonfoil:foil:<br>Promos: stamped:<br><br><a href="https://scryfall.com/card/atdm/5/united-battlefront-united-battlefront?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/back/b/5/b5ebba53-7b8f-41ec-a38d-07c326c9e94a.jpg?1744195808, FLIPID=b5ebba53-7b8f-41ec-a38d-07c326c9e94a}
c8d67382-2837-411b-9405-e7cedc5dcb72|Dragonologist // Dragonologist||Card||||Tarkir: Dragonstorm Art Series|Common||Mila Pesic|6|Finishes: nonfoil:foil:<br>Promos: stamped:<br><br><a href="https://scryfall.com/card/atdm/6/dragonologist-dragonologist?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/8/c8d67382-2837-411b-9405-e7cedc5dcb72.jpg?1744195809, FLIPID=-c8d67382-2837-411b-9405-e7cedc5dcb72}
-c8d67382-2837-411b-9405-e7cedc5dcb72|Dragonologist // Dragonologist (art_series)||Card||||Tarkir: Dragonstorm Art Series|Common||Mila Pesic|6b|Finishes: nonfoil:foil:<br>Promos: stamped:<br><br><a href="https://scryfall.com/card/atdm/6/dragonologist-dragonologist?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/back/c/8/c8d67382-2837-411b-9405-e7cedc5dcb72.jpg?1744195809, FLIPID=c8d67382-2837-411b-9405-e7cedc5dcb72}
ea84592c-81cf-4cd7-8077-b35872921b7a|Humbling Elder // Humbling Elder||Card||||Tarkir: Dragonstorm Art Series|Common||Yohann Schepacz|7|Finishes: nonfoil:foil:<br>Promos: stamped:<br><br><a href="https://scryfall.com/card/atdm/7/humbling-elder-humbling-elder?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/a/ea84592c-81cf-4cd7-8077-b35872921b7a.jpg?1744195819, FLIPID=-ea84592c-81cf-4cd7-8077-b35872921b7a}
