ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
bfa22ebc-7020-45c0-9614-5c52d8cdb43f|Aang, the Last Airbender // Aang, the Last Airbender||Card||||Avatar: the Last Airbender Art Cards|Common||Yueko|1|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/atla/1/aang-the-last-airbender-aang-the-last-airbender?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/f/bfa22ebc-7020-45c0-9614-5c52d8cdb43f.jpg?1765847682, FLIPID=-bfa22ebc-7020-45c0-9614-5c52d8cdb43f}
-bfa22ebc-7020-45c0-9614-5c52d8cdb43f|Aang, the Last Airbender // Aang, the Last Airbender (art_series)||Card||||Avatar: the Last Airbender Art Cards|Common||Yueko|1b|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/atla/1/aang-the-last-airbender-aang-the-last-airbender?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/back/b/f/bfa22ebc-7020-45c0-9614-5c52d8cdb43f.jpg?1765847682, FLIPID=bfa22ebc-7020-45c0-9614-5c52d8cdb43f}
0989b6e4-3daf-4ad6-bcc9-b529438bba3f|Aang's Iceberg // Aang's Iceberg||Card||||Avatar: the Last Airbender Art Cards|Common||Matteo Bassini|2|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/atla/2/aangs-iceberg-aangs-iceberg?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/9/0989b6e4-3daf-4ad6-bcc9-b529438bba3f.jpg?1765847688, FLIPID=-0989b6e4-3daf-4ad6-bcc9-b529438bba3f}
-0989b6e4-3daf-4ad6-bcc9-b529438bba3f|Aang's Iceberg // Aang's Iceberg (art_series)||Card||||Avatar: the Last Airbender Art Cards|Common||Matteo Bassini|2b|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/atla/2/aangs-iceberg-aangs-iceberg?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/back/0/9/0989b6e4-3daf-4ad6-bcc9-b529438bba3f.jpg?1765847688, FLIPID=0989b6e4-3daf-4ad6-bcc9-b529438bba3f}
b333c1ae-66db-4464-bb9b-8dadf87cf71f|Momo, Playful Pet // Momo, Playful Pet||Card||||Avatar: the Last Airbender Art Cards|Common||Awanqi (Angela Wang)|3|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/atla/3/momo-playful-pet-momo-playful-pet?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/3/b333c1ae-66db-4464-bb9b-8dadf87cf71f.jpg?1765847695, FLIPID=-b333c1ae-66db-4464-bb9b-8dadf87cf71f}
-b333c1ae-66db-4464-bb9b-8dadf87cf71f|Momo, Playful Pet // Momo, Playful Pet (art_series)||Card||||Avatar: the Last Airbender Art Cards|Common||Awanqi (Angela Wang)|3b|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/atla/3/momo-playful-pet-momo-playful-pet?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/back/b/3/b333c1ae-66db-4464-bb9b-8dadf87cf71f.jpg?1765847695, FLIPID=b333c1ae-66db-4464-bb9b-8dadf87cf71f}
7994f9ae-5911-41f4-ac2c-56590e881319|Otter-Penguin // Otter-Penguin||Card||||Avatar: the Last Airbender Art Cards|Common||Eilene Cherie|4|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/atla/4/otter-penguin-otter-penguin?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/9/7994f9ae-5911-41f4-ac2c-56590e881319.jpg?1765847702, FLIPID=-7994f9ae-5911-41f4-ac2c-56590e881319}
-7994f9ae-5911-41f4-ac2c-56590e881319|Otter-Penguin // Otter-Penguin (art_series)||Card||||Avatar: the Last Airbender Art Cards|Common||Eilene Cherie|4b|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/atla/4/otter-penguin-otter-penguin?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/back/7/9/7994f9ae-5911-41f4-ac2c-56590e881319.jpg?1765847702, FLIPID=7994f9ae-5911-41f4-ac2c-56590e881319}
eeb3746e-4cc7-4bbc-b055-5dd00340076f|Ty Lee, Chi Blocker // Ty Lee, Chi Blocker||Card||||Avatar: the Last Airbender Art Cards|Common||Gemi|5|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/atla/5/ty-lee-chi-blocker-ty-lee-chi-blocker?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/e/eeb3746e-4cc7-4bbc-b055-5dd00340076f.jpg?1765847710, FLIPID=-eeb3746e-4cc7-4bbc-b055-5dd00340076f}
-eeb3746e-4cc7-4bbc-b055-5dd00340076f|Ty Lee, Chi Blocker // Ty Lee, Chi Blocker (art_series)||Card||||Avatar: the Last Airbender Art Cards|Common||Gemi|5b|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/atla/5/ty-lee-chi-blocker-ty-lee-chi-blocker?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/back/e/e/eeb3746e-4cc7-4bbc-b055-5dd00340076f.jpg?1765847710, FLIPID=eeb3746e-4cc7-4bbc-b055-5dd00340076f}
3155190d-5bfb-493b-992c-7b5b3853ae96|Waterbender Ascension // Waterbender Ascension||Card||||Avatar: the Last Airbender Art Cards|Common||Takeuchi Moto|6|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/atla/6/waterbender-ascension-waterbender-ascension?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/1/3155190d-5bfb-493b-992c-7b5b3853ae96.jpg?1765847717, FLIPID=-3155190d-5bfb-493b-992c-7b5b3853ae96}
-3155190d-5bfb-493b-992c-7b5b3853ae96|Waterbender Ascension // Waterbender Ascension (art_series)||Card||||Avatar: the Last Airbender Art Cards|Common||Takeuchi Moto|6b|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/atla/6/waterbender-ascension-waterbender-ascension?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/back/3/1/3155190d-5bfb-493b-992c-7b5b3853ae96.jpg?1765847717, FLIPID=3155190d-5bfb-493b-992c-7b5b3853ae96}
62fb1c1a-0f26-463c-8c14-b46a64845cdb|Yue, the Moon Spirit // Yue, the Moon Spirit||Card||||Avatar: the Last Airbender Art Cards|Common||Yuumei|7|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/atla/7/yue-the-moon-spirit-yue-the-moon-spirit?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/2/62fb1c1a-0f26-463c-8c14-b46a64845cdb.jpg?1765847729, FLIPID=-62fb1c1a-0f26-463c-8c14-b46a64845cdb}
-62fb1c1a-0f26-463c-8c14-b46a64845cdb|Yue, the Moon Spirit // Yue, the Moon Spirit (art_series)||Card||||Avatar: the Last Airbender Art Cards|Common||Yuumei|7b|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/atla/7/yue-the-moon-spirit-yue-the-moon-spirit?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/back/6/2/62fb1c1a-0f26-463c-8c14-b46a64845cdb.jpg?1765847729, FLIPID=62fb1c1a-0f26-463c-8c14-b46a64845cdb}
