ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|GATHERERID|TCGID|PROPERTIES
7a8be765-0949-491c-875c-0385fb83e4b9|Angel of Glory's Rise|{5}{W}{W}|Creature - Angel|4|6|Flying<br>When this creature enters, exile all Zombies, then return all Human creature cards from your graveyard to the battlefield.<BR><a href="https://api.scryfall.com/cards/7a8be765-0949-491c-875c-0385fb83e4b9/rulings">Rulings</a>|Avacyn Restored|Rare||James Ryman|1|MID: 239993<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/avr/1/angel-of-glorys-rise?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=239993&printed=false">Gatherer</a>|239993|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/a/7a8be765-0949-491c-875c-0385fb83e4b9.jpg?1592708167}
16c5dfed-4dee-4e48-a445-89f03d7794e6|Angel of Jubilation|{1}{W}{W}{W}|Creature - Angel|3|3|Flying<br>Other nonblack creatures you control get +1/+1.<br>Players can't pay life or sacrifice creatures to cast spells or activate abilities.<BR><a href="https://api.scryfall.com/cards/16c5dfed-4dee-4e48-a445-89f03d7794e6/rulings">Rulings</a>|Avacyn Restored|Rare||Terese Nielsen|2|MID: 240120<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/avr/2/angel-of-jubilation?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=240120&printed=false">Gatherer</a>|240120|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/6/16c5dfed-4dee-4e48-a445-89f03d7794e6.jpg?1592708174}
7a437999-26ae-49fa-8647-c8c2b4640702|Angel's Mercy|{2}{W}{W}|Instant|||You gain 7 life.<BR><a href="https://api.scryfall.com/cards/7a437999-26ae-49fa-8647-c8c2b4640702/rulings">Rulings</a>|Avacyn Restored|Common||Greg Staples|3|MID: 240044<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/avr/3/angels-mercy?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=240044&printed=false">Gatherer</a>|240044|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/a/7a437999-26ae-49fa-8647-c8c2b4640702.jpg?1592708181}
d7b2450d-87a7-46dc-b43a-2db2abeca44f|Angelic Wall|{1}{W}|Creature - Wall|0|4|Defender (This creature can't attack.)<br>Flying<BR><a href="https://api.scryfall.com/cards/d7b2450d-87a7-46dc-b43a-2db2abeca44f/rulings">Rulings</a>|Avacyn Restored|Common||Allen Williams|4|MID: 278065<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/avr/4/angelic-wall?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=278065&printed=false">Gatherer</a>|278065|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/7/d7b2450d-87a7-46dc-b43a-2db2abeca44f.jpg?1592708188}
3741b2a7-7bda-481a-b8f8-9b04c96035b0|Archangel|{5}{W}{W}|Creature - Angel|5|5|Flying, vigilance<BR><a href="https://api.scryfall.com/cards/3741b2a7-7bda-481a-b8f8-9b04c96035b0/rulings">Rulings</a>|Avacyn Restored|Uncommon||Cynthia Sheppard|5|MID: 240205<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/avr/5/archangel?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=240205&printed=false">Gatherer</a>|240205|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/7/3741b2a7-7bda-481a-b8f8-9b04c96035b0.jpg?1592708194}
ba149706-cd17-4da6-8403-ccfe2d6cb437|Avacyn, Angel of Hope|{5}{W}{W}{W}|Legendary Creature - Angel|8|8|Flying, vigilance, indestructible<br>Other permanents you control have indestructible.<BR><a href="https://api.scryfall.com/cards/ba149706-cd17-4da6-8403-ccfe2d6cb437/rulings">Rulings</a>|Avacyn Restored|Mythic||Jason Chan|6|MID: 239961<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/avr/6/avacyn-angel-of-hope?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=239961&printed=false">Gatherer</a>|239961|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/a/ba149706-cd17-4da6-8403-ccfe2d6cb437.jpg?1592708201}
238d8437-1abd-4bb7-8b5b-54f959bc2c79|Banishing Stroke|{5}{W}|Instant|||Put target artifact, creature, or enchantment on the bottom of its owner's library.<br>Miracle {W} (You may cast this card for its miracle cost when you draw it if it's the first card you drew this turn.)<BR><a href="https://api.scryfall.com/cards/238d8437-1abd-4bb7-8b5b-54f959bc2c79/rulings">Rulings</a>|Avacyn Restored|Uncommon||Igor Kieryluk|7|MID: 240156<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/avr/7/banishing-stroke?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=240156&printed=false">Gatherer</a>|240156|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/3/238d8437-1abd-4bb7-8b5b-54f959bc2c79.jpg?1592708208}
2ad27af1-b482-40d5-9dbb-11201ffa0410|Builder's Blessing|{3}{W}|Enchantment|||Untapped creatures you control get +0/+2.<BR><a href="https://api.scryfall.com/cards/2ad27af1-b482-40d5-9dbb-11201ffa0410/rulings">Rulings</a>|Avacyn Restored|Uncommon||John Stanko|8|MID: 239990<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/avr/8/builders-blessing?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=239990&printed=false">Gatherer</a>|239990|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/a/2ad27af1-b482-40d5-9dbb-11201ffa0410.jpg?1592708214}
ce4a3e80-6e95-4346-8ab8-eecc1a09ca24|Call to Serve|{1}{W}|Enchantment - Aura|||Enchant nonblack creature<br>Enchanted creature gets +1/+2, has flying, and is an Angel in addition to its other types.<BR><a href="https://api.scryfall.com/cards/ce4a3e80-6e95-4346-8ab8-eecc1a09ca24/rulings">Rulings</a>|Avacyn Restored|Common||Jaime Jones|9|MID: 240081<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/avr/9/call-to-serve?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=240081&printed=false">Gatherer</a>|240081|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/e/ce4a3e80-6e95-4346-8ab8-eecc1a09ca24.jpg?1592708220}
78154978-9e7d-44e9-a03f-c578072a8ff7|Cathars' Crusade|{3}{W}{W}|Enchantment|||Whenever a creature you control enters, put a +1/+1 counter on each creature you control.<BR><a href="https://api.scryfall.com/cards/78154978-9e7d-44e9-a03f-c578072a8ff7/rulings">Rulings</a>|Avacyn Restored|Rare||Karl Kopinski|10|MID: 276198<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/avr/10/cathars-crusade?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=276198&printed=false">Gatherer</a>|276198|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/8/78154978-9e7d-44e9-a03f-c578072a8ff7.jpg?1592708227}
