ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
93f6d31c-ea37-49e0-a940-5c47bd756090|Cooped Up // Cooped Up||Card||||Wilds of Eldraine Art Series|Common||Jodie Muir|1|Finishes: nonfoil:foil:<br>Promos: stamped:<br><br><a href="https://scryfall.com/card/awoe/1/cooped-up-cooped-up?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/3/93f6d31c-ea37-49e0-a940-5c47bd756090.jpg?1693341530, FLIPID=-93f6d31c-ea37-49e0-a940-5c47bd756090}
-93f6d31c-ea37-49e0-a940-5c47bd756090|Cooped Up // Cooped Up (art_series)||Card||||Wilds of Eldraine Art Series|Common||Jodie Muir|1b|Finishes: nonfoil:foil:<br>Promos: stamped:<br><br><a href="https://scryfall.com/card/awoe/1/cooped-up-cooped-up?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/back/9/3/93f6d31c-ea37-49e0-a940-5c47bd756090.jpg?1693341530, FLIPID=93f6d31c-ea37-49e0-a940-5c47bd756090}
9ae1c5f1-6aa7-46b5-bf71-e2d80713970f|Discerning Financier // Discerning Financier||Card||||Wilds of Eldraine Art Series|Common||Wayne Reynolds|2|Finishes: nonfoil:foil:<br>Promos: stamped:<br><br><a href="https://scryfall.com/card/awoe/2/discerning-financier-discerning-financier?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/a/9ae1c5f1-6aa7-46b5-bf71-e2d80713970f.jpg?1693341543, FLIPID=-9ae1c5f1-6aa7-46b5-bf71-e2d80713970f}
-9ae1c5f1-6aa7-46b5-bf71-e2d80713970f|Discerning Financier // Discerning Financier (art_series)||Card||||Wilds of Eldraine Art Series|Common||Wayne Reynolds|2b|Finishes: nonfoil:foil:<br>Promos: stamped:<br><br><a href="https://scryfall.com/card/awoe/2/discerning-financier-discerning-financier?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/back/9/a/9ae1c5f1-6aa7-46b5-bf71-e2d80713970f.jpg?1693341543, FLIPID=9ae1c5f1-6aa7-46b5-bf71-e2d80713970f}
83e08c2b-9957-4227-ab35-cf3fc20977eb|Dutiful Griffin // Dutiful Griffin||Card||||Wilds of Eldraine Art Series|Common||Ilse Gort|3|Finishes: nonfoil:foil:<br>Promos: stamped:<br><br><a href="https://scryfall.com/card/awoe/3/dutiful-griffin-dutiful-griffin?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/3/83e08c2b-9957-4227-ab35-cf3fc20977eb.jpg?1693341556, FLIPID=-83e08c2b-9957-4227-ab35-cf3fc20977eb}
-83e08c2b-9957-4227-ab35-cf3fc20977eb|Dutiful Griffin // Dutiful Griffin (art_series)||Card||||Wilds of Eldraine Art Series|Common||Ilse Gort|3b|Finishes: nonfoil:foil:<br>Promos: stamped:<br><br><a href="https://scryfall.com/card/awoe/3/dutiful-griffin-dutiful-griffin?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/back/8/3/83e08c2b-9957-4227-ab35-cf3fc20977eb.jpg?1693341556, FLIPID=83e08c2b-9957-4227-ab35-cf3fc20977eb}
a10ee4ae-5726-47ad-9ad4-8130b56c434c|Eerie Interference // Eerie Interference||Card||||Wilds of Eldraine Art Series|Common||Néstor Ossandón Leal|4|Finishes: nonfoil:foil:<br>Promos: stamped:<br><br><a href="https://scryfall.com/card/awoe/4/eerie-interference-eerie-interference?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/1/a10ee4ae-5726-47ad-9ad4-8130b56c434c.jpg?1693341574, FLIPID=-a10ee4ae-5726-47ad-9ad4-8130b56c434c}
-a10ee4ae-5726-47ad-9ad4-8130b56c434c|Eerie Interference // Eerie Interference (art_series)||Card||||Wilds of Eldraine Art Series|Common||Néstor Ossandón Leal|4b|Finishes: nonfoil:foil:<br>Promos: stamped:<br><br><a href="https://scryfall.com/card/awoe/4/eerie-interference-eerie-interference?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/back/a/1/a10ee4ae-5726-47ad-9ad4-8130b56c434c.jpg?1693341574, FLIPID=a10ee4ae-5726-47ad-9ad4-8130b56c434c}
d49383c7-bd89-4be5-bbf0-4e29e261145b|Moonshaker Cavalry // Moonshaker Cavalry||Card||||Wilds of Eldraine Art Series|Common||Aldo Domínguez|5|Finishes: nonfoil:foil:<br>Promos: stamped:<br><br><a href="https://scryfall.com/card/awoe/5/moonshaker-cavalry-moonshaker-cavalry?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/4/d49383c7-bd89-4be5-bbf0-4e29e261145b.jpg?1693341586, FLIPID=-d49383c7-bd89-4be5-bbf0-4e29e261145b}
-d49383c7-bd89-4be5-bbf0-4e29e261145b|Moonshaker Cavalry // Moonshaker Cavalry (art_series)||Card||||Wilds of Eldraine Art Series|Common||Aldo Domínguez|5b|Finishes: nonfoil:foil:<br>Promos: stamped:<br><br><a href="https://scryfall.com/card/awoe/5/moonshaker-cavalry-moonshaker-cavalry?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/back/d/4/d49383c7-bd89-4be5-bbf0-4e29e261145b.jpg?1693341586, FLIPID=d49383c7-bd89-4be5-bbf0-4e29e261145b}
