ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|GATHERERID|TCGID|PROPERTIES
161d1277-05e8-4503-a3a5-4d47309abdd0|Jace, Mirror Mage // Jace, Mirror Mage||Card|||<BR><a href="https://api.scryfall.com/cards/161d1277-05e8-4503-a3a5-4d47309abdd0/rulings">Rulings</a>|Zendikar Rising Art Series|Common||Tyler Jacobson|1|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/aznr/1/jace-mirror-mage-jace-mirror-mage?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/6/161d1277-05e8-4503-a3a5-4d47309abdd0.jpg?1678734891, FLIPID=-161d1277-05e8-4503-a3a5-4d47309abdd0}
-161d1277-05e8-4503-a3a5-4d47309abdd0|Jace, Mirror Mage // Jace, Mirror Mage (art_series)||Card|||<BR><a href="https://api.scryfall.com/cards/161d1277-05e8-4503-a3a5-4d47309abdd0/rulings">Rulings</a>|Zendikar Rising Art Series|Common||Tyler Jacobson|1b|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/aznr/1/jace-mirror-mage-jace-mirror-mage?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/back/1/6/161d1277-05e8-4503-a3a5-4d47309abdd0.jpg?1678734891, FLIPID=161d1277-05e8-4503-a3a5-4d47309abdd0}
21aa7091-0bb7-4eaf-8b76-9b14f4a2e9d5|Jace, Mirror Mage // Jace, Mirror Mage||Card|||<BR><a href="https://api.scryfall.com/cards/21aa7091-0bb7-4eaf-8b76-9b14f4a2e9d5/rulings">Rulings</a>|Zendikar Rising Art Series|Common||David Rapoza|2|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/aznr/2/jace-mirror-mage-jace-mirror-mage?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/1/21aa7091-0bb7-4eaf-8b76-9b14f4a2e9d5.jpg?1678734913, FLIPID=-21aa7091-0bb7-4eaf-8b76-9b14f4a2e9d5}
-21aa7091-0bb7-4eaf-8b76-9b14f4a2e9d5|Jace, Mirror Mage // Jace, Mirror Mage (art_series)||Card|||<BR><a href="https://api.scryfall.com/cards/21aa7091-0bb7-4eaf-8b76-9b14f4a2e9d5/rulings">Rulings</a>|Zendikar Rising Art Series|Common||David Rapoza|2b|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/aznr/2/jace-mirror-mage-jace-mirror-mage?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/back/2/1/21aa7091-0bb7-4eaf-8b76-9b14f4a2e9d5.jpg?1678734913, FLIPID=21aa7091-0bb7-4eaf-8b76-9b14f4a2e9d5}
70367e3e-638e-42aa-9433-c9c408de4213|Nahiri, Heir of the Ancients // Nahiri, Heir of the Ancients||Card|||<BR><a href="https://api.scryfall.com/cards/70367e3e-638e-42aa-9433-c9c408de4213/rulings">Rulings</a>|Zendikar Rising Art Series|Common||Anna Steinbauer|3|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/aznr/3/nahiri-heir-of-the-ancients-nahiri-heir-of-the-ancients?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/0/70367e3e-638e-42aa-9433-c9c408de4213.jpg?1678734936, FLIPID=-70367e3e-638e-42aa-9433-c9c408de4213}
-70367e3e-638e-42aa-9433-c9c408de4213|Nahiri, Heir of the Ancients // Nahiri, Heir of the Ancients (art_series)||Card|||<BR><a href="https://api.scryfall.com/cards/70367e3e-638e-42aa-9433-c9c408de4213/rulings">Rulings</a>|Zendikar Rising Art Series|Common||Anna Steinbauer|3b|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/aznr/3/nahiri-heir-of-the-ancients-nahiri-heir-of-the-ancients?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/back/7/0/70367e3e-638e-42aa-9433-c9c408de4213.jpg?1678734936, FLIPID=70367e3e-638e-42aa-9433-c9c408de4213}
bcbf574d-809a-4a68-883f-8632122154bb|Nahiri, Heir of the Ancients // Nahiri, Heir of the Ancients||Card|||<BR><a href="https://api.scryfall.com/cards/bcbf574d-809a-4a68-883f-8632122154bb/rulings">Rulings</a>|Zendikar Rising Art Series|Common||David Rapoza|4|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/aznr/4/nahiri-heir-of-the-ancients-nahiri-heir-of-the-ancients?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/c/bcbf574d-809a-4a68-883f-8632122154bb.jpg?1678734960, FLIPID=-bcbf574d-809a-4a68-883f-8632122154bb}
-bcbf574d-809a-4a68-883f-8632122154bb|Nahiri, Heir of the Ancients // Nahiri, Heir of the Ancients (art_series)||Card|||<BR><a href="https://api.scryfall.com/cards/bcbf574d-809a-4a68-883f-8632122154bb/rulings">Rulings</a>|Zendikar Rising Art Series|Common||David Rapoza|4b|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/aznr/4/nahiri-heir-of-the-ancients-nahiri-heir-of-the-ancients?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/back/b/c/bcbf574d-809a-4a68-883f-8632122154bb.jpg?1678734960, FLIPID=bcbf574d-809a-4a68-883f-8632122154bb}
6efd7a6b-4814-42e6-b0b4-a1e427419352|Nissa of Shadowed Boughs // Nissa of Shadowed Boughs||Card|||<BR><a href="https://api.scryfall.com/cards/6efd7a6b-4814-42e6-b0b4-a1e427419352/rulings">Rulings</a>|Zendikar Rising Art Series|Common||Yongjae Choi|5|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/aznr/5/nissa-of-shadowed-boughs-nissa-of-shadowed-boughs?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/e/6efd7a6b-4814-42e6-b0b4-a1e427419352.jpg?1678734981, FLIPID=-6efd7a6b-4814-42e6-b0b4-a1e427419352}
-6efd7a6b-4814-42e6-b0b4-a1e427419352|Nissa of Shadowed Boughs // Nissa of Shadowed Boughs (art_series)||Card|||<BR><a href="https://api.scryfall.com/cards/6efd7a6b-4814-42e6-b0b4-a1e427419352/rulings">Rulings</a>|Zendikar Rising Art Series|Common||Yongjae Choi|5b|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/aznr/5/nissa-of-shadowed-boughs-nissa-of-shadowed-boughs?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/back/6/e/6efd7a6b-4814-42e6-b0b4-a1e427419352.jpg?1678734981, FLIPID=6efd7a6b-4814-42e6-b0b4-a1e427419352}
0bf031e9-65cd-425d-9dfd-69230bf9984c|Nissa of Shadowed Boughs // Nissa of Shadowed Boughs||Card|||<BR><a href="https://api.scryfall.com/cards/0bf031e9-65cd-425d-9dfd-69230bf9984c/rulings">Rulings</a>|Zendikar Rising Art Series|Common||David Rapoza|6|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/aznr/6/nissa-of-shadowed-boughs-nissa-of-shadowed-boughs?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/b/0bf031e9-65cd-425d-9dfd-69230bf9984c.jpg?1678735003, FLIPID=-0bf031e9-65cd-425d-9dfd-69230bf9984c}
-0bf031e9-65cd-425d-9dfd-69230bf9984c|Nissa of Shadowed Boughs // Nissa of Shadowed Boughs (art_series)||Card|||<BR><a href="https://api.scryfall.com/cards/0bf031e9-65cd-425d-9dfd-69230bf9984c/rulings">Rulings</a>|Zendikar Rising Art Series|Common||David Rapoza|6b|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/aznr/6/nissa-of-shadowed-boughs-nissa-of-shadowed-boughs?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/back/0/b/0bf031e9-65cd-425d-9dfd-69230bf9984c.jpg?1678735003, FLIPID=0bf031e9-65cd-425d-9dfd-69230bf9984c}
