ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
scry_56bbe83e-31de-403c-90ed-778125f11429|Abu Ja'far|{W}|Creature - Human|0|1|When this creature dies, destroy all creatures blocking or blocked by it. They can't be regenerated.|Chronicles Foreign Black Border|Uncommon|Japanese|Ken Meyer, Jr.|1|Finishes: nonfoil:<br>https://scryfall.com/card/bchr/1/ja/%E3%82%A2%E3%83%96%E3%83%BC%E3%83%BB%E3%82%B8%E3%83%A3%E3%83%BC%E3%83%95%E3%82%A1%E3%83%AB-(abu-jafar)?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/6/56bbe83e-31de-403c-90ed-778125f11429.jpg?1676212318}
scry_f92d15d5-8da1-4cea-8c17-8071b6843dba|Akron Legionnaire|{6}{W}{W}|Creature - Giant Soldier|8|4|Except for creatures named Akron Legionnaire and artifact creatures, creatures you control can't attack.|Chronicles Foreign Black Border|Rare|Japanese|Mark Poole|2|Finishes: nonfoil:<br>https://scryfall.com/card/bchr/2/ja/%E3%82%A2%E3%82%AF%E3%83%AD%E3%83%B3%E3%81%AE%E8%BB%8D%E5%9B%A3%E5%85%B5-(akron-legionnaire)?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/9/f92d15d5-8da1-4cea-8c17-8071b6843dba.jpg?1600199671}
scry_215695ea-828b-4652-852c-0d6305d5441b|Angelic Voices|{2}{W}{W}|Enchantment|||Creatures you control get +1/+1 as long as you control no nonartifact, nonwhite creatures.|Chronicles Foreign Black Border|Rare|Japanese|Julie Baroh|3|Finishes: nonfoil:<br>https://scryfall.com/card/bchr/3/ja/%E5%A4%A9%E4%BD%BF%E3%81%AE%E5%A3%B0-(angelic-voices)?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/1/215695ea-828b-4652-852c-0d6305d5441b.jpg?1562901643}
scry_e539edf3-7dbd-4ad5-8d35-3563b75647f4|Blood of the Martyr|{W}{W}{W}|Instant|||Until end of turn, if damage would be dealt to any creature, you may have that damage dealt to you instead.|Chronicles Foreign Black Border|Uncommon|Japanese|Christopher Rush|4|Finishes: nonfoil:<br>https://scryfall.com/card/bchr/4/ja/%E6%AE%89%E6%95%99%E8%80%85%E3%81%AE%E8%A1%80-(blood-of-the-martyr)?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/5/e539edf3-7dbd-4ad5-8d35-3563b75647f4.jpg?1562941015}
scry_0c02cbcf-e83b-48f9-87bd-9a1e6b50d7cd|D'Avenant Archer|{2}{W}|Creature - Human Soldier Archer|1|2|{T}: This creature deals 1 damage to target attacking or blocking creature.|Chronicles Foreign Black Border|Common|Japanese|Douglas Shuler|5|Finishes: nonfoil:<br>https://scryfall.com/card/bchr/5/ja/%E3%83%80%E3%83%96%E3%83%8A%E3%83%B3%E3%83%88%E3%81%AE%E5%B0%84%E6%89%8B-(davenant-archer)?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/c/0c02cbcf-e83b-48f9-87bd-9a1e6b50d7cd.jpg?1562897419}
scry_787e34ed-26a2-44d8-a542-34186148dc8c|Divine Offering|{1}{W}|Instant|||Destroy target artifact. You gain life equal to its mana value.|Chronicles Foreign Black Border|Common|Japanese|Jeff A. Menges|6|Finishes: nonfoil:<br>https://scryfall.com/card/bchr/6/ja/%E7%A5%9E%E3%81%B8%E3%81%AE%E6%8D%A7%E3%81%92%E7%89%A9-(divine-offering)?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/8/787e34ed-26a2-44d8-a542-34186148dc8c.jpg?1562919158}
scry_9e4e8e38-0e6d-4285-ae6c-c18b424313ab|Indestructible Aura|{W}|Instant|||Prevent all damage that would be dealt to target creature this turn.|Chronicles Foreign Black Border|Common|Japanese|Mark Poole|7|Finishes: nonfoil:<br>https://scryfall.com/card/bchr/7/ja/%E4%B8%8D%E6%BB%85%E3%81%AE%E3%82%AA%E3%83%BC%E3%83%A9-(indestructible-aura)?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/e/9e4e8e38-0e6d-4285-ae6c-c18b424313ab.jpg?1562926913}
scry_ea0fb1a3-76df-4920-8bdb-8be76d0894c4|Ivory Guardians|{4}{W}{W}|Creature - Giant Cleric|3|3|Protection from red<br>Creatures named Ivory Guardians get +1/+1 as long as an opponent controls a nontoken red permanent.|Chronicles Foreign Black Border|Uncommon|Japanese|Melissa A. Benson|8|Finishes: nonfoil:<br>https://scryfall.com/card/bchr/8/ja/%E8%B1%A1%E7%89%99%E3%81%AE%E5%AE%88%E8%AD%B7%E8%80%85-(ivory-guardians)?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/a/ea0fb1a3-76df-4920-8bdb-8be76d0894c4.jpg?1681080823}
scry_6d3defaf-ca31-4081-af3e-274195efbfd7|Keepers of the Faith|{1}{W}{W}|Creature - Human Cleric|2|3||Chronicles Foreign Black Border|Common|Japanese|Daniel Gelon|9|Finishes: nonfoil:<br>https://scryfall.com/card/bchr/9/ja/%E4%BF%A1%E4%BB%B0%E3%81%AE%E5%AE%88%E3%82%8A%E6%89%8B-(keepers-of-the-faith)?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/d/6d3defaf-ca31-4081-af3e-274195efbfd7.jpg?1562916863}
scry_2d8d3496-ad63-4a61-a2d6-b51885004133|Petra Sphinx|{2}{W}{W}{W}|Creature - Sphinx|3|4|{T}: Target player chooses a card name, then reveals the top card of their library. If that card has the chosen name, that player puts it into their hand. If it doesn't, the player puts it into their graveyard.|Chronicles Foreign Black Border|Rare|Japanese|Sandra Everingham|10|Finishes: nonfoil:<br>https://scryfall.com/card/bchr/10/ja/%E3%83%9A%E3%83%88%E3%83%A9%E3%83%BB%E3%82%B9%E3%83%95%E3%82%A3%E3%83%B3%E3%82%AF%E3%82%B9-(petra-sphinx)?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/d/2d8d3496-ad63-4a61-a2d6-b51885004133.jpg?1562904255}
