ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|GATHERERID|TCGID|PROPERTIES
25a06f82-ebdb-4dd6-bfe8-958018ce557c|Banishing Light|{2}{W}|Enchantment|||When this enchantment enters, exile target nonland permanent an opponent controls until this enchantment leaves the battlefield.<BR><a href="https://api.scryfall.com/cards/25a06f82-ebdb-4dd6-bfe8-958018ce557c/rulings">Rulings</a>|Bloomburrow|Common||Zoltan Boros|1|R$ 0.04 F$ 0.11<br>MID: 668915<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/blb/1/banishing-light?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=668915&printed=false">Gatherer</a>|668915|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/5/25a06f82-ebdb-4dd6-bfe8-958018ce557c.jpg?1721425761}
fc310a26-b6a0-4e42-98ab-bdfd7b06cb63|Beza, the Bounding Spring|{2}{W}{W}|Legendary Creature - Elemental Elk|4|5|When Beza enters, create a Treasure token if an opponent controls more lands than you. You gain 4 life if an opponent has more life than you. Create two 1/1 blue Fish creature tokens if an opponent controls more creatures than you. Draw a card if an opponent has more cards in hand than you.<BR><a href="https://api.scryfall.com/cards/fc310a26-b6a0-4e42-98ab-bdfd7b06cb63/rulings">Rulings</a>|Bloomburrow|Mythic||Martin Wittfooth|2|R$ 6.52 F$ 6.72<br>MID: 668916<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/blb/2/beza-the-bounding-spring?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=668916&printed=false">Gatherer</a>|668916|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/c/fc310a26-b6a0-4e42-98ab-bdfd7b06cb63.jpg?1721425768}
b8dd4693-424d-4d6e-86cf-24401a23d6b1|Brave-Kin Duo|{W}|Creature - Rabbit Mouse|1|1|{1}, {T}: Target creature gets +1/+1 until end of turn. Activate only as a sorcery.<BR><a href="https://api.scryfall.com/cards/b8dd4693-424d-4d6e-86cf-24401a23d6b1/rulings">Rulings</a>|Bloomburrow|Common||Devin Platts|3|R$ 0.05 F$ 0.05<br>MID: 668917<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/blb/3/brave-kin-duo?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=668917&printed=false">Gatherer</a>|668917|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/8/b8dd4693-424d-4d6e-86cf-24401a23d6b1.jpg?1721425770}
df7fea2e-7414-4bc8-adb0-9342e174c009|Brightblade Stoat|{1}{W}|Creature - Weasel Soldier|2|2|First strike, lifelink<BR><a href="https://api.scryfall.com/cards/df7fea2e-7414-4bc8-adb0-9342e174c009/rulings">Rulings</a>|Bloomburrow|Uncommon||Lius Lasahido|4|R$ 0.12 F$ 0.50<br>MID: 668918<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/blb/4/brightblade-stoat?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=668918&printed=false">Gatherer</a>|668918|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/f/df7fea2e-7414-4bc8-adb0-9342e174c009.jpg?1721425778}
15fa581a-724e-4196-a9a3-ff84c54bdb7d|Builder's Talent|{1}{W}|Enchantment - Class|||(Gain the next level as a sorcery to add its ability.)<br>When this Class enters, create a 0/4 white Wall creature token with defender.<br>{W}: Level 2<br>Whenever one or more noncreature, nonland permanents you control enter, put a +1/+1 counter on target creature you control.<br>{4}{W}: Level 3<br>When this Class becomes level 3, return target noncreature, nonland permanent card from your graveyard to the battlefield.<BR><a href="https://api.scryfall.com/cards/15fa581a-724e-4196-a9a3-ff84c54bdb7d/rulings">Rulings</a>|Bloomburrow|Uncommon||Ovidio Cartagena|5|R$ 0.08 F$ 0.08<br>MID: 668919<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/blb/5/builders-talent?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=668919&printed=false">Gatherer</a>|668919|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/5/15fa581a-724e-4196-a9a3-ff84c54bdb7d.jpg?1739650809}
ad5ea98a-e36e-4ab9-b4da-cc572f3777db|Caretaker's Talent|{2}{W}|Enchantment - Class|||(Gain the next level as a sorcery to add its ability.)<br>Whenever one or more tokens you control enter, draw a card. This ability triggers only once each turn.<br>{W}: Level 2<br>When this Class becomes level 2, create a token that's a copy of target token you control.<br>{3}{W}: Level 3<br>Creature tokens you control get +2/+2.<BR><a href="https://api.scryfall.com/cards/ad5ea98a-e36e-4ab9-b4da-cc572f3777db/rulings">Rulings</a>|Bloomburrow|Rare||Lindsey Look|6|R$ 8.13 F$ 8.89<br>MID: 668920<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/blb/6/caretakers-talent?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=668920&printed=false">Gatherer</a>|668920|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/d/ad5ea98a-e36e-4ab9-b4da-cc572f3777db.jpg?1721425789}
eb03bb4f-8b4b-417e-bfc6-294cd2186b2e|Carrot Cake|{1}{W}|Artifact - Food|||When this artifact enters and when you sacrifice it, create a 1/1 white Rabbit creature token and scry 1. (Look at the top card of your library. You may put that card on the bottom.)<br>{2}, {T}, Sacrifice this artifact: You gain 3 life.<BR><a href="https://api.scryfall.com/cards/eb03bb4f-8b4b-417e-bfc6-294cd2186b2e/rulings">Rulings</a>|Bloomburrow|Common||Forrest Imel|7|R$ 0.08 F$ 0.16<br>MID: 668921<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/blb/7/carrot-cake?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=668921&printed=false">Gatherer</a>|668921|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/b/eb03bb4f-8b4b-417e-bfc6-294cd2186b2e.jpg?1721425791}
3c7b3b25-d4b3-4451-9f5c-6eb369541175|Crumb and Get It|{W}|Instant|||Gift a Food (You may promise an opponent a gift as you cast this spell. If you do, they create a Food token before its other effects. It's an artifact with "{2}, {T}, Sacrifice this token: You gain 3 life.")<br>Target creature you control gets +2/+2 until end of turn. If the gift was promised, that creature also gains indestructible until end of turn.<BR><a href="https://api.scryfall.com/cards/3c7b3b25-d4b3-4451-9f5c-6eb369541175/rulings">Rulings</a>|Bloomburrow|Common||Justyna Dura|8|R$ 0.06 F$ 0.08<br>MID: 668922<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/blb/8/crumb-and-get-it?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=668922&printed=false">Gatherer</a>|668922|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/c/3c7b3b25-d4b3-4451-9f5c-6eb369541175.jpg?1721429540}
8f72bfa0-efef-48ce-aff8-d5818ed71ba6|Dawn's Truce|{1}{W}|Instant|||Gift a card (You may promise an opponent a gift as you cast this spell. If you do, they draw a card before its other effects.)<br>You and permanents you control gain hexproof until end of turn. If the gift was promised, permanents you control also gain indestructible until end of turn.<BR><a href="https://api.scryfall.com/cards/8f72bfa0-efef-48ce-aff8-d5818ed71ba6/rulings">Rulings</a>|Bloomburrow|Rare||Justin Gerard|9|R$ 8.93 F$ 10.01<br>MID: 668923<br>Finishes: nonfoil:foil:<br>StorySpotlight: true<br><br><a href="https://scryfall.com/card/blb/9/dawns-truce?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=668923&printed=false">Gatherer</a>|668923|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/f/8f72bfa0-efef-48ce-aff8-d5818ed71ba6.jpg?1721425804}
666aefc2-44e0-4c27-88d5-7906f245a71f|Dewdrop Cure|{2}{W}|Sorcery|||Gift a card (You may promise an opponent a gift as you cast this spell. If you do, they draw a card before its other effects.)<br>Return up to two target creature cards each with mana value 2 or less from your graveyard to the battlefield. If the gift was promised, instead return up to three target creature cards each with mana value 2 or less from your graveyard to the battlefield.<BR><a href="https://api.scryfall.com/cards/666aefc2-44e0-4c27-88d5-7906f245a71f/rulings">Rulings</a>|Bloomburrow|Uncommon||Chris Rallis|10|R$ 0.13 F$ 0.19<br>MID: 668924<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/blb/10/dewdrop-cure?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=668924&printed=false">Gatherer</a>|668924|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/6/666aefc2-44e0-4c27-88d5-7906f245a71f.jpg?1721425815}
