ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
f0a3dc50-a5c4-4073-8fec-2f68544bc2a1|Prowl, Stoic Strategist // Prowl, Pursuit Vehicle|{3}{W}|Legendary Artifact Creature - Robot|3|3|More Than Meets the Eye {2}{W} (You may cast this card converted for {2}{W}.)<br>Whenever Prowl attacks, exile up to one other target tapped creature or Vehicle. For as long as that card remains exiled, its owner may play it.<br>Whenever a player plays a card exiled with Prowl, you draw a card and convert Prowl.|Transformers|Mythic||Volta Creation|1|MID: 587874 // 587875<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/bot/1/prowl-stoic-strategist-prowl-pursuit-vehicle?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/0/f0a3dc50-a5c4-4073-8fec-2f68544bc2a1.jpg?1703899468, FLIPID=-f0a3dc50-a5c4-4073-8fec-2f68544bc2a1}
-f0a3dc50-a5c4-4073-8fec-2f68544bc2a1|Prowl, Stoic Strategist // Prowl, Pursuit Vehicle (transform)||Legendary Artifact - Vehicle|2|3|Living metal (During your turn, this Vehicle is also a creature.)<br>Whenever another creature or Vehicle you control enters, put a +1/+1 counter on Prowl. If this is the second time this ability has resolved this turn, convert Prowl.|Transformers|Mythic||Volta Creation|1b|MID: 587875 // 587874<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/bot/1/prowl-stoic-strategist-prowl-pursuit-vehicle?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/back/f/0/f0a3dc50-a5c4-4073-8fec-2f68544bc2a1.jpg?1703899468, FLIPID=f0a3dc50-a5c4-4073-8fec-2f68544bc2a1}
c23a2d6b-43c2-4756-94c7-207cc344f0a7|Ratchet, Field Medic // Ratchet, Rescue Racer|{2}{W}|Legendary Artifact Creature - Robot|2|4|More Than Meets the Eye {1}{W} (You may cast this card converted for {1}{W}.)<br>Lifelink<br>Whenever you gain life, you may convert Ratchet. When you do, return target artifact card with mana value less than or equal to the amount of life you gained this turn from your graveyard to the battlefield tapped.|Transformers|Mythic||Volta Creation|2|MID: 587876 // 587877<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/bot/2/ratchet-field-medic-ratchet-rescue-racer?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/2/c23a2d6b-43c2-4756-94c7-207cc344f0a7.jpg?1703899662, FLIPID=-c23a2d6b-43c2-4756-94c7-207cc344f0a7}
-c23a2d6b-43c2-4756-94c7-207cc344f0a7|Ratchet, Field Medic // Ratchet, Rescue Racer (transform)||Legendary Artifact - Vehicle|1|4|Living metal (During your turn, this Vehicle is also a creature.)<br>Lifelink<br>Whenever one or more nontoken artifacts you control are put into a graveyard from the battlefield, convert Ratchet. This ability triggers only once each turn.|Transformers|Mythic||Volta Creation|2b|MID: 587877 // 587876<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/bot/2/ratchet-field-medic-ratchet-rescue-racer?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/back/c/2/c23a2d6b-43c2-4756-94c7-207cc344f0a7.jpg?1703899662, FLIPID=c23a2d6b-43c2-4756-94c7-207cc344f0a7}
6bf61883-2343-4a9f-9a34-99326a8827ad|Jetfire, Ingenious Scientist // Jetfire, Air Guardian|{4}{U}|Legendary Artifact Creature - Robot|3|4|More Than Meets the Eye {3}{U} (You may cast this card converted for {3}{U}.)<br>Flying<br>Remove one or more +1/+1 counters from among artifacts you control: Target player adds that much {C}. This mana can't be spent to cast nonartifact spells. Convert Jetfire.|Transformers|Mythic||Volta Creation|3|MID: 587878 // 587879<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/bot/3/jetfire-ingenious-scientist-jetfire-air-guardian?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/b/6bf61883-2343-4a9f-9a34-99326a8827ad.jpg?1674092775, FLIPID=-6bf61883-2343-4a9f-9a34-99326a8827ad}
-6bf61883-2343-4a9f-9a34-99326a8827ad|Jetfire, Ingenious Scientist // Jetfire, Air Guardian (transform)||Legendary Artifact - Vehicle|3|4|Living metal (During your turn, this Vehicle is also a creature.)<br>Flying<br>{U}{U}{U}: Convert Jetfire, then adapt 3. (If it has no +1/+1 counters on it, put three +1/+1 counters on it.)|Transformers|Mythic||Volta Creation|3b|MID: 587879 // 587878<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/bot/3/jetfire-ingenious-scientist-jetfire-air-guardian?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/back/6/b/6bf61883-2343-4a9f-9a34-99326a8827ad.jpg?1674092775, FLIPID=6bf61883-2343-4a9f-9a34-99326a8827ad}
d20738d2-a159-4e3e-be7a-561a121bd447|Blitzwing, Cruel Tormentor // Blitzwing, Adaptive Assailant|{5}{B}|Legendary Artifact Creature - Robot|6|5|More Than Meets the Eye {3}{B} (You may cast this card converted for {3}{B}.)<br>At the beginning of your end step, target opponent loses life equal to the life that player lost this turn. If no life is lost this way, convert Blitzwing.|Transformers|Mythic||Volta Creation|4|MID: 587880 // 587881<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/bot/4/blitzwing-cruel-tormentor-blitzwing-adaptive-assailant?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/2/d20738d2-a159-4e3e-be7a-561a121bd447.jpg?1703899858, FLIPID=-d20738d2-a159-4e3e-be7a-561a121bd447}
-d20738d2-a159-4e3e-be7a-561a121bd447|Blitzwing, Cruel Tormentor // Blitzwing, Adaptive Assailant (transform)||Legendary Artifact - Vehicle|3|5|Living metal (During your turn, this Vehicle is also a creature.)<br>At the beginning of combat on your turn, choose flying or indestructible at random. Blitzwing gains that ability until end of turn.<br>Whenever Blitzwing deals combat damage to a player, convert it.|Transformers|Mythic||Volta Creation|4b|MID: 587881 // 587880<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/bot/4/blitzwing-cruel-tormentor-blitzwing-adaptive-assailant?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/back/d/2/d20738d2-a159-4e3e-be7a-561a121bd447.jpg?1703899858, FLIPID=d20738d2-a159-4e3e-be7a-561a121bd447}
8234ea77-9ed6-4f3e-acc2-f52fb7003ed2|Starscream, Power Hungry // Starscream, Seeker Leader|{3}{B}|Legendary Artifact Creature - Robot|2|3|More Than Meets the Eye {2}{B} (You may cast this card converted for {2}{B}.)<br>Flying<br>Whenever you draw a card, if you're the monarch, target opponent loses 2 life.<br>Whenever one or more creatures deal combat damage to you, convert Starscream.|Transformers|Mythic||Volta Creation|5|MID: 587882 // 587883<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/bot/5/starscream-power-hungry-starscream-seeker-leader?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/2/8234ea77-9ed6-4f3e-acc2-f52fb7003ed2.jpg?1674092806, FLIPID=-8234ea77-9ed6-4f3e-acc2-f52fb7003ed2}
-8234ea77-9ed6-4f3e-acc2-f52fb7003ed2|Starscream, Power Hungry // Starscream, Seeker Leader (transform)||Legendary Artifact - Vehicle|2|3|Living metal (During your turn, this Vehicle is also a creature.)<br>Flying, menace, haste<br>Whenever Starscream deals combat damage to a player, if there is no monarch, that player becomes the monarch.<br>Whenever you become the monarch, convert Starscream.|Transformers|Mythic||Volta Creation|5b|MID: 587883 // 587882<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/bot/5/starscream-power-hungry-starscream-seeker-leader?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/back/8/2/8234ea77-9ed6-4f3e-acc2-f52fb7003ed2.jpg?1674092806, FLIPID=8234ea77-9ed6-4f3e-acc2-f52fb7003ed2}
