ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|GATHERERID|TCGID|PROPERTIES
38a62bb2-bc33-44d4-9a7e-92c9ea7d3c2c|Aeronaut Cavalry|{4}{W}|Creature - Human Soldier|3|4|Flying<br>When this creature enters, put a +1/+1 counter on another target Soldier you control.<BR><a href="https://api.scryfall.com/cards/38a62bb2-bc33-44d4-9a7e-92c9ea7d3c2c/rulings">Rulings</a>|The Brothers' War|Common||Lorenzo Mastroianni|1|R$ 0.08 F$ 0.07<br>MID: 583586<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/bro/1/aeronaut-cavalry?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=583586&printed=false">Gatherer</a>|583586|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/8/38a62bb2-bc33-44d4-9a7e-92c9ea7d3c2c.jpg?1674420122}
7ad55575-6053-43b1-9496-bcb1ea25e2a1|Airlift Chaplain|{2}{W}|Creature - Human Cleric|1|1|Flying<br>When this creature enters, mill three cards. You may put a Plains card or a creature card with mana value 3 or less from among the cards milled this way into your hand. If you don't, put a +1/+1 counter on this creature. (To mill a card, put the top card of your library into your graveyard.)<BR><a href="https://api.scryfall.com/cards/7ad55575-6053-43b1-9496-bcb1ea25e2a1/rulings">Rulings</a>|The Brothers' War|Common||Caroline Gariba|2|R$ 0.05 F$ 0.09<br>MID: 583587<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/bro/2/airlift-chaplain?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=583587&printed=false">Gatherer</a>|583587|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/a/7ad55575-6053-43b1-9496-bcb1ea25e2a1.jpg?1674420131}
cfa00c0e-163d-4f59-b8b9-3ee9143d27bb|Ambush Paratrooper|{1}{W}|Creature - Human Soldier|1|2|Flash<br>Flying<br>{5}: Creatures you control get +1/+1 until end of turn.<BR><a href="https://api.scryfall.com/cards/cfa00c0e-163d-4f59-b8b9-3ee9143d27bb/rulings">Rulings</a>|The Brothers' War|Common||Vladimir Krisetskiy|3|R$ 0.06 F$ 0.06<br>MID: 583588<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/bro/3/ambush-paratrooper?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=583588&printed=false">Gatherer</a>|583588|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/f/cfa00c0e-163d-4f59-b8b9-3ee9143d27bb.jpg?1674420138}
013bed2b-25db-4dfc-9283-e80c9ac6c841|Calamity's Wake|{1}{W}|Instant|||Exile all graveyards. Players can't cast noncreature spells this turn. Exile Calamity's Wake.<BR><a href="https://api.scryfall.com/cards/013bed2b-25db-4dfc-9283-e80c9ac6c841/rulings">Rulings</a>|The Brothers' War|Uncommon||Slawomir Maniak|4|R$ 0.12 F$ 0.23<br>MID: 583589<br>Finishes: nonfoil:foil:<br>StorySpotlight: true<br><br><a href="https://scryfall.com/card/bro/4/calamitys-wake?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=583589&printed=false">Gatherer</a>|583589|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/1/013bed2b-25db-4dfc-9283-e80c9ac6c841.jpg?1675567420}
38eca0ae-d400-4afb-9a45-7100f4cd7149|Deadly Riposte|{1}{W}|Instant|||Deadly Riposte deals 3 damage to target tapped creature and you gain 2 life.<BR><a href="https://api.scryfall.com/cards/38eca0ae-d400-4afb-9a45-7100f4cd7149/rulings">Rulings</a>|The Brothers' War|Common||Olena Richards|5|R$ 0.05 F$ 0.06<br>MID: 583590<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/bro/5/deadly-riposte?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=583590&printed=false">Gatherer</a>|583590|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/8/38eca0ae-d400-4afb-9a45-7100f4cd7149.jpg?1674420153}
658c5caa-d739-4d30-a512-43ac4de900cb|Disenchant|{1}{W}|Instant|||Destroy target artifact or enchantment.<BR><a href="https://api.scryfall.com/cards/658c5caa-d739-4d30-a512-43ac4de900cb/rulings">Rulings</a>|The Brothers' War|Common||Richard Kane Ferguson|6|R$ 0.06 F$ 0.23<br>MID: 583591<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/bro/6/disenchant?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=583591&printed=false">Gatherer</a>|583591|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/5/658c5caa-d739-4d30-a512-43ac4de900cb.jpg?1674420161}
dc83d586-bf46-437f-a5a3-996bd62d5866|Great Desert Prospector|{4}{W}|Creature - Human Artificer|3|2|When this creature enters, create a tapped Powerstone token for each other creature you control. (They're artifacts with "{T}: Add {C}. This mana can't be spent to cast a nonartifact spell.")<BR><a href="https://api.scryfall.com/cards/dc83d586-bf46-437f-a5a3-996bd62d5866/rulings">Rulings</a>|The Brothers' War|Uncommon||Néstor Ossandón Leal|7|R$ 0.08 F$ 0.09<br>MID: 583592<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/bro/7/great-desert-prospector?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=583592&printed=false">Gatherer</a>|583592|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/c/dc83d586-bf46-437f-a5a3-996bd62d5866.jpg?1674420170}
71ff86e9-1ce6-43cc-8135-f2adb1b6c5a7|In the Trenches|{1}{W}{W}|Enchantment|||Creatures you control get +1/+1.<br>{5}{W}: Exile target nonland permanent you don't control until this enchantment leaves the battlefield. Activate only as a sorcery and only once.<BR><a href="https://api.scryfall.com/cards/71ff86e9-1ce6-43cc-8135-f2adb1b6c5a7/rulings">Rulings</a>|The Brothers' War|Mythic||Daarken|8|R$ 0.30 F$ 0.45<br>MID: 583593<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/bro/8/in-the-trenches?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=583593&printed=false">Gatherer</a>|583593|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/1/71ff86e9-1ce6-43cc-8135-f2adb1b6c5a7.jpg?1674420177}
0737dbec-1646-41a0-adbf-706c9bd4fc7a|Kayla's Command|{1}{W}{W}|Sorcery|||Choose two —<br>• Create a 2/2 colorless Construct artifact creature token.<br>• Put a +1/+1 counter on a creature you control. It gains double strike until end of turn.<br>• Search your library for a basic Plains card, reveal it, put it into your hand, then shuffle.<br>• You gain 2 life and scry 2.<BR><a href="https://api.scryfall.com/cards/0737dbec-1646-41a0-adbf-706c9bd4fc7a/rulings">Rulings</a>|The Brothers' War|Rare||Dominik Mayer|9|R$ 0.11 F$ 0.22<br>MID: 583594<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/bro/9/kaylas-command?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=583594&printed=false">Gatherer</a>|583594|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/7/0737dbec-1646-41a0-adbf-706c9bd4fc7a.jpg?1674420185}
2bb84e72-0231-461a-a230-d8afa6e54289|Kayla's Reconstruction|{X}{W}{W}{W}|Sorcery|||Look at the top seven cards of your library. Put up to X artifact and/or creature cards with mana value 3 or less from among them onto the battlefield. Put the rest on the bottom of your library in a random order.<BR><a href="https://api.scryfall.com/cards/2bb84e72-0231-461a-a230-d8afa6e54289/rulings">Rulings</a>|The Brothers' War|Rare||Nicholas Elias|10|R$ 0.17 F$ 0.17<br>MID: 583595<br>Finishes: nonfoil:foil:<br>StorySpotlight: true<br><br><a href="https://scryfall.com/card/bro/10/kaylas-reconstruction?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=583595&printed=false">Gatherer</a>|583595|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/b/2bb84e72-0231-461a-a230-d8afa6e54289.jpg?1674420192}
