ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|GATHERERID|TCGID|PROPERTIES
b0724f3e-a29b-49f1-badc-da7dec5c697c|Adaptive Automaton|{3}|Artifact Creature - Construct|2|2|As this creature enters, choose a creature type.<br>This creature is the chosen type in addition to its other types.<br>Other creatures you control of the chosen type get +1/+1.<BR><a href="https://api.scryfall.com/cards/b0724f3e-a29b-49f1-badc-da7dec5c697c/rulings">Rulings</a>|The Brothers' War Retro Artifacts|Rare||Igor Kieryluk|1|R$ 1.23 F$ 1.47<br>MID: 586551<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/brr/1/adaptive-automaton?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=586551&printed=false">Gatherer</a>|586551|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/0/b0724f3e-a29b-49f1-badc-da7dec5c697c.jpg?1674091762}
7f5342d5-b8a6-46ee-afd7-b333bb836a7c|Aetherflux Reservoir|{4}|Artifact|||Whenever you cast a spell, you gain 1 life for each spell you've cast this turn.<br>Pay 50 life: This artifact deals 50 damage to any target.<BR><a href="https://api.scryfall.com/cards/7f5342d5-b8a6-46ee-afd7-b333bb836a7c/rulings">Rulings</a>|The Brothers' War Retro Artifacts|Mythic||Cliff Childs|2|R$ 19.19 F$ 30.19<br>MID: 586552<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/brr/2/aetherflux-reservoir?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=586552&printed=false">Gatherer</a>|586552|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/f/7f5342d5-b8a6-46ee-afd7-b333bb836a7c.jpg?1674091770}
8bab577a-4d2b-4b52-a861-1a43fdaa3f97|Altar of Dementia|{2}|Artifact|||Sacrifice a creature: Target player mills cards equal to the sacrificed creature's power.<BR><a href="https://api.scryfall.com/cards/8bab577a-4d2b-4b52-a861-1a43fdaa3f97/rulings">Rulings</a>|The Brothers' War Retro Artifacts|Mythic||Brom|3|R$ 14.49 F$ 17.14<br>MID: 586553<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/brr/3/altar-of-dementia?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=586553&printed=false">Gatherer</a>|586553|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/b/8bab577a-4d2b-4b52-a861-1a43fdaa3f97.jpg?1674091777}
0f2d0ee5-3173-4a03-be45-2fe9ea49cdc3|Ashnod's Altar|{3}|Artifact|||Sacrifice a creature: Add {C}{C}.<BR><a href="https://api.scryfall.com/cards/0f2d0ee5-3173-4a03-be45-2fe9ea49cdc3/rulings">Rulings</a>|The Brothers' War Retro Artifacts|Rare||Greg Staples|4|R$ 14.24 F$ 10.89<br>MID: 586554<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/brr/4/ashnods-altar?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=586554&printed=false">Gatherer</a>|586554|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/f/0f2d0ee5-3173-4a03-be45-2fe9ea49cdc3.jpg?1674091784}
4ea24f0f-7bda-459c-a962-bde22065d7cf|Astral Cornucopia|{X}{X}{X}|Artifact|||This artifact enters with X charge counters on it.<br>{T}: Choose a color. Add one mana of that color for each charge counter on this artifact.<BR><a href="https://api.scryfall.com/cards/4ea24f0f-7bda-459c-a962-bde22065d7cf/rulings">Rulings</a>|The Brothers' War Retro Artifacts|Rare||Aleksi Briclot|5|R$ 0.62 F$ 1.14<br>MID: 586555<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/brr/5/astral-cornucopia?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=586555&printed=false">Gatherer</a>|586555|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/e/4ea24f0f-7bda-459c-a962-bde22065d7cf.jpg?1674091791}
2cde7ae2-87b9-43d0-87cf-38c8706dd95e|Blackblade Reforged|{2}|Legendary Artifact - Equipment|||Equipped creature gets +1/+1 for each land you control.<br>Equip legendary creature {3}<br>Equip {7}<BR><a href="https://api.scryfall.com/cards/2cde7ae2-87b9-43d0-87cf-38c8706dd95e/rulings">Rulings</a>|The Brothers' War Retro Artifacts|Rare||Chris Rahn|6|R$ 3.86 F$ 4.70<br>MID: 586556<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/brr/6/blackblade-reforged?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=586556&printed=false">Gatherer</a>|586556|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/c/2cde7ae2-87b9-43d0-87cf-38c8706dd95e.jpg?1674091799}
5d74a0f3-3db4-444c-a879-f3f3db2e27a0|Bone Saw|{0}|Artifact - Equipment|||Equipped creature gets +1/+0.<br>Equip {1} ({1}: Attach to target creature you control. Equip only as a sorcery.)<BR><a href="https://api.scryfall.com/cards/5d74a0f3-3db4-444c-a879-f3f3db2e27a0/rulings">Rulings</a>|The Brothers' War Retro Artifacts|Uncommon||Pete Venters|7|R$ 0.06 F$ 0.12<br>MID: 586557<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/brr/7/bone-saw?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=586557&printed=false">Gatherer</a>|586557|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/d/5d74a0f3-3db4-444c-a879-f3f3db2e27a0.jpg?1674091808}
64f949db-07bd-4842-bc01-438158e640a8|Burnished Hart|{3}|Artifact Creature - Elk|2|2|{3}, Sacrifice this creature: Search your library for up to two basic land cards, put them onto the battlefield tapped, then shuffle.<BR><a href="https://api.scryfall.com/cards/64f949db-07bd-4842-bc01-438158e640a8/rulings">Rulings</a>|The Brothers' War Retro Artifacts|Uncommon||Yeong-Hao Han|8|R$ 0.08 F$ 0.19<br>MID: 586558<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/brr/8/burnished-hart?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=586558&printed=false">Gatherer</a>|586558|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/4/64f949db-07bd-4842-bc01-438158e640a8.jpg?1674091819}
be8e7286-4166-4d79-8fd6-4232826dc8d8|Caged Sun|{6}|Artifact|||As this artifact enters, choose a color.<br>Creatures you control of the chosen color get +1/+1.<br>Whenever a land's ability causes you to add one or more mana of the chosen color, add an additional one mana of that color.<BR><a href="https://api.scryfall.com/cards/be8e7286-4166-4d79-8fd6-4232826dc8d8/rulings">Rulings</a>|The Brothers' War Retro Artifacts|Mythic||Scott Chou|9|R$ 4.37 F$ 4.25<br>MID: 586559<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/brr/9/caged-sun?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=586559&printed=false">Gatherer</a>|586559|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/e/be8e7286-4166-4d79-8fd6-4232826dc8d8.jpg?1674091833}
15a0977c-e3cd-4963-935b-29cf3cbd28ff|Chromatic Lantern|{3}|Artifact|||Lands you control have "{T}: Add one mana of any color."<br>{T}: Add one mana of any color.<BR><a href="https://api.scryfall.com/cards/15a0977c-e3cd-4963-935b-29cf3cbd28ff/rulings">Rulings</a>|The Brothers' War Retro Artifacts|Rare||Jung Park|10|R$ 2.82 F$ 4.30<br>MID: 586560<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/brr/10/chromatic-lantern?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=586560&printed=false">Gatherer</a>|586560|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/5/15a0977c-e3cd-4963-935b-29cf3cbd28ff.jpg?1674091846}
