ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|GATHERERID|TCGID|PROPERTIES
c998d2ba-d2ca-4a85-b22a-ce8f42bb0d2f|Cliffside Rescuer|{1}{W}|Creature - Kor Soldier|2|2|Vigilance<br>{T}, Sacrifice this creature: Target permanent you control gains protection from each of your opponents until end of turn. (It can't be blocked, targeted, dealt damage, enchanted, or equipped by anything controlled by those players.)<BR><a href="https://api.scryfall.com/cards/c998d2ba-d2ca-4a85-b22a-ce8f42bb0d2f/rulings">Rulings</a>|Commander 2019|Uncommon||Caio Monteiro|1|MID: 470547<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/c19/1/cliffside-rescuer?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=470547&printed=false">Gatherer</a>|470547|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/9/c998d2ba-d2ca-4a85-b22a-ce8f42bb0d2f.jpg?1603098795}
44cccb23-a515-4e49-b4ae-a12d81f7d6ef|Commander's Insignia|{2}{W}{W}|Enchantment|||Creatures you control get +1/+1 for each time you've cast your commander from the command zone this game.<BR><a href="https://api.scryfall.com/cards/44cccb23-a515-4e49-b4ae-a12d81f7d6ef/rulings">Rulings</a>|Commander 2019|Rare||Anastasia Ovchinnikova|2|MID: 470548<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/c19/2/commanders-insignia?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=470548&printed=false">Gatherer</a>|470548|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/4/44cccb23-a515-4e49-b4ae-a12d81f7d6ef.jpg?1568003358}
ded9c409-7131-4b3f-a6b9-25fa32c5ec2c|Doomed Artisan|{2}{W}|Creature - Human Artificer|1|1|Sculptures you control can't attack or block.<br>At the beginning of your end step, create a colorless Sculpture artifact creature token with "This token's power and toughness are each equal to the number of Sculptures you control."<BR><a href="https://api.scryfall.com/cards/ded9c409-7131-4b3f-a6b9-25fa32c5ec2c/rulings">Rulings</a>|Commander 2019|Rare||Victor Adame Minguez|3|MID: 470549<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/c19/3/doomed-artisan?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=470549&printed=false">Gatherer</a>|470549|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/e/ded9c409-7131-4b3f-a6b9-25fa32c5ec2c.jpg?1568003364}
d243055f-892e-4042-9694-13d5e99e3550|Mandate of Peace|{1}{W}|Instant|||Cast this spell only during combat.<br>Your opponents can't cast spells this turn.<br>End the combat phase. (Remove all attackers and blockers from combat. Exile all spells and abilities from the stack, including this spell.)<BR><a href="https://api.scryfall.com/cards/d243055f-892e-4042-9694-13d5e99e3550/rulings">Rulings</a>|Commander 2019|Rare||Chris Rallis|4|MID: 470550<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/c19/4/mandate-of-peace?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=470550&printed=false">Gatherer</a>|470550|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/2/d243055f-892e-4042-9694-13d5e99e3550.jpg?1568003372}
7e68f4df-88ce-4e09-a03c-7edf40bff167|Sevinne's Reclamation|{2}{W}|Sorcery|||Return target permanent card with mana value 3 or less from your graveyard to the battlefield. If this spell was cast from a graveyard, you may copy this spell and may choose a new target for the copy.<br>Flashback {4}{W} (You may cast this card from your graveyard for its flashback cost. Then exile it.)<BR><a href="https://api.scryfall.com/cards/7e68f4df-88ce-4e09-a03c-7edf40bff167/rulings">Rulings</a>|Commander 2019|Rare||Zoltan Boros|5|MID: 470551<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/c19/5/sevinnes-reclamation?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=470551&printed=false">Gatherer</a>|470551|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/e/7e68f4df-88ce-4e09-a03c-7edf40bff167.jpg?1568003378}
bb73ec0d-f582-4f74-9b5c-180fe3aedcf6|Song of the Worldsoul|{4}{W}{W}|Enchantment|||Whenever you cast a spell, populate. (Create a token that's a copy of a creature token you control.)<BR><a href="https://api.scryfall.com/cards/bb73ec0d-f582-4f74-9b5c-180fe3aedcf6/rulings">Rulings</a>|Commander 2019|Rare||Torstein Nordstrand|6|MID: 470552<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/c19/6/song-of-the-worldsoul?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=470552&printed=false">Gatherer</a>|470552|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/b/bb73ec0d-f582-4f74-9b5c-180fe3aedcf6.jpg?1568003387}
4531482d-9238-40de-957e-61beb5700330|Thalia's Geistcaller|{2}{W}|Creature - Human Cleric|3|1|Lifelink<br>Whenever you cast a spell from your graveyard, create a 1/1 white Spirit creature token with flying.<br>Sacrifice a Spirit: This creature gains indestructible until end of turn.<BR><a href="https://api.scryfall.com/cards/4531482d-9238-40de-957e-61beb5700330/rulings">Rulings</a>|Commander 2019|Rare||Sean Sevestre|7|MID: 470553<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/c19/7/thalias-geistcaller?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=470553&printed=false">Gatherer</a>|470553|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/5/4531482d-9238-40de-957e-61beb5700330.jpg?1568003396}
cfe101fc-0c3d-461b-8c46-bb1bef97e739|Kadena's Silencer|{1}{U}|Creature - Snake Wizard|2|1|When this creature is turned face up, counter all abilities your opponents control.<br>Megamorph {1}{U} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its megamorph cost and put a +1/+1 counter on it.)<BR><a href="https://api.scryfall.com/cards/cfe101fc-0c3d-461b-8c46-bb1bef97e739/rulings">Rulings</a>|Commander 2019|Rare||Torstein Nordstrand|8|MID: 470554<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/c19/8/kadenas-silencer?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=470554&printed=false">Gatherer</a>|470554|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/f/cfe101fc-0c3d-461b-8c46-bb1bef97e739.jpg?1568003406}
4fa953a9-171c-4532-a352-40ce27eed3c4|Leadership Vacuum|{2}{U}|Instant|||Target player returns each commander they control from the battlefield to the command zone.<br>Draw a card.<BR><a href="https://api.scryfall.com/cards/4fa953a9-171c-4532-a352-40ce27eed3c4/rulings">Rulings</a>|Commander 2019|Uncommon||Johan Grenier|9|MID: 470555<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/c19/9/leadership-vacuum?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=470555&printed=false">Gatherer</a>|470555|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/f/4fa953a9-171c-4532-a352-40ce27eed3c4.jpg?1568003418}
762a0e40-af3c-4ef9-a9fc-0414a1758385|Mass Diminish|{1}{U}|Sorcery|||Until your next turn, creatures target player controls have base power and toughness 1/1.<br>Flashback {3}{U} (You may cast this card from your graveyard for its flashback cost. Then exile it.)<BR><a href="https://api.scryfall.com/cards/762a0e40-af3c-4ef9-a9fc-0414a1758385/rulings">Rulings</a>|Commander 2019|Rare||E. M. Gist|10|MID: 470556<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/c19/10/mass-diminish?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=470556&printed=false">Gatherer</a>|470556|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/6/762a0e40-af3c-4ef9-a9fc-0414a1758385.jpg?1568003427}
