ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
2838|Abu Ja'far|{W}|Creature - Human|0|1|When this creature dies, destroy all creatures blocking or blocked by it. They can't be regenerated.|Chronicles|Uncommon||Ken Meyer, Jr.|1|MID: 2838<br>Finishes: nonfoil:<br>https://scryfall.com/card/chr/1/abu-jafar?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/2/023b5e6f-10de-422d-8431-11f1fdeca246.jpg?1562895407}
2853|Akron Legionnaire|{6}{W}{W}|Creature - Giant Soldier|8|4|Except for creatures named Akron Legionnaire and artifact creatures, creatures you control can't attack.|Chronicles|Rare||Mark Poole|2|MID: 2853<br>Finishes: nonfoil:<br>https://scryfall.com/card/chr/2/akron-legionnaire?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/5/359e49df-aef4-4bce-abd6-a61f821faedf.jpg?1562905833}
2854|Angelic Voices|{2}{W}{W}|Enchantment|||Creatures you control get +1/+1 as long as you control no nonartifact, nonwhite creatures.|Chronicles|Rare||Julie Baroh|3|MID: 2854<br>Finishes: nonfoil:<br>https://scryfall.com/card/chr/3/angelic-voices?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/e/1e9a66b2-7392-4030-a3a8-8f3697307a39.jpg?1562901028}
2855|Blood of the Martyr|{W}{W}{W}|Instant|||Until end of turn, if damage would be dealt to any creature, you may have that damage dealt to you instead.|Chronicles|Uncommon||Christopher Rush|4|MID: 2855<br>Finishes: nonfoil:<br>https://scryfall.com/card/chr/4/blood-of-the-martyr?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/2/823b637b-e089-479a-88c0-be014516429a.jpg?1562921338}
2856|D'Avenant Archer|{2}{W}|Creature - Human Soldier Archer|1|2|{T}: This creature deals 1 damage to target attacking or blocking creature.|Chronicles|Common||Douglas Shuler|5|MID: 2856<br>Finishes: nonfoil:<br>https://scryfall.com/card/chr/5/davenant-archer?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/8/6868c8aa-1784-4944-bef2-7909de64a98d.jpg?1562916046}
2857|Divine Offering|{1}{W}|Instant|||Destroy target artifact. You gain life equal to its mana value.|Chronicles|Common||Jeff A. Menges|6|MID: 2857<br>Finishes: nonfoil:<br>https://scryfall.com/card/chr/6/divine-offering?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/3/9371c4aa-424f-4b89-9f73-239a9e4f8a9d.jpg?1562924762}
2858|Indestructible Aura|{W}|Instant|||Prevent all damage that would be dealt to target creature this turn.|Chronicles|Common||Mark Poole|7|MID: 2858<br>Finishes: nonfoil:<br>https://scryfall.com/card/chr/7/indestructible-aura?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/3/0397a4f3-6d7c-43d1-9fc2-c0eaf780ecb0.jpg?1562895705}
2859|Ivory Guardians|{4}{W}{W}|Creature - Giant Cleric|3|3|Protection from red<br>Creatures named Ivory Guardians get +1/+1 as long as an opponent controls a nontoken red permanent.|Chronicles|Uncommon||Melissa A. Benson|8|MID: 2859<br>Finishes: nonfoil:<br>https://scryfall.com/card/chr/8/ivory-guardians?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/7/b7033d2f-45be-42bc-830a-dc3b5b27c366.jpg?1562931813}
2860|Keepers of the Faith|{1}{W}{W}|Creature - Human Cleric|2|3||Chronicles|Common||Daniel Gelon|9|MID: 2860<br>Finishes: nonfoil:<br>https://scryfall.com/card/chr/9/keepers-of-the-faith?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/3/a3d1ad50-c60c-46a9-b2dc-5cd2680d7263.jpg?1562928135}
2861|Petra Sphinx|{2}{W}{W}{W}|Creature - Sphinx|3|4|{T}: Target player chooses a card name, then reveals the top card of their library. If that card has the chosen name, that player puts it into their hand. If it doesn't, the player puts it into their graveyard.|Chronicles|Rare||Sandra Everingham|10|MID: 2861<br>Finishes: nonfoil:<br>https://scryfall.com/card/chr/10/petra-sphinx?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/2/d2b3574a-e294-47b9-a543-5a65358ebcdc.jpg?1562937293}
2862|Repentant Blacksmith|{1}{W}|Creature - Human|1|2|Protection from red|Chronicles|Common||Drew Tucker|11|MID: 2862<br>Finishes: nonfoil:<br>https://scryfall.com/card/chr/11/repentant-blacksmith?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/8/98270418-5d24-46d3-a235-8956a3a34d21.jpg?1562925715}
2863|Shield Wall|{1}{W}|Instant|||Creatures you control get +0/+2 until end of turn.|Chronicles|Uncommon||Douglas Shuler|12|MID: 2863<br>Finishes: nonfoil:<br>https://scryfall.com/card/chr/12/shield-wall?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/9/b97ea2e6-9bc7-4eb8-a23b-4b23d507865e.jpg?1562932325}
2864|War Elephant|{3}{W}|Creature - Elephant|2|2|Trample; banding (Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding you control are blocking or being blocked by a creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)|Chronicles|Common||Kristen Bishop|13|MID: 2864<br>Finishes: nonfoil:<br>https://scryfall.com/card/chr/13/war-elephant?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/0/709cd715-28ef-42e8-bf8c-fc51a1ca0c6a.jpg?1562917507}
2865|Witch Hunter|{2}{W}{W}|Creature - Human Cleric|1|1|{T}: This creature deals 1 damage to target player or planeswalker.<br>{1}{W}{W}, {T}: Return target creature an opponent controls to its owner's hand.|Chronicles|Uncommon||Jesper Myrfors|14|MID: 2865<br>Finishes: nonfoil:<br>https://scryfall.com/card/chr/14/witch-hunter?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/d/4dc64378-3495-42d7-bf14-faa969f62583.jpg?1562910746}
