ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|GATHERERID|TCGID|PROPERTIES
f690eaac-11ce-4588-859e-5152b4b06b5b|Chaos Warp|{2}{R}|Instant|||The owner of target permanent shuffles it into their library, then reveals the top card of their library. If it's a permanent card, they put it onto the battlefield.<BR><a href="https://api.scryfall.com/cards/f690eaac-11ce-4588-859e-5152b4b06b5b/rulings">Rulings</a>|Commander's Arsenal|Rare||Trevor Claxton|1|F$ 2.99<br>MID: 338441<br>Finishes: foil:<br><br><a href="https://scryfall.com/card/cm1/1/chaos-warp?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=338441&printed=false">Gatherer</a>|338441|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/6/f690eaac-11ce-4588-859e-5152b4b06b5b.jpg?1568580228}
bf5dafb0-4fb1-470d-85ce-88f3ae32340b|Command Tower||Land|||{T}: Add one mana of any color in your commander's color identity.<BR><a href="https://api.scryfall.com/cards/bf5dafb0-4fb1-470d-85ce-88f3ae32340b/rulings">Rulings</a>|Commander's Arsenal|Common||Adam Paquette|2|F$ 25.44<br>MID: 338442<br>Finishes: foil:<br><br><a href="https://scryfall.com/card/cm1/2/command-tower?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=338442&printed=false">Gatherer</a>|338442|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/f/bf5dafb0-4fb1-470d-85ce-88f3ae32340b.jpg?1568580226}
03c37c68-cccf-4309-80c5-828108b942a4|Decree of Pain|{6}{B}{B}|Sorcery|||Destroy all creatures. They can't be regenerated. Draw a card for each creature destroyed this way.<br>Cycling {3}{B}{B} ({3}{B}{B}, Discard this card: Draw a card.)<br>When you cycle this card, all creatures get -2/-2 until end of turn.<BR><a href="https://api.scryfall.com/cards/03c37c68-cccf-4309-80c5-828108b942a4/rulings">Rulings</a>|Commander's Arsenal|Rare||Mathias Kollros|3|F$ 2.19<br>MID: 338453<br>Finishes: foil:<br><br><a href="https://scryfall.com/card/cm1/3/decree-of-pain?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=338453&printed=false">Gatherer</a>|338453|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/3/03c37c68-cccf-4309-80c5-828108b942a4.jpg?1569957295}
41527ad3-cf03-42f3-8786-ff39c841a8c7|Desertion|{3}{U}{U}|Instant|||Counter target spell. If an artifact or creature spell is countered this way, put that card onto the battlefield under your control instead of into its owner's graveyard.<BR><a href="https://api.scryfall.com/cards/41527ad3-cf03-42f3-8786-ff39c841a8c7/rulings">Rulings</a>|Commander's Arsenal|Rare||Richard Kane Ferguson|4|F$ 3.97<br>MID: 338454<br>Finishes: foil:<br><br><a href="https://scryfall.com/card/cm1/4/desertion?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=338454&printed=false">Gatherer</a>|338454|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/1/41527ad3-cf03-42f3-8786-ff39c841a8c7.jpg?1568580224}
0d5da41e-61a2-41fd-9d8e-83d51234cc71|Diaochan, Artful Beauty|{3}{R}|Legendary Creature - Human Advisor|1|1|{T}: Destroy target creature of your choice, then destroy target creature of an opponent's choice. Activate only during your turn, before attackers are declared.<BR><a href="https://api.scryfall.com/cards/0d5da41e-61a2-41fd-9d8e-83d51234cc71/rulings">Rulings</a>|Commander's Arsenal|Rare||Miao Aili|5|F$ 19.52<br>MID: 338449<br>Finishes: foil:<br><br><a href="https://scryfall.com/card/cm1/5/diaochan-artful-beauty?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=338449&printed=false">Gatherer</a>|338449|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/d/0d5da41e-61a2-41fd-9d8e-83d51234cc71.jpg?1568580278}
7c2d4e3e-2c4c-41ec-9e0b-4c70a6bdbdfd|Dragonlair Spider|{2}{R}{R}{G}{G}|Creature - Spider|5|6|Reach<br>Whenever an opponent casts a spell, create a 1/1 green Insect creature token.<BR><a href="https://api.scryfall.com/cards/7c2d4e3e-2c4c-41ec-9e0b-4c70a6bdbdfd/rulings">Rulings</a>|Commander's Arsenal|Rare||Carl Critchlow|6|F$ 3.14<br>MID: 338446<br>Finishes: foil:<br><br><a href="https://scryfall.com/card/cm1/6/dragonlair-spider?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=338446&printed=false">Gatherer</a>|338446|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/c/7c2d4e3e-2c4c-41ec-9e0b-4c70a6bdbdfd.jpg?1568580279}
72ddec79-76aa-4c9d-8961-ce9004e0dfa2|Duplicant|{6}|Artifact Creature - Shapeshifter|2|4|Imprint — When this creature enters, you may exile target nontoken creature.<br>As long as a card exiled with this creature is a creature card, this creature has the power, toughness, and creature types of the last creature card exiled with it. It's still a Shapeshifter.<BR><a href="https://api.scryfall.com/cards/72ddec79-76aa-4c9d-8961-ce9004e0dfa2/rulings">Rulings</a>|Commander's Arsenal|Rare||Marco Nelor|7|F$ 3.60<br>MID: 338451<br>Finishes: foil:<br><br><a href="https://scryfall.com/card/cm1/7/duplicant?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=338451&printed=false">Gatherer</a>|338451|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/2/72ddec79-76aa-4c9d-8961-ce9004e0dfa2.jpg?1568580280}
d5f1e96a-9fa0-4a76-962d-9dcde253172f|Edric, Spymaster of Trest|{1}{G}{U}|Legendary Creature - Elf Rogue|2|2|Whenever a creature deals combat damage to one of your opponents, its controller may draw a card.<BR><a href="https://api.scryfall.com/cards/d5f1e96a-9fa0-4a76-962d-9dcde253172f/rulings">Rulings</a>|Commander's Arsenal|Rare||Volkan Baǵa|8|F$ 7.87<br>MID: 338443<br>Finishes: foil:<br><br><a href="https://scryfall.com/card/cm1/8/edric-spymaster-of-trest?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=338443&printed=false">Gatherer</a>|338443|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/5/d5f1e96a-9fa0-4a76-962d-9dcde253172f.jpg?1568580282}
23ac8d69-dd92-43b2-b42b-a0ca97105f0e|Kaalia of the Vast|{1}{R}{W}{B}|Legendary Creature - Human Cleric|2|2|Flying<br>Whenever Kaalia attacks an opponent, you may put an Angel, Demon, or Dragon creature card from your hand onto the battlefield tapped and attacking that opponent.<BR><a href="https://api.scryfall.com/cards/23ac8d69-dd92-43b2-b42b-a0ca97105f0e/rulings">Rulings</a>|Commander's Arsenal|Mythic||Michael Komarck|9|F$ 13.72<br>MID: 338444<br>Finishes: foil:<br><br><a href="https://scryfall.com/card/cm1/9/kaalia-of-the-vast?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=338444&printed=false">Gatherer</a>|338444|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/3/23ac8d69-dd92-43b2-b42b-a0ca97105f0e.jpg?1568580344}
5b573ef7-4fce-44d6-91ec-48a62be8d21c|Loyal Retainers|{2}{W}|Creature - Human Advisor|1|1|Sacrifice this creature: Return target legendary creature card from your graveyard to the battlefield. Activate only during your turn, before attackers are declared.<BR><a href="https://api.scryfall.com/cards/5b573ef7-4fce-44d6-91ec-48a62be8d21c/rulings">Rulings</a>|Commander's Arsenal|Uncommon||Solomon Au Yeung|10|F$ 6.12<br>MID: 338450<br>Finishes: foil:<br><br><a href="https://scryfall.com/card/cm1/10/loyal-retainers?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=338450&printed=false">Gatherer</a>|338450|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/b/5b573ef7-4fce-44d6-91ec-48a62be8d21c.jpg?1568580345}
