ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|GATHERERID|TCGID|PROPERTIES
c78c2713-39e7-4a6e-a132-027099a89665|The Prismatic Piper|{5}|Legendary Creature - Shapeshifter|3|3|If The Prismatic Piper is your commander, choose a color before the game begins. The Prismatic Piper is the chosen color.<br>Partner (You can have two commanders if both have partner.)<BR><a href="https://api.scryfall.com/cards/c78c2713-39e7-4a6e-a132-027099a89665/rulings">Rulings</a>|Commander Masters|Special||Seb McKinnon|1|MID: 629305<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/cmm/1/the-prismatic-piper?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=629305&printed=false">Gatherer</a>|629305|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/7/c78c2713-39e7-4a6e-a132-027099a89665.jpg?1695757243}
c41554e7-2a07-4cc7-b01b-44deed08e588|Kozilek, the Great Distortion|{8}{C}{C}|Legendary Creature - Eldrazi|12|12|When you cast this spell, if you have fewer than seven cards in hand, draw cards equal to the difference.<br>Menace<br>Discard a card with mana value X: Counter target spell with mana value X.<BR><a href="https://api.scryfall.com/cards/c41554e7-2a07-4cc7-b01b-44deed08e588/rulings">Rulings</a>|Commander Masters|Mythic||Aleksi Briclot|2|MID: 622610<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/cmm/2/kozilek-the-great-distortion?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=622610&printed=false">Gatherer</a>|622610|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/4/c41554e7-2a07-4cc7-b01b-44deed08e588.jpg?1689995398}
84238335-e08c-421c-b9b9-70a679ff2967|Morophon, the Boundless|{7}|Legendary Creature - Shapeshifter|6|6|Changeling (This card is every creature type.)<br>As Morophon enters, choose a creature type.<br>Spells of the chosen type you cast cost {W}{U}{B}{R}{G} less to cast. This effect reduces only the amount of colored mana you pay.<br>Other creatures you control of the chosen type get +1/+1.<BR><a href="https://api.scryfall.com/cards/84238335-e08c-421c-b9b9-70a679ff2967/rulings">Rulings</a>|Commander Masters|Mythic||Victor Adame Minguez|3|MID: 622611<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/cmm/3/morophon-the-boundless?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=622611&printed=false">Gatherer</a>|622611|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/4/84238335-e08c-421c-b9b9-70a679ff2967.jpg?1689995411}
c9b1d4d8-7df9-41e0-b2d9-dbca9c9f6994|Pathrazer of Ulamog|{11}|Creature - Eldrazi|9|9|Annihilator 3 (Whenever this creature attacks, defending player sacrifices three permanents of their choice.)<br>This creature can't be blocked except by three or more creatures.<BR><a href="https://api.scryfall.com/cards/c9b1d4d8-7df9-41e0-b2d9-dbca9c9f6994/rulings">Rulings</a>|Commander Masters|Uncommon||Austin Hsu|4|MID: 622612<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/cmm/4/pathrazer-of-ulamog?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=622612&printed=false">Gatherer</a>|622612|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/9/c9b1d4d8-7df9-41e0-b2d9-dbca9c9f6994.jpg?1689995424}
c74ae706-b3b3-4097-a387-6f6c38a9b603|Ulamog, the Ceaseless Hunger|{10}|Legendary Creature - Eldrazi|10|10|When you cast this spell, exile two target permanents.<br>Indestructible<br>Whenever Ulamog attacks, defending player exiles the top twenty cards of their library.<BR><a href="https://api.scryfall.com/cards/c74ae706-b3b3-4097-a387-6f6c38a9b603/rulings">Rulings</a>|Commander Masters|Mythic||Michael Komarck|5|MID: 622613<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/cmm/5/ulamog-the-ceaseless-hunger?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=622613&printed=false">Gatherer</a>|622613|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/7/c74ae706-b3b3-4097-a387-6f6c38a9b603.jpg?1689995438}
699c0f6f-b26b-4741-8140-8a6030cad127|Ulamog's Crusher|{8}|Creature - Eldrazi|8|8|Annihilator 2 (Whenever this creature attacks, defending player sacrifices two permanents of their choice.)<br>This creature attacks each combat if able.<BR><a href="https://api.scryfall.com/cards/699c0f6f-b26b-4741-8140-8a6030cad127/rulings">Rulings</a>|Commander Masters|Common||Todd Lockwood|6|MID: 622614<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/cmm/6/ulamogs-crusher?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=622614&printed=false">Gatherer</a>|622614|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/9/699c0f6f-b26b-4741-8140-8a6030cad127.jpg?1689995450}
6956c523-507c-4256-88b8-58a8a108c79f|Ainok Bond-Kin|{1}{W}|Creature - Dog Soldier|2|1|Outlast {1}{W} ({1}{W}, {T}: Put a +1/+1 counter on this creature. Outlast only as a sorcery.)<br>Each creature you control with a +1/+1 counter on it has first strike.<BR><a href="https://api.scryfall.com/cards/6956c523-507c-4256-88b8-58a8a108c79f/rulings">Rulings</a>|Commander Masters|Common||Chris Rahn|7|MID: 622615<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/cmm/7/ainok-bond-kin?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=622615&printed=false">Gatherer</a>|622615|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/9/6956c523-507c-4256-88b8-58a8a108c79f.jpg?1689995463}
3fdf5020-ea97-4f95-a096-cb5688dad2e2|Alharu, Solemn Ritualist|{4}{W}|Legendary Creature - Human Monk|3|3|When Alharu enters, put a +1/+1 counter on each of up to two other target creatures.<br>Whenever a nontoken creature you control with a +1/+1 counter on it dies, create a 1/1 white Spirit creature token with flying.<br>Partner (You can have two commanders if both have partner.)<BR><a href="https://api.scryfall.com/cards/3fdf5020-ea97-4f95-a096-cb5688dad2e2/rulings">Rulings</a>|Commander Masters|Uncommon||Chris Rallis|8|MID: 622616<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/cmm/8/alharu-solemn-ritualist?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=622616&printed=false">Gatherer</a>|622616|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/f/3fdf5020-ea97-4f95-a096-cb5688dad2e2.jpg?1689995476}
5fc0b82a-f943-4330-b9e7-bb4527354bfd|All That Glitters|{1}{W}|Enchantment - Aura|||Enchant creature<br>Enchanted creature gets +1/+1 for each artifact and/or enchantment you control.<BR><a href="https://api.scryfall.com/cards/5fc0b82a-f943-4330-b9e7-bb4527354bfd/rulings">Rulings</a>|Commander Masters|Common||Iain McCaig|9|MID: 622617<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/cmm/9/all-that-glitters?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=622617&printed=false">Gatherer</a>|622617|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/f/5fc0b82a-f943-4330-b9e7-bb4527354bfd.jpg?1715600785}
367ac07a-a30f-4ebf-8877-27cd9ebe2f71|Alms Collector|{3}{W}|Creature - Cat Cleric|3|4|Flash<br>If an opponent would draw two or more cards, instead you and that player each draw a card.<BR><a href="https://api.scryfall.com/cards/367ac07a-a30f-4ebf-8877-27cd9ebe2f71/rulings">Rulings</a>|Commander Masters|Rare||Bram Sels|10|MID: 622618<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/cmm/10/alms-collector?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=622618&printed=false">Gatherer</a>|622618|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/6/367ac07a-a30f-4ebf-8877-27cd9ebe2f71.jpg?1689995500}
