ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|GATHERERID|TCGID|PROPERTIES
8bfd6889-90e2-49fe-bd30-7d850dc18db2|Adriana's Valor||Conspiracy|||Hidden agenda (Start the game with this conspiracy face down in the command zone and secretly choose a card name. You may turn this conspiracy face up any time and reveal that name.)<br>Whenever a creature you control with the chosen name attacks, you may pay {W}. If you do, that creature gains indestructible until end of turn. (Damage and effects that say "destroy" don't destroy it.)<BR><a href="https://api.scryfall.com/cards/8bfd6889-90e2-49fe-bd30-7d850dc18db2/rulings">Rulings</a>|Conspiracy: Take the Crown|Common||Lius Lasahido|1|R$ 0.12 F$ 0.38<br>MID: 416758<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/cn2/1/adrianas-valor?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=416758&printed=false">Gatherer</a>|416758|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/b/8bfd6889-90e2-49fe-bd30-7d850dc18db2.jpg?1720517028}
7023889e-924f-495f-b189-82592989d659|Assemble the Rank and Vile||Conspiracy|||Hidden agenda (Start the game with this conspiracy face down in the command zone and secretly choose a card name. You may turn this conspiracy face up any time and reveal that name.)<br>Creatures you control with the chosen name have "When this creature dies, you may pay {B}. If you do, create a tapped 2/2 black Zombie creature token."<BR><a href="https://api.scryfall.com/cards/7023889e-924f-495f-b189-82592989d659/rulings">Rulings</a>|Conspiracy: Take the Crown|Common||Seb McKinnon|2|R$ 0.08 F$ 0.48<br>MID: 416759<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/cn2/2/assemble-the-rank-and-vile?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=416759&printed=false">Gatherer</a>|416759|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/0/7023889e-924f-495f-b189-82592989d659.jpg?1720517032}
165dd3b0-0878-448e-b922-019d0ba372d0|Echoing Boon||Conspiracy|||Hidden agenda (Start the game with this conspiracy face down in the command zone and secretly choose a card name. You may turn this conspiracy face up any time and reveal that name.)<br>Whenever you cast an instant or sorcery spell, if it targets a creature you control with the chosen name, you may copy that spell and may choose new targets for the copy.<BR><a href="https://api.scryfall.com/cards/165dd3b0-0878-448e-b922-019d0ba372d0/rulings">Rulings</a>|Conspiracy: Take the Crown|Uncommon||Jesper Ejsing|3|R$ 0.14 F$ 0.57<br>MID: 416760<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/cn2/3/echoing-boon?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=416760&printed=false">Gatherer</a>|416760|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/6/165dd3b0-0878-448e-b922-019d0ba372d0.jpg?1681082860}
ce5f3b5c-feb8-4304-852f-01c467d6517c|Emissary's Ploy||Conspiracy|||(Start the game with this conspiracy face up in the command zone.)<br>Before drawing your opening hand, choose 1, 2, or 3.<br>You may spend mana as though it were mana of any color to cast creature spells with mana value equal to the chosen number.<BR><a href="https://api.scryfall.com/cards/ce5f3b5c-feb8-4304-852f-01c467d6517c/rulings">Rulings</a>|Conspiracy: Take the Crown|Rare||Howard Lyon|4|R$ 0.24 F$ 1.31<br>MID: 416761<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/cn2/4/emissarys-ploy?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=416761&printed=false">Gatherer</a>|416761|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/e/ce5f3b5c-feb8-4304-852f-01c467d6517c.jpg?1681082864}
d3914468-d769-4fe3-ae18-0caee9eb1502|Hired Heist||Conspiracy|||Hidden agenda (Start the game with this conspiracy face down in the command zone and secretly choose a card name. You may turn this conspiracy face up any time and reveal that name.)<br>Whenever a creature you control with the chosen name deals combat damage to a player, you may pay {U}. If you do, draw a card.<BR><a href="https://api.scryfall.com/cards/d3914468-d769-4fe3-ae18-0caee9eb1502/rulings">Rulings</a>|Conspiracy: Take the Crown|Common||Lucas Graciano|5|R$ 0.14 F$ 0.23<br>MID: 416762<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/cn2/5/hired-heist?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=416762&printed=false">Gatherer</a>|416762|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/3/d3914468-d769-4fe3-ae18-0caee9eb1502.jpg?1720517035}
00717f7c-0778-4a02-b6c0-b3c3f07e75a9|Hold the Perimeter||Conspiracy|||(Start the game with this conspiracy face up in the command zone.)<br>At the beginning of your first upkeep, create a 1/2 white Soldier creature token with defender.<br>At the beginning of each other player's first upkeep, that player creates a 1/1 red Goblin creature token with "This token can't block."<BR><a href="https://api.scryfall.com/cards/00717f7c-0778-4a02-b6c0-b3c3f07e75a9/rulings">Rulings</a>|Conspiracy: Take the Crown|Rare||Jason A. Engle|6|R$ 0.19 F$ 0.69<br>MID: 416763<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/cn2/6/hold-the-perimeter?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=416763&printed=false">Gatherer</a>|416763|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/0/00717f7c-0778-4a02-b6c0-b3c3f07e75a9.jpg?1681082896}
e7902666-21f2-4590-9dca-e95858dbde70|Hymn of the Wilds||Conspiracy|||(Start the game with this conspiracy face up in the command zone.)<br>The first creature spell you cast each turn costs {1} less to cast.<br>You can't cast instant or sorcery spells.<BR><a href="https://api.scryfall.com/cards/e7902666-21f2-4590-9dca-e95858dbde70/rulings">Rulings</a>|Conspiracy: Take the Crown|Mythic||Jason Rainville|7|R$ 0.29 F$ 3.46<br>MID: 416764<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/cn2/7/hymn-of-the-wilds?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=416764&printed=false">Gatherer</a>|416764|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/7/e7902666-21f2-4590-9dca-e95858dbde70.jpg?1681082896}
cfbe340b-ca40-4604-bdc6-4b00e7444df4|Incendiary Dissent||Conspiracy|||Hidden agenda (Start the game with this conspiracy face down in the command zone and secretly choose a card name. You may turn this conspiracy face up any time and reveal that name.)<br>Creatures you control with the chosen name have "{R}: This creature gets +1/+0 until end of turn."<BR><a href="https://api.scryfall.com/cards/cfbe340b-ca40-4604-bdc6-4b00e7444df4/rulings">Rulings</a>|Conspiracy: Take the Crown|Common||Jakub Kasper|8|R$ 0.16 F$ 0.30<br>MID: 416765<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/cn2/8/incendiary-dissent?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=416765&printed=false">Gatherer</a>|416765|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/f/cfbe340b-ca40-4604-bdc6-4b00e7444df4.jpg?1720517037}
5e633e76-ea92-46e5-a0c1-7930109c7712|Natural Unity||Conspiracy|||Hidden agenda (Start the game with this conspiracy face down in the command zone and secretly choose a card name. You may turn this conspiracy face up any time and reveal that name.)<br>Creatures you control with the chosen name have "At the beginning of combat on your turn, you may pay {G}. If you do, put a +1/+1 counter on this creature."<BR><a href="https://api.scryfall.com/cards/5e633e76-ea92-46e5-a0c1-7930109c7712/rulings">Rulings</a>|Conspiracy: Take the Crown|Common||Ryan Pancoast|9|R$ 0.11 F$ 0.39<br>MID: 416766<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/cn2/9/natural-unity?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=416766&printed=false">Gatherer</a>|416766|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/e/5e633e76-ea92-46e5-a0c1-7930109c7712.jpg?1720517039}
abefb30c-780d-4496-8fc6-6e1b80686c15|Sovereign's Realm||Conspiracy|||(Start the game with this conspiracy face up in the command zone.)<br>Your starting deck can't have basic land cards and your starting hand size is five.<br>Exile a card from your hand: This turn, you may play basic lands from outside the game.<br>Basic lands you control have "{T}: Add one mana of any color."<BR><a href="https://api.scryfall.com/cards/abefb30c-780d-4496-8fc6-6e1b80686c15/rulings">Rulings</a>|Conspiracy: Take the Crown|Mythic||Daniel Ljunggren|10|R$ 0.26 F$ 10.00<br>MID: 416767<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/cn2/10/sovereigns-realm?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=416767&printed=false">Gatherer</a>|416767|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/b/abefb30c-780d-4496-8fc6-6e1b80686c15.jpg?1681082918}
