ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
58e86a42-cc53-4731-819a-e76f203a742a|Aerie Mystics|{4}{W}|Creature - Bird Wizard|3|3|Flying<br>{1}{G}{U}: Creatures you control gain shroud until end of turn. (They can't be the targets of spells or abilities.)|Conflux|Uncommon||Mark Zug|1|MID: 153946<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/con/1/aerie-mystics?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/8/58e86a42-cc53-4731-819a-e76f203a742a.jpg?1562801130}
28b817f7-ae05-4d31-8a2c-29d8082b4132|Asha's Favor|{2}{W}|Enchantment - Aura|||Enchant creature<br>Enchanted creature has flying, first strike, and vigilance.|Conflux|Common||Donato Giancola|2|MID: 150826<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/con/2/ashas-favor?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/8/28b817f7-ae05-4d31-8a2c-29d8082b4132.jpg?1562800106}
60301dbd-40d1-4af8-8e2b-797febfa859f|Aven Squire|{1}{W}|Creature - Bird Soldier|1|1|Flying<br>Exalted (Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.)|Conflux|Common||David Palumbo|3|MID: 184992<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/con/3/aven-squire?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/0/60301dbd-40d1-4af8-8e2b-797febfa859f.jpg?1562801283}
cb032cd3-96a4-4cef-bb89-0843f2ed8189|Aven Trailblazer|{2}{W}|Creature - Bird Soldier|2|*|Flying<br>Domain — Aven Trailblazer's toughness is equal to the number of basic land types among lands you control.|Conflux|Common||Chris Rahn|4|MID: 180278<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/con/4/aven-trailblazer?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/b/cb032cd3-96a4-4cef-bb89-0843f2ed8189.jpg?1562803798}
31c404e8-1241-4675-b259-fbbf1dba15c4|Celestial Purge|{1}{W}|Instant|||Exile target black or red permanent.|Conflux|Uncommon||David Palumbo|5|MID: 183055<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/con/5/celestial-purge?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/1/31c404e8-1241-4675-b259-fbbf1dba15c4.jpg?1562800242}
fd20150c-ae49-457d-9f64-b72160745ff9|Court Homunculus|{W}|Artifact Creature - Homunculus|1|1|This creature gets +1/+1 as long as you control another artifact.|Conflux|Common||Matt Cavotta|6|MID: 182607<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/con/6/court-homunculus?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/d/fd20150c-ae49-457d-9f64-b72160745ff9.jpg?1562804869}
1e7162e5-8c56-457e-91eb-b8ae4d1b6adb|Darklit Gargoyle|{1}{W}|Artifact Creature - Gargoyle|1|2|Flying<br>{B}: This creature gets +2/-1 until end of turn.|Conflux|Common||Howard Lyon|7|MID: 180334<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/con/7/darklit-gargoyle?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/e/1e7162e5-8c56-457e-91eb-b8ae4d1b6adb.jpg?1562799857}
5b9a8e0b-bee8-4b0d-b671-a5d8084d82ee|Gleam of Resistance|{4}{W}|Instant|||Creatures you control get +1/+2 until end of turn. Untap those creatures.<br>Basic landcycling {1}{W} ({1}{W}, Discard this card: Search your library for a basic land card, reveal it, put it into your hand, then shuffle.)|Conflux|Common||Matt Stewart|8|MID: 179505<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/con/8/gleam-of-resistance?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/b/5b9a8e0b-bee8-4b0d-b671-a5d8084d82ee.jpg?1562801190}
ec609036-dfbf-47de-9a3a-762aea4196d4|Lapse of Certainty|{2}{W}|Instant|||Counter target spell. If that spell is countered this way, put it on top of its owner's library instead of into that player's graveyard.|Conflux|Common||Anthony Francisco|9|MID: 175026<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/con/9/lapse-of-certainty?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/c/ec609036-dfbf-47de-9a3a-762aea4196d4.jpg?1562804498}
d9801e68-9a03-491f-be23-f0b830c4a0c5|Mark of Asylum|{1}{W}|Enchantment|||Prevent all noncombat damage that would be dealt to creatures you control.|Conflux|Rare||Sal Villagran|10|MID: 186615<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/con/10/mark-of-asylum?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/9/d9801e68-9a03-491f-be23-f0b830c4a0c5.jpg?1562804126}
