ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
bc836203-4bb9-4bfa-89ab-0ad49f916c92|Jace Beleren|{1}{U}{U}|Legendary Planeswalker - Jace|||+2: Each player draws a card.<br>−1: Target player draws a card.<br>−10: Target player mills twenty cards.|Duel Decks: Jace vs. Chandra|Mythic||Kev Walker|1|MID: 185816<br>Finishes: foil:<br>https://scryfall.com/card/dd2/1/jace-beleren?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/c/bc836203-4bb9-4bfa-89ab-0ad49f916c92.jpg?1537149812}
38f5e6d2-e4b2-4292-85d6-b14a26c8e909|Jace Beleren|{1}{U}{U}|Legendary Planeswalker - Jace|||+2: Each player draws a card.<br>−1: Target player draws a card.<br>−10: Target player mills twenty cards.|Duel Decks: Jace vs. Chandra|Mythic|Japanese|Yoshino Himori|1★|MID: 227476<br>Finishes: foil:<br>https://scryfall.com/card/dd2/1%E2%98%85/ja/%E3%82%B8%E3%82%A7%E3%82%A4%E3%82%B9%E3%83%BB%E3%83%99%E3%83%AC%E3%83%AC%E3%83%B3-(jace-beleren)?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/8/38f5e6d2-e4b2-4292-85d6-b14a26c8e909.jpg?1555971549}
80ec3fa9-e871-471b-aa44-afbbac7b928b|Martyr of Frost|{U}|Creature - Human Wizard|1|1|{2}, Reveal X blue cards from your hand, Sacrifice this creature: Counter target spell unless its controller pays {X}.|Duel Decks: Jace vs. Chandra|Common||Wayne England|2|MID: 189243<br>Finishes: nonfoil:<br>https://scryfall.com/card/dd2/2/martyr-of-frost?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/0/80ec3fa9-e871-471b-aa44-afbbac7b928b.jpg?1562844300}
a2090c89-49a9-444d-84ed-1f767f1fc9f1|Fathom Seer|{1}{U}|Creature - Illusion|1|3|Morph—Return two Islands you control to their owner's hand. (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)<br>When this creature is turned face up, draw two cards.|Duel Decks: Jace vs. Chandra|Common||Ralph Horsley|3|MID: 189247<br>Finishes: nonfoil:<br>https://scryfall.com/card/dd2/3/fathom-seer?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/2/a2090c89-49a9-444d-84ed-1f767f1fc9f1.jpg?1562844315}
bfbb719f-e6a7-4aab-870f-d375d901b85a|Voidmage Apprentice|{1}{U}|Creature - Human Wizard|1|1|Morph {2}{U}{U} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)<br>When this creature is turned face up, counter target spell.|Duel Decks: Jace vs. Chandra|Common||Jim Nelson|4|MID: 189250<br>Finishes: nonfoil:<br>https://scryfall.com/card/dd2/4/voidmage-apprentice?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/f/bfbb719f-e6a7-4aab-870f-d375d901b85a.jpg?1562844330}
ce478fc4-234e-43d5-8b6c-cfe272134f5c|Wall of Deceit|{1}{U}|Creature - Wall|0|5|Defender (This creature can't attack.)<br>{3}: Turn this creature face down.<br>Morph {U} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)|Duel Decks: Jace vs. Chandra|Uncommon||John Avon|5|MID: 189251<br>Finishes: nonfoil:<br>https://scryfall.com/card/dd2/5/wall-of-deceit?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/e/ce478fc4-234e-43d5-8b6c-cfe272134f5c.jpg?1562844331}
7c35a94e-4449-4093-9652-5db0ec8b8bdd|Willbender|{1}{U}|Creature - Human Wizard|1|2|Morph {1}{U} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)<br>When this creature is turned face up, change the target of target spell or ability with a single target.|Duel Decks: Jace vs. Chandra|Uncommon||Eric Peterson|6|MID: 189252<br>Finishes: nonfoil:<br>https://scryfall.com/card/dd2/6/willbender?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/c/7c35a94e-4449-4093-9652-5db0ec8b8bdd.jpg?1562844293}
23f461b3-cdf2-475c-83bb-593657332f27|Bottle Gnomes|{3}|Artifact Creature - Gnome|1|3|Sacrifice this creature: You gain 3 life.|Duel Decks: Jace vs. Chandra|Uncommon||Ben Thompson|7|MID: 189224<br>Finishes: nonfoil:<br>https://scryfall.com/card/dd2/7/bottle-gnomes?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/3/23f461b3-cdf2-475c-83bb-593657332f27.jpg?1562843816}
61f82f30-330b-4903-9d92-5d82c79ab546|Man-o'-War|{2}{U}|Creature - Jellyfish|2|2|When this creature enters, return target creature to its owner's hand.|Duel Decks: Jace vs. Chandra|Common||Jon J Muth|8|MID: 189240<br>Finishes: nonfoil:<br>https://scryfall.com/card/dd2/8/man-o-war?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/1/61f82f30-330b-4903-9d92-5d82c79ab546.jpg?1562843849}
4e244697-76ef-4228-9057-fd73ecf667a6|Ophidian|{2}{U}|Creature - Snake|1|3|Whenever this creature attacks and isn't blocked, you may draw a card. If you do, this creature assigns no combat damage this turn.|Duel Decks: Jace vs. Chandra|Common||Cliff Nielsen|9|MID: 189253<br>Finishes: nonfoil:<br>https://scryfall.com/card/dd2/9/ophidian?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/e/4e244697-76ef-4228-9057-fd73ecf667a6.jpg?1562843833}
