ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
6c8cc721-7a7e-4cda-817e-30e5e6cb4929|Akroma, Angel of Wrath|{5}{W}{W}{W}|Legendary Creature - Angel|6|6|Flying, first strike, vigilance, trample, haste, protection from black and from red|Duel Decks: Divine vs. Demonic|Mythic||Chippy|1|MID: 193871<br>Finishes: foil:<br>https://scryfall.com/card/ddc/1/akroma-angel-of-wrath?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/c/6c8cc721-7a7e-4cda-817e-30e5e6cb4929.jpg?1537149249}
afaffa1d-bdc5-49ae-bcb9-2745a512a0d3|Icatian Priest|{W}|Creature - Human Cleric|1|1|{1}{W}{W}: Target creature gets +1/+1 until end of turn.|Duel Decks: Divine vs. Demonic|Uncommon||Stephen Tappin|2|MID: 196996<br>Finishes: nonfoil:<br>https://scryfall.com/card/ddc/2/icatian-priest?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/f/afaffa1d-bdc5-49ae-bcb9-2745a512a0d3.jpg?1562486238}
98d96a8e-afce-47c5-890c-29a08f875300|Angelic Page|{1}{W}|Creature - Angel Spirit|1|1|Flying<br>{T}: Target attacking or blocking creature gets +1/+1 until end of turn.|Duel Decks: Divine vs. Demonic|Common||Marc Fishman|3|MID: 197009<br>Finishes: nonfoil:<br>https://scryfall.com/card/ddc/3/angelic-page?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/8/98d96a8e-afce-47c5-890c-29a08f875300.jpg?1562486229}
2c37f466-b78b-49a8-8e91-539a1bba63b2|Charging Paladin|{2}{W}|Creature - Human Knight|2|2|Whenever this creature attacks, it gets +0/+3 until end of turn.|Duel Decks: Divine vs. Demonic|Common||Ciruelo|4|MID: 197021<br>Finishes: nonfoil:<br>https://scryfall.com/card/ddc/4/charging-paladin?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/c/2c37f466-b78b-49a8-8e91-539a1bba63b2.jpg?1562485758}
3bd7e791-61c7-4914-8085-d94f2b8bc3c9|Venerable Monk|{2}{W}|Creature - Human Monk Cleric|2|2|When this creature enters, you gain 2 life.|Duel Decks: Divine vs. Demonic|Common||D. Alexander Gregory|5|MID: 197002<br>Finishes: nonfoil:<br>https://scryfall.com/card/ddc/5/venerable-monk?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/b/3bd7e791-61c7-4914-8085-d94f2b8bc3c9.jpg?1562485761}
9820b4e0-300f-4dce-9f25-e8f59cdd10e0|Angelic Protector|{3}{W}|Creature - Angel|2|2|Flying<br>Whenever this creature becomes the target of a spell or ability, this creature gets +0/+3 until end of turn.|Duel Decks: Divine vs. Demonic|Uncommon||DiTerlizzi|6|MID: 197035<br>Finishes: nonfoil:<br>https://scryfall.com/card/ddc/6/angelic-protector?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/8/9820b4e0-300f-4dce-9f25-e8f59cdd10e0.jpg?1562486227}
c9af4bd6-33fb-4153-b1a5-7496dcf3c806|Serra Advocate|{3}{W}|Creature - Angel|2|2|Flying<br>{T}: Target attacking or blocking creature gets +2/+2 until end of turn.|Duel Decks: Divine vs. Demonic|Uncommon||Matthew D. Wilson|7|MID: 197006<br>Finishes: nonfoil:<br>https://scryfall.com/card/ddc/7/serra-advocate?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/9/c9af4bd6-33fb-4153-b1a5-7496dcf3c806.jpg?1562486252}
ff4226fb-2152-48a4-aa58-896138b68b4c|Sustainer of the Realm|{2}{W}{W}|Creature - Angel|2|3|Flying<br>Whenever this creature blocks, it gets +0/+2 until end of turn.|Duel Decks: Divine vs. Demonic|Uncommon||Mark Zug|8|MID: 197007<br>Finishes: nonfoil:<br>https://scryfall.com/card/ddc/8/sustainer-of-the-realm?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/f/ff4226fb-2152-48a4-aa58-896138b68b4c.jpg?1562486459}
73d95453-8e10-4a62-9fa8-1e079b63c4cb|Angel of Mercy|{4}{W}|Creature - Angel|3|3|Flying<br>When this creature enters, you gain 3 life.|Duel Decks: Divine vs. Demonic|Uncommon||Volkan Baǵa|9|MID: 196990<br>Finishes: nonfoil:<br>https://scryfall.com/card/ddc/9/angel-of-mercy?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/3/73d95453-8e10-4a62-9fa8-1e079b63c4cb.jpg?1562486215}
27c4f032-0a26-4d21-906f-dd80310a14b8|Serra Angel|{3}{W}{W}|Creature - Angel|4|4|Flying<br>Vigilance (Attacking doesn't cause this creature to tap.)|Duel Decks: Divine vs. Demonic|Rare||Greg Staples|10|MID: 196999<br>Finishes: nonfoil:<br>https://scryfall.com/card/ddc/10/serra-angel?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/7/27c4f032-0a26-4d21-906f-dd80310a14b8.jpg?1562485755}
fc07a05c-7dad-4d51-be5f-6ba61b384333|Twilight Shepherd|{3}{W}{W}{W}|Creature - Angel|5|5|Flying, vigilance<br>When this creature enters, return to your hand all cards in your graveyard that were put there from the battlefield this turn.<br>Persist (When this creature dies, if it had no -1/-1 counters on it, return it to the battlefield under its owner's control with a -1/-1 counter on it.)|Duel Decks: Divine vs. Demonic|Rare||Jason Chan|11|MID: 197034<br>Finishes: nonfoil:<br>https://scryfall.com/card/ddc/11/twilight-shepherd?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/c/fc07a05c-7dad-4d51-be5f-6ba61b384333.jpg?1562486458}
61834f64-3114-44ee-9947-ae35504ae220|Luminous Angel|{4}{W}{W}{W}|Creature - Angel|4|4|Flying<br>At the beginning of your upkeep, you may create a 1/1 white Spirit creature token with flying.|Duel Decks: Divine vs. Demonic|Rare||Jason Chan|12|MID: 193872<br>Finishes: nonfoil:<br>https://scryfall.com/card/ddc/12/luminous-angel?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/1/61834f64-3114-44ee-9947-ae35504ae220.jpg?1562485776}
7ee7d4a5-25ee-4efe-bfd3-75873a1e83f3|Reya Dawnbringer|{6}{W}{W}{W}|Legendary Creature - Angel|4|6|Flying<br>At the beginning of your upkeep, you may return target creature card from your graveyard to the battlefield.|Duel Decks: Divine vs. Demonic|Rare||Matthew D. Wilson|13|MID: 196998<br>Finishes: nonfoil:<br>https://scryfall.com/card/ddc/13/reya-dawnbringer?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/e/7ee7d4a5-25ee-4efe-bfd3-75873a1e83f3.jpg?1562486220}
ae782efc-5e33-4eb2-972a-d6d03b9845fa|Healing Salve|{W}|Instant|||Choose one —<br>• Target player gains 3 life.<br>• Prevent the next 3 damage that would be dealt to any target this turn.|Duel Decks: Divine vs. Demonic|Common||Greg Hildebrandt & Tim Hildebrandt|14|MID: 197011<br>Finishes: nonfoil:<br>https://scryfall.com/card/ddc/14/healing-salve?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/e/ae782efc-5e33-4eb2-972a-d6d03b9845fa.jpg?1562486237}
8668c8c0-5cd8-4000-900a-d36ad2f1db99|Angelsong|{1}{W}|Instant|||Prevent all combat damage that would be dealt this turn.<br>Cycling {2} ({2}, Discard this card: Draw a card.)|Duel Decks: Divine vs. Demonic|Common||Sal Villagran|15|MID: 197014<br>Finishes: nonfoil:<br>https://scryfall.com/card/ddc/15/angelsong?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/6/8668c8c0-5cd8-4000-900a-d36ad2f1db99.jpg?1562486223}
5c6b56f5-18f2-4efc-9963-2d1b44827aac|Otherworldly Journey|{1}{W}|Instant - Arcane|||Exile target creature. At the beginning of the next end step, return that card to the battlefield under its owner's control with a +1/+1 counter on it.|Duel Decks: Divine vs. Demonic|Uncommon||Vance Kovacs|16|MID: 197017<br>Finishes: nonfoil:<br>https://scryfall.com/card/ddc/16/otherworldly-journey?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/c/5c6b56f5-18f2-4efc-9963-2d1b44827aac.jpg?1562485775}
296359f9-e236-410c-9efe-40089f1607c5|Pacifism|{1}{W}|Enchantment - Aura|||Enchant creature<br>Enchanted creature can't attack or block.|Duel Decks: Divine vs. Demonic|Common||Matthew D. Wilson|17|MID: 196997<br>Finishes: nonfoil:<br>https://scryfall.com/card/ddc/17/pacifism?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/9/296359f9-e236-410c-9efe-40089f1607c5.jpg?1562485757}
881aae7e-1458-4b0c-b991-82ed93f7932a|Serra's Boon|{2}{W}|Enchantment - Aura|||Enchant creature<br>Enchanted creature gets +1/+2 as long as it's white. Otherwise, it gets -2/-1.|Duel Decks: Divine vs. Demonic|Uncommon||Steven Belledin|18|MID: 197032<br>Finishes: nonfoil:<br>https://scryfall.com/card/ddc/18/serras-boon?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/8/881aae7e-1458-4b0c-b991-82ed93f7932a.jpg?1562486224}
5452d4a3-0f0e-4c97-b272-786f0f9c5adc|Angelic Benediction|{3}{W}|Enchantment|||Exalted (Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.)<br>Whenever a creature you control attacks alone, you may tap target creature.|Duel Decks: Divine vs. Demonic|Uncommon||Michael Komarck|19|MID: 197013<br>Finishes: nonfoil:<br>https://scryfall.com/card/ddc/19/angelic-benediction?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/4/5452d4a3-0f0e-4c97-b272-786f0f9c5adc.jpg?1562485770}
c183a894-c06b-4941-97a2-f4f80da491a0|Faith's Fetters|{3}{W}|Enchantment - Aura|||Enchant permanent<br>When this Aura enters, you gain 4 life.<br>Enchanted permanent can't attack or block, and its activated abilities can't be activated unless they're mana abilities.|Duel Decks: Divine vs. Demonic|Common||Brian Despain|20|MID: 193869<br>Finishes: nonfoil:<br>https://scryfall.com/card/ddc/20/faiths-fetters?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/1/c183a894-c06b-4941-97a2-f4f80da491a0.jpg?1562486246}
