ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
648da53a-5cce-4133-9779-62d18783dd67|Knight of the Reliquary|{1}{G}{W}|Creature - Human Knight|2|2|This creature gets +1/+1 for each land card in your graveyard.<br>{T}, Sacrifice a Forest or Plains: Search your library for a land card, put it onto the battlefield, then shuffle.|Duel Decks: Knights vs. Dragons|Mythic||Wayne Reynolds|1|MID: 243416<br>Finishes: foil:<br><br><a href="https://scryfall.com/card/ddg/1/knight-of-the-reliquary?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=243416&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/4/648da53a-5cce-4133-9779-62d18783dd67.jpg?1562916013, GATHERERID=243416}
f2a569c8-d51c-4414-a227-40dc05c2aed8|Caravan Escort|{W}|Creature - Human Knight|1|1|Level up {2} ({2}: Put a level counter on this. Level up only as a sorcery.)<br>LEVEL 1-4<br>2/2<br>LEVEL 5+<br>5/5<br>First strike|Duel Decks: Knights vs. Dragons|Common||Goran Josic|2|MID: 243418<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/ddg/2/caravan-escort?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=243418&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/2/f2a569c8-d51c-4414-a227-40dc05c2aed8.jpg?1562946243, GATHERERID=243418}
0a818fdf-2cbc-451a-9893-36da510d63e4|Lionheart Maverick|{W}|Creature - Human Knight|1|1|Vigilance<br>{4}{W}: This creature gets +1/+2 until end of turn.|Duel Decks: Knights vs. Dragons|Common||Hideaki Takamura|3|MID: 243420<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/ddg/3/lionheart-maverick?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=243420&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/a/0a818fdf-2cbc-451a-9893-36da510d63e4.jpg?1562897189, GATHERERID=243420}
760f4d9c-779b-48cc-b597-05bf83fd6f9b|Knight of Cliffhaven|{1}{W}|Creature - Kor Knight|2|2|Level up {3} ({3}: Put a level counter on this. Level up only as a sorcery.)<br>LEVEL 1-3<br>2/3<br>Flying<br>LEVEL 4+<br>4/4<br>Flying, vigilance|Duel Decks: Knights vs. Dragons|Common||Matt Cavotta|4|MID: 243421<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/ddg/4/knight-of-cliffhaven?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=243421&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/6/760f4d9c-779b-48cc-b597-05bf83fd6f9b.jpg?1562919827, GATHERERID=243421}
6156d61c-640e-4e8c-bd2f-838dfef0c885|Knight of Meadowgrain|{W}{W}|Creature - Kithkin Knight|2|2|First strike<br>Lifelink (Damage dealt by this creature also causes you to gain that much life.)|Duel Decks: Knights vs. Dragons|Uncommon||Larry MacDougall|5|MID: 243422<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/ddg/5/knight-of-meadowgrain?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=243422&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/1/6156d61c-640e-4e8c-bd2f-838dfef0c885.jpg?1562915334, GATHERERID=243422}
2d7787da-e158-4711-ac50-85c5a8ae08dd|Knight of the White Orchid|{W}{W}|Creature - Human Knight|2|2|First strike<br>When this creature enters, if an opponent controls more lands than you, you may search your library for a Plains card, put it onto the battlefield, then shuffle.|Duel Decks: Knights vs. Dragons|Rare||Mark Zug|6|MID: 243423<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/ddg/6/knight-of-the-white-orchid?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=243423&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/d/2d7787da-e158-4711-ac50-85c5a8ae08dd.jpg?1562904574, GATHERERID=243423}
15d6476c-1944-48e8-9af6-6db78edd58e5|Leonin Skyhunter|{W}{W}|Creature - Cat Knight|2|2|Flying|Duel Decks: Knights vs. Dragons|Uncommon||Kev Walker|7|MID: 243424<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/ddg/7/leonin-skyhunter?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=243424&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/5/15d6476c-1944-48e8-9af6-6db78edd58e5.jpg?1562899585, GATHERERID=243424}
297316bd-e91b-4b18-9d13-31dd51c92cce|Silver Knight|{W}{W}|Creature - Human Knight|2|2|First strike, protection from red|Duel Decks: Knights vs. Dragons|Uncommon||Steve Prescott|8|MID: 243425<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/ddg/8/silver-knight?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=243425&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/9/297316bd-e91b-4b18-9d13-31dd51c92cce.jpg?1562903790, GATHERERID=243425}
660f69ef-c04f-4f53-80e6-8190549ab12a|White Knight|{W}{W}|Creature - Human Knight|2|2|First strike (This creature deals combat damage before creatures without first strike.)<br>Protection from black (This creature can't be blocked, targeted, dealt damage, or enchanted by anything black.)|Duel Decks: Knights vs. Dragons|Uncommon||Christopher Moeller|9|MID: 243426<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/ddg/9/white-knight?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=243426&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/6/660f69ef-c04f-4f53-80e6-8190549ab12a.jpg?1562916342, GATHERERID=243426}
4ed9e062-f9aa-4f89-bfb4-cfecae426b27|Knotvine Paladin|{G}{W}|Creature - Human Knight|2|2|Whenever this creature attacks, it gets +1/+1 until end of turn for each untapped creature you control.|Duel Decks: Knights vs. Dragons|Rare||Matt Stewart|10|MID: 243427<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/ddg/10/knotvine-paladin?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=243427&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/e/4ed9e062-f9aa-4f89-bfb4-cfecae426b27.jpg?1562911519, GATHERERID=243427}
237c62b7-7c0e-44bb-b420-d41aad2792a0|Steward of Valeron|{G}{W}|Creature - Human Druid Knight|2|2|Vigilance<br>{T}: Add {G}.|Duel Decks: Knights vs. Dragons|Common||Greg Staples|11|MID: 243428<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/ddg/11/steward-of-valeron?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=243428&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/3/237c62b7-7c0e-44bb-b420-d41aad2792a0.jpg?1562902522, GATHERERID=243428}
8453b08f-34cb-491d-be7d-dc4022f7c131|Benalish Lancer|{2}{W}|Creature - Human Knight|2|2|Kicker {2}{W} (You may pay an additional {2}{W} as you cast this spell.)<br>If this creature was kicked, it enters with two +1/+1 counters on it and with first strike.|Duel Decks: Knights vs. Dragons|Common||Paolo Parente|12|MID: 243429<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/ddg/12/benalish-lancer?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=243429&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/4/8453b08f-34cb-491d-be7d-dc4022f7c131.jpg?1562922912, GATHERERID=243429}
e296cd1a-0508-46c1-aeda-82ecde991caa|Zhalfirin Commander|{2}{W}|Creature - Human Knight|2|2|Flanking (Whenever a creature without flanking blocks this creature, the blocking creature gets -1/-1 until end of turn.)<br>{1}{W}{W}: Target Knight creature gets +1/+1 until end of turn.|Duel Decks: Knights vs. Dragons|Uncommon||Stuart Griffin|13|MID: 243430<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/ddg/13/zhalfirin-commander?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=243430&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/2/e296cd1a-0508-46c1-aeda-82ecde991caa.jpg?1562942799, GATHERERID=243430}
129e61c0-3ea1-49c5-bed4-9f6db17f7847|Knight Exemplar|{1}{W}{W}|Creature - Human Knight|2|2|First strike (This creature deals combat damage before creatures without first strike.)<br>Other Knight creatures you control get +1/+1 and have indestructible. (Damage and effects that say "destroy" don't destroy them.)|Duel Decks: Knights vs. Dragons|Rare||Jason Chan|14|MID: 243431<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/ddg/14/knight-exemplar?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=243431&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/2/129e61c0-3ea1-49c5-bed4-9f6db17f7847.jpg?1562898907, GATHERERID=243431}
c161772e-d8b1-4ca6-8971-dd46c96fb0f7|Wilt-Leaf Cavaliers|{G/W}{G/W}{G/W}|Creature - Elf Knight|3|4|Vigilance|Duel Decks: Knights vs. Dragons|Uncommon||Steve Prescott|15|MID: 243432<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/ddg/15/wilt-leaf-cavaliers?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=243432&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/1/c161772e-d8b1-4ca6-8971-dd46c96fb0f7.jpg?1562935893, GATHERERID=243432}
52b1e9b3-d641-4fe5-a3bf-14d953f62e73|Kabira Vindicator|{3}{W}|Creature - Human Knight|2|4|Level up {2}{W} ({2}{W}: Put a level counter on this. Level up only as a sorcery.)<br>LEVEL 2-4<br>3/6<br>Other creatures you control get +1/+1.<br>LEVEL 5+<br>4/8<br>Other creatures you control get +2/+2.|Duel Decks: Knights vs. Dragons|Uncommon||Steven Belledin|16|MID: 243433<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/ddg/16/kabira-vindicator?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=243433&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/2/52b1e9b3-d641-4fe5-a3bf-14d953f62e73.jpg?1562912250, GATHERERID=243433}
bcda21e6-f423-4dd9-a4a3-bacfa83612d0|Kinsbaile Cavalier|{3}{W}|Creature - Kithkin Knight|2|2|Knight creatures you control have double strike.|Duel Decks: Knights vs. Dragons|Rare||Wayne Reynolds|17|MID: 243434<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/ddg/17/kinsbaile-cavalier?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=243434&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/c/bcda21e6-f423-4dd9-a4a3-bacfa83612d0.jpg?1562934883, GATHERERID=243434}
8877b120-55ee-4e5a-9f51-e72a110f638e|Alaborn Cavalier|{2}{W}{W}|Creature - Human Knight|2|2|Whenever this creature attacks, you may tap target creature.|Duel Decks: Knights vs. Dragons|Uncommon||Kev Walker|18|MID: 243435<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/ddg/18/alaborn-cavalier?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=243435&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/8/8877b120-55ee-4e5a-9f51-e72a110f638e.jpg?1562923777, GATHERERID=243435}
675bfd45-4b73-451c-b1d9-2fe46b5dd5aa|Skyhunter Patrol|{2}{W}{W}|Creature - Cat Knight|2|3|Flying, first strike (This creature can't be blocked except by creatures with flying or reach, and it deals combat damage before creatures without first strike.)|Duel Decks: Knights vs. Dragons|Common||Matt Cavotta|19|MID: 243436<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/ddg/19/skyhunter-patrol?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=243436&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/7/675bfd45-4b73-451c-b1d9-2fe46b5dd5aa.jpg?1562916607, GATHERERID=243436}
d84fdc31-43f8-4cb9-b9a8-4ad3d1e90edb|Plover Knights|{3}{W}{W}|Creature - Kithkin Knight|3|3|Flying, first strike|Duel Decks: Knights vs. Dragons|Common||Quinton Hoover|20|MID: 243437<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/ddg/20/plover-knights?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=243437&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/8/d84fdc31-43f8-4cb9-b9a8-4ad3d1e90edb.jpg?1562940723, GATHERERID=243437}
