ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|GATHERERID|TCGID|PROPERTIES
f3bf1867-aab4-4935-b891-45489ebeb231|Ajani Vengeant|{2}{R}{W}|Legendary Planeswalker - Ajani|||+1: Target permanent doesn't untap during its controller's next untap step.<br>−2: Ajani deals 3 damage to any target and you gain 3 life.<br>−7: Destroy all lands target player controls.<BR><a href="https://api.scryfall.com/cards/f3bf1867-aab4-4935-b891-45489ebeb231/rulings">Rulings</a>|Duel Decks: Ajani vs. Nicol Bolas|Mythic||Izzy|1|MID: 266299<br>Finishes: foil:<br><br><a href="https://scryfall.com/card/ddh/1/ajani-vengeant?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=266299&printed=false">Gatherer</a>|266299|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/3/f3bf1867-aab4-4935-b891-45489ebeb231.jpg?1562952828}
7c5e991d-53a7-462e-b3b4-172d6e70ea3f|Kird Ape|{R}|Creature - Ape|1|1|This creature gets +1/+2 as long as you control a Forest.<BR><a href="https://api.scryfall.com/cards/7c5e991d-53a7-462e-b3b4-172d6e70ea3f/rulings">Rulings</a>|Duel Decks: Ajani vs. Nicol Bolas|Uncommon||Terese Nielsen|2|MID: 249382<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/ddh/2/kird-ape?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=249382&printed=false">Gatherer</a>|249382|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/c/7c5e991d-53a7-462e-b3b4-172d6e70ea3f.jpg?1562924301}
ab9b05fc-2884-4c0f-95ce-37cfffa902c5|Essence Warden|{G}|Creature - Elf Shaman|1|1|Whenever another creature enters, you gain 1 life.<BR><a href="https://api.scryfall.com/cards/ab9b05fc-2884-4c0f-95ce-37cfffa902c5/rulings">Rulings</a>|Duel Decks: Ajani vs. Nicol Bolas|Common||Terese Nielsen|3|MID: 249374<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/ddh/3/essence-warden?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=249374&printed=false">Gatherer</a>|249374|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/b/ab9b05fc-2884-4c0f-95ce-37cfffa902c5.jpg?1562935494}
5a3bb291-11d1-45e0-a60a-e75c7dc94b94|Wild Nacatl|{G}|Creature - Cat Warrior|1|1|This creature gets +1/+1 as long as you control a Mountain.<br>This creature gets +1/+1 as long as you control a Plains.<BR><a href="https://api.scryfall.com/cards/5a3bb291-11d1-45e0-a60a-e75c7dc94b94/rulings">Rulings</a>|Duel Decks: Ajani vs. Nicol Bolas|Common||Wayne Reynolds|4|MID: 249401<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/ddh/4/wild-nacatl?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=249401&printed=false">Gatherer</a>|249401|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/a/5a3bb291-11d1-45e0-a60a-e75c7dc94b94.jpg?1562916230}
d810da8b-298e-41a4-a962-33b1da5a1866|Loam Lion|{W}|Creature - Cat|1|1|This creature gets +1/+2 as long as you control a Forest.<BR><a href="https://api.scryfall.com/cards/d810da8b-298e-41a4-a962-33b1da5a1866/rulings">Rulings</a>|Duel Decks: Ajani vs. Nicol Bolas|Uncommon||Daniel Ljunggren|5|MID: 249377<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/ddh/5/loam-lion?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=249377&printed=false">Gatherer</a>|249377|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/8/d810da8b-298e-41a4-a962-33b1da5a1866.jpg?1562946543}
ef69547a-c060-45ac-9478-10fbe324cd42|Canyon Wildcat|{1}{R}|Creature - Cat|2|1|Mountainwalk (This creature can't be blocked as long as defending player controls a Mountain.)<BR><a href="https://api.scryfall.com/cards/ef69547a-c060-45ac-9478-10fbe324cd42/rulings">Rulings</a>|Duel Decks: Ajani vs. Nicol Bolas|Common||Gary Leach|6|MID: 249412<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/ddh/6/canyon-wildcat?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=249412&printed=false">Gatherer</a>|249412|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/f/ef69547a-c060-45ac-9478-10fbe324cd42.jpg?1562951857}
d8dd9144-85c3-4c6f-aad4-836e5946bb71|Jade Mage|{1}{G}|Creature - Human Shaman|2|1|{2}{G}: Create a 1/1 green Saproling creature token.<BR><a href="https://api.scryfall.com/cards/d8dd9144-85c3-4c6f-aad4-836e5946bb71/rulings">Rulings</a>|Duel Decks: Ajani vs. Nicol Bolas|Uncommon||Izzy|7|MID: 249397<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/ddh/7/jade-mage?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=249397&printed=false">Gatherer</a>|249397|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/8/d8dd9144-85c3-4c6f-aad4-836e5946bb71.jpg?1562946692}
4c2452c7-4acc-4785-8a62-d06c472486e5|Sylvan Ranger|{1}{G}|Creature - Elf Scout Ranger|1|1|When this creature enters, you may search your library for a basic land card, reveal it, put it into your hand, then shuffle.<BR><a href="https://api.scryfall.com/cards/4c2452c7-4acc-4785-8a62-d06c472486e5/rulings">Rulings</a>|Duel Decks: Ajani vs. Nicol Bolas|Common||Christopher Moeller|8|MID: 249399<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/ddh/8/sylvan-ranger?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=249399&printed=false">Gatherer</a>|249399|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/c/4c2452c7-4acc-4785-8a62-d06c472486e5.jpg?1562912796}
d34e7982-f4f2-444d-8039-538b2ed4dc6e|Ajani's Pridemate|{1}{W}|Creature - Cat Soldier|2|2|Whenever you gain life, put a +1/+1 counter on this creature.<BR><a href="https://api.scryfall.com/cards/d34e7982-f4f2-444d-8039-538b2ed4dc6e/rulings">Rulings</a>|Duel Decks: Ajani vs. Nicol Bolas|Uncommon||Svetlin Velinov|9|MID: 249413<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/ddh/9/ajanis-pridemate?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=249413&printed=false">Gatherer</a>|249413|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/3/d34e7982-f4f2-444d-8039-538b2ed4dc6e.jpg?1562945336}
4f84b838-b8f1-4b9a-a19f-479594f9d427|Qasali Pridemage|{G}{W}|Creature - Cat Wizard|2|2|Exalted (Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.)<br>{1}, Sacrifice this creature: Destroy target artifact or enchantment.<BR><a href="https://api.scryfall.com/cards/4f84b838-b8f1-4b9a-a19f-479594f9d427/rulings">Rulings</a>|Duel Decks: Ajani vs. Nicol Bolas|Common||Chris Rahn|10|MID: 249405<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/ddh/10/qasali-pridemage?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=249405&printed=false">Gatherer</a>|249405|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/f/4f84b838-b8f1-4b9a-a19f-479594f9d427.jpg?1562913646}
