ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
c6f686e4-8411-4236-8118-ced923d75cd1|Niv-Mizzet, the Firemind|{2}{U}{U}{R}{R}|Legendary Creature - Dragon Wizard|4|4|Flying<br>Whenever you draw a card, Niv-Mizzet deals 1 damage to any target.<br>{T}: Draw a card.|Duel Decks: Izzet vs. Golgari|Mythic||Svetlin Velinov|1|MID: 292738<br>Finishes: foil:<br>https://scryfall.com/card/ddj/1/niv-mizzet-the-firemind?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/6/c6f686e4-8411-4236-8118-ced923d75cd1.jpg?1592713272}
9c8b690c-3a78-4782-a080-7f9d06e4037b|Kiln Fiend|{1}{R}|Creature - Elemental Beast|1|2|Whenever you cast an instant or sorcery spell, this creature gets +3/+0 until end of turn.|Duel Decks: Izzet vs. Golgari|Common||Adi Granov|2|MID: 292742<br>Finishes: nonfoil:<br>https://scryfall.com/card/ddj/2/kiln-fiend?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/c/9c8b690c-3a78-4782-a080-7f9d06e4037b.jpg?1592713278}
632af23c-eb5c-4725-afca-637e84cecf94|Goblin Electromancer|{U}{R}|Creature - Goblin Wizard|2|2|Instant and sorcery spells you cast cost {1} less to cast.|Duel Decks: Izzet vs. Golgari|Common||Svetlin Velinov|3|MID: 338414<br>Finishes: nonfoil:<br>https://scryfall.com/card/ddj/3/goblin-electromancer?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/3/632af23c-eb5c-4725-afca-637e84cecf94.jpg?1592713285}
0eaf3018-ae27-4e2e-b6da-dbdebd58fc2b|Izzet Guildmage|{U/R}{U/R}|Creature - Human Wizard|2|2|({U/R} can be paid with either {U} or {R}.)<br>{2}{U}: Copy target instant spell you control with mana value 2 or less. You may choose new targets for the copy.<br>{2}{R}: Copy target sorcery spell you control with mana value 2 or less. You may choose new targets for the copy.|Duel Decks: Izzet vs. Golgari|Uncommon||Jim Murray|4|MID: 292735<br>Finishes: nonfoil:<br>https://scryfall.com/card/ddj/4/izzet-guildmage?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/e/0eaf3018-ae27-4e2e-b6da-dbdebd58fc2b.jpg?1592713293}
a2ad045c-fb4f-45aa-9559-785285c6be19|Gelectrode|{1}{U}{R}|Creature - Weird|0|1|{T}: This creature deals 1 damage to any target.<br>Whenever you cast an instant or sorcery spell, you may untap this creature.|Duel Decks: Izzet vs. Golgari|Uncommon||Dan Murayama Scott|5|MID: 292731<br>Finishes: nonfoil:<br>https://scryfall.com/card/ddj/5/gelectrode?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/2/a2ad045c-fb4f-45aa-9559-785285c6be19.jpg?1592713299}
68fb2212-1917-4733-9beb-3a8363d43562|Wee Dragonauts|{1}{U}{R}|Creature - Faerie Wizard|1|3|Flying<br>Whenever you cast an instant or sorcery spell, this creature gets +2/+0 until end of turn.|Duel Decks: Izzet vs. Golgari|Common||Greg Staples|6|MID: 292741<br>Finishes: nonfoil:<br>https://scryfall.com/card/ddj/6/wee-dragonauts?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/8/68fb2212-1917-4733-9beb-3a8363d43562.jpg?1592713307}
a60e081e-854f-4bf9-8eac-62bd55403383|Steamcore Weird|{3}{U}|Creature - Weird|1|3|When this creature enters, if {R} was spent to cast it, it deals 2 damage to any target.|Duel Decks: Izzet vs. Golgari|Common||Justin Norman|7|MID: 338393<br>Finishes: nonfoil:<br>https://scryfall.com/card/ddj/7/steamcore-weird?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/6/a60e081e-854f-4bf9-8eac-62bd55403383.jpg?1592713315}
eed56ebd-19d2-44bd-83be-f9ef838584a9|Shrewd Hatchling|{3}{U/R}|Creature - Elemental|6|6|This creature enters with four -1/-1 counters on it.<br>{U/R}: Target creature can't block this creature this turn.<br>Whenever you cast a blue spell, remove a -1/-1 counter from this creature.<br>Whenever you cast a red spell, remove a -1/-1 counter from this creature.|Duel Decks: Izzet vs. Golgari|Uncommon||Carl Frank|8|MID: 338395<br>Finishes: nonfoil:<br>https://scryfall.com/card/ddj/8/shrewd-hatchling?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/e/eed56ebd-19d2-44bd-83be-f9ef838584a9.jpg?1592713323}
1940a64a-51da-4509-b33e-86415aeeafad|Ogre Savant|{4}{R}|Creature - Ogre Wizard|3|2|When this creature enters, if {U} was spent to cast it, return target creature to its owner's hand.|Duel Decks: Izzet vs. Golgari|Common||Paolo Parente|9|MID: 338389<br>Finishes: nonfoil:<br>https://scryfall.com/card/ddj/9/ogre-savant?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/9/1940a64a-51da-4509-b33e-86415aeeafad.jpg?1592713332}
23f2e251-1a90-433e-b63a-1a361f5dc6b3|Galvanoth|{3}{R}{R}|Creature - Beast|3|3|At the beginning of your upkeep, you may look at the top card of your library. You may cast it without paying its mana cost if it's an instant or sorcery spell.|Duel Decks: Izzet vs. Golgari|Rare||Kev Walker|10|MID: 338469<br>Finishes: nonfoil:<br>https://scryfall.com/card/ddj/10/galvanoth?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/3/23f2e251-1a90-433e-b63a-1a361f5dc6b3.jpg?1592713339}
