ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|GATHERERID|TCGID|PROPERTIES
329b9f70-2c35-4fec-813a-5b7f26d34c8e|Sorin, Lord of Innistrad|{2}{W}{B}|Legendary Planeswalker - Sorin|||+1: Create a 1/1 black Vampire creature token with lifelink.<br>−2: You get an emblem with "Creatures you control get +1/+0."<br>−6: Destroy up to three target creatures and/or other planeswalkers. Return each card put into a graveyard this way to the battlefield under your control.<BR><a href="https://api.scryfall.com/cards/329b9f70-2c35-4fec-813a-5b7f26d34c8e/rulings">Rulings</a>|Duel Decks: Sorin vs. Tibalt|Mythic||Chase Stone|1|F$ 2.37<br>MID: 368535<br>Finishes: foil:<br><br><a href="https://scryfall.com/card/ddk/1/sorin-lord-of-innistrad?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=368535&printed=false">Gatherer</a>|368535|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/2/329b9f70-2c35-4fec-813a-5b7f26d34c8e.jpg?1592714178}
a8ed737f-dbda-455c-a240-5fca57caeb64|Doomed Traveler|{W}|Creature - Human Soldier|1|1|When this creature dies, create a 1/1 white Spirit creature token with flying.<BR><a href="https://api.scryfall.com/cards/a8ed737f-dbda-455c-a240-5fca57caeb64/rulings">Rulings</a>|Duel Decks: Sorin vs. Tibalt|Common||Lars Grant-West|2|R$ 0.05 <br>MID: 368503<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/ddk/2/doomed-traveler?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=368503&printed=false">Gatherer</a>|368503|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/8/a8ed737f-dbda-455c-a240-5fca57caeb64.jpg?1592714184}
4425f4be-cc4e-4247-a407-39142bcb6b44|Vampire Lacerator|{B}|Creature - Vampire Warrior|2|2|At the beginning of your upkeep, you lose 1 life unless an opponent has 10 or less life.<BR><a href="https://api.scryfall.com/cards/4425f4be-cc4e-4247-a407-39142bcb6b44/rulings">Rulings</a>|Duel Decks: Sorin vs. Tibalt|Common||Steve Argyle|3|R$ 0.17 <br>MID: 368481<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/ddk/3/vampire-lacerator?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=368481&printed=false">Gatherer</a>|368481|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/4/4425f4be-cc4e-4247-a407-39142bcb6b44.jpg?1592714190}
0596155d-8f83-40ca-be31-9a0df1ced65e|Wall of Omens|{1}{W}|Creature - Wall|0|4|Defender<br>When this creature enters, draw a card.<BR><a href="https://api.scryfall.com/cards/0596155d-8f83-40ca-be31-9a0df1ced65e/rulings">Rulings</a>|Duel Decks: Sorin vs. Tibalt|Uncommon||James Paick|4|R$ 0.24 <br>MID: 368516<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/ddk/4/wall-of-omens?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=368516&printed=false">Gatherer</a>|368516|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/5/0596155d-8f83-40ca-be31-9a0df1ced65e.jpg?1592714198}
7cb2a512-330a-4ae6-888c-6762fa099fae|Child of Night|{1}{B}|Creature - Vampire|2|1|Lifelink<BR><a href="https://api.scryfall.com/cards/7cb2a512-330a-4ae6-888c-6762fa099fae/rulings">Rulings</a>|Duel Decks: Sorin vs. Tibalt|Common||Ash Wood|5|R$ 0.08 <br>MID: 368520<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/ddk/5/child-of-night?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=368520&printed=false">Gatherer</a>|368520|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/c/7cb2a512-330a-4ae6-888c-6762fa099fae.jpg?1592714204}
3438edfe-479d-4595-a694-5848f07156d6|Duskhunter Bat|{1}{B}|Creature - Bat|1|1|Bloodthirst 1 (If an opponent was dealt damage this turn, this creature enters with a +1/+1 counter on it.)<br>Flying<BR><a href="https://api.scryfall.com/cards/3438edfe-479d-4595-a694-5848f07156d6/rulings">Rulings</a>|Duel Decks: Sorin vs. Tibalt|Common||Jesper Ejsing|6|R$ 0.13 <br>MID: 368541<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/ddk/6/duskhunter-bat?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=368541&printed=false">Gatherer</a>|368541|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/4/3438edfe-479d-4595-a694-5848f07156d6.jpg?1592714211}
1785cb18-c291-4fd5-b8c7-ace893c32e49|Mesmeric Fiend|{1}{B}|Creature - Nightmare Horror|1|1|When this creature enters, target opponent reveals their hand and you choose a nonland card from it. Exile that card.<br>When this creature leaves the battlefield, return the exiled card to its owner's hand.<BR><a href="https://api.scryfall.com/cards/1785cb18-c291-4fd5-b8c7-ace893c32e49/rulings">Rulings</a>|Duel Decks: Sorin vs. Tibalt|Common||Dana Knutson|7|R$ 0.68 <br>MID: 368519<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/ddk/7/mesmeric-fiend?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=368519&printed=false">Gatherer</a>|368519|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/7/1785cb18-c291-4fd5-b8c7-ace893c32e49.jpg?1592714218}
a8417510-3e4b-4093-8980-ce6a9625eb14|Gatekeeper of Malakir|{B}{B}|Creature - Vampire Warrior|2|2|Kicker {B} (You may pay an additional {B} as you cast this spell.)<br>When this creature enters, if it was kicked, target player sacrifices a creature of their choice.<BR><a href="https://api.scryfall.com/cards/a8417510-3e4b-4093-8980-ce6a9625eb14/rulings">Rulings</a>|Duel Decks: Sorin vs. Tibalt|Uncommon||Karl Kopinski|8|R$ 0.20 <br>MID: 368479<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/ddk/8/gatekeeper-of-malakir?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=368479&printed=false">Gatherer</a>|368479|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/8/a8417510-3e4b-4093-8980-ce6a9625eb14.jpg?1592714225}
b3c44b4b-616e-4652-b85f-a627025d09b8|Twilight Drover|{2}{W}|Creature - Spirit|1|1|Whenever a creature token leaves the battlefield, put a +1/+1 counter on this creature.<br>{2}{W}, Remove a +1/+1 counter from this creature: Create two 1/1 white Spirit creature tokens with flying.<BR><a href="https://api.scryfall.com/cards/b3c44b4b-616e-4652-b85f-a627025d09b8/rulings">Rulings</a>|Duel Decks: Sorin vs. Tibalt|Rare||Dave Allsop|9|R$ 0.35 <br>MID: 368549<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/ddk/9/twilight-drover?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=368549&printed=false">Gatherer</a>|368549|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/3/b3c44b4b-616e-4652-b85f-a627025d09b8.jpg?1592714231}
692013da-b090-49d1-9c7a-ff5863d6ffd5|Bloodrage Vampire|{2}{B}|Creature - Vampire|3|1|Bloodthirst 1 (If an opponent was dealt damage this turn, this creature enters with a +1/+1 counter on it.)<BR><a href="https://api.scryfall.com/cards/692013da-b090-49d1-9c7a-ff5863d6ffd5/rulings">Rulings</a>|Duel Decks: Sorin vs. Tibalt|Common||Steve Prescott|10|R$ 0.08 <br>MID: 368543<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/ddk/10/bloodrage-vampire?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=368543&printed=false">Gatherer</a>|368543|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/9/692013da-b090-49d1-9c7a-ff5863d6ffd5.jpg?1592714238}
