ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
438441|Master of Waves|{3}{U}|Creature - Merfolk Wizard|2|1|Protection from red<br>Elemental creatures you control get +1/+1.<br>When this creature enters, create a number of 1/0 blue Elemental creature tokens equal to your devotion to blue. (Each {U} in the mana costs of permanents you control counts toward your devotion to blue.)|Duel Decks: Merfolk vs. Goblins|Mythic||Svetlin Velinov|1|MID: 438441<br>Finishes: foil:<br>https://scryfall.com/card/ddt/1/master-of-waves?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/4/14cd5387-c6aa-4430-8edb-05da6b4e2ff5.jpg?1592764548}
438442|Aquitect's Will|{U}|Kindred Sorcery - Merfolk|||Put a flood counter on target land. That land is an Island in addition to its other types for as long as it has a flood counter on it. If you control a Merfolk, draw a card.|Duel Decks: Merfolk vs. Goblins|Common||Dimitar Marinski|2|MID: 438442<br>Finishes: nonfoil:<br>https://scryfall.com/card/ddt/2/aquitects-will?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/c/3c4273f6-bcce-4761-80ef-14cd4fc4bb19.jpg?1592764555}
438443|Claustrophobia|{1}{U}{U}|Enchantment - Aura|||Enchant creature<br>When this Aura enters, tap enchanted creature.<br>Enchanted creature doesn't untap during its controller's untap step.|Duel Decks: Merfolk vs. Goblins|Common||Ryan Pancoast|3|MID: 438443<br>Finishes: nonfoil:<br>https://scryfall.com/card/ddt/3/claustrophobia?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/7/b790af5f-b1bf-4985-8f85-e94d6ab86092.jpg?1592764562}
438444|Concentrate|{2}{U}{U}|Sorcery|||Draw three cards.|Duel Decks: Merfolk vs. Goblins|Uncommon||rk post|4|MID: 438444<br>Finishes: nonfoil:<br>https://scryfall.com/card/ddt/4/concentrate?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/a/5aca3338-30a6-4ce4-b74c-a18144b6efc9.jpg?1592764568}
438445|Engulf the Shore|{3}{U}|Instant|||Return to their owners' hands all creatures with toughness less than or equal to the number of Islands you control.|Duel Decks: Merfolk vs. Goblins|Rare||Cliff Childs|5|MID: 438445<br>Finishes: nonfoil:<br>https://scryfall.com/card/ddt/5/engulf-the-shore?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/7/57dfeab4-d468-45f2-8993-5c3a8f8ab1fe.jpg?1592764575}
438446|Essence Scatter|{1}{U}|Instant|||Counter target creature spell.|Duel Decks: Merfolk vs. Goblins|Common||Jon Foster|6|MID: 438446<br>Finishes: nonfoil:<br>https://scryfall.com/card/ddt/6/essence-scatter?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/2/02ac1e19-3535-49ef-b93d-c52c9e56d046.jpg?1592764581}
438447|Harbinger of the Tides|{U}{U}|Creature - Merfolk Wizard|2|2|You may cast this card as though it had flash if you pay {2} more to cast it. (You may cast it any time you could cast an instant.)<br>When this creature enters, you may return target tapped creature an opponent controls to its owner's hand.|Duel Decks: Merfolk vs. Goblins|Rare||Svetlin Velinov|7|MID: 438447<br>Finishes: nonfoil:<br>https://scryfall.com/card/ddt/7/harbinger-of-the-tides?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/0/90f648d2-27be-4414-9e0a-5a3e4d5067ce.jpg?1592764587}
438448|Inkfathom Divers|{3}{U}{U}|Creature - Merfolk Soldier|3|3|Islandwalk (This creature can't be blocked as long as defending player controls an Island.)<br>When this creature enters, look at the top four cards of your library, then put them back in any order.|Duel Decks: Merfolk vs. Goblins|Common||Steven Belledin|8|MID: 438448<br>Finishes: nonfoil:<br>https://scryfall.com/card/ddt/8/inkfathom-divers?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/5/758a8ca6-1fc1-454a-a2be-9745ac964eb7.jpg?1592764594}
438449|Master of the Pearl Trident|{U}{U}|Creature - Merfolk|2|2|Other Merfolk creatures you control get +1/+1 and have islandwalk. (They can't be blocked as long as defending player controls an Island.)|Duel Decks: Merfolk vs. Goblins|Rare||Ryan Pancoast|9|MID: 438449<br>Finishes: nonfoil:<br>https://scryfall.com/card/ddt/9/master-of-the-pearl-trident?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/7/b7f3069f-7754-4c4d-9b62-40e3d49eba05.jpg?1592764600}
438450|Merfolk Looter|{1}{U}|Creature - Merfolk Rogue|1|1|{T}: Draw a card, then discard a card.|Duel Decks: Merfolk vs. Goblins|Uncommon||Austin Hsu|10|MID: 438450<br>Finishes: nonfoil:<br>https://scryfall.com/card/ddt/10/merfolk-looter?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/7/4768f8d4-b7b5-4372-8b8b-b68073871e33.jpg?1592764606}
