ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
f99837b3-b487-43bb-846b-7a0e8afb6eef|Archangel's Light|{7}{W}|Sorcery|||You gain 2 life for each card in your graveyard, then shuffle your graveyard into your library.|Dark Ascension|Mythic||Volkan Baǵa|1|MID: 244691<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/dka/1/archangels-light?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/9/f99837b3-b487-43bb-846b-7a0e8afb6eef.jpg?1562954172}
b593f544-2d82-4237-b9a9-88503b5036cc|Bar the Door|{2}{W}|Instant|||Creatures you control get +0/+4 until end of turn.|Dark Ascension|Common||Ryan Pancoast|2|MID: 262858<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/dka/2/bar-the-door?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/5/b593f544-2d82-4237-b9a9-88503b5036cc.jpg?1562937788}
9e39da2a-814a-46bb-a1ca-fc5532ece842|Break of Day|{1}{W}|Instant|||Creatures you control get +1/+1 until end of turn.<br>Fateful hour — If you have 5 or less life, those creatures gain indestructible until end of turn. (Damage and effects that say "destroy" don't destroy them.)|Dark Ascension|Common||Karl Kopinski|3|MID: 262702<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/dka/3/break-of-day?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/e/9e39da2a-814a-46bb-a1ca-fc5532ece842.jpg?1562932418}
d7440288-6c55-4502-bf20-3c5b50a2de5a|Burden of Guilt|{W}|Enchantment - Aura|||Enchant creature<br>{1}: Tap enchanted creature.|Dark Ascension|Common||John Stanko|4|MID: 262873<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/dka/4/burden-of-guilt?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/7/d7440288-6c55-4502-bf20-3c5b50a2de5a.jpg?1710406450}
b737a959-e974-4b2a-8dca-a257da6084b0|Curse of Exhaustion|{2}{W}{W}|Enchantment - Aura Curse|||Enchant player<br>Enchanted player can't cast more than one spell each turn.|Dark Ascension|Uncommon||Slawomir Maniak|5|MID: 226729<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/dka/5/curse-of-exhaustion?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/7/b737a959-e974-4b2a-8dca-a257da6084b0.jpg?1562938194}
c342e1da-7ab9-4e29-96e6-77d820a45ede|Elgaud Inquisitor|{3}{W}|Creature - Human Cleric|2|2|Lifelink (Damage dealt by this creature also causes you to gain that much life.)<br>When this creature dies, create a 1/1 white Spirit creature token with flying.|Dark Ascension|Common||Slawomir Maniak|6|MID: 245219<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/dka/6/elgaud-inquisitor?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/3/c342e1da-7ab9-4e29-96e6-77d820a45ede.jpg?1562941111}
65eb5920-3b03-4300-bc77-0fba5e6abe69|Faith's Shield|{W}|Instant|||Target permanent you control gains protection from the color of your choice until end of turn.<br>Fateful hour — If you have 5 or less life, instead you and each permanent you control gain protection from the color of your choice until end of turn.|Dark Ascension|Uncommon||Svetlin Velinov|7|MID: 262696<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/dka/7/faiths-shield?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/5/65eb5920-3b03-4300-bc77-0fba5e6abe69.jpg?1562919051}
9cfa554b-ee6d-4d4e-aabc-fe7bc6b25236|Gather the Townsfolk|{1}{W}|Sorcery|||Create two 1/1 white Human creature tokens.<br>Fateful hour — If you have 5 or less life, create five of those tokens instead.|Dark Ascension|Common||Dan Murayama Scott|8|MID: 262686<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/dka/8/gather-the-townsfolk?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/c/9cfa554b-ee6d-4d4e-aabc-fe7bc6b25236.jpg?1562932068}
05d8de75-b169-4426-94a4-b19cdfdffd89|Gavony Ironwright|{2}{W}|Creature - Human Soldier|1|4|Fateful hour — As long as you have 5 or less life, other creatures you control get +1/+4.|Dark Ascension|Uncommon||Karl Kopinski|9|MID: 262685<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/dka/9/gavony-ironwright?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/5/05d8de75-b169-4426-94a4-b19cdfdffd89.jpg?1562896366}
0b1be91a-cdec-4933-b834-0a7838abb9b8|Hollowhenge Spirit|{3}{W}|Creature - Spirit|2|2|Flash (You may cast this spell any time you could cast an instant.)<br>Flying<br>When this creature enters, remove target attacking or blocking creature from combat.|Dark Ascension|Uncommon||Lars Grant-West|10|MID: 222001<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/dka/10/hollowhenge-spirit?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/b/0b1be91a-cdec-4933-b834-0a7838abb9b8.jpg?1562897511}
