ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
ffe359e9-2ac8-48ae-9a43-e2f12fd4a785|Auramancer|{2}{W}|Creature - Human Wizard|2|2|When this creature enters, you may return target enchantment card from your graveyard to your hand.|Dominaria Remastered|Common||Rebecca Guay|1|MID: 598875<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/dmr/1/auramancer?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=598875&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/f/ffe359e9-2ac8-48ae-9a43-e2f12fd4a785.jpg?1677122964, GATHERERID=598875}
3a21cf44-4d8e-4b24-a1fe-4222c857f0ef|Battle Screech|{2}{W}{W}|Sorcery|||Create two 1/1 white Bird creature tokens with flying.<br>Flashback—Tap three untapped white creatures you control. (You may cast this card from your graveyard for its flashback cost. Then exile it.)|Dominaria Remastered|Uncommon||Randy Gallegos|2|MID: 598876<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/dmr/2/battle-screech?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=598876&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/a/3a21cf44-4d8e-4b24-a1fe-4222c857f0ef.jpg?1675198763, GATHERERID=598876}
435b24ae-590f-4a79-8aeb-b006de6545ca|Cleric of the Forward Order|{1}{W}|Creature - Human Cleric|2|2|When this creature enters, you gain 2 life for each creature you control named Cleric of the Forward Order.|Dominaria Remastered|Common||Chris Rallis|3|MID: 598877<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/dmr/3/cleric-of-the-forward-order?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=598877&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/3/435b24ae-590f-4a79-8aeb-b006de6545ca.jpg?1675198771, GATHERERID=598877}
89396f5e-5bc3-4c8a-976b-2cb2946eb35d|Congregate|{3}{W}|Instant|||Target player gains 2 life for each creature on the battlefield.|Dominaria Remastered|Uncommon||Mark Zug|4|MID: 598878<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/dmr/4/congregate?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=598878&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/9/89396f5e-5bc3-4c8a-976b-2cb2946eb35d.jpg?1675198780, GATHERERID=598878}
a77d4044-f2bd-470a-8468-a319e0a21d8d|Divine Sacrament|{1}{W}{W}|Enchantment|||White creatures get +1/+1.<br>Threshold — White creatures get an additional +1/+1 as long as there are seven or more cards in your graveyard.|Dominaria Remastered|Rare||Ekaterina Burmak|5|MID: 598879<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/dmr/5/divine-sacrament?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=598879&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/7/a77d4044-f2bd-470a-8468-a319e0a21d8d.jpg?1675198788, GATHERERID=598879}
1c9675fb-1a89-420f-aea8-50e0642f549c|Enlightened Tutor|{W}|Instant|||Search your library for an artifact or enchantment card, reveal it, then shuffle and put that card on top.|Dominaria Remastered|Rare||Howard Lyon|6|MID: 598880<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/dmr/6/enlightened-tutor?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=598880&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/c/1c9675fb-1a89-420f-aea8-50e0642f549c.jpg?1675198797, GATHERERID=598880}
6b01ebcf-8451-486e-84f6-8e6e1bb9d6e3|Glory|{3}{W}{W}|Creature - Incarnation|3|3|Flying<br>{2}{W}: Choose a color. Creatures you control gain protection from the chosen color until end of turn. Activate only if this card is in your graveyard.|Dominaria Remastered|Rare||Donato Giancola|7|MID: 598881<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/dmr/7/glory?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=598881&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/b/6b01ebcf-8451-486e-84f6-8e6e1bb9d6e3.jpg?1675198806, GATHERERID=598881}
39b8cf5e-10f6-49aa-82eb-2f56cc29d393|Griffin Guide|{2}{W}|Enchantment - Aura|||Enchant creature<br>Enchanted creature gets +2/+2 and has flying.<br>When enchanted creature dies, create a 2/2 white Griffin creature token with flying.|Dominaria Remastered|Uncommon||Jim Nelson|8|MID: 598882<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/dmr/8/griffin-guide?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=598882&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/9/39b8cf5e-10f6-49aa-82eb-2f56cc29d393.jpg?1675198816, GATHERERID=598882}
9ccce13a-77e6-4c74-9acc-d5e7c271872a|Icatian Javelineers|{W}|Creature - Human Soldier|1|1|This creature enters with a javelin counter on it.<br>{T}, Remove a javelin counter from this creature: It deals 1 damage to any target.|Dominaria Remastered|Common||Michael Phillippi|9|MID: 598883<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/dmr/9/icatian-javelineers?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=598883&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/c/9ccce13a-77e6-4c74-9acc-d5e7c271872a.jpg?1675198827, GATHERERID=598883}
d3c205ba-cafb-4afc-83fe-09fff38130d7|Improvised Armor|{3}{W}|Enchantment - Aura|||Enchant creature<br>Enchanted creature gets +2/+5.<br>Cycling {3} ({3}, Discard this card: Draw a card.)|Dominaria Remastered|Uncommon||Svetlin Velinov|10|MID: 598884<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/dmr/10/improvised-armor?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=598884&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/3/d3c205ba-cafb-4afc-83fe-09fff38130d7.jpg?1675198840, GATHERERID=598884}
