ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|GATHERERID|TCGID|PROPERTIES
f5fac22d-04b5-4b71-a5df-af50abee82a7|Bladewing the Risen|{3}{B}{B}{R}{R}|Legendary Creature - Zombie Dragon|4|4|Flying<br>When Bladewing enters, you may return target Dragon permanent card from your graveyard to the battlefield.<br>{B}{R}: Dragon creatures get +1/+1 until end of turn.<BR><a href="https://api.scryfall.com/cards/f5fac22d-04b5-4b71-a5df-af50abee82a7/rulings">Rulings</a>|From the Vault: Dragons|Rare||Kev Walker|1|MID: 178014<br>Finishes: foil:<br><br><a href="https://scryfall.com/card/drb/1/bladewing-the-risen?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=178014&printed=false">Gatherer</a>|178014|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/5/f5fac22d-04b5-4b71-a5df-af50abee82a7.jpg?1568088586}
cd476375-7294-4a14-9c26-3881c93a1930|Bogardan Hellkite|{6}{R}{R}|Creature - Dragon|5|5|Flash<br>Flying<br>When this creature enters, it deals 5 damage divided as you choose among any number of targets.<BR><a href="https://api.scryfall.com/cards/cd476375-7294-4a14-9c26-3881c93a1930/rulings">Rulings</a>|From the Vault: Dragons|Rare||Scott M. Fischer|2|MID: 178017<br>Finishes: foil:<br><br><a href="https://scryfall.com/card/drb/2/bogardan-hellkite?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=178017&printed=false">Gatherer</a>|178017|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/d/cd476375-7294-4a14-9c26-3881c93a1930.jpg?1568086514}
87a69f0c-69c2-41d5-b784-502dadf9d048|Draco|{16}|Artifact Creature - Dragon|9|9|Domain — This spell costs {2} less to cast for each basic land type among lands you control.<br>Flying<br>Domain — At the beginning of your upkeep, sacrifice this creature unless you pay {10}. This cost is reduced by {2} for each basic land type among lands you control.<BR><a href="https://api.scryfall.com/cards/87a69f0c-69c2-41d5-b784-502dadf9d048/rulings">Rulings</a>|From the Vault: Dragons|Rare||Sam Wood|3|MID: 178018<br>Finishes: foil:<br><br><a href="https://scryfall.com/card/drb/3/draco?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=178018&printed=false">Gatherer</a>|178018|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/7/87a69f0c-69c2-41d5-b784-502dadf9d048.jpg?1568054290}
93bbe3cf-609a-4666-8f65-48860b73865b|Dragon Whelp|{2}{R}{R}|Creature - Dragon|2|3|Flying<br>{R}: This creature gets +1/+0 until end of turn. If this ability has been activated four or more times this turn, sacrifice this creature at the beginning of the next end step.<BR><a href="https://api.scryfall.com/cards/93bbe3cf-609a-4666-8f65-48860b73865b/rulings">Rulings</a>|From the Vault: Dragons|Rare||Steven Belledin|4|MID: 178019<br>Finishes: foil:<br><br><a href="https://scryfall.com/card/drb/4/dragon-whelp?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=178019&printed=false">Gatherer</a>|178019|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/3/93bbe3cf-609a-4666-8f65-48860b73865b.jpg?1568311163}
12dd4238-9628-4d51-a83e-005bb8cd816f|Dragonstorm|{8}{R}|Sorcery|||Search your library for a Dragon permanent card, put it onto the battlefield, then shuffle.<br>Storm (When you cast this spell, copy it for each spell cast before it this turn.)<BR><a href="https://api.scryfall.com/cards/12dd4238-9628-4d51-a83e-005bb8cd816f/rulings">Rulings</a>|From the Vault: Dragons|Rare||Kev Walker|5|MID: 178015<br>Finishes: foil:<br><br><a href="https://scryfall.com/card/drb/5/dragonstorm?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=178015&printed=false">Gatherer</a>|178015|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/2/12dd4238-9628-4d51-a83e-005bb8cd816f.jpg?1568253258}
0339671a-3d44-4e66-83cb-e460ef727b10|Ebon Dragon|{5}{B}{B}|Creature - Dragon|5|4|Flying<br>When this creature enters, you may have target opponent discard a card.<BR><a href="https://api.scryfall.com/cards/0339671a-3d44-4e66-83cb-e460ef727b10/rulings">Rulings</a>|From the Vault: Dragons|Rare||Donato Giancola|6|MID: 178021<br>Finishes: foil:<br><br><a href="https://scryfall.com/card/drb/6/ebon-dragon?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=178021&printed=false">Gatherer</a>|178021|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/3/0339671a-3d44-4e66-83cb-e460ef727b10.jpg?1568316388}
14b37758-68cc-42a3-a19c-3fbca745250a|Form of the Dragon|{4}{R}{R}{R}|Enchantment|||At the beginning of your upkeep, this enchantment deals 5 damage to any target.<br>At the beginning of each end step, your life total becomes 5.<br>Creatures without flying can't attack you.<BR><a href="https://api.scryfall.com/cards/14b37758-68cc-42a3-a19c-3fbca745250a/rulings">Rulings</a>|From the Vault: Dragons|Rare||Daarken|7|MID: 178016<br>Finishes: foil:<br><br><a href="https://scryfall.com/card/drb/7/form-of-the-dragon?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=178016&printed=false">Gatherer</a>|178016|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/4/14b37758-68cc-42a3-a19c-3fbca745250a.jpg?1568329854}
7e3c4f96-4a43-440d-b75f-2cdb7c24b92e|Hellkite Overlord|{4}{B}{R}{R}{G}|Creature - Dragon|8|8|Flying, trample, haste<br>{R}: This creature gets +1/+0 until end of turn.<br>{B}{G}: Regenerate this creature.<BR><a href="https://api.scryfall.com/cards/7e3c4f96-4a43-440d-b75f-2cdb7c24b92e/rulings">Rulings</a>|From the Vault: Dragons|Rare||Justin Sweet|8|MID: 178028<br>Finishes: foil:<br><br><a href="https://scryfall.com/card/drb/8/hellkite-overlord?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=178028&printed=false">Gatherer</a>|178028|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/e/7e3c4f96-4a43-440d-b75f-2cdb7c24b92e.jpg?1568344267}
f5c9262a-bbeb-4334-b511-d9f7db119422|Kokusho, the Evening Star|{4}{B}{B}|Legendary Creature - Dragon Spirit|5|5|Flying<br>When Kokusho dies, each opponent loses 5 life. You gain life equal to the life lost this way.<BR><a href="https://api.scryfall.com/cards/f5c9262a-bbeb-4334-b511-d9f7db119422/rulings">Rulings</a>|From the Vault: Dragons|Rare||Tsutomu Kawade|9|MID: 178022<br>Finishes: foil:<br><br><a href="https://scryfall.com/card/drb/9/kokusho-the-evening-star?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=178022&printed=false">Gatherer</a>|178022|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/5/f5c9262a-bbeb-4334-b511-d9f7db119422.jpg?1568346882}
89666fe1-0f3a-4fc5-b628-fe683c180584|Nicol Bolas|{2}{U}{U}{B}{B}{R}{R}|Legendary Creature - Elder Dragon|7|7|Flying<br>At the beginning of your upkeep, sacrifice Nicol Bolas unless you pay {U}{B}{R}.<br>Whenever Nicol Bolas deals damage to an opponent, that player discards their hand.<BR><a href="https://api.scryfall.com/cards/89666fe1-0f3a-4fc5-b628-fe683c180584/rulings">Rulings</a>|From the Vault: Dragons|Rare||D. Alexander Gregory|10|MID: 178020<br>Finishes: foil:<br><br><a href="https://scryfall.com/card/drb/10/nicol-bolas?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=178020&printed=false">Gatherer</a>|178020|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/9/89666fe1-0f3a-4fc5-b628-fe683c180584.jpg?1568385524}
e3a08c53-f7bc-484a-942d-9586da12f482|Niv-Mizzet, the Firemind|{2}{U}{U}{R}{R}|Legendary Creature - Dragon Wizard|4|4|Flying<br>Whenever you draw a card, Niv-Mizzet deals 1 damage to any target.<br>{T}: Draw a card.<BR><a href="https://api.scryfall.com/cards/e3a08c53-f7bc-484a-942d-9586da12f482/rulings">Rulings</a>|From the Vault: Dragons|Rare||Todd Lockwood|11|MID: 178023<br>Finishes: foil:<br><br><a href="https://scryfall.com/card/drb/11/niv-mizzet-the-firemind?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=178023&printed=false">Gatherer</a>|178023|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/3/e3a08c53-f7bc-484a-942d-9586da12f482.jpg?1568389475}
871093cc-b545-4a6c-b6d6-a575f3cd4a70|Rith, the Awakener|{3}{R}{G}{W}|Legendary Creature - Dragon|6|6|Flying<br>Whenever Rith deals combat damage to a player, you may pay {2}{G}. If you do, choose a color, then create a 1/1 green Saproling creature token for each permanent of that color.<BR><a href="https://api.scryfall.com/cards/871093cc-b545-4a6c-b6d6-a575f3cd4a70/rulings">Rulings</a>|From the Vault: Dragons|Rare||Todd Lockwood|12|MID: 178024<br>Finishes: foil:<br><br><a href="https://scryfall.com/card/drb/12/rith-the-awakener?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=178024&printed=false">Gatherer</a>|178024|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/7/871093cc-b545-4a6c-b6d6-a575f3cd4a70.jpg?1568394721}
65126d80-97c1-4890-944c-0dd4496ae746|Shivan Dragon|{4}{R}{R}|Creature - Dragon|5|5|Flying<br>{R}: This creature gets +1/+0 until end of turn.<BR><a href="https://api.scryfall.com/cards/65126d80-97c1-4890-944c-0dd4496ae746/rulings">Rulings</a>|From the Vault: Dragons|Rare||Justin Sweet|13|MID: 178025<br>Finishes: foil:<br><br><a href="https://scryfall.com/card/drb/13/shivan-dragon?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=178025&printed=false">Gatherer</a>|178025|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/5/65126d80-97c1-4890-944c-0dd4496ae746.jpg?1568400396}
c97c7a23-921f-4002-8e37-b70861a36945|Thunder Dragon|{5}{R}{R}|Creature - Dragon|5|5|Flying<br>When this creature enters, it deals 3 damage to each creature without flying.<BR><a href="https://api.scryfall.com/cards/c97c7a23-921f-4002-8e37-b70861a36945/rulings">Rulings</a>|From the Vault: Dragons|Rare||Chris Rahn|14|MID: 178026<br>Finishes: foil:<br><br><a href="https://scryfall.com/card/drb/14/thunder-dragon?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=178026&printed=false">Gatherer</a>|178026|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/9/c97c7a23-921f-4002-8e37-b70861a36945.jpg?1568434104}
a6ed97b8-dcbc-4cc5-bece-e5d134e5c868|Two-Headed Dragon|{4}{R}{R}|Creature - Dragon|4|4|Flying<br>Menace (This creature can't be blocked except by two or more creatures.)<br>This creature can block an additional creature each combat.<br>{1}{R}: This creature gets +2/+0 until end of turn.<BR><a href="https://api.scryfall.com/cards/a6ed97b8-dcbc-4cc5-bece-e5d134e5c868/rulings">Rulings</a>|From the Vault: Dragons|Rare||Sam Wood|15|MID: 178027<br>Finishes: foil:<br><br><a href="https://scryfall.com/card/drb/15/two-headed-dragon?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=178027&printed=false">Gatherer</a>|178027|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/6/a6ed97b8-dcbc-4cc5-bece-e5d134e5c868.jpg?1568490670}
