ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
02645651-cd55-4bd0-8a4d-fa257270a0e0|Hashaton, Scarab's Fist|{W}{B}|Legendary Creature - Zombie Wizard|1|3|Whenever you discard a creature card, you may pay {2}{U}. If you do, create a tapped token that's a copy of that card, except it's a 4/4 black Zombie.|Aetherdrift Commander|Mythic||Wisnu Tan|1|MID: 692078<br>Finishes: nonfoil:foil:<br>FullArt: true<br>https://scryfall.com/card/drc/1/hashaton-scarabs-fist?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/2/02645651-cd55-4bd0-8a4d-fa257270a0e0.jpg?1747231831}
f4b46b1f-0cfe-42cc-aac5-e6912b2f9fd2|Pia Nalaar, Chief Mechanic|{G}{U}{R}|Legendary Creature - Human Artificer|2|4|Whenever one or more artifact creatures you control deal combat damage to a player, you get {E}{E} (two energy counters).<br>At the beginning of your end step, you may pay one or more {E}. If you do, create an X/X colorless Vehicle artifact token named Nalaar Aetherjet with flying and crew 2, where X is the amount of {E} paid this way.|Aetherdrift Commander|Mythic||Bram Sels|2|MID: 692079<br>Finishes: nonfoil:foil:<br>FullArt: true<br>https://scryfall.com/card/drc/2/pia-nalaar-chief-mechanic?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/4/f4b46b1f-0cfe-42cc-aac5-e6912b2f9fd2.jpg?1747231834}
5fea0781-e933-47ef-9414-92c8652a7778|Saheeli, Radiant Creator|{1}{G}{U}{R}|Legendary Creature - Human Artificer|4|4|Whenever you cast an Artificer or artifact spell, you get {E} (an energy counter).<br>At the beginning of combat on your turn, you may pay {E}{E}{E}. When you do, create a token that's a copy of target permanent you control, except it's a 5/5 artifact creature in addition to its other types and has haste. Sacrifice it at the beginning of the next end step.|Aetherdrift Commander|Mythic||Ernanda Souza|3|MID: 692080<br>Finishes: nonfoil:foil:<br>FullArt: true<br>https://scryfall.com/card/drc/3/saheeli-radiant-creator?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/f/5fea0781-e933-47ef-9414-92c8652a7778.jpg?1747231838}
c0629894-0b72-4abe-9771-03becfdb241c|Temmet, Naktamun's Will|{2}{W}{U}{B}|Legendary Creature - Zombie Wizard|4|4|Vigilance, menace<br>Whenever you attack, draw a card, then discard a card.<br>Whenever you draw a card, Zombies you control get +1/+1 until end of turn.|Aetherdrift Commander|Mythic||Douglas Shuler|4|MID: 692081<br>Finishes: nonfoil:foil:<br>FullArt: true<br>https://scryfall.com/card/drc/4/temmet-naktamuns-will?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/0/c0629894-0b72-4abe-9771-03becfdb241c.jpg?1747231842}
d5e247d3-8542-4e6c-b256-5ae216eeceb0|On Wings of Gold|{3}{W}|Enchantment|||Creatures you control that are Zombies and/or tokens get +1/+1 and have flying.<br>Whenever one or more cards leave your graveyard, create a 1/1 white Zombie creature token.|Aetherdrift Commander|Rare||Danny Schwartz|5|MID: 692166<br>Finishes: nonfoil:<br>https://scryfall.com/card/drc/5/on-wings-of-gold?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/5/d5e247d3-8542-4e6c-b256-5ae216eeceb0.jpg?1738355305}
f0740a86-84eb-4720-b4d7-c5f5e561ddc7|Priest of the Crossing|{3}{W}|Creature - Zombie Bird Cleric|3|3|Flying<br>At the beginning of each end step, put X +1/+1 counters on each creature you control, where X is the number of creatures that died under your control this turn.|Aetherdrift Commander|Rare||Edgar Sánchez Hidalgo|6|MID: 692167<br>Finishes: nonfoil:<br>https://scryfall.com/card/drc/6/priest-of-the-crossing?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/0/f0740a86-84eb-4720-b4d7-c5f5e561ddc7.jpg?1738355308}
9a72b230-dbb0-4d38-ba7a-fb0bd03b6c47|Renewed Solidarity|{2}{W}|Enchantment|||As this enchantment enters, choose a creature type.<br>Creatures you control of the chosen type get +1/+0.<br>At the beginning of your end step, for each token you control of the chosen type that entered this turn, create a token that's a copy of it.|Aetherdrift Commander|Rare||Julie Dillon|7|MID: 692168<br>Finishes: nonfoil:<br>https://scryfall.com/card/drc/7/renewed-solidarity?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/a/9a72b230-dbb0-4d38-ba7a-fb0bd03b6c47.jpg?1738355314}
f903afd3-01b5-4892-bd78-8da1d2f36252|Wizened Mentor|{1}{W}|Creature - Zombie Cleric|2|2|Whenever an opponent activates an ability of a permanent that isn't a mana ability, you create a 1/1 white Zombie creature token. This ability triggers only once each turn.|Aetherdrift Commander|Rare||Bruno Biazotto|8|MID: 692169<br>Finishes: nonfoil:<br>https://scryfall.com/card/drc/8/wizened-mentor?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/9/f903afd3-01b5-4892-bd78-8da1d2f36252.jpg?1738355319}
0208b947-78d9-45bd-855f-846d9a7c547d|Prophet of the Scarab|{4}{U}|Creature - Zombie Wizard|3|4|Vigilance<br>When this creature enters, draw cards equal to the number of Zombies you control or the number of Zombie cards in your graveyard, whichever is greater.|Aetherdrift Commander|Rare||Cristi Balanescu|9|MID: 692170<br>Finishes: nonfoil:<br>https://scryfall.com/card/drc/9/prophet-of-the-scarab?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/2/0208b947-78d9-45bd-855f-846d9a7c547d.jpg?1738355323}
131a68e6-09ee-4afd-a0e1-d63bbc0775e8|Rhet-Tomb Mystic|{1}{U}|Creature - Zombie Bird Wizard|2|1|Flying<br>Each creature card in your hand has cycling {1}{U}. ({1}{U}, Discard that card: Draw a card.)|Aetherdrift Commander|Rare||Irina Nordsol|10|MID: 692171<br>Finishes: nonfoil:<br>https://scryfall.com/card/drc/10/rhet-tomb-mystic?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/3/131a68e6-09ee-4afd-a0e1-d63bbc0775e8.jpg?1738355330}
cae37ab0-9d60-45e9-98cb-e7427e508bc5|Lost Monarch of Ifnir|{3}{B}|Creature - Zombie Noble|4|4|Afflict 3 (Whenever this creature becomes blocked, defending player loses 3 life.)<br>Other Zombies you control have afflict 3.<br>At the beginning of your second main phase, if a player was dealt combat damage by a Zombie this turn, mill three cards, then you may return a creature card from your graveyard to your hand.|Aetherdrift Commander|Rare||Piotr Dura|11|MID: 692172<br>Finishes: nonfoil:<br>https://scryfall.com/card/drc/11/lost-monarch-of-ifnir?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/a/cae37ab0-9d60-45e9-98cb-e7427e508bc5.jpg?1738355332}
c1e2f2af-dbba-4e4c-9c60-ac4d245e1431|Territorial Aetherkite|{4}{R}{R}|Creature - Cat Dragon|6|5|Flying, haste<br>When this creature enters, you get {E}{E} (two energy counters). Then you may pay one or more {E}. When you do, this creature deals that much damage to each other creature.|Aetherdrift Commander|Rare||Lars Grant-West|12|MID: 692173<br>Finishes: nonfoil:<br>https://scryfall.com/card/drc/12/territorial-aetherkite?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/1/c1e2f2af-dbba-4e4c-9c60-ac4d245e1431.jpg?1738355340}
a471b306-4941-4e46-a0cb-d92895c16f8a|Nissa, Worldsoul Speaker|{3}{G}|Legendary Creature - Elf Druid|3|3|Landfall — Whenever a land you control enters, you get {E}{E} (two energy counters).<br>You may pay eight {E} rather than pay the mana cost for permanent spells you cast.|Aetherdrift Commander|Rare||Magali Villeneuve|13|MID: 692174<br>Finishes: nonfoil:<br>https://scryfall.com/card/drc/13/nissa-worldsoul-speaker?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/4/a471b306-4941-4e46-a0cb-d92895c16f8a.jpg?1738355341}
