ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|GATHERERID|TCGID|PROPERTIES
97cce4d4-bff2-4dbb-bc12-1a726ad82dd4|Auriok Glaivemaster|{W}|Creature - Human Soldier|1|1|As long as this creature is equipped, it gets +1/+1 and has first strike.<BR><a href="https://api.scryfall.com/cards/97cce4d4-bff2-4dbb-bc12-1a726ad82dd4/rulings">Rulings</a>|Darksteel|Common||John Matson|1|R$ 0.08 F$ 0.33<br>MID: 48988<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/dst/1/auriok-glaivemaster?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=48988&printed=false">Gatherer</a>|48988|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/7/97cce4d4-bff2-4dbb-bc12-1a726ad82dd4.jpg?1562638298}
060e278c-dc34-4a94-9b15-6e9ffb2a1aee|Echoing Calm|{1}{W}|Instant|||Destroy target enchantment and all other enchantments with the same name as that enchantment.<BR><a href="https://api.scryfall.com/cards/060e278c-dc34-4a94-9b15-6e9ffb2a1aee/rulings">Rulings</a>|Darksteel|Common||Greg Staples|2|R$ 0.10 F$ 0.29<br>MID: 43592<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/dst/2/echoing-calm?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=43592&printed=false">Gatherer</a>|43592|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/6/060e278c-dc34-4a94-9b15-6e9ffb2a1aee.jpg?1562635250}
f4c47553-4209-4634-a49c-25714cd3967b|Emissary of Hope|{1}{W}{W}|Creature - Spirit|2|1|Flying<br>Whenever this creature deals combat damage to a player, you gain 1 life for each artifact that player controls.<BR><a href="https://api.scryfall.com/cards/f4c47553-4209-4634-a49c-25714cd3967b/rulings">Rulings</a>|Darksteel|Uncommon||rk post|3|R$ 0.17 F$ 0.59<br>MID: 48153<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/dst/3/emissary-of-hope?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=48153&printed=false">Gatherer</a>|48153|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/4/f4c47553-4209-4634-a49c-25714cd3967b.jpg?1562640483}
80fe80a0-cb3d-48bc-b67e-2e2253cfee14|Hallow|{W}|Instant|||Prevent all damage target spell would deal this turn. You gain life equal to the damage prevented this way.<BR><a href="https://api.scryfall.com/cards/80fe80a0-cb3d-48bc-b67e-2e2253cfee14/rulings">Rulings</a>|Darksteel|Common||Alex Horley-Orlandelli|4|R$ 0.46 F$ 9.61<br>MID: 29513<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/dst/4/hallow?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=29513&printed=false">Gatherer</a>|29513|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/0/80fe80a0-cb3d-48bc-b67e-2e2253cfee14.jpg?1562637789}
02c14e05-8c50-44de-8cd4-5b3a11ecdb30|Leonin Battlemage|{3}{W}|Creature - Cat Wizard|2|3|{T}: Target creature gets +1/+1 until end of turn.<br>Whenever you cast a spell, you may untap this creature.<BR><a href="https://api.scryfall.com/cards/02c14e05-8c50-44de-8cd4-5b3a11ecdb30/rulings">Rulings</a>|Darksteel|Uncommon||Stephen Tappin|5|R$ 0.17 F$ 0.24<br>MID: 44307<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/dst/5/leonin-battlemage?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=44307&printed=false">Gatherer</a>|44307|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/2/02c14e05-8c50-44de-8cd4-5b3a11ecdb30.jpg?1562635164}
56b2a0f5-e340-4a85-aa5c-340e7f8231b0|Leonin Shikari|{1}{W}|Creature - Cat Soldier|2|2|You may activate equip abilities any time you could cast an instant.<BR><a href="https://api.scryfall.com/cards/56b2a0f5-e340-4a85-aa5c-340e7f8231b0/rulings">Rulings</a>|Darksteel|Rare||Wayne England|6|R$ 4.37 F$ 40.92<br>MID: 48579<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/dst/6/leonin-shikari?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=48579&printed=false">Gatherer</a>|48579|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/6/56b2a0f5-e340-4a85-aa5c-340e7f8231b0.jpg?1562636954}
5976c352-ac49-4e0d-a4c0-ec9b6b78db9c|Loxodon Mystic|{3}{W}{W}|Creature - Elephant Cleric|3|3|{W}, {T}: Tap target creature.<BR><a href="https://api.scryfall.com/cards/5976c352-ac49-4e0d-a4c0-ec9b6b78db9c/rulings">Rulings</a>|Darksteel|Common||Edward P. Beard, Jr.|7|R$ 0.09 F$ 0.29<br>MID: 39562<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/dst/7/loxodon-mystic?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=39562&printed=false">Gatherer</a>|39562|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/9/5976c352-ac49-4e0d-a4c0-ec9b6b78db9c.jpg?1562637037}
9fa32494-24bc-44c7-81d4-7285bd1fe3c8|Metal Fatigue|{2}{W}|Instant|||Tap all artifacts.<BR><a href="https://api.scryfall.com/cards/9fa32494-24bc-44c7-81d4-7285bd1fe3c8/rulings">Rulings</a>|Darksteel|Common||Arnie Swekel|8|R$ 0.06 F$ 0.25<br>MID: 45191<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/dst/8/metal-fatigue?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=45191&printed=false">Gatherer</a>|45191|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/f/9fa32494-24bc-44c7-81d4-7285bd1fe3c8.jpg?1562638438}
a0cabc4c-0c2b-4004-9676-aba151a9242f|Pristine Angel|{4}{W}{W}|Creature - Angel|4|4|Flying<br>As long as this creature is untapped, it has protection from artifacts and from each color.<br>Whenever you cast a spell, you may untap this creature.<BR><a href="https://api.scryfall.com/cards/a0cabc4c-0c2b-4004-9676-aba151a9242f/rulings">Rulings</a>|Darksteel|Rare||Scott M. Fischer|9|R$ 0.50 F$ 7.49<br>MID: 47587<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/dst/9/pristine-angel?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=47587&printed=false">Gatherer</a>|47587|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/0/a0cabc4c-0c2b-4004-9676-aba151a9242f.jpg?1562638474}
1aff26fc-e6d3-4135-96b9-0da7cb8b6dae|Pteron Ghost|{1}{W}|Creature - Dinosaur Spirit|1|1|Flying<br>Sacrifice this creature: Regenerate target artifact.<BR><a href="https://api.scryfall.com/cards/1aff26fc-e6d3-4135-96b9-0da7cb8b6dae/rulings">Rulings</a>|Darksteel|Common||Edward P. Beard, Jr.|10|R$ 0.13 F$ 9.12<br>MID: 49035<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/dst/10/pteron-ghost?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=49035&printed=false">Gatherer</a>|49035|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/a/1aff26fc-e6d3-4135-96b9-0da7cb8b6dae.jpg?1562635649}
