ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|GATHERERID|TCGID|PROPERTIES
2886a989-5572-4ca0-a77b-e534d7934336|Akroma, Angel of Wrath|{5}{W}{W}{W}|Legendary Creature - Angel|6|6|Flying, first strike, vigilance, trample, haste, protection from black and from red<BR><a href="https://api.scryfall.com/cards/2886a989-5572-4ca0-a77b-e534d7934336/rulings">Rulings</a>|Duel Decks Anthology: Divine vs. Demonic|Mythic||Chippy|1|F$ 4.38<br>MID: 394005<br>Finishes: foil:<br><br><a href="https://scryfall.com/card/dvd/1/akroma-angel-of-wrath?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394005&printed=false">Gatherer</a>|394005|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/8/2886a989-5572-4ca0-a77b-e534d7934336.jpg?1561771087}
f48ce122-b966-4c48-9b6c-b84dd0584cb9|Icatian Priest|{W}|Creature - Human Cleric|1|1|{1}{W}{W}: Target creature gets +1/+1 until end of turn.<BR><a href="https://api.scryfall.com/cards/f48ce122-b966-4c48-9b6c-b84dd0584cb9/rulings">Rulings</a>|Duel Decks Anthology: Divine vs. Demonic|Uncommon||Stephen Tappin|2|R$ 0.09 <br>MID: 394032<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/dvd/2/icatian-priest?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394032&printed=false">Gatherer</a>|394032|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/4/f48ce122-b966-4c48-9b6c-b84dd0584cb9.jpg?1561771994}
74054bbf-6b47-4e9e-9775-ab249a859010|Angelic Page|{1}{W}|Creature - Angel Spirit|1|1|Flying<br>{T}: Target attacking or blocking creature gets +1/+1 until end of turn.<BR><a href="https://api.scryfall.com/cards/74054bbf-6b47-4e9e-9775-ab249a859010/rulings">Rulings</a>|Duel Decks Anthology: Divine vs. Demonic|Common||Marc Fishman|3|R$ 0.30 <br>MID: 394009<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/dvd/3/angelic-page?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394009&printed=false">Gatherer</a>|394009|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/4/74054bbf-6b47-4e9e-9775-ab249a859010.jpg?1561771508}
37780447-a102-40c2-afea-b7e7a38e860b|Charging Paladin|{2}{W}|Creature - Human Knight|2|2|Whenever this creature attacks, it gets +0/+3 until end of turn.<BR><a href="https://api.scryfall.com/cards/37780447-a102-40c2-afea-b7e7a38e860b/rulings">Rulings</a>|Duel Decks Anthology: Divine vs. Demonic|Common||Ciruelo|4|R$ 0.11 <br>MID: 394016<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/dvd/4/charging-paladin?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394016&printed=false">Gatherer</a>|394016|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/7/37780447-a102-40c2-afea-b7e7a38e860b.jpg?1561771094}
8002ca7f-a889-4145-8f1b-5e8417f7c0bf|Venerable Monk|{2}{W}|Creature - Human Monk Cleric|2|2|When this creature enters, you gain 2 life.<BR><a href="https://api.scryfall.com/cards/8002ca7f-a889-4145-8f1b-5e8417f7c0bf/rulings">Rulings</a>|Duel Decks Anthology: Divine vs. Demonic|Common||D. Alexander Gregory|5|R$ 0.13 <br>MID: 394064<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/dvd/5/venerable-monk?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394064&printed=false">Gatherer</a>|394064|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/0/8002ca7f-a889-4145-8f1b-5e8417f7c0bf.jpg?1561771515}
b5713023-3975-464f-b88a-096b3737a84c|Angelic Protector|{3}{W}|Creature - Angel|2|2|Flying<br>Whenever this creature becomes the target of a spell or ability, this creature gets +0/+3 until end of turn.<BR><a href="https://api.scryfall.com/cards/b5713023-3975-464f-b88a-096b3737a84c/rulings">Rulings</a>|Duel Decks Anthology: Divine vs. Demonic|Uncommon||DiTerlizzi|6|R$ 0.27 <br>MID: 394010<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/dvd/6/angelic-protector?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394010&printed=false">Gatherer</a>|394010|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/5/b5713023-3975-464f-b88a-096b3737a84c.jpg?1561771536}
d7d48d56-c79e-4c7c-a9a0-92b7fb980e5c|Serra Advocate|{3}{W}|Creature - Angel|2|2|Flying<br>{T}: Target attacking or blocking creature gets +2/+2 until end of turn.<BR><a href="https://api.scryfall.com/cards/d7d48d56-c79e-4c7c-a9a0-92b7fb980e5c/rulings">Rulings</a>|Duel Decks Anthology: Divine vs. Demonic|Uncommon||Matthew D. Wilson|7|R$ 0.22 <br>MID: 394050<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/dvd/7/serra-advocate?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394050&printed=false">Gatherer</a>|394050|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/7/d7d48d56-c79e-4c7c-a9a0-92b7fb980e5c.jpg?1561771983}
862dc4c1-1b80-48ae-878d-ea3cccf681bc|Sustainer of the Realm|{2}{W}{W}|Creature - Angel|2|3|Flying<br>Whenever this creature blocks, it gets +0/+2 until end of turn.<BR><a href="https://api.scryfall.com/cards/862dc4c1-1b80-48ae-878d-ea3cccf681bc/rulings">Rulings</a>|Duel Decks Anthology: Divine vs. Demonic|Uncommon||Mark Zug|8|R$ 0.14 <br>MID: 394057<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/dvd/8/sustainer-of-the-realm?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394057&printed=false">Gatherer</a>|394057|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/6/862dc4c1-1b80-48ae-878d-ea3cccf681bc.jpg?1561771519}
e039fa85-d374-4658-bffb-1cce67d0e276|Angel of Mercy|{4}{W}|Creature - Angel|3|3|Flying<br>When this creature enters, you gain 3 life.<BR><a href="https://api.scryfall.com/cards/e039fa85-d374-4658-bffb-1cce67d0e276/rulings">Rulings</a>|Duel Decks Anthology: Divine vs. Demonic|Uncommon||Volkan Baǵa|9|R$ 0.20 <br>MID: 394006<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/dvd/9/angel-of-mercy?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394006&printed=false">Gatherer</a>|394006|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/0/e039fa85-d374-4658-bffb-1cce67d0e276.jpg?1561771987}
d56afc99-5168-4853-afbb-eab32d62c472|Serra Angel|{3}{W}{W}|Creature - Angel|4|4|Flying<br>Vigilance (Attacking doesn't cause this creature to tap.)<BR><a href="https://api.scryfall.com/cards/d56afc99-5168-4853-afbb-eab32d62c472/rulings">Rulings</a>|Duel Decks Anthology: Divine vs. Demonic|Uncommon||Greg Staples|10|R$ 0.25 <br>MID: 394051<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/dvd/10/serra-angel?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394051&printed=false">Gatherer</a>|394051|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/5/d56afc99-5168-4853-afbb-eab32d62c472.jpg?1561771981}
753c4ef2-d61a-4cfe-8e8b-8379402c8713|Twilight Shepherd|{3}{W}{W}{W}|Creature - Angel|5|5|Flying, vigilance<br>When this creature enters, return to your hand all cards in your graveyard that were put there from the battlefield this turn.<br>Persist (When this creature dies, if it had no -1/-1 counters on it, return it to the battlefield under its owner's control with a -1/-1 counter on it.)<BR><a href="https://api.scryfall.com/cards/753c4ef2-d61a-4cfe-8e8b-8379402c8713/rulings">Rulings</a>|Duel Decks Anthology: Divine vs. Demonic|Rare||Jason Chan|11|R$ 0.87 <br>MID: 394062<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/dvd/11/twilight-shepherd?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394062&printed=false">Gatherer</a>|394062|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/5/753c4ef2-d61a-4cfe-8e8b-8379402c8713.jpg?1561771511}
c3ac419f-7630-48c7-9039-88ce28898b6d|Luminous Angel|{4}{W}{W}{W}|Creature - Angel|4|4|Flying<br>At the beginning of your upkeep, you may create a 1/1 white Spirit creature token with flying.<BR><a href="https://api.scryfall.com/cards/c3ac419f-7630-48c7-9039-88ce28898b6d/rulings">Rulings</a>|Duel Decks Anthology: Divine vs. Demonic|Rare||Jason Chan|12|R$ 0.85 <br>MID: 394035<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/dvd/12/luminous-angel?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394035&printed=false">Gatherer</a>|394035|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/3/c3ac419f-7630-48c7-9039-88ce28898b6d.jpg?1561771537}
1e90abc3-aa03-4d3e-a8db-6286e7da8a1f|Reya Dawnbringer|{6}{W}{W}{W}|Legendary Creature - Angel|4|6|Flying<br>At the beginning of your upkeep, you may return target creature card from your graveyard to the battlefield.<BR><a href="https://api.scryfall.com/cards/1e90abc3-aa03-4d3e-a8db-6286e7da8a1f/rulings">Rulings</a>|Duel Decks Anthology: Divine vs. Demonic|Rare||Matthew D. Wilson|13|R$ 3.86 <br>MID: 394047<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/dvd/13/reya-dawnbringer?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394047&printed=false">Gatherer</a>|394047|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/e/1e90abc3-aa03-4d3e-a8db-6286e7da8a1f.jpg?1561771084}
0ff82aba-9022-4eff-a6dc-67365360d646|Healing Salve|{W}|Instant|||Choose one —<br>• Target player gains 3 life.<br>• Prevent the next 3 damage that would be dealt to any target this turn.<BR><a href="https://api.scryfall.com/cards/0ff82aba-9022-4eff-a6dc-67365360d646/rulings">Rulings</a>|Duel Decks Anthology: Divine vs. Demonic|Common||Greg Hildebrandt & Tim Hildebrandt|14|R$ 0.32 <br>MID: 394031<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/dvd/14/healing-salve?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394031&printed=false">Gatherer</a>|394031|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/f/0ff82aba-9022-4eff-a6dc-67365360d646.jpg?1561771079}
dfdf70c7-49e2-4f6a-99e2-075aa826de60|Angelsong|{1}{W}|Instant|||Prevent all combat damage that would be dealt this turn.<br>Cycling {2} ({2}, Discard this card: Draw a card.)<BR><a href="https://api.scryfall.com/cards/dfdf70c7-49e2-4f6a-99e2-075aa826de60/rulings">Rulings</a>|Duel Decks Anthology: Divine vs. Demonic|Common||Sal Villagran|15|R$ 0.55 <br>MID: 394011<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/dvd/15/angelsong?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394011&printed=false">Gatherer</a>|394011|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/f/dfdf70c7-49e2-4f6a-99e2-075aa826de60.jpg?1561771986}
32ac656f-dc5a-4592-b51d-b6974cc2b83e|Otherworldly Journey|{1}{W}|Instant - Arcane|||Exile target creature. At the beginning of the next end step, return that card to the battlefield under its owner's control with a +1/+1 counter on it.<BR><a href="https://api.scryfall.com/cards/32ac656f-dc5a-4592-b51d-b6974cc2b83e/rulings">Rulings</a>|Duel Decks Anthology: Divine vs. Demonic|Uncommon||Vance Kovacs|16|R$ 0.42 <br>MID: 394038<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/dvd/16/otherworldly-journey?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394038&printed=false">Gatherer</a>|394038|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/2/32ac656f-dc5a-4592-b51d-b6974cc2b83e.jpg?1561771091}
9791442c-2f42-44f6-85c0-f9de21f113b0|Pacifism|{1}{W}|Enchantment - Aura|||Enchant creature<br>Enchanted creature can't attack or block.<BR><a href="https://api.scryfall.com/cards/9791442c-2f42-44f6-85c0-f9de21f113b0/rulings">Rulings</a>|Duel Decks Anthology: Divine vs. Demonic|Common||Matthew D. Wilson|17|R$ 0.72 <br>MID: 394040<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/dvd/17/pacifism?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394040&printed=false">Gatherer</a>|394040|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/7/9791442c-2f42-44f6-85c0-f9de21f113b0.jpg?1561771525}
