ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|GATHERERID|TCGID|PROPERTIES
3d27e65f-6d55-420e-a843-16097b50f7a2|Aegis Angel|{4}{W}{W}|Creature - Angel|5|5|Flying (This creature can't be blocked except by creatures with flying or reach.)<br>When this creature enters, another target permanent gains indestructible for as long as you control this creature. (Effects that say "destroy" don't destroy it. A creature with indestructible can't be destroyed by damage.)<BR><a href="https://api.scryfall.com/cards/3d27e65f-6d55-420e-a843-16097b50f7a2/rulings">Rulings</a>|Archenemy: Nicol Bolas|Rare||Aleksi Briclot|1|R$ 0.42 <br>MID: 430540<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/e01/1/aegis-angel?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=430540&printed=false">Gatherer</a>|430540|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/d/3d27e65f-6d55-420e-a843-16097b50f7a2.jpg?1592765218}
19ef8a30-11e2-4f6e-a38c-3a2694d88d1c|Aerial Responder|{1}{W}{W}|Creature - Dwarf Soldier|2|3|Flying, vigilance, lifelink<BR><a href="https://api.scryfall.com/cards/19ef8a30-11e2-4f6e-a38c-3a2694d88d1c/rulings">Rulings</a>|Archenemy: Nicol Bolas|Uncommon||Raoul Vitale|2|R$ 0.28 <br>MID: 430541<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/e01/2/aerial-responder?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=430541&printed=false">Gatherer</a>|430541|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/9/19ef8a30-11e2-4f6e-a38c-3a2694d88d1c.jpg?1592765231}
3379dc97-abdf-43d7-8625-f8ac04b5687e|Anointer of Champions|{W}|Creature - Human Cleric|1|1|{T}: Target attacking creature gets +1/+1 until end of turn.<BR><a href="https://api.scryfall.com/cards/3379dc97-abdf-43d7-8625-f8ac04b5687e/rulings">Rulings</a>|Archenemy: Nicol Bolas|Uncommon||Anna Steinbauer|3|R$ 0.10 <br>MID: 430542<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/e01/3/anointer-of-champions?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=430542&printed=false">Gatherer</a>|430542|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/3/3379dc97-abdf-43d7-8625-f8ac04b5687e.jpg?1592765240}
9e578da8-0ae7-494f-acf3-40732e338742|Doomed Traveler|{W}|Creature - Human Soldier|1|1|When this creature dies, create a 1/1 white Spirit creature token with flying.<BR><a href="https://api.scryfall.com/cards/9e578da8-0ae7-494f-acf3-40732e338742/rulings">Rulings</a>|Archenemy: Nicol Bolas|Common||Lars Grant-West|4|R$ 0.16 <br>MID: 430543<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/e01/4/doomed-traveler?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=430543&printed=false">Gatherer</a>|430543|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/e/9e578da8-0ae7-494f-acf3-40732e338742.jpg?1592765252}
ba8db734-1923-40e9-821b-17b534ba5995|Excoriate|{3}{W}|Sorcery|||Exile target tapped creature.<BR><a href="https://api.scryfall.com/cards/ba8db734-1923-40e9-821b-17b534ba5995/rulings">Rulings</a>|Archenemy: Nicol Bolas|Common||Johann Bodin|5|R$ 0.31 <br>MID: 430544<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/e01/5/excoriate?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=430544&printed=false">Gatherer</a>|430544|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/a/ba8db734-1923-40e9-821b-17b534ba5995.jpg?1592765263}
ca743b62-6dae-4afb-ba57-ab94d0075434|Expedition Raptor|{3}{W}{W}|Creature - Bird|2|2|Flying<br>When this creature enters, support 2. (Put a +1/+1 counter on each of up to two other target creatures.)<BR><a href="https://api.scryfall.com/cards/ca743b62-6dae-4afb-ba57-ab94d0075434/rulings">Rulings</a>|Archenemy: Nicol Bolas|Common||Johann Bodin|6|R$ 0.04 <br>MID: 430545<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/e01/6/expedition-raptor?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=430545&printed=false">Gatherer</a>|430545|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/a/ca743b62-6dae-4afb-ba57-ab94d0075434.jpg?1592765275}
61247ed9-6d77-4472-84e2-803472cf7ff5|Fencing Ace|{1}{W}|Creature - Human Soldier|1|1|Double strike (This creature deals both first-strike and regular combat damage.)<BR><a href="https://api.scryfall.com/cards/61247ed9-6d77-4472-84e2-803472cf7ff5/rulings">Rulings</a>|Archenemy: Nicol Bolas|Uncommon||David Rapoza|7|R$ 0.04 <br>MID: 430546<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/e01/7/fencing-ace?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=430546&printed=false">Gatherer</a>|430546|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/1/61247ed9-6d77-4472-84e2-803472cf7ff5.jpg?1592765284}
6788d4ac-86f1-4ac5-915d-fdfe7e408443|Fiendslayer Paladin|{1}{W}{W}|Creature - Human Knight|2|2|First strike (This creature deals combat damage before creatures without first strike.)<br>Lifelink (Damage dealt by this creature also causes you to gain that much life.)<br>This creature can't be the target of black or red spells your opponents control.<BR><a href="https://api.scryfall.com/cards/6788d4ac-86f1-4ac5-915d-fdfe7e408443/rulings">Rulings</a>|Archenemy: Nicol Bolas|Rare||Wesley Burt|8|R$ 0.72 <br>MID: 430547<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/e01/8/fiendslayer-paladin?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=430547&printed=false">Gatherer</a>|430547|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/7/6788d4ac-86f1-4ac5-915d-fdfe7e408443.jpg?1592765296}
6f84f0ae-ee67-490b-9424-60ee2acb4a12|Flickerwisp|{1}{W}{W}|Creature - Elemental|3|1|Flying<br>When this creature enters, exile another target permanent. Return that card to the battlefield under its owner's control at the beginning of the next end step.<BR><a href="https://api.scryfall.com/cards/6f84f0ae-ee67-490b-9424-60ee2acb4a12/rulings">Rulings</a>|Archenemy: Nicol Bolas|Uncommon||Jeremy Enecio|9|R$ 0.34 <br>MID: 430548<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/e01/9/flickerwisp?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=430548&printed=false">Gatherer</a>|430548|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/f/6f84f0ae-ee67-490b-9424-60ee2acb4a12.jpg?1592765304}
fb4ed14d-369e-4dd0-a6bf-258f031855fb|Gideon Jura|{3}{W}{W}|Legendary Planeswalker - Gideon|||+2: During target opponent's next turn, creatures that player controls attack Gideon Jura if able.<br>−2: Destroy target tapped creature.<br>0: Until end of turn, Gideon Jura becomes a 6/6 Human Soldier creature that's still a planeswalker. Prevent all damage that would be dealt to him this turn.<BR><a href="https://api.scryfall.com/cards/fb4ed14d-369e-4dd0-a6bf-258f031855fb/rulings">Rulings</a>|Archenemy: Nicol Bolas|Mythic||Chris Rahn|10|R$ 0.28 <br>MID: 430549<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/e01/10/gideon-jura?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=430549&printed=false">Gatherer</a>|430549|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/b/fb4ed14d-369e-4dd0-a6bf-258f031855fb.jpg?1592765314}
