ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
1c35c626-3693-44d8-a308-d3d5dcf77c93|Beacon of Immortality|{5}{W}|Instant|||Double target player's life total. Shuffle Beacon of Immortality into its owner's library.|Explorers of Ixalan|Rare||Rob Alexander|1|MID: 439343<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/e02/1/beacon-of-immortality?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=439343&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/c/1c35c626-3693-44d8-a308-d3d5dcf77c93.jpg?1562901653, GATHERERID=439343}
eac3b55f-ebf8-413e-b987-3b92e89ca7c5|Saproling||Token Creature - Saproling|1|1||Explorers of Ixalan|Common||Joseph Meehan|T1|Finishes: nonfoil:<br>FullArt: true<br><br><a href="https://scryfall.com/card/e02/T1/saproling?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/a/eac3b55f-ebf8-413e-b987-3b92e89ca7c5.jpg?1737835878}
da6dbb49-1e70-439e-9866-c755b3236bdd|Day of Judgment|{2}{W}{W}|Sorcery|||Destroy all creatures.|Explorers of Ixalan|Rare||Vincent Proce|2|MID: 439344<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/e02/2/day-of-judgment?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=439344&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/a/da6dbb49-1e70-439e-9866-c755b3236bdd.jpg?1562947028, GATHERERID=439344}
30b68ec2-bdb8-46ab-a741-36259926fd6f|Path to Exile|{W}|Instant|||Exile target creature. Its controller may search their library for a basic land card, put that card onto the battlefield tapped, then shuffle.|Explorers of Ixalan|Uncommon||Todd Lockwood|3|MID: 439345<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/e02/3/path-to-exile?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=439345&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/0/30b68ec2-bdb8-46ab-a741-36259926fd6f.jpg?1562906397, GATHERERID=439345}
066ac822-7417-4dc4-93ba-bfba2252f47b|Shielded by Faith|{1}{W}{W}|Enchantment - Aura|||Enchant creature<br>Enchanted creature has indestructible.<br>Whenever a creature enters, you may attach this Aura to that creature.|Explorers of Ixalan|Rare||David Palumbo|4|MID: 439346<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/e02/4/shielded-by-faith?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=439346&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/6/066ac822-7417-4dc4-93ba-bfba2252f47b.jpg?1562896529, GATHERERID=439346}
1ba8b52a-af98-4a7d-83e5-ab94e058d9a7|Veteran's Reflexes|{W}|Instant|||Target creature gets +1/+1 until end of turn. Untap that creature.|Explorers of Ixalan|Common||Scott Chou|5|MID: 439347<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/e02/5/veterans-reflexes?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=439347&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/b/1ba8b52a-af98-4a7d-83e5-ab94e058d9a7.jpg?1562901515, GATHERERID=439347}
bb43ab42-0c5e-4c71-b678-a258fec3bf48|Vow of Duty|{2}{W}|Enchantment - Aura|||Enchant creature<br>Enchanted creature gets +2/+2, has vigilance, and can't attack you or planeswalkers you control.|Explorers of Ixalan|Uncommon||Wayne Reynolds|6|MID: 439348<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/e02/6/vow-of-duty?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=439348&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/b/bb43ab42-0c5e-4c71-b678-a258fec3bf48.jpg?1562939178, GATHERERID=439348}
1352ede2-9eb4-44db-b323-58b7b6409242|Aether Gale|{3}{U}{U}|Sorcery|||Return six target nonland permanents to their owners' hands.|Explorers of Ixalan|Rare||Jack Wang|7|MID: 439349<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/e02/7/aether-gale?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=439349&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/3/1352ede2-9eb4-44db-b323-58b7b6409242.jpg?1562899588, GATHERERID=439349}
bb500b63-a61f-4d62-a666-61c7bca94b18|Blatant Thievery|{4}{U}{U}{U}|Sorcery|||For each opponent, gain control of target permanent that player controls.|Explorers of Ixalan|Rare||Victor Adame Minguez|8|MID: 439350<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/e02/8/blatant-thievery?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=439350&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/b/bb500b63-a61f-4d62-a666-61c7bca94b18.jpg?1562939192, GATHERERID=439350}
64f6ac9a-e0a6-4334-ac98-63b2c5bdccd2|Concentrate|{2}{U}{U}|Sorcery|||Draw three cards.|Explorers of Ixalan|Uncommon||rk post|9|MID: 439351<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/e02/9/concentrate?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=439351&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/4/64f6ac9a-e0a6-4334-ac98-63b2c5bdccd2.jpg?1562918809, GATHERERID=439351}
