ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|GATHERERID|TCGID|PROPERTIES
5924c01f-2815-4e37-b700-3ba6cc81e0e4|Ashling, the Limitless|{2}{R}|Legendary Creature - Elemental Sorcerer|2|3|Elemental permanent spells you cast from your hand gain evoke {4} as you cast them. (If you cast a spell for its evoke cost, it's sacrificed when it enters.)<br>Whenever you sacrifice a nontoken Elemental, create a token that's a copy of it. The token gains haste until end of turn. At the beginning of your next end step, sacrifice it unless you pay {W}{U}{B}{R}{G}.<BR><a href="https://api.scryfall.com/cards/5924c01f-2815-4e37-b700-3ba6cc81e0e4/rulings">Rulings</a>|Lorwyn Eclipsed Commander|Mythic||Kai Carpenter|1|Finishes: nonfoil:foil:<br>FullArt: true<br><br><a href="https://scryfall.com/card/ecc/1/ashling-the-limitless?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/9/5924c01f-2815-4e37-b700-3ba6cc81e0e4.jpg?1768940591}
9a2e4252-9fbc-4d43-8935-db2cafaa7b5f|Auntie Ool, Cursewretch|{1}{B}{R}{G}|Legendary Creature - Goblin Warlock|4|4|Ward—Blight 2. (To blight 2, a player puts two -1/-1 counters on a creature they control.)<br>Whenever one or more -1/-1 counters are put on a creature, draw a card if you control that creature. If you don't control it, its controller loses 1 life.<BR><a href="https://api.scryfall.com/cards/9a2e4252-9fbc-4d43-8935-db2cafaa7b5f/rulings">Rulings</a>|Lorwyn Eclipsed Commander|Mythic||Daniel Zrom|2|Finishes: nonfoil:foil:<br>FullArt: true<br><br><a href="https://scryfall.com/card/ecc/2/auntie-ool-cursewretch?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/a/9a2e4252-9fbc-4d43-8935-db2cafaa7b5f.jpg?1768940605}
871decb1-82e7-48f7-84be-96dde2d35770|Mass of Mysteries|{W}{U}{B}{R}{G}|Legendary Creature - Elemental|5|5|First strike, vigilance, trample<br>At the beginning of combat on your turn, another target Elemental you control gains myriad until end of turn. (Whenever it attacks, for each opponent other than defending player, you may create a token copy that's tapped and attacking that player or a planeswalker they control. Exile the tokens at end of combat.)<BR><a href="https://api.scryfall.com/cards/871decb1-82e7-48f7-84be-96dde2d35770/rulings">Rulings</a>|Lorwyn Eclipsed Commander|Mythic||Jeff Miracola|3|Finishes: nonfoil:foil:<br>FullArt: true<br><br><a href="https://scryfall.com/card/ecc/3/mass-of-mysteries?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/7/871decb1-82e7-48f7-84be-96dde2d35770.jpg?1768337933}
d2119f3f-27d2-4d43-a5ef-35c1b73d182a|The Reaper, King No More|{2/B}{2/R}{2/G}|Legendary Artifact Creature - Scarecrow|3|3|When The Reaper enters, put a -1/-1 counter on each of up to two target creatures.<br>Whenever a creature an opponent controls with a -1/-1 counter on it dies, you may put that card onto the battlefield under your control. Do this only once each turn.<BR><a href="https://api.scryfall.com/cards/d2119f3f-27d2-4d43-a5ef-35c1b73d182a/rulings">Rulings</a>|Lorwyn Eclipsed Commander|Mythic||Zack Stella|4|Finishes: nonfoil:foil:<br>FullArt: true<br><br><a href="https://scryfall.com/card/ecc/4/the-reaper-king-no-more?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/2/d2119f3f-27d2-4d43-a5ef-35c1b73d182a.jpg?1768940608}
a930c3f1-9c59-4627-829a-3cefb87ae2f4|Belonging|{5}{W}|Creature - Elemental Incarnation|6|6|When this creature enters, create three 1/1 colorless Shapeshifter creature tokens with changeling. (They're every creature type.)<br>Encore {6}{W}{W} ({6}{W}{W}, Exile this card from your graveyard: For each opponent, create a token copy that attacks that opponent this turn if able. They gain haste. Sacrifice them at the beginning of the next end step. Activate only as a sorcery.)<BR><a href="https://api.scryfall.com/cards/a930c3f1-9c59-4627-829a-3cefb87ae2f4/rulings">Rulings</a>|Lorwyn Eclipsed Commander|Rare||Danny Schwartz|5|Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/ecc/5/belonging?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/9/a930c3f1-9c59-4627-829a-3cefb87ae2f4.jpg?1767729722}
fdbf0034-c28a-44ed-b817-519b2a3df3c4|Subterfuge|{4}{U}|Creature - Elemental Incarnation|3|5|When this creature enters, target creature gains flying and "Whenever this creature deals combat damage to a player, draw that many cards" until end of turn.<br>Encore {7}{U}{U} ({7}{U}{U}, Exile this card from your graveyard: For each opponent, create a token copy that attacks that opponent this turn if able. They gain haste. Sacrifice them at the beginning of the next end step. Activate only as a sorcery.)<BR><a href="https://api.scryfall.com/cards/fdbf0034-c28a-44ed-b817-519b2a3df3c4/rulings">Rulings</a>|Lorwyn Eclipsed Commander|Rare||Ilse Gort|6|Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/ecc/6/subterfuge?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/d/fdbf0034-c28a-44ed-b817-519b2a3df3c4.jpg?1767729734}
a27a3d4b-caa7-4c5e-b1f3-aa607d3b157d|Aberrant Return|{4}{B}{B}|Sorcery|||Put one, two, or three target creature cards from graveyards onto the battlefield under your control. Each of them enters with an additional -1/-1 counter on it.<BR><a href="https://api.scryfall.com/cards/a27a3d4b-caa7-4c5e-b1f3-aa607d3b157d/rulings">Rulings</a>|Lorwyn Eclipsed Commander|Rare||Aaron Miller|7|Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/ecc/7/aberrant-return?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/2/a27a3d4b-caa7-4c5e-b1f3-aa607d3b157d.jpg?1767729745}
9c5d71a6-8e68-4aee-b781-486276d17fce|Eventide's Shadow|{4}{B}|Sorcery|||Remove any number of counters from among permanents on the battlefield. You draw cards and lose life equal to the number of counters removed this way.<BR><a href="https://api.scryfall.com/cards/9c5d71a6-8e68-4aee-b781-486276d17fce/rulings">Rulings</a>|Lorwyn Eclipsed Commander|Rare||Jabari Weathers|8|Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/ecc/8/eventides-shadow?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/c/9c5d71a6-8e68-4aee-b781-486276d17fce.jpg?1767729757}
ec52f819-038a-41c3-91ef-91b1975d094c|Grave Venerations|{3}{B}|Enchantment|||When this enchantment enters, you become the monarch.<br>At the beginning of your end step, if you're the monarch, return up to one target creature card from your graveyard to your hand.<br>Whenever a creature you control dies, each opponent loses 1 life and you gain 1 life.<BR><a href="https://api.scryfall.com/cards/ec52f819-038a-41c3-91ef-91b1975d094c/rulings">Rulings</a>|Lorwyn Eclipsed Commander|Rare||Omar Rayyan|9|Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/ecc/9/grave-venerations?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/c/ec52f819-038a-41c3-91ef-91b1975d094c.jpg?1767729763}
2dbc775a-ec2b-442f-a817-4108c05d7fab|Lamentation|{5}{B}|Creature - Elemental Incarnation|5|4|When this creature enters, destroy target creature an opponent controls. You gain 3 life.<br>Encore {6}{B}{B} ({6}{B}{B}, Exile this card from your graveyard: For each opponent, create a token copy that attacks that opponent this turn if able. They gain haste. Sacrifice them at the beginning of the next end step. Activate only as a sorcery.)<BR><a href="https://api.scryfall.com/cards/2dbc775a-ec2b-442f-a817-4108c05d7fab/rulings">Rulings</a>|Lorwyn Eclipsed Commander|Rare||Lars Grant-West|10|Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/ecc/10/lamentation?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/d/2dbc775a-ec2b-442f-a817-4108c05d7fab.jpg?1767729769}
4030bfab-867c-4724-904e-3e8b631f075e|Oft-Nabbed Goat|{1}{B}|Creature - Goat|0|5|{1}: Draw a card. Gain control of this creature and put a -1/-1 counter on it. Only your opponents may activate this ability and only as a sorcery.<br>When this creature dies, if it had one or more -1/-1 counters on it, its owner draws that many cards and each other player loses that much life.<BR><a href="https://api.scryfall.com/cards/4030bfab-867c-4724-904e-3e8b631f075e/rulings">Rulings</a>|Lorwyn Eclipsed Commander|Rare||Mariah Tekulve|11|Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/ecc/11/oft-nabbed-goat?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/0/4030bfab-867c-4724-904e-3e8b631f075e.jpg?1767729795}
939a4eaa-4d9b-47d1-94a4-fb1e9a95e539|Sinister Gnarlbark|{2}{B}|Creature - Treefolk Warlock|0|4|At the beginning of your end step, draw a card and blight 1. (Put a -1/-1 counter on a creature you control.)<BR><a href="https://api.scryfall.com/cards/939a4eaa-4d9b-47d1-94a4-fb1e9a95e539/rulings">Rulings</a>|Lorwyn Eclipsed Commander|Rare||Olivier Bernard|12|Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/ecc/12/sinister-gnarlbark?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/3/939a4eaa-4d9b-47d1-94a4-fb1e9a95e539.jpg?1767729801}
c1c9ff71-b818-4d8b-8e0a-432becb7bf09|Impulsivity|{6}{R}|Creature - Elemental Incarnation|7|5|When this creature enters, you may cast target instant or sorcery card from a graveyard without paying its mana cost. If that spell would be put into a graveyard, exile it instead.<br>Encore {7}{R}{R} ({7}{R}{R}, Exile this card from your graveyard: For each opponent, create a token copy that attacks that opponent this turn if able. They gain haste. Sacrifice them at the beginning of the next end step. Activate only as a sorcery.)<BR><a href="https://api.scryfall.com/cards/c1c9ff71-b818-4d8b-8e0a-432becb7bf09/rulings">Rulings</a>|Lorwyn Eclipsed Commander|Rare||Alex Konstad|13|Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/ecc/13/impulsivity?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/1/c1c9ff71-b818-4d8b-8e0a-432becb7bf09.jpg?1767729775}
a1e34ec4-6a85-4e22-9be9-f27dda5752d6|Village Pillagers|{3}{R}{R}|Creature - Goblin Warrior|5|5|Wither (This deals damage to creatures in the form of -1/-1 counters.)<br>When this creature enters, it deals 1 damage to each creature your opponents control.<br>Whenever a creature an opponent controls with a counter on it dies, you create a tapped Treasure token.<BR><a href="https://api.scryfall.com/cards/a1e34ec4-6a85-4e22-9be9-f27dda5752d6/rulings">Rulings</a>|Lorwyn Eclipsed Commander|Rare||Paolo Parente|14|Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/ecc/14/village-pillagers?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/1/a1e34ec4-6a85-4e22-9be9-f27dda5752d6.jpg?1767729782}
b012cbef-c9bc-41ac-8318-f1687340c5fa|Elemental Spectacle|{5}{G}|Sorcery|||Vivid — Create a number of 5/5 red and green Elemental creature tokens equal to the number of colors among permanents you control. Then you gain life equal to the number of creatures you control.<BR><a href="https://api.scryfall.com/cards/b012cbef-c9bc-41ac-8318-f1687340c5fa/rulings">Rulings</a>|Lorwyn Eclipsed Commander|Rare||Aldo Domínguez|15|Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/ecc/15/elemental-spectacle?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/0/b012cbef-c9bc-41ac-8318-f1687340c5fa.jpg?1767729788}
d6313ef4-c1a0-4315-8db9-a3666e49daa8|Ferrafor, Young Yew|{6}{G}|Legendary Creature - Treefolk Druid|4|7|When Ferrafor enters, create a number of 1/1 green Saproling creature tokens equal to the number of counters among creatures target player controls.<br>{T}: Double the number of each kind of counter on target creature.<BR><a href="https://api.scryfall.com/cards/d6313ef4-c1a0-4315-8db9-a3666e49daa8/rulings">Rulings</a>|Lorwyn Eclipsed Commander|Rare||Jesper Ejsing|16|Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/ecc/16/ferrafor-young-yew?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/6/d6313ef4-c1a0-4315-8db9-a3666e49daa8.jpg?1768940612}
a8eef44d-113c-428f-89e1-821418def041|Jubilation|{5}{G}|Creature - Elemental Incarnation|5|5|When this creature enters, creatures you control get +2/+2 and gain trample until end of turn.<br>Encore {7}{G}{G} ({7}{G}{G}, Exile this card from your graveyard: For each opponent, create a token copy that attacks that opponent this turn if able. They gain haste. Sacrifice them at the beginning of the next end step. Activate only as a sorcery.)<BR><a href="https://api.scryfall.com/cards/a8eef44d-113c-428f-89e1-821418def041/rulings">Rulings</a>|Lorwyn Eclipsed Commander|Rare||Vincent Christiaens|17|Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/ecc/17/jubilation?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/8/a8eef44d-113c-428f-89e1-821418def041.jpg?1767729854}
1966dbd2-963a-4d37-ab26-c0a0715f523f|Puca's Covenant|{2}{G}|Enchantment|||Whenever a creature you control with a counter on it dies, you may return another target permanent card with mana value less than or equal to the number of counters on that creature from your graveyard to your hand. Do this only once each turn.<BR><a href="https://api.scryfall.com/cards/1966dbd2-963a-4d37-ab26-c0a0715f523f/rulings">Rulings</a>|Lorwyn Eclipsed Commander|Rare||Daria Aksenova|18|Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/ecc/18/pucas-covenant?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/9/1966dbd2-963a-4d37-ab26-c0a0715f523f.jpg?1767729860}
44265489-645a-43b0-bc1f-726905b06876|Springleaf Parade|{X}{G}{G}|Enchantment|||When this enchantment enters, create X 1/1 colorless Shapeshifter creature tokens with changeling. (They're every creature type.)<br>Creature tokens you control have "{T}: Add one mana of any color."<BR><a href="https://api.scryfall.com/cards/44265489-645a-43b0-bc1f-726905b06876/rulings">Rulings</a>|Lorwyn Eclipsed Commander|Rare||Cory Godbey|19|Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/ecc/19/springleaf-parade?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/4/44265489-645a-43b0-bc1f-726905b06876.jpg?1767775019}
5e2692eb-5a01-4b62-9d4d-263a553975ab|Dread Tiller|{1}{B}{G}|Artifact Creature - Scarecrow|2|4|When this creature enters, put a -1/-1 counter on target creature.<br>Whenever a creature with a -1/-1 counter on it dies, you may put a land card from your hand or graveyard onto the battlefield tapped.<BR><a href="https://api.scryfall.com/cards/5e2692eb-5a01-4b62-9d4d-263a553975ab/rulings">Rulings</a>|Lorwyn Eclipsed Commander|Rare||Steven Belledin|20|Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/ecc/20/dread-tiller?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/e/5e2692eb-5a01-4b62-9d4d-263a553975ab.jpg?1767729873}
3758af07-68ed-42da-8a13-ec321e7cd06e|Wickersmith's Tools|{3}|Artifact|||Whenever one or more -1/-1 counters are put on a creature, put a charge counter on this artifact.<br>{T}: Add one mana of any color.<br>{5}, {T}, Sacrifice this artifact: Create X tapped 2/2 colorless Scarecrow artifact creature tokens, where X is the number of charge counters on this artifact.<BR><a href="https://api.scryfall.com/cards/3758af07-68ed-42da-8a13-ec321e7cd06e/rulings">Rulings</a>|Lorwyn Eclipsed Commander|Rare||Paolo Parente|21|Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/ecc/21/wickersmiths-tools?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/7/3758af07-68ed-42da-8a13-ec321e7cd06e.jpg?1767729909}
37478625-dd07-476d-bd9b-b2e0d71ac0d1|Abundant Countryside||Land|||{T}: Add {C}.<br>{T}: Add one mana of any color. Spend this mana only to cast a creature spell.<br>{6}, {T}: Create a 1/1 colorless Shapeshifter creature token with changeling. (It's every creature type.)<BR><a href="https://api.scryfall.com/cards/37478625-dd07-476d-bd9b-b2e0d71ac0d1/rulings">Rulings</a>|Lorwyn Eclipsed Commander|Rare||Iris Compiet|22|Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/ecc/22/abundant-countryside?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/7/37478625-dd07-476d-bd9b-b2e0d71ac0d1.jpg?1767864265}
07be68c1-1272-4209-84b9-4fff9211b23e|Rain-Slicked Copse||Land - Forest Island|||({T}: Add {G} or {U}.)<br>This land enters tapped.<br>Cycling {2} ({2}, Discard this card: Draw a card.)<BR><a href="https://api.scryfall.com/cards/07be68c1-1272-4209-84b9-4fff9211b23e/rulings">Rulings</a>|Lorwyn Eclipsed Commander|Rare||Adam Paquette|23|Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/ecc/23/rain-slicked-copse?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/7/07be68c1-1272-4209-84b9-4fff9211b23e.jpg?1768336791}
fd5e526a-2507-4c3c-ad6f-98d4253962df|Sodden Verdure||Land - Forest Island|||({T}: Add {G} or {U}.)<br>This land enters tapped unless you control two or more basic lands.<BR><a href="https://api.scryfall.com/cards/fd5e526a-2507-4c3c-ad6f-98d4253962df/rulings">Rulings</a>|Lorwyn Eclipsed Commander|Rare||Raymond Bonilla|24|Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/ecc/24/sodden-verdure?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/d/fd5e526a-2507-4c3c-ad6f-98d4253962df.jpg?1768335079}
