ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|GATHERERID|TCGID|PROPERTIES
fb6b12e7-bb93-4eb6-bad1-b256a6ccff4e|Acclaimed Contender|{2}{W}|Creature - Human Knight|3|3|When this creature enters, if you control another Knight, look at the top five cards of your library. You may reveal a Knight, Aura, Equipment, or legendary artifact card from among them and put it into your hand. Put the rest on the bottom of your library in a random order.<BR><a href="https://api.scryfall.com/cards/fb6b12e7-bb93-4eb6-bad1-b256a6ccff4e/rulings">Rulings</a>|Throne of Eldraine|Rare||David Gaillet|1|MID: 472963<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/eld/1/acclaimed-contender?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=472963&printed=false">Gatherer</a>|472963|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/b/fb6b12e7-bb93-4eb6-bad1-b256a6ccff4e.jpg?1582021671}
d9713032-2956-4564-b5f5-2dd16245a4e6|All That Glitters|{1}{W}|Enchantment - Aura|||Enchant creature<br>Enchanted creature gets +1/+1 for each artifact and/or enchantment you control.<BR><a href="https://api.scryfall.com/cards/d9713032-2956-4564-b5f5-2dd16245a4e6/rulings">Rulings</a>|Throne of Eldraine|Uncommon||Iain McCaig|2|MID: 472964<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/eld/2/all-that-glitters?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=472964&printed=false">Gatherer</a>|472964|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/9/d9713032-2956-4564-b5f5-2dd16245a4e6.jpg?1572489608}
684ca60c-7ed4-49e1-b54a-91d129539375|Archon of Absolution|{3}{W}|Creature - Archon|3|2|Flying<br>Protection from white (This creature can't be blocked, targeted, dealt damage, enchanted, or equipped by anything white.)<br>Creatures can't attack you or planeswalkers you control unless their controller pays {1} for each of those creatures.<BR><a href="https://api.scryfall.com/cards/684ca60c-7ed4-49e1-b54a-91d129539375/rulings">Rulings</a>|Throne of Eldraine|Uncommon||Igor Kieryluk|3|MID: 472965<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/eld/3/archon-of-absolution?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=472965&printed=false">Gatherer</a>|472965|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/8/684ca60c-7ed4-49e1-b54a-91d129539375.jpg?1572489614}
a32fa360-6c41-4146-931b-c19e9a766803|Ardenvale Paladin|{3}{W}|Creature - Human Knight|2|5|Adamant — If at least three white mana was spent to cast this spell, this creature enters with a +1/+1 counter on it.<BR><a href="https://api.scryfall.com/cards/a32fa360-6c41-4146-931b-c19e9a766803/rulings">Rulings</a>|Throne of Eldraine|Common||Volkan Baǵa|4|MID: 472966<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/eld/4/ardenvale-paladin?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=472966&printed=false">Gatherer</a>|472966|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/3/a32fa360-6c41-4146-931b-c19e9a766803.jpg?1572489621}
c7d5e394-8e41-442e-ae97-a478a61e1b9d|Ardenvale Tactician // Dizzying Swoop|{1}{W}{W}|Creature - Human Knight|2|3|Flying<BR><a href="https://api.scryfall.com/cards/c7d5e394-8e41-442e-ae97-a478a61e1b9d/rulings">Rulings</a>|Throne of Eldraine|Common||Jason Rainville|5|MID: 472967<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/eld/5/ardenvale-tactician-dizzying-swoop?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=472967&printed=false">Gatherer</a>|472967|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/7/c7d5e394-8e41-442e-ae97-a478a61e1b9d.jpg?1572489629, FLIPID=-c7d5e394-8e41-442e-ae97-a478a61e1b9d}
-c7d5e394-8e41-442e-ae97-a478a61e1b9d|Ardenvale Tactician // Dizzying Swoop (adventure)|{1}{W}|Instant - Adventure|||Tap up to two target creatures. (Then exile this card. You may cast the creature later from exile.)<BR><a href="https://api.scryfall.com/cards/c7d5e394-8e41-442e-ae97-a478a61e1b9d/rulings">Rulings</a>|Throne of Eldraine|Common||Jason Rainville|5b|MID: 472967<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/eld/5/ardenvale-tactician-dizzying-swoop?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=472967&printed=false">Gatherer</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/7/c7d5e394-8e41-442e-ae97-a478a61e1b9d.jpg?1572489629, FLIPID=c7d5e394-8e41-442e-ae97-a478a61e1b9d}
1de43c67-7dfe-4282-b433-4e394366d2e9|Bartered Cow|{3}{W}|Creature - Ox|3|3|When this creature dies and when you discard this card, create a Food token. (It's an artifact with "{2}, {T}, Sacrifice this token: You gain 3 life.")<BR><a href="https://api.scryfall.com/cards/1de43c67-7dfe-4282-b433-4e394366d2e9/rulings">Rulings</a>|Throne of Eldraine|Common||Deruchenko Alexander|6|MID: 472968<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/eld/6/bartered-cow?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=472968&printed=false">Gatherer</a>|472968|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/d/1de43c67-7dfe-4282-b433-4e394366d2e9.jpg?1572489634}
4c6ee4eb-70b2-4f99-9d54-5caf2d3713be|Beloved Princess|{W}|Creature - Human Noble|1|1|Lifelink<br>This creature can't be blocked by creatures with power 3 or greater.<BR><a href="https://api.scryfall.com/cards/4c6ee4eb-70b2-4f99-9d54-5caf2d3713be/rulings">Rulings</a>|Throne of Eldraine|Common||Howard Lyon|7|MID: 472969<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/eld/7/beloved-princess?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=472969&printed=false">Gatherer</a>|472969|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/c/4c6ee4eb-70b2-4f99-9d54-5caf2d3713be.jpg?1578068487}
dcb94950-3f3e-4876-84f8-d5e4d9cfecee|Charming Prince|{1}{W}|Creature - Human Noble|2|2|When this creature enters, choose one —<br>• Scry 2.<br>• You gain 3 life.<br>• Exile another target creature you own. Return it to the battlefield under your control at the beginning of the next end step.<BR><a href="https://api.scryfall.com/cards/dcb94950-3f3e-4876-84f8-d5e4d9cfecee/rulings">Rulings</a>|Throne of Eldraine|Rare||Randy Vargas|8|MID: 472970<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/eld/8/charming-prince?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=472970&printed=false">Gatherer</a>|472970|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/c/dcb94950-3f3e-4876-84f8-d5e4d9cfecee.jpg?1572489646}
79093d00-362d-4d07-8a0a-cf5e1ccf9c0f|The Circle of Loyalty|{4}{W}{W}|Legendary Artifact|||Affinity for Knights (This spell costs {1} less to cast for each Knight you control.)<br>Creatures you control get +1/+1.<br>Whenever you cast a legendary spell, create a 2/2 white Knight creature token with vigilance.<br>{3}{W}, {T}: Create a 2/2 white Knight creature token with vigilance.<BR><a href="https://api.scryfall.com/cards/79093d00-362d-4d07-8a0a-cf5e1ccf9c0f/rulings">Rulings</a>|Throne of Eldraine|Mythic||Bastien L. Deharme|9|MID: 472971<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/eld/9/the-circle-of-loyalty?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=472971&printed=false">Gatherer</a>|472971|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/9/79093d00-362d-4d07-8a0a-cf5e1ccf9c0f.jpg?1572489653}
