ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
6b913e79-a9f6-44d4-bb37-c4f6f66b8151|Hearthhull, the Worldseed|{1}{B}{R}{G}|Legendary Artifact - Spacecraft|6|7|Station (Tap another creature you control: Put charge counters equal to its power on this Spacecraft. Station only as a sorcery. It's an artifact creature at 8+.)<br>STATION 2+<br>{1}, {T}, Sacrifice a land: Draw two cards. You may play an additional land this turn.<br>STATION 8+<br>Flying, vigilance, haste<br>Whenever you sacrifice a land, each opponent loses 2 life.|Edge of Eternities Commander|Mythic||Daniel Ljunggren|1|Finishes: nonfoil:foil:<br>FullArt: true<br>https://scryfall.com/card/eoc/1/hearthhull-the-worldseed?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/b/6b913e79-a9f6-44d4-bb37-c4f6f66b8151.jpg?1754673442}
46900ec7-eb18-45c4-8e90-a48b665cfdee|Inspirit, Flagship Vessel|{U}{R}{W}|Legendary Artifact - Spacecraft|5|5|Station (Tap another creature you control: Put charge counters equal to its power on this Spacecraft. Station only as a sorcery. It's an artifact creature at 8+.)<br>STATION 1+<br>At the beginning of combat on your turn, put your choice of a +1/+1 counter or two charge counters on up to one other target artifact.<br>STATION 8+<br>Flying<br>Other artifacts you control have hexproof and indestructible.|Edge of Eternities Commander|Mythic||Titus Lunter|2|Finishes: nonfoil:foil:<br>FullArt: true<br>https://scryfall.com/card/eoc/2/inspirit-flagship-vessel?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/6/46900ec7-eb18-45c4-8e90-a48b665cfdee.jpg?1754673464}
307a859e-eb80-4af6-b731-92e4767b5100|Kilo, Apogee Mind|{U}{R}{W}|Legendary Artifact Creature - Robot Artificer|3|3|Haste<br>Whenever Kilo becomes tapped, proliferate. (Choose any number of permanents and/or players, then give each another counter of each kind already there.)|Edge of Eternities Commander|Mythic||Tuan Duong Chu|3|Finishes: nonfoil:foil:<br>FullArt: true<br>https://scryfall.com/card/eoc/3/kilo-apogee-mind?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/0/307a859e-eb80-4af6-b731-92e4767b5100.jpg?1754673461}
89b61123-b10f-4bcf-b5f9-1f302f9b22d1|Szarel, Genesis Shepherd|{2}{B}{R}{G}|Legendary Creature - Insect Druid|2|5|Flying<br>You may play lands from your graveyard.<br>Whenever you sacrifice another nontoken permanent during your turn, put a number of +1/+1 counters equal to Szarel's power on up to one other target creature.|Edge of Eternities Commander|Mythic||Matt Stewart|4|Finishes: nonfoil:foil:<br>FullArt: true<br>https://scryfall.com/card/eoc/4/szarel-genesis-shepherd?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/9/89b61123-b10f-4bcf-b5f9-1f302f9b22d1.jpg?1754673465}
1e06d6be-c2a3-4c73-a916-89674c0ddfed|Patrolling Peacemaker|{2}{W}|Artifact Creature - Robot Soldier|0|0|This creature enters with two +1/+1 counters on it.<br>Whenever an opponent commits a crime, proliferate. (They commit a crime if they target an opponent, anything an opponent controls, and/or cards in an opponent's graveyard. To proliferate, you choose any number of permanents and/or players, then give each another counter of each kind already there.)|Edge of Eternities Commander|Rare||Michal Ivan|5|Finishes: nonfoil:<br>https://scryfall.com/card/eoc/5/patrolling-peacemaker?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/e/1e06d6be-c2a3-4c73-a916-89674c0ddfed.jpg?1752944071}
b826de8b-ed21-4e2b-b99a-e860c1cb876b|Insight Engine|{2}{U}|Artifact|||{2}, {T}: Put a charge counter on this artifact, then draw a card for each charge counter on it.|Edge of Eternities Commander|Rare||Gaboleps|6|Finishes: nonfoil:<br>https://scryfall.com/card/eoc/6/insight-engine?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/8/b826de8b-ed21-4e2b-b99a-e860c1cb876b.jpg?1752944080}
6ade097b-349f-4876-bdc8-7bcd051e9952|Uthros Research Craft|{2}{U}|Artifact - Spacecraft|0|8|Station (Tap another creature you control: Put charge counters equal to its power on this Spacecraft. Station only as a sorcery. It's an artifact creature at 12+.)<br>STATION 3+<br>Whenever you cast an artifact spell, draw a card. Put a charge counter on this Spacecraft.<br>STATION 12+<br>Flying<br>This Spacecraft gets +1/+0 for each artifact you control.|Edge of Eternities Commander|Rare||Piotr Dura|7|Finishes: nonfoil:<br>FullArt: true<br>https://scryfall.com/card/eoc/7/uthros-research-craft?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/a/6ade097b-349f-4876-bdc8-7bcd051e9952.jpg?1753296626}
3ee18d18-0167-4caa-adad-9d4435689c80|Eumidian Wastewaker|{2}{B}{B}|Creature - Insect Cleric|4|4|Whenever this creature attacks, you and defending player each discard a card or sacrifice a permanent. You draw a card for each land card put into a graveyard this way.<br>Encore {6}{B}{B} ({6}{B}{B}, Exile this card from your graveyard: For each opponent, create a token copy that attacks that opponent this turn if able. They gain haste. Sacrifice them at the beginning of the next end step. Activate only as a sorcery.)|Edge of Eternities Commander|Rare||Mathias Kollros|8|Finishes: nonfoil:<br>https://scryfall.com/card/eoc/8/eumidian-wastewaker?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/e/3ee18d18-0167-4caa-adad-9d4435689c80.jpg?1752944099}
972f3582-ad7c-4fe9-af29-90fa695a623f|Depthshaker Titan|{5}{R}{R}|Artifact Creature - Robot|5|5|When this creature enters, any number of target noncreature artifacts you control become 3/3 artifact creatures. Sacrifice them at the beginning of the next end step.<br>Each artifact creature you control has melee, trample, and haste. (Whenever a creature with melee attacks, it gets +1/+1 until end of turn for each opponent you attacked this combat.)|Edge of Eternities Commander|Rare||PINDURSKI|9|Finishes: nonfoil:<br>https://scryfall.com/card/eoc/9/depthshaker-titan?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/7/972f3582-ad7c-4fe9-af29-90fa695a623f.jpg?1752944108}
8b9001a4-953c-4a32-b51a-c6bec7e74f9e|Evendo Brushrazer|{2}{R}|Creature - Insect Warrior|2|2|Whenever you sacrifice a nontoken permanent, exile the top card of your library.<br>During your turn, as long as you've sacrificed a nontoken permanent this turn, you may play cards exiled with this creature.<br>{T}, Sacrifice a land: Add {R}{R}.|Edge of Eternities Commander|Rare||Igor Grechanyi|10|Finishes: nonfoil:<br>https://scryfall.com/card/eoc/10/evendo-brushrazer?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/b/8b9001a4-953c-4a32-b51a-c6bec7e74f9e.jpg?1752944116}
