ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
6036|Allay|{1}{W}|Instant|||Buyback {3} (You may pay an additional {3} as you cast this spell. If you do, put this card into your hand as it resolves.)<br>Destroy target enchantment.|Exodus|Common||Randy Gallegos|1|MID: 6036<br>Finishes: nonfoil:<br>https://scryfall.com/card/exo/1/allay?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/2/f20a1c6d-ec6a-4bd6-b3b2-b997f71d41fc.jpg?1562089262}
6040|Angelic Blessing|{2}{W}|Sorcery|||Target creature gets +3/+3 and gains flying until end of turn. (It can't be blocked except by creatures with flying or reach.)|Exodus|Common||Mark Zug|2|MID: 6040<br>Finishes: nonfoil:<br>https://scryfall.com/card/exo/2/angelic-blessing?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/d/ed3c8bae-953f-4bb4-a78d-02e4e354e53c.jpg?1562089258}
6050|Cataclysm|{2}{W}{W}|Sorcery|||Each player chooses from among the permanents they control an artifact, a creature, an enchantment, and a land, then sacrifices the rest.|Exodus|Rare||Jim Nelson|3|MID: 6050<br>Finishes: nonfoil:<br>https://scryfall.com/card/exo/3/cataclysm?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/2/024ae668-a1ae-4020-89c8-acbd8bd0a691.jpg?1593863070}
6035|Charging Paladin|{2}{W}|Creature - Human Knight|2|2|Whenever this creature attacks, it gets +0/+3 until end of turn.|Exodus|Common||Ciruelo|4|MID: 6035<br>Finishes: nonfoil:<br>https://scryfall.com/card/exo/4/charging-paladin?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/5/851f3f72-2923-4432-898a-02679a8b320f.jpg?1562088307}
6051|Convalescence|{1}{W}|Enchantment|||At the beginning of your upkeep, if you have 10 or less life, you gain 1 life.|Exodus|Rare||D. Alexander Gregory|5|MID: 6051<br>Finishes: nonfoil:<br>https://scryfall.com/card/exo/5/convalescence?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/f/0fd49a61-42ba-400a-8ca9-9f6058bf85ca.jpg?1562087334}
6053|Exalted Dragon|{4}{W}{W}|Creature - Dragon|5|5|Flying<br>This creature can't attack unless you sacrifice a land. (This cost is paid as attackers are declared.)|Exodus|Rare||Matthew D. Wilson|6|MID: 6053<br>Finishes: nonfoil:<br>https://scryfall.com/card/exo/6/exalted-dragon?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/5/7537bab3-4bac-4b83-9ad3-dfcb4ff19d6d.jpg?1562088295}
6169|High Ground|{W}|Enchantment|||Each creature you control can block an additional creature each combat.|Exodus|Uncommon||rk post|7|MID: 6169<br>Finishes: nonfoil:<br>https://scryfall.com/card/exo/7/high-ground?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/c/1c5239dc-f51b-48c0-91a2-ed6551aaff32.jpg?1562087353}
6041|Keeper of the Light|{W}{W}|Creature - Human Wizard|1|2|{W}, {T}: Choose target opponent who has more life than you do as you activate this ability. You gain 3 life.|Exodus|Uncommon||D. Alexander Gregory|8|MID: 6041<br>Finishes: nonfoil:<br>https://scryfall.com/card/exo/8/keeper-of-the-light?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/6/06eda847-c599-4163-b48b-aa76b153ed86.jpg?1562086892}
6045|Kor Chant|{2}{W}|Instant|||All damage that would be dealt this turn to target creature you control by a source of your choice is dealt to another target creature instead.|Exodus|Common||John Matson|9|MID: 6045<br>Finishes: nonfoil:<br>https://scryfall.com/card/exo/9/kor-chant?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/d/8dc61cc3-0312-44f4-9c23-4fc37c3fbbd5.jpg?1562088315}
6049|Limited Resources|{W}|Enchantment|||When this enchantment enters, each player chooses five lands they control and sacrifices the rest.<br>Players can't play lands as long as ten or more lands are on the battlefield.|Exodus|Rare||Keith Parkinson|10|MID: 6049<br>Finishes: nonfoil:<br>https://scryfall.com/card/exo/10/limited-resources?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/0/20ae3609-a3cc-486c-94f6-b8f647adfb47.jpg?1562087362}
6048|Oath of Lieges|{1}{W}|Enchantment|||At the beginning of each player's upkeep, that player chooses target player who controls more lands than they do and is their opponent. The first player may search their library for a basic land card, put that card onto the battlefield, then shuffle.|Exodus|Rare||Mark Zug|11|MID: 6048<br>Finishes: nonfoil:<br>https://scryfall.com/card/exo/11/oath-of-lieges?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/7/470a2092-eeda-4557-8cee-ac401b61a225.jpg?1562087824}
5199|Paladin en-Vec|{1}{W}{W}|Creature - Human Knight|2|2|First strike, protection from black and from red (This creature deals combat damage before creatures without first strike. It can't be blocked, targeted, dealt damage, or enchanted by anything black or red.)|Exodus|Rare||Randy Elliott|12|MID: 5199<br>Finishes: nonfoil:<br>https://scryfall.com/card/exo/12/paladin-en-vec?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/f/bf1ea89d-4b9d-455f-a7f4-a26026e0c272.jpg?1562088785}
6039|Peace of Mind|{1}{W}|Enchantment|||{W}, Discard a card: You gain 3 life.|Exodus|Uncommon||Randy Elliott|13|MID: 6039<br>Finishes: nonfoil:<br>https://scryfall.com/card/exo/13/peace-of-mind?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/3/c383f12f-da06-4ef0-bf8e-6a8a9cfcc74c.jpg?1596481644}
6044|Pegasus Stampede|{1}{W}|Sorcery|||Buyback—Sacrifice a land. (You may sacrifice a land in addition to any other costs as you cast this spell. If you do, put this card into your hand as it resolves.)<br>Create a 1/1 white Pegasus creature token with flying.|Exodus|Uncommon||Mark Zug|14|MID: 6044<br>Finishes: nonfoil:<br>https://scryfall.com/card/exo/14/pegasus-stampede?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/b/3b941576-8254-4d69-85ae-c748c7921ce5.jpg?1562087818}
6047|Penance|{2}{W}|Enchantment|||Put a card from your hand on top of your library: The next time a black or red source of your choice would deal damage this turn, prevent that damage.|Exodus|Uncommon||Terese Nielsen|15|MID: 6047<br>Finishes: nonfoil:<br>https://scryfall.com/card/exo/15/penance?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/f/1f3db848-8394-43bd-a236-264641033a6d.jpg?1562087357}
6037|Reaping the Rewards|{W}|Instant|||Buyback—Sacrifice a land. (You may sacrifice a land in addition to any other costs as you cast this spell. If you do, put this card into your hand as it resolves.)<br>You gain 2 life.|Exodus|Common||Heather Hudson|16|MID: 6037<br>Finishes: nonfoil:<br>https://scryfall.com/card/exo/16/reaping-the-rewards?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/7/379b0495-8795-4b21-9d0a-dc4e10098de2.jpg?1562087379}
6046|Reconnaissance|{W}|Enchantment|||{0}: Remove target attacking creature you control from combat and untap it. (If you activate during end of combat, the creature will untap after it deals combat damage.)|Exodus|Uncommon||Val Mayerik|17|MID: 6046<br>Finishes: nonfoil:<br>https://scryfall.com/card/exo/17/reconnaissance?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/1/a16012d8-703c-4385-8769-13e3caba3fc6.jpg?1562088333}
