ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
5feef053-6788-4124-8ec5-b3aca7139177|Firebolt|{R}|Sorcery|||Firebolt deals 2 damage to any target.<br>Flashback {4}{R} (You may cast this card from your graveyard for its flashback cost. Then exile it.)|Friday Night Magic 2007|Rare||Ron Spencer|1|Finishes: foil:<br>Promos: tourney:fnm:<br><br><a href="https://scryfall.com/card/f07/1/firebolt?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/f/5feef053-6788-4124-8ec5-b3aca7139177.jpg?1562132470}
221921d9-34d8-420a-be5e-6b4468e703fa|Deep Analysis|{3}{U}|Sorcery|||Target player draws two cards.<br>Flashback—{1}{U}, Pay 3 life. (You may cast this card from your graveyard for its flashback cost. Then exile it.)|Friday Night Magic 2007|Rare||Daren Bader|2|Finishes: foil:<br>Promos: tourney:fnm:<br><br><a href="https://scryfall.com/card/f07/2/deep-analysis?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/2/221921d9-34d8-420a-be5e-6b4468e703fa.jpg?1562132465}
ba298bc6-b096-4de9-98ea-1cefad46ee65|Gerrard's Verdict|{W}{B}|Sorcery|||Target player discards two cards. You gain 3 life for each land card discarded this way.|Friday Night Magic 2007|Rare||Carl Critchlow|3|Finishes: foil:<br>Promos: tourney:fnm:<br><br><a href="https://scryfall.com/card/f07/3/gerrards-verdict?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/a/ba298bc6-b096-4de9-98ea-1cefad46ee65.jpg?1562132475}
b2af0acb-4c2a-4f89-b509-c16504e24362|Basking Rootwalla|{G}|Creature - Lizard|1|1|{1}{G}: This creature gets +2/+2 until end of turn. Activate only once each turn.<br>Madness {0} (If you discard this card, discard it into exile. When you do, cast it for its madness cost or put it into your graveyard.)|Friday Night Magic 2007|Rare||Heather Hudson|4|Finishes: foil:<br>Promos: tourney:fnm:<br><br><a href="https://scryfall.com/card/f07/4/basking-rootwalla?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/2/b2af0acb-4c2a-4f89-b509-c16504e24362.jpg?1562132473}
505416b2-1581-4111-89ca-392c723b3222|Wonder|{3}{U}|Creature - Incarnation|2|2|Flying<br>As long as this card is in your graveyard and you control an Island, creatures you control have flying.|Friday Night Magic 2007|Rare||Rebecca Guay|5|Finishes: foil:<br>Promos: tourney:fnm:<br><br><a href="https://scryfall.com/card/f07/5/wonder?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/0/505416b2-1581-4111-89ca-392c723b3222.jpg?1562132469}
e6205a5f-bf39-4a01-977c-6812206feccb|Goblin Legionnaire|{R}{W}|Creature - Goblin Soldier|2|2|{R}, Sacrifice this creature: It deals 2 damage to any target.<br>{W}, Sacrifice this creature: Prevent the next 2 damage that would be dealt to any target this turn.|Friday Night Magic 2007|Rare||Mark Romanoski|6|Finishes: foil:<br>Promos: tourney:fnm:<br><br><a href="https://scryfall.com/card/f07/6/goblin-legionnaire?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/6/e6205a5f-bf39-4a01-977c-6812206feccb.jpg?1562132478}
f98d047d-889d-4c03-99cc-81be5183fc38|Engineered Plague|{2}{B}|Enchantment|||As this enchantment enters, choose a creature type.<br>All creatures of the chosen type get -1/-1.|Friday Night Magic 2007|Rare||Michael Sutfin|7|Finishes: foil:<br>Promos: tourney:fnm:<br><br><a href="https://scryfall.com/card/f07/7/engineered-plague?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/9/f98d047d-889d-4c03-99cc-81be5183fc38.jpg?1562132480}
e4c4dfab-a816-4483-8627-714f9821647a|Goblin Ringleader|{3}{R}|Creature - Goblin|2|2|Haste (This creature can attack and {T} as soon as it comes under your control.)<br>When this creature enters, reveal the top four cards of your library. Put all Goblin cards revealed this way into your hand and the rest on the bottom of your library in any order.|Friday Night Magic 2007|Rare||Mark Romanoski|8|Finishes: foil:<br>Promos: tourney:fnm:<br><br><a href="https://scryfall.com/card/f07/8/goblin-ringleader?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/4/e4c4dfab-a816-4483-8627-714f9821647a.jpg?1562132476}
2541fbe3-162e-44d6-a9a4-812e668559c7|Wing Shards|{1}{W}{W}|Instant|||Target player sacrifices an attacking creature of their choice.<br>Storm (When you cast this spell, copy it for each spell cast before it this turn. You may choose new targets for the copies.)|Friday Night Magic 2007|Rare||Daren Bader|9|Finishes: foil:<br>Promos: tourney:fnm:<br><br><a href="https://scryfall.com/card/f07/9/wing-shards?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/5/2541fbe3-162e-44d6-a9a4-812e668559c7.jpg?1562132467}
1aaa1062-fbdc-4de3-a572-08d997603c7e|Cabal Coffers||Land|||{2}, {T}: Add {B} for each Swamp you control.|Friday Night Magic 2007|Rare||Don Hazeltine|10|Finishes: foil:<br>Promos: tourney:fnm:<br><br><a href="https://scryfall.com/card/f07/10/cabal-coffers?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/a/1aaa1062-fbdc-4de3-a572-08d997603c7e.jpg?1562132464}
