ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|GATHERERID|TCGID|PROPERTIES
2de77e7b-5599-470a-b2ed-14b9bfc900e0|Glistener Elf|{G}|Creature - Phyrexian Elf Warrior|1|1|Infect (This creature deals damage to creatures in the form of -1/-1 counters and to players in the form of poison counters.)<BR><a href="https://api.scryfall.com/cards/2de77e7b-5599-470a-b2ed-14b9bfc900e0/rulings">Rulings</a>|Friday Night Magic 2012|Rare||Mark Zug|1|Finishes: foil:<br>Promos: tourney:fnm:<br><br><a href="https://scryfall.com/card/f12/1/glistener-elf?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/d/2de77e7b-5599-470a-b2ed-14b9bfc900e0.jpg?1562639730}
3a98c51f-c55c-4bd9-853b-65b8bad5a29f|Human // Wolf||Token Creature - Human|1|1|<BR><a href="https://api.scryfall.com/cards/3a98c51f-c55c-4bd9-853b-65b8bad5a29f/rulings">Rulings</a>|Friday Night Magic 2012|Common||Lars Grant-West|1a|Finishes: nonfoil:<br>FullArt: true<br>Promos: tourney:fnm:<br><br><a href="https://scryfall.com/card/f12/1a/human-wolf?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/a/3a98c51f-c55c-4bd9-853b-65b8bad5a29f.jpg?1737835883, FLIPID=-3a98c51f-c55c-4bd9-853b-65b8bad5a29f}
-3a98c51f-c55c-4bd9-853b-65b8bad5a29f|Human // Wolf (double_faced_token)||Token Creature - Wolf|2|2|<BR><a href="https://api.scryfall.com/cards/3a98c51f-c55c-4bd9-853b-65b8bad5a29f/rulings">Rulings</a>|Friday Night Magic 2012|Common||Lars Grant-West|1ab|Finishes: nonfoil:<br>FullArt: true<br>Promos: tourney:fnm:<br><br><a href="https://scryfall.com/card/f12/1a/human-wolf?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/back/3/a/3a98c51f-c55c-4bd9-853b-65b8bad5a29f.jpg?1737835883, FLIPID=3a98c51f-c55c-4bd9-853b-65b8bad5a29f}
cec990b0-490c-4b8a-b8c1-a1a7f6498809|Despise|{B}|Sorcery|||Target opponent reveals their hand. You choose a creature or planeswalker card from it. That player discards that card.<BR><a href="https://api.scryfall.com/cards/cec990b0-490c-4b8a-b8c1-a1a7f6498809/rulings">Rulings</a>|Friday Night Magic 2012|Rare||Raymond Swanland|2|Finishes: foil:<br>Promos: tourney:fnm:<br><br><a href="https://scryfall.com/card/f12/2/despise?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/e/cec990b0-490c-4b8a-b8c1-a1a7f6498809.jpg?1562640055}
f8442521-57b8-4353-b6d0-61f1837567e1|Tectonic Edge||Land|||{T}: Add {C}.<br>{1}, {T}, Sacrifice this land: Destroy target nonbasic land. Activate only if an opponent controls four or more lands.<BR><a href="https://api.scryfall.com/cards/f8442521-57b8-4353-b6d0-61f1837567e1/rulings">Rulings</a>|Friday Night Magic 2012|Rare||Eytan Zana|3|Finishes: foil:<br>Promos: tourney:fnm:<br><br><a href="https://scryfall.com/card/f12/3/tectonic-edge?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/8/f8442521-57b8-4353-b6d0-61f1837567e1.jpg?1562640143}
4cf874b6-5616-4d33-a5e4-4e5a80db1a13|Dismember|{1}{BP}{BP}|Instant|||({B/P} can be paid with either {B} or 2 life.)<br>Target creature gets -5/-5 until end of turn.<BR><a href="https://api.scryfall.com/cards/4cf874b6-5616-4d33-a5e4-4e5a80db1a13/rulings">Rulings</a>|Friday Night Magic 2012|Rare||Jason Felix|4|Finishes: foil:<br>Promos: tourney:fnm:<br><br><a href="https://scryfall.com/card/f12/4/dismember?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/c/4cf874b6-5616-4d33-a5e4-4e5a80db1a13.jpg?1562639795}
d08c024a-ccab-487a-b97c-d44616cf3146|Ancient Grudge|{1}{R}|Instant|||Destroy target artifact.<br>Flashback {G} (You may cast this card from your graveyard for its flashback cost. Then exile it.)<BR><a href="https://api.scryfall.com/cards/d08c024a-ccab-487a-b97c-d44616cf3146/rulings">Rulings</a>|Friday Night Magic 2012|Rare||Wayne England|5|Finishes: foil:<br>Promos: tourney:fnm:<br><br><a href="https://scryfall.com/card/f12/5/ancient-grudge?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/0/d08c024a-ccab-487a-b97c-d44616cf3146.jpg?1562640057}
798a3874-8e19-417f-b8f9-9fd05fdb7761|Acidic Slime|{3}{G}{G}|Creature - Ooze|2|2|Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)<br>When this creature enters, destroy target artifact, enchantment, or land.<BR><a href="https://api.scryfall.com/cards/798a3874-8e19-417f-b8f9-9fd05fdb7761/rulings">Rulings</a>|Friday Night Magic 2012|Rare||Brad Rigney|6|Finishes: foil:<br>Promos: tourney:fnm:<br><br><a href="https://scryfall.com/card/f12/6/acidic-slime?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/9/798a3874-8e19-417f-b8f9-9fd05fdb7761.jpg?1562639870}
f82275ff-7f3e-4561-9157-14e7c9faee44|Forbidden Alchemy|{2}{U}|Instant|||Look at the top four cards of your library. Put one of them into your hand and the rest into your graveyard.<br>Flashback {6}{B} (You may cast this card from your graveyard for its flashback cost. Then exile it.)<BR><a href="https://api.scryfall.com/cards/f82275ff-7f3e-4561-9157-14e7c9faee44/rulings">Rulings</a>|Friday Night Magic 2012|Rare||Randy Gallegos|7|Finishes: foil:<br>Promos: tourney:fnm:<br><br><a href="https://scryfall.com/card/f12/7/forbidden-alchemy?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/8/f82275ff-7f3e-4561-9157-14e7c9faee44.jpg?1562640141}
0a02a28d-ac00-40c5-9590-de029c007dde|Avacyn's Pilgrim|{G}|Creature - Human Monk|1|1|{T}: Add {W}.<BR><a href="https://api.scryfall.com/cards/0a02a28d-ac00-40c5-9590-de029c007dde/rulings">Rulings</a>|Friday Night Magic 2012|Rare||Greg Staples|8|Finishes: foil:<br>Promos: tourney:fnm:<br><br><a href="https://scryfall.com/card/f12/8/avacyns-pilgrim?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/a/0a02a28d-ac00-40c5-9590-de029c007dde.jpg?1562639666}
1d371239-b231-455f-a724-5025284ee023|Lingering Souls|{2}{W}|Sorcery|||Create two 1/1 white Spirit creature tokens with flying.<br>Flashback {1}{B} (You may cast this card from your graveyard for its flashback cost. Then exile it.)<BR><a href="https://api.scryfall.com/cards/1d371239-b231-455f-a724-5025284ee023/rulings">Rulings</a>|Friday Night Magic 2012|Rare||John Stanko|9|Finishes: foil:<br>Promos: tourney:fnm:<br><br><a href="https://scryfall.com/card/f12/9/lingering-souls?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/d/1d371239-b231-455f-a724-5025284ee023.jpg?1562639702}
fe2ddb54-c111-4612-aba5-b5e87b888251|Evolving Wilds||Land|||{T}, Sacrifice this land: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle.<BR><a href="https://api.scryfall.com/cards/fe2ddb54-c111-4612-aba5-b5e87b888251/rulings">Rulings</a>|Friday Night Magic 2012|Rare||Sam Burley|10|Finishes: foil:<br>Promos: tourney:fnm:<br><br><a href="https://scryfall.com/card/f12/10/evolving-wilds?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/e/fe2ddb54-c111-4612-aba5-b5e87b888251.jpg?1562640156}
c39677b8-9a43-4e62-a83a-4a9d6372310b|Pillar of Flame|{R}|Sorcery|||Pillar of Flame deals 2 damage to any target. If a creature dealt damage this way would die this turn, exile it instead.<BR><a href="https://api.scryfall.com/cards/c39677b8-9a43-4e62-a83a-4a9d6372310b/rulings">Rulings</a>|Friday Night Magic 2012|Rare||Dave Kendall|11|Finishes: foil:<br>Promos: tourney:fnm:<br><br><a href="https://scryfall.com/card/f12/11/pillar-of-flame?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/3/c39677b8-9a43-4e62-a83a-4a9d6372310b.jpg?1562640029}
b511dd44-4c2c-45be-a35b-61524d7a5761|Gitaxian Probe|{UP}|Sorcery|||({U/P} can be paid with either {U} or 2 life.)<br>Look at target player's hand.<br>Draw a card.<BR><a href="https://api.scryfall.com/cards/b511dd44-4c2c-45be-a35b-61524d7a5761/rulings">Rulings</a>|Friday Night Magic 2012|Rare||Trevor Claxton|12|Finishes: foil:<br>Promos: tourney:fnm:<br><br><a href="https://scryfall.com/card/f12/12/gitaxian-probe?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/5/b511dd44-4c2c-45be-a35b-61524d7a5761.jpg?1562639996}
