ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
0b9579d8-bc8f-4d74-bfc1-dcdd42568f79|Adeline, Resplendent Cathar|{1}{W}{W}|Legendary Creature - Human Knight|*|4|Vigilance<br>Adeline's power is equal to the number of creatures you control.<br>Whenever you attack, for each opponent, create a 1/1 white Human creature token that's tapped and attacking that player or a planeswalker they control.|Final Fantasy: Through the Ages|Rare||Yoshitaka Amano|1|Finishes: nonfoil:foil:<br>FullArt: true<br>Promos: ffiii:boosterfun:<br>https://scryfall.com/card/fca/1/adeline-resplendent-cathar?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/b/0b9579d8-bc8f-4d74-bfc1-dcdd42568f79.jpg?1748703787}
9af0b8d6-f41b-4aa3-ae32-1ef2d1d4bade|Ranger-Captain of Eos|{1}{W}{W}|Creature - Human Soldier Ranger|3|3|When this creature enters, you may search your library for a creature card with mana value 1 or less, reveal it, put it into your hand, then shuffle.<br>Sacrifice this creature: Your opponents can't cast noncreature spells this turn.|Final Fantasy: Through the Ages|Mythic||Yoshitaka Amano|2|Finishes: nonfoil:foil:<br>FullArt: true<br>Promos: ffxi:boosterfun:<br>https://scryfall.com/card/fca/2/ranger-captain-of-eos?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/a/9af0b8d6-f41b-4aa3-ae32-1ef2d1d4bade.jpg?1748703788}
084d7a61-ef18-42e3-8485-76ae9a36ef7b|Sram, Senior Edificer|{1}{W}|Legendary Creature - Dwarf Advisor|2|2|Whenever you cast an Aura, Equipment, or Vehicle spell, draw a card.|Final Fantasy: Through the Ages|Rare||Yoshitaka Amano|3|Finishes: nonfoil:foil:<br>FullArt: true<br>Promos: ffii:boosterfun:<br>https://scryfall.com/card/fca/3/sram-senior-edificer?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/8/084d7a61-ef18-42e3-8485-76ae9a36ef7b.jpg?1748703796}
e1e48b21-1a4f-4708-a4b4-e2e296df924c|Counterspell|{U}{U}|Instant|||Counter target spell.|Final Fantasy: Through the Ages|Uncommon||Yoshitaka Amano|4|Finishes: nonfoil:foil:<br>FullArt: true<br>Promos: ffii:boosterfun:<br>https://scryfall.com/card/fca/4/counterspell?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/1/e1e48b21-1a4f-4708-a4b4-e2e296df924c.jpg?1748703796}
98294441-b5a1-4b59-9325-80d0ff913ebd|Urza, Lord High Artificer|{2}{U}{U}|Legendary Creature - Human Artificer|1|4|When Urza enters, create a 0/0 colorless Construct artifact creature token with "This token gets +1/+1 for each artifact you control."<br>Tap an untapped artifact you control: Add {U}.<br>{5}: Shuffle your library, then exile the top card. Until end of turn, you may play that card without paying its mana cost.|Final Fantasy: Through the Ages|Mythic||Yoshitaka Amano|5|Finishes: nonfoil:foil:<br>FullArt: true<br>Promos: ffvi:boosterfun:<br>https://scryfall.com/card/fca/5/urza-lord-high-artificer?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/8/98294441-b5a1-4b59-9325-80d0ff913ebd.jpg?1749987748}
d9aa060d-8682-4803-9ab9-052250e3d794|Venser, Shaper Savant|{2}{U}{U}|Legendary Creature - Human Wizard|2|2|Flash (You may cast this spell any time you could cast an instant.)<br>When Venser enters, return target spell or permanent to its owner's hand.|Final Fantasy: Through the Ages|Rare||Yoshitaka Amano|6|Finishes: nonfoil:foil:<br>FullArt: true<br>Promos: ffiii:boosterfun:<br>https://scryfall.com/card/fca/6/venser-shaper-savant?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/9/d9aa060d-8682-4803-9ab9-052250e3d794.jpg?1748703804}
24b2833e-6c08-4f33-8481-f65f2a063c60|Bolas's Citadel|{3}{B}{B}{B}|Legendary Artifact|||You may look at the top card of your library any time.<br>You may play lands and cast spells from the top of your library. If you cast a spell this way, pay life equal to its mana value rather than pay its mana cost.<br>{T}, Sacrifice ten nonland permanents: Each opponent loses 10 life.|Final Fantasy: Through the Ages|Rare||Yoshitaka Amano|7|Finishes: nonfoil:foil:<br>FullArt: true<br>Promos: ffvi:boosterfun:<br>https://scryfall.com/card/fca/7/bolass-citadel?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/4/24b2833e-6c08-4f33-8481-f65f2a063c60.jpg?1748703810}
7cc0cfe1-7f13-4b1b-9a37-33ef457d3c62|Dark Ritual|{B}|Instant|||Add {B}{B}{B}.|Final Fantasy: Through the Ages|Rare||Yoshitaka Amano|8|Finishes: nonfoil:foil:<br>FullArt: true<br>Promos: ffix:boosterfun:<br>https://scryfall.com/card/fca/8/dark-ritual?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/c/7cc0cfe1-7f13-4b1b-9a37-33ef457d3c62.jpg?1748703813}
2430f223-edb2-402b-a85b-5d328323992d|Fatal Push|{B}|Instant|||Destroy target creature if it has mana value 2 or less.<br>Revolt — Destroy that creature if it has mana value 4 or less instead if a permanent left the battlefield under your control this turn.|Final Fantasy: Through the Ages|Uncommon||Yoshitaka Amano|9|Finishes: nonfoil:foil:<br>FullArt: true<br>Promos: ffv:boosterfun:<br>https://scryfall.com/card/fca/9/fatal-push?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/4/2430f223-edb2-402b-a85b-5d328323992d.jpg?1748703818}
5b40815d-0104-461e-b193-fcf5e1f35299|Syr Konrad, the Grim|{3}{B}{B}|Legendary Creature - Human Knight|5|4|Whenever another creature dies, or a creature card is put into a graveyard from anywhere other than the battlefield, or a creature card leaves your graveyard, Syr Konrad deals 1 damage to each opponent.<br>{1}{B}: Each player mills a card. (They each put the top card of their library into their graveyard.)|Final Fantasy: Through the Ages|Uncommon||Yoshitaka Amano|10|Finishes: nonfoil:foil:<br>FullArt: true<br>Promos: ffiv:boosterfun:<br>https://scryfall.com/card/fca/10/syr-konrad-the-grim?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/b/5b40815d-0104-461e-b193-fcf5e1f35299.jpg?1748703822}
