ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
d4578c92-019a-4a13-ada0-380d63cd9294|Azorius Senate||Card|||(Theme colors: {W}{U})|Ravnica: Clue Edition Front Cards|Common||Valera Lutfullina|1|Finishes: nonfoil:<br>https://scryfall.com/card/fclu/1/azorius-senate?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/4/d4578c92-019a-4a13-ada0-380d63cd9294.jpg?1706380311}
d0434c4b-bd29-4b76-9291-1ffca710b9b8|Orzhov Syndicate||Card|||(Theme colors: {W}{B})|Ravnica: Clue Edition Front Cards|Common||Elizabeth Peiró|2|Finishes: nonfoil:<br>https://scryfall.com/card/fclu/2/orzhov-syndicate?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/0/d0434c4b-bd29-4b76-9291-1ffca710b9b8.jpg?1706380375}
8c23d750-76fb-45e0-a45f-35a7a9a60cb6|House Dimir||Card|||(Theme colors: {U}{B})|Ravnica: Clue Edition Front Cards|Common||Mila Pesic|3|Finishes: nonfoil:<br>https://scryfall.com/card/fclu/3/house-dimir?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/c/8c23d750-76fb-45e0-a45f-35a7a9a60cb6.jpg?1706380481}
f80e1b12-5f11-444d-85cd-a17d5da83644|Izzet League||Card|||(Theme colors: {U}{R})|Ravnica: Clue Edition Front Cards|Common||Anna Pavleeva|4|Finishes: nonfoil:<br>https://scryfall.com/card/fclu/4/izzet-league?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/8/f80e1b12-5f11-444d-85cd-a17d5da83644.jpg?1706380547}
18c6caae-ef28-4b6b-a800-c98a432d5f3e|Cult of Rakdos||Card|||(Theme colors: {B}{R})|Ravnica: Clue Edition Front Cards|Common||Viktor Titov|5|Finishes: nonfoil:<br>https://scryfall.com/card/fclu/5/cult-of-rakdos?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/8/18c6caae-ef28-4b6b-a800-c98a432d5f3e.jpg?1706380740}
91b406a0-88c8-44c9-8ffa-8feea8f88936|Golgari Swarm||Card|||(Theme colors: {B}{G})|Ravnica: Clue Edition Front Cards|Common||Slawomir Maniak|6|Finishes: nonfoil:<br>https://scryfall.com/card/fclu/6/golgari-swarm?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/1/91b406a0-88c8-44c9-8ffa-8feea8f88936.jpg?1706380857}
96eeb2ac-060d-474e-b8e5-996162b386ac|Gruul Clans||Card|||(Theme colors: {R}{G})|Ravnica: Clue Edition Front Cards|Common||Elizabeth Peiró|7|Finishes: nonfoil:<br>https://scryfall.com/card/fclu/7/gruul-clans?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/6/96eeb2ac-060d-474e-b8e5-996162b386ac.jpg?1706380960}
9429e77d-96b8-4a20-9629-e91f4afc63a0|Boros Legion||Card|||(Theme colors: {R}{W})|Ravnica: Clue Edition Front Cards|Common||Matt Stewart|8|Finishes: nonfoil:<br>https://scryfall.com/card/fclu/8/boros-legion?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/4/9429e77d-96b8-4a20-9629-e91f4afc63a0.jpg?1706381026}
fe5afcdc-a8de-4d89-92a4-46e3d3526fcc|Selesnya Conclave||Card|||(Theme colors: {G}{W})|Ravnica: Clue Edition Front Cards|Common||John Tedrick|9|Finishes: nonfoil:<br>https://scryfall.com/card/fclu/9/selesnya-conclave?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/e/fe5afcdc-a8de-4d89-92a4-46e3d3526fcc.jpg?1706381241}
631dbe4b-b60e-4261-bebf-e85a20f800fa|Simic Combine||Card|||(Theme colors: {G}{U})|Ravnica: Clue Edition Front Cards|Common||Billy Christian|10|Finishes: nonfoil:<br>https://scryfall.com/card/fclu/10/simic-combine?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/3/631dbe4b-b60e-4261-bebf-e85a20f800fa.jpg?1706381320}
