ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
679078|Sire of Seven Deaths|{7}|Creature - Eldrazi|7|7|First strike, vigilance<br>Menace, trample<br>Reach, lifelink<br>Ward—Pay 7 life.|Foundations|Mythic||Lius Lasahido|1|MID: 679078<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/fdn/1/sire-of-seven-deaths?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/d/8d8432a7-1c8a-4cfb-947c-ecf9791063eb.jpg?1730657490}
679079|Arahbo, the First Fang|{2}{W}|Legendary Creature - Cat Avatar|2|2|Other Cats you control get +1/+1.<br>Whenever Arahbo or another nontoken Cat you control enters, create a 1/1 white Cat creature token.|Foundations|Rare||Simon Dominic|2|MID: 679079<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/fdn/2/arahbo-the-first-fang?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/2/524a5d93-26ed-436d-a437-dc9460acce98.jpg?1730488593}
679080|Armasaur Guide|{4}{W}|Creature - Dinosaur|4|4|Vigilance (Attacking doesn't cause this creature to tap.)<br>Whenever you attack with three or more creatures, put a +1/+1 counter on target creature you control.|Foundations|Common||Loïc Canavaggia|3|MID: 679080<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/fdn/3/armasaur-guide?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/8/c80fc380-0499-4499-8a60-c43844c02c9b.jpg?1730488600}
679081|Cat Collector|{2}{W}|Creature - Human Citizen|3|2|When this creature enters, create a Food token. (It's an artifact with "{2}, {T}, Sacrifice this token: You gain 3 life.")<br>Whenever you gain life for the first time during each of your turns, create a 1/1 white Cat creature token.|Foundations|Uncommon||Chris Seaman|4|MID: 679081<br>Finishes: nonfoil:foil:<br>Promos: startercollection:<br>https://scryfall.com/card/fdn/4/cat-collector?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/2/526fe356-bff1-4211-9e88-bf913ac76b1d.jpg?1730488601}
679082|Celestial Armor|{2}{W}|Artifact - Equipment|||Flash (You may cast this spell any time you could cast an instant.)<br>When this Equipment enters, attach it to target creature you control. That creature gains hexproof and indestructible until end of turn.<br>Equipped creature gets +2/+0 and has flying.<br>Equip {3}{W} ({3}{W}: Attach to target creature you control. Equip only as a sorcery.)|Foundations|Rare||Olena Richards|5|MID: 679082<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/fdn/5/celestial-armor?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/0/809ee8ad-1573-49e5-9e84-b7cdd29efcae.jpg?1730488607}
679083|Claws Out|{3}{W}{W}|Instant|||Affinity for Cats (This spell costs {1} less to cast for each Cat you control.)<br>Creatures you control get +2/+2 until end of turn.|Foundations|Uncommon||Warren Mahy|6|MID: 679083<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/fdn/6/claws-out?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/3/4396049c-b976-4b7f-8ecd-564e24ebd631.jpg?1752472629}
679084|Crystal Barricade|{1}{W}|Artifact Creature - Wall|0|4|Defender (This creature can't attack.)<br>You have hexproof. (You can't be the target of spells or abilities your opponents control.)<br>Prevent all noncombat damage that would be dealt to other creatures you control.|Foundations|Rare||Rockey Chen|7|MID: 679084<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/fdn/7/crystal-barricade?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/0/905d3e02-ea06-45e7-9adb-c8e7583323a2.jpg?1730488615}
679085|Dauntless Veteran|{1}{W}{W}|Creature - Human Soldier|2|2|Whenever this creature attacks, creatures you control get +1/+1 until end of turn.|Foundations|Uncommon||Chris Rallis|8|MID: 679085<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/fdn/8/dauntless-veteran?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/a/7a136f26-ac66-407f-b389-357222d2c4a2.jpg?1730488616}
679086|Dazzling Angel|{2}{W}|Creature - Angel|2|3|Flying<br>Whenever another creature you control enters, you gain 1 life.|Foundations|Common||Daneen Wilkerson|9|MID: 679086<br>Finishes: nonfoil:foil:<br>Promos: beginnerbox:<br>https://scryfall.com/card/fdn/9/dazzling-angel?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/2/027dc444-e544-4693-8653-3dcdda530162.jpg?1730488623}
679087|Divine Resilience|{W}|Instant|||Kicker {2}{W} (You may pay an additional {2}{W} as you cast this spell.)<br>Target creature you control gains indestructible until end of turn. If this spell was kicked, instead any number of target creatures you control gain indestructible until end of turn. (Damage and effects that say "destroy" don't destroy them.)|Foundations|Uncommon||Svetlin Velinov|10|MID: 679087<br>Finishes: nonfoil:foil:<br>Promos: startercollection:<br>https://scryfall.com/card/fdn/10/divine-resilience?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/3/f3a08245-a535-4d24-b8c0-78759bb9c4b0.jpg?1730488624}
