ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|GATHERERID|TCGID|PROPERTIES
9cfd96cb-03d6-4845-8595-50bf17b35726|Combat Medic|{2}{W}|Creature - Human Cleric Soldier|0|2|{1}{W}: Prevent the next 1 damage that would be dealt to any target this turn.<BR><a href="https://api.scryfall.com/cards/9cfd96cb-03d6-4845-8595-50bf17b35726/rulings">Rulings</a>|Fallen Empires|Common||Edward P. Beard, Jr.|1a|R$ 0.14 <br>MID: 1971<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/fem/1a/combat-medic?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=1971&printed=false">Gatherer</a>|1971|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/c/9cfd96cb-03d6-4845-8595-50bf17b35726.jpg?1562924239}
2a324a98-31c2-470a-b792-96b6b098a58c|Combat Medic|{2}{W}|Creature - Human Cleric Soldier|0|2|{1}{W}: Prevent the next 1 damage that would be dealt to any target this turn.<BR><a href="https://api.scryfall.com/cards/2a324a98-31c2-470a-b792-96b6b098a58c/rulings">Rulings</a>|Fallen Empires|Common||Susan Van Camp|1b|R$ 0.16 <br>MID: 1972<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/fem/1b/combat-medic?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=1972&printed=false">Gatherer</a>|1972|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/a/2a324a98-31c2-470a-b792-96b6b098a58c.jpg?1562902788}
ee9d1eac-3ac2-4881-a984-e40d87f60784|Combat Medic|{2}{W}|Creature - Human Cleric Soldier|0|2|{1}{W}: Prevent the next 1 damage that would be dealt to any target this turn.<BR><a href="https://api.scryfall.com/cards/ee9d1eac-3ac2-4881-a984-e40d87f60784/rulings">Rulings</a>|Fallen Empires|Common||Anson Maddocks|1c|R$ 0.09 <br>MID: 1970<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/fem/1c/combat-medic?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=1970&printed=false">Gatherer</a>|1970|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/e/ee9d1eac-3ac2-4881-a984-e40d87f60784.jpg?1562939810}
8f26c079-61ea-436d-89ae-2f1c6f863e91|Combat Medic|{2}{W}|Creature - Human Cleric Soldier|0|2|{1}{W}: Prevent the next 1 damage that would be dealt to any target this turn.<BR><a href="https://api.scryfall.com/cards/8f26c079-61ea-436d-89ae-2f1c6f863e91/rulings">Rulings</a>|Fallen Empires|Common||Liz Danforth|1d|R$ 0.18 <br>MID: 1973<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/fem/1d/combat-medic?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=1973&printed=false">Gatherer</a>|1973|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/f/8f26c079-61ea-436d-89ae-2f1c6f863e91.jpg?1562921566}
af092da3-8713-4a59-86d3-827b942d6456|Farrel's Mantle|{2}{W}|Enchantment - Aura|||Enchant creature<br>Whenever enchanted creature attacks and isn't blocked, its controller may have it deal damage equal to its power plus 2 to another target creature. If that player does, the attacking creature assigns no combat damage this turn.<BR><a href="https://api.scryfall.com/cards/af092da3-8713-4a59-86d3-827b942d6456/rulings">Rulings</a>|Fallen Empires|Uncommon||Anthony S. Waters|2|R$ 0.11 <br>MID: 1974<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/fem/2/farrels-mantle?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=1974&printed=false">Gatherer</a>|1974|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/f/af092da3-8713-4a59-86d3-827b942d6456.jpg?1562927556}
0401bd23-9f81-40b7-a6c2-e3f9847d175c|Farrel's Zealot|{1}{W}{W}|Creature - Human|2|2|Whenever this creature attacks and isn't blocked, you may have it deal 3 damage to target creature. If you do, this creature assigns no combat damage this turn.<BR><a href="https://api.scryfall.com/cards/0401bd23-9f81-40b7-a6c2-e3f9847d175c/rulings">Rulings</a>|Fallen Empires|Common||Melissa A. Benson|3a|R$ 0.13 <br>MID: 1977<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/fem/3a/farrels-zealot?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=1977&printed=false">Gatherer</a>|1977|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/4/0401bd23-9f81-40b7-a6c2-e3f9847d175c.jpg?1562895771}
9e3aeee7-975c-419a-bfb3-45bb48ba6918|Farrel's Zealot|{1}{W}{W}|Creature - Human|2|2|Whenever this creature attacks and isn't blocked, you may have it deal 3 damage to target creature. If you do, this creature assigns no combat damage this turn.<BR><a href="https://api.scryfall.com/cards/9e3aeee7-975c-419a-bfb3-45bb48ba6918/rulings">Rulings</a>|Fallen Empires|Common||Richard Kane Ferguson|3b|R$ 0.13 <br>MID: 1976<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/fem/3b/farrels-zealot?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=1976&printed=false">Gatherer</a>|1976|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/e/9e3aeee7-975c-419a-bfb3-45bb48ba6918.jpg?1562924444}
54252fd2-21a6-40d1-8515-697f18c78a06|Farrel's Zealot|{1}{W}{W}|Creature - Human|2|2|Whenever this creature attacks and isn't blocked, you may have it deal 3 damage to target creature. If you do, this creature assigns no combat damage this turn.<BR><a href="https://api.scryfall.com/cards/54252fd2-21a6-40d1-8515-697f18c78a06/rulings">Rulings</a>|Fallen Empires|Common||Edward P. Beard, Jr.|3c|R$ 0.17 <br>MID: 1975<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/fem/3c/farrels-zealot?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=1975&printed=false">Gatherer</a>|1975|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/4/54252fd2-21a6-40d1-8515-697f18c78a06.jpg?1562910451}
e11bf79b-a951-4d0c-acdf-d8ba5290a648|Farrelite Priest|{1}{W}{W}|Creature - Human Cleric|1|3|{1}: Add {W}. If this ability has been activated four or more times this turn, sacrifice this creature at the beginning of the next end step.<BR><a href="https://api.scryfall.com/cards/e11bf79b-a951-4d0c-acdf-d8ba5290a648/rulings">Rulings</a>|Fallen Empires|Uncommon||Phil Foglio|4|R$ 0.17 <br>MID: 1978<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/fem/4/farrelite-priest?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=1978&printed=false">Gatherer</a>|1978|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/1/e11bf79b-a951-4d0c-acdf-d8ba5290a648.jpg?1562937082}
7a899b2d-825c-4929-a769-f4df70bf6a17|Hand of Justice|{5}{W}|Creature - Avatar|2|6|{T}, Tap three untapped white creatures you control: Destroy target creature.<BR><a href="https://api.scryfall.com/cards/7a899b2d-825c-4929-a769-f4df70bf6a17/rulings">Rulings</a>|Fallen Empires|Rare||Melissa A. Benson|5|R$ 1.01 <br>MID: 1979<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/fem/5/hand-of-justice?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=1979&printed=false">Gatherer</a>|1979|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/a/7a899b2d-825c-4929-a769-f4df70bf6a17.jpg?1562917639}
