ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
ff972493-db45-4203-982c-ecf0c0bc672f|Blink||Card|||(Theme color: {W})|Jumpstart 2022 Front Cards|Common||Irina Nordsol|1|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/fj22/1/blink?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/f/ff972493-db45-4203-982c-ecf0c0bc672f.jpg?1752091257}
97334a91-87ad-41bf-b481-381fd5def7b4|Cats||Card|||(Theme color: {W})|Jumpstart 2022 Front Cards|Common||Eric Deschamps|2|Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/fj22/2/cats?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/7/97334a91-87ad-41bf-b481-381fd5def7b4.jpg?1681244710}
eb4c94df-5c80-4513-92f7-95df8aaa802a|Constellation||Card|||(Theme color: {W})|Jumpstart 2022 Front Cards|Rare||Bruno Biazotto|3|Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/fj22/3/constellation?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/b/eb4c94df-5c80-4513-92f7-95df8aaa802a.jpg?1681244718}
26da8a11-ae74-44c4-b52b-304feefd3ace|Holy||Card|||(Theme color: {W})|Jumpstart 2022 Front Cards|Common||Antonio José Manzanedo|4|Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/fj22/4/holy?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/6/26da8a11-ae74-44c4-b52b-304feefd3ace.jpg?1681244726}
ae25f4d4-f36a-4f6d-9d2a-61bd62c7932c|Knights||Card|||(Theme color: {W})|Jumpstart 2022 Front Cards|Mythic||Chris Rallis|5|Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/fj22/5/knights?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/e/ae25f4d4-f36a-4f6d-9d2a-61bd62c7932c.jpg?1681244734}
67391db5-8f46-46ef-8a69-ce1456f29d95|Law||Card|||(Theme color: {W})|Jumpstart 2022 Front Cards|Common||Marie Magny|6|Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/fj22/6/law?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/7/67391db5-8f46-46ef-8a69-ce1456f29d95.jpg?1681244743}
79676ee8-b5fc-4216-8372-8666edae42a7|Spirits||Card|||(Theme color: {W})|Jumpstart 2022 Front Cards|Rare||Dan Murayama Scott|7|Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/fj22/7/spirits?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/9/79676ee8-b5fc-4216-8372-8666edae42a7.jpg?1681244751}
ceef0331-9b5b-4578-b361-749d326244d5|Teamwork||Card|||(Theme color: {W})|Jumpstart 2022 Front Cards|Rare||Victor Adame Minguez|8|Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/fj22/8/teamwork?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/e/ceef0331-9b5b-4578-b361-749d326244d5.jpg?1681244760}
2c21e5b2-97d5-43a6-b46e-b550defbfca5|Vehicles||Card|||(Theme color: {W})|Jumpstart 2022 Front Cards|Mythic||Bartek Fedyczak|9|Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/fj22/9/vehicles?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/c/2c21e5b2-97d5-43a6-b46e-b550defbfca5.jpg?1681244769}
8a55b3e7-be27-4ba8-a7b2-0f165f842652|Detective||Card|||(Theme color: {U})|Jumpstart 2022 Front Cards|Common||Steve Prescott|10|Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/fj22/10/detective?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/a/8a55b3e7-be27-4ba8-a7b2-0f165f842652.jpg?1681244777}
5fc5d1d7-0013-4d6e-8355-5eb99736d77d|Faeries||Card|||(Theme color: {U})|Jumpstart 2022 Front Cards|Rare||Christopher Moeller|11|Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/fj22/11/faeries?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/f/5fc5d1d7-0013-4d6e-8355-5eb99736d77d.jpg?1681244784}
585bb443-3178-4e77-bab2-fe5a8eca794c|Go to School||Card|||(Theme color: {U})|Jumpstart 2022 Front Cards|Rare||Jason Rainville|12|Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/fj22/12/go-to-school?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/8/585bb443-3178-4e77-bab2-fe5a8eca794c.jpg?1681244794}
6d7cfeeb-4652-4a8c-88bc-8c9115b4c981|Inventive||Card|||(Theme color: {U})|Jumpstart 2022 Front Cards|Common||Lake Hurwitz|13|Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/fj22/13/inventive?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/d/6d7cfeeb-4652-4a8c-88bc-8c9115b4c981.jpg?1698582873}
d44274b6-b8d0-421c-96ff-ae3b03204bce|Merfolk||Card|||(Theme color: {U})|Jumpstart 2022 Front Cards|Common||Sam Burley|14|Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/fj22/14/merfolk?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/4/d44274b6-b8d0-421c-96ff-ae3b03204bce.jpg?1681244811}
3536118d-d525-4184-9cb9-cf2480a3a208|Scrying||Card|||(Theme color: {U})|Jumpstart 2022 Front Cards|Rare||Joshua Raphael|15|Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/fj22/15/scrying?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/5/3536118d-d525-4184-9cb9-cf2480a3a208.jpg?1681244819}
4d21652d-8899-425f-aef7-a44a0a95cbea|Shapeshifters||Card|||(Theme color: {U})|Jumpstart 2022 Front Cards|Mythic||Daarken|16|Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/fj22/16/shapeshifters?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/d/4d21652d-8899-425f-aef7-a44a0a95cbea.jpg?1681244827}
dc817126-b671-4239-94c4-2c8831ceaa38|Snow||Card|||(Theme color: {U})|Jumpstart 2022 Front Cards|Mythic||Victor Adame Minguez|17|Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/fj22/17/snow?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/c/dc817126-b671-4239-94c4-2c8831ceaa38.jpg?1681244835}
849ba60b-fb0c-45bb-8d82-94e70089f815|Think Again||Card|||(Theme color: {U})|Jumpstart 2022 Front Cards|Common||Caroline Gariba|18|Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/fj22/18/think-again?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/4/849ba60b-fb0c-45bb-8d82-94e70089f815.jpg?1681244843}
