ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
531e952f-6136-489e-b3c5-a533a4f9898f|Dark Ritual|{B}|Instant|||Add {B}{B}{B}.|Judge Gift Cards 2009|Rare||Mark Hyzer|1|Finishes: foil:<br>Promos: judgegift:<br>https://scryfall.com/card/g09/1/dark-ritual?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/3/531e952f-6136-489e-b3c5-a533a4f9898f.jpg?1562636753}
3ffb39a7-02b0-416a-8e2b-3c4741cde1cd|Maze of Ith||Land|||{T}: Untap target attacking creature. Prevent all combat damage that would be dealt to and dealt by that creature this turn.|Judge Gift Cards 2009|Rare||Zoltan Boros & Gabor Szikszai|2|Finishes: foil:<br>Promos: judgegift:<br>https://scryfall.com/card/g09/2/maze-of-ith?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/f/3ffb39a7-02b0-416a-8e2b-3c4741cde1cd.jpg?1562636727}
c6228e16-72d4-4771-9e3f-a83ec856d315|Stifle|{U}|Instant|||Counter target activated or triggered ability. (Mana abilities can't be targeted.)|Judge Gift Cards 2009|Rare||Eric Fortune|3|Finishes: foil:<br>Promos: judgegift:<br>https://scryfall.com/card/g09/3/stifle?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/6/c6228e16-72d4-4771-9e3f-a83ec856d315.jpg?1562636845}
7b5862b3-e62e-4539-ab57-6c8f1138ac5d|Survival of the Fittest|{1}{G}|Enchantment|||{G}, Discard a creature card: Search your library for a creature card, reveal that card, put it into your hand, then shuffle.|Judge Gift Cards 2009|Rare||Shelly Wan|4|Finishes: foil:<br>Promos: judgegift:<br>https://scryfall.com/card/g09/4/survival-of-the-fittest?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/b/7b5862b3-e62e-4539-ab57-6c8f1138ac5d.jpg?1562636772}
c2d7235f-3716-4c1e-affd-19e57ca97788|Burning Wish|{1}{R}|Sorcery|||You may reveal a sorcery card you own from outside the game and put it into your hand. Exile Burning Wish.|Judge Gift Cards 2009|Rare||Ariel Olivetti|5|Finishes: foil:<br>Promos: judgegift:<br>https://scryfall.com/card/g09/5/burning-wish?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/2/c2d7235f-3716-4c1e-affd-19e57ca97788.jpg?1562636841}
62b5ee33-db0f-44f2-90f6-fb983b96b342|Bloodstained Mire||Land|||{T}, Pay 1 life, Sacrifice this land: Search your library for a Swamp or Mountain card, put it onto the battlefield, then shuffle.|Judge Gift Cards 2009|Rare||Rob Alexander|6|Finishes: foil:<br>Promos: judgegift:<br>https://scryfall.com/card/g09/6/bloodstained-mire?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/2/62b5ee33-db0f-44f2-90f6-fb983b96b342.jpg?1562636762}
0df37cc8-3703-406a-adaf-ee0bb9d7aa61|Flooded Strand||Land|||{T}, Pay 1 life, Sacrifice this land: Search your library for a Plains or Island card, put it onto the battlefield, then shuffle.|Judge Gift Cards 2009|Rare||Rob Alexander|7|Finishes: foil:<br>Promos: judgegift:<br>https://scryfall.com/card/g09/7/flooded-strand?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/d/0df37cc8-3703-406a-adaf-ee0bb9d7aa61.jpg?1562636672}
3f470954-9bb4-44f9-a700-d28aaa778668|Polluted Delta||Land|||{T}, Pay 1 life, Sacrifice this land: Search your library for an Island or Swamp card, put it onto the battlefield, then shuffle.|Judge Gift Cards 2009|Rare||Rob Alexander|8|Finishes: foil:<br>Promos: judgegift:<br>https://scryfall.com/card/g09/8/polluted-delta?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/f/3f470954-9bb4-44f9-a700-d28aaa778668.jpg?1562636726}
4b2bf78a-546a-4f77-85b2-a5ff8eec60b1|Windswept Heath||Land|||{T}, Pay 1 life, Sacrifice this land: Search your library for a Forest or Plains card, put it onto the battlefield, then shuffle.|Judge Gift Cards 2009|Rare||Anthony S. Waters|9|Finishes: foil:<br>Promos: judgegift:<br>https://scryfall.com/card/g09/9/windswept-heath?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/b/4b2bf78a-546a-4f77-85b2-a5ff8eec60b1.jpg?1562636732}
6af7133c-2c65-4977-9b72-c29985ec9d47|Wooded Foothills||Land|||{T}, Pay 1 life, Sacrifice this land: Search your library for a Mountain or Forest card, put it onto the battlefield, then shuffle.|Judge Gift Cards 2009|Rare||Rob Alexander|10|Finishes: foil:<br>Promos: judgegift:<br>https://scryfall.com/card/g09/10/wooded-foothills?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/a/6af7133c-2c65-4977-9b72-c29985ec9d47.jpg?1562636768}
