ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
455904|Etrata, the Silencer|{2}{U}{B}|Legendary Creature - Vampire Assassin|3|5|Etrata can't be blocked.<br>Whenever Etrata deals combat damage to a player, exile target creature that player controls and put a hit counter on that card. That player loses the game if they own three or more exiled cards with hit counters on them. Etrata's owner shuffles Etrata into their library.|GRN Guild Kit|Rare||Igor Kieryluk|1|MID: 455904<br>Finishes: foil:<br>https://scryfall.com/card/gk1/1/etrata-the-silencer?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/f/6f4fad58-ef91-4bcc-8a6a-48d033701fd4.jpg?1541005761}
455905|Stolen Identity|{4}{U}{U}|Sorcery|||Create a token that's a copy of target artifact or creature.<br>Cipher (Then you may exile this spell card encoded on a creature you control. Whenever that creature deals combat damage to a player, its controller may cast a copy of the encoded card without paying its mana cost.)|GRN Guild Kit|Rare||Clint Cearley|2|MID: 455905<br>Finishes: nonfoil:<br>https://scryfall.com/card/gk1/2/stolen-identity?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/8/8838088d-7fbd-4501-b97f-83e08ca376f3.jpg?1541002690}
455906|Syncopate|{X}{U}|Instant|||Counter target spell unless its controller pays {X}. If that spell is countered this way, exile it instead of putting it into its owner's graveyard.|GRN Guild Kit|Uncommon||Clint Cearley|3|MID: 455906<br>Finishes: nonfoil:<br>https://scryfall.com/card/gk1/3/syncopate?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/b/cba07c75-66fb-4de8-929e-0044184fc9fa.jpg?1624879067}
455907|Telling Time|{1}{U}|Instant|||Look at the top three cards of your library. Put one of those cards into your hand, one on top of your library, and one on the bottom of your library.|GRN Guild Kit|Uncommon||Scott M. Fischer|4|MID: 455907<br>Finishes: nonfoil:<br>https://scryfall.com/card/gk1/4/telling-time?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/b/1b921881-6967-477e-a419-6fd7462e768a.jpg?1624879091}
455908|Last Gasp|{1}{B}|Instant|||Target creature gets -3/-3 until end of turn.|GRN Guild Kit|Common||Thomas M. Baxa|5|MID: 455908<br>Finishes: nonfoil:<br>https://scryfall.com/card/gk1/5/last-gasp?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/8/c8b51876-3a4b-4af5-b1a2-3e54162d423f.jpg?1541002704}
455909|Netherborn Phalanx|{5}{B}|Creature - Horror|2|4|When this creature enters, each opponent loses 1 life for each creature they control.<br>Transmute {1}{B}{B} ({1}{B}{B}, Discard this card: Search your library for a card with the same mana value as this card, reveal it, put it into your hand, then shuffle. Transmute only as a sorcery.)|GRN Guild Kit|Uncommon||Christopher Rush|6|MID: 455909<br>Finishes: nonfoil:<br>https://scryfall.com/card/gk1/6/netherborn-phalanx?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/7/f7ec7e17-3f4f-4dae-b6ff-482a52a24f70.jpg?1685269024}
455910|Ribbons of Night|{4}{B}|Sorcery|||Ribbons of Night deals 4 damage to target creature and you gain 4 life. If {U} was spent to cast this spell, draw a card.|GRN Guild Kit|Uncommon||Ron Spears|7|MID: 455910<br>Finishes: nonfoil:<br>https://scryfall.com/card/gk1/7/ribbons-of-night?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/5/a5053c57-599d-4487-a7e2-97d60a2b6165.jpg?1541002713}
455911|Call of the Nightwing|{2}{U}{B}|Sorcery|||Create a 1/1 blue and black Horror creature token with flying.<br>Cipher (Then you may exile this spell card encoded on a creature you control. Whenever that creature deals combat damage to a player, its controller may cast a copy of the encoded card without paying its mana cost.)|GRN Guild Kit|Uncommon||Adam Paquette|8|MID: 455911<br>Finishes: nonfoil:<br>https://scryfall.com/card/gk1/8/call-of-the-nightwing?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/2/f299929e-507f-4e94-96ca-49708181a4f7.jpg?1541002717}
455912|Circu, Dimir Lobotomist|{2}{U}{B}|Legendary Creature - Human Wizard|2|3|Whenever you cast a blue spell, exile the top card of target player's library.<br>Whenever you cast a black spell, exile the top card of target player's library.<br>Your opponents can't cast spells with the same name as a card exiled with Circu.|GRN Guild Kit|Rare||Cyril Van Der Haegen|9|MID: 455912<br>Finishes: nonfoil:<br>https://scryfall.com/card/gk1/9/circu-dimir-lobotomist?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/0/80d88d83-d614-4995-ad3e-7ac062f4a93c.jpg?1541002722}
455913|Consuming Aberration|{3}{U}{B}|Creature - Horror|*|*|Consuming Aberration's power and toughness are each equal to the number of cards in your opponents' graveyards.<br>Whenever you cast a spell, each opponent reveals cards from the top of their library until they reveal a land card, then puts those cards into their graveyard.|GRN Guild Kit|Rare||Karl Kopinski|10|MID: 455913<br>Finishes: nonfoil:<br>https://scryfall.com/card/gk1/10/consuming-aberration?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/a/4ad5b777-b678-48fa-a935-0609781066d5.jpg?1541002727}
